Department Area,,Service Area,,Description,,,Line,,HBC Ref No.,,Name:  ,,,Payment Date,,Amount Paid
ENVS - Environmental Services,,CAF - CVMU,,Hose suction/clips,,,1,,CRINV0014266,,Scarab Sweepers Limited,,,06/11/25,,252.36
ENVS - Environmental Services,,CAF - CVMU,,Parts & Materials,,,1,,CRINV0014267,,Terberg Matec Uk,,,06/11/25,,391.58
ENVS - Environmental Services,,CAF - CVMU,,goods,,,1,,CRINV0014281,,Dennis Eagle Limited,,,06/11/25,,"2,779.81"
RESO - Resources,,AAG - Management Resources,,16-Aug-2025 to 02-Sep-2025,,,1,,CRINV0014287,,Lex Autolease Ltd,,,04/11/25,,167.83
RESO - Resources,,AAG - Management Resources,,16-Aug-2025 to 02-Sep-2025,,,2,,CRINV0014287,,Lex Autolease Ltd,,,04/11/25,,167.83
RESO - Resources,,AAG - Management Resources,,16-Aug-2025 to 02-Sep-2025,,,3,,CRINV0014287,,Lex Autolease Ltd,,,04/11/25,,26.35
RESO - Resources,,AAG - Management Resources,,Rental Period 09/09/2025 - 08/10/2025,,,1,,CRINV0014295,,Lex Autolease Ltd,,,04/11/25,,556.74
RESO - Resources,,AAG - Management Resources,,Rental Period 09/09/2025 - 08/10/2025,,,2,,CRINV0014295,,Lex Autolease Ltd,,,04/11/25,,556.74
RESO - Resources,,AAG - Management Resources,,Rental Period 09/09/2025 - 08/10/2025,,,3,,CRINV0014295,,Lex Autolease Ltd,,,04/11/25,,46.54
PLAN - Planning & Transportation,,EAB - Engineers & Transportation,,Dill Hall Cemetery road extension,,,1,,CRINV0014296,,Marchbridge Builders Ltd,,,06/11/25,,772.92
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency Costs W.E 05/10/2025,,,1,,CRINV0014305,,Proman Supply Chain Ltd,,,04/11/25,,"1,257.63"
ENVS - Environmental Services,,CAB - Other Environmental Services,,Hire of 8 wheeler 13.10.25,,,1,,CRINV0014324,,Stanley Brothers (Tippers) Ltd,,,06/11/25,,744.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Staff 06.10.25,,,1,,CRINV0014328,,Proman Supply Chain Ltd,,,11/11/25,,"1,517.57"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Staff 29.09.25,,,1,,CRINV0014330,,Proman Supply Chain Ltd,,,11/11/25,,723.22
PLAN - Planning & Transportation,,EAD - Planning,,Staff 06.10.25,,,1,,CRINV0014334,,Confido Consult Ltd,,,06/11/25,,"2,290.38"
ENVH - Environmental Health,,BAA - Housing Standards,,Agency Costs Period 06/10/2025 - 12/10/2025,,,1,,CRINV0014356,,Oyster Partnership,,,11/11/25,,"1,088.88"
ENVH - Environmental Health,,BAA - Housing Standards,,Agency Costs Period 06/10/2025 - 12/10/2025,,,1,,CRINV0014357,,Oyster Partnership,,,11/11/25,,"1,154.40"
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency Costs W/E 05/10/2025,,,1,,CRINV0014358,,Venn Group Limited,,,04/11/25,,"1,278.28"
PLAN - Planning & Transportation,,EAB - Engineers & Transportation,,Cleaning cycle of bus shelters sept 2025.,,,1,,CRINV0014360,,Atkinson Cleaning Services Limited,,,13/11/25,,"1,574.40"
PLAN - Planning & Transportation,,EAB - Engineers & Transportation,,Coppice Flood/Drain Repairs,,,1,,CRINV0014361,,Marchbridge Builders Ltd,,,13/11/25,,"1,404.19"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Agency Costs PE: 19-Oct-2025,,,1,,CRINV0014364,,Vivid Resourcing,,,13/11/25,,"1,710.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency Costs W/E 12/10/2025,,,1,,CRINV0014373,,Venn Group Limited,,,11/11/25,,"1,278.28"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Deep Cleaning of Chapel,,,1,,CRINV0014394,,Zagota Creations Ltd,,,11/11/25,,834.00
ENVH - Environmental Health,,BAA - Housing Standards,,Staff 13.10.25,,,1,,CRINV0014400,,Oyster Partnership,,,18/11/25,,"1,232.40"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Huncoat Village,,,1,,CRINV0014414,,Eric Wright Civil Engineering Ltd,,,06/11/25,,"2,150.38"
ENVH - Environmental Health,,BAB - Environmental Protection,,Staff 19.10.25,,,1,,CRINV0014419,,Vivid Resourcing,,,18/11/25,,626.53
ENVS - Environmental Services,,CAF - CVMU,,Vehicle parts,,,1,,CRINV0014426,,Dennis Eagle Limited,,,18/11/25,,647.27
ENVS - Environmental Services,,CAF - CVMU,,Cert books,,,1,,CRINV0014427,,Ellison Printing Co.,,,18/11/25,,351.60
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Staff 12.10.25,,,1,,CRINV0014429,,Rapid Recruitment Ltd,,,04/11/25,,804.02
ENVS - Environmental Services,,CAE - Waste Services,,Staff 19.10.25,,,1,,CRINV0014430,,Rapid Recruitment Ltd,,,11/11/25,,"1,708.86"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Staff 19.10.25,,,1,,CRINV0014431,,Rapid Recruitment Ltd,,,11/11/25,,804.02
ENVS - Environmental Services,,CAB - Other Environmental Services,,Hire of 8 wheeler 17.10.25,,,1,,CRINV0014432,,Stanley Brothers (Tippers) Ltd,,,13/11/25,,744.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Staff 13.10.25,,,1,,CRINV0014438,,Proman Supply Chain Ltd,,,18/11/25,,"1,327.88"
ENVS - Environmental Services,,CAF - CVMU,,Synmax scorpion,,,1,,CRINV0014440,,Sar Lubricants,,,18/11/25,,585.48
LEGL - Legal & Democratic,,DAB - Human Resources,,CAY Recharge Sept 25,,,1,,CRINV0014448,,Lancashire County Council (Direct Debit Payments),,,06/11/25,,"43,399.05"
LEGL - Legal & Democratic,,DAB - Human Resources,,CAY Recharge Aug 25 Corr,,,2,,CRINV0014448,,Lancashire County Council (Direct Debit Payments),,,06/11/25,,0.03
RESO - Resources,,AAB - Benefits & Customer Contact,,Staff 19.10.25,,,1,,CRINV0014449,,Eden Brown Limited,,,04/11/25,,"1,212.12"
LEGL - Legal & Democratic,,DAB - Human Resources,,Design work,,,1,,CRINV0014461,,Brands Inside Out Limited,,,18/11/25,,600.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Agency Costs Period Ending: 26-Oct-2025,,,1,,CRINV0014464,,Vivid Resourcing,,,20/11/25,,"1,710.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional charges,,,1,,CRINV0014469,,Stephensons Solicitors LLP,,,11/11/25,,"1,800.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,Staff 19.10.25,,,1,,CRINV0014471,,Venn Group Limited,,,18/11/25,,"1,278.28"
REGN - Regeneration & Housing,,FAG - Regeneration,,Staff 26.10.25,,,1,,CRINV0014478,,Vivid Resourcing,,,20/11/25,,"1,200.00"
PLAN - Planning & Transportation,,EAD - Planning,,Staff 26.10.25,,,1,,CRINV0014479,,Vivid Resourcing,,,20/11/25,,"2,160.00"
ENVH - Environmental Health,,BAA - Housing Standards,,Professional charges,,,1,,CRINV0014480,,Mr Leo Charalambides,,,25/11/25,,"2,400.00"
ENVH - Environmental Health,,BAA - Housing Standards,,Professional charges,,,1,,CRINV0014480,,Mr Leo Charalambides,,,18/11/25,,"2,400.00"
RESO - Resources,,AAD - ICT,,Copier charges: 10.6.25 to 8.9.25,,,1,,CRINV0014483,,Aurora Managed Services Ltd,,,04/11/25,,402.62
ENVH - Environmental Health,,BAB - Environmental Protection,,Temp staff w/e 26.10.25,,,1,,CRINV0014489,,Vivid Resourcing,,,20/11/25,,496.13
ENVH - Environmental Health,,BAA - Housing Standards,,Advising in Conference,,,1,,CRINV0014491,,Gary Grant (Francis Taylor Building),,,18/11/25,,"1,200.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,VOA Returns,,,1,,CRINV0014502,,Capacitygrid,,,18/11/25,,"2,178.00"
RESO - Resources,,AAD - ICT,,Fujitu fi 7600,,,1,,CRINV0014503,,E File Uk Ltd,,,13/11/25,,327.61
ENVS - Environmental Services,,CAF - CVMU,,Parts,,,1,,CRINV0014512,,Rob Mercer,,,06/11/25,,323.07
ENVS - Environmental Services,,CAF - CVMU,,Labour,,,2,,CRINV0014512,,Rob Mercer,,,06/11/25,,396.70
ENVS - Environmental Services,,CAB - Other Environmental Services,,Charges - 26.09.25 - 25.10.25,,,1,,CRINV0014513,,Water Plus - 4082169237 Towns Yard & Plumber,,,04/11/25,,"1,428.25"
ENVS - Environmental Services,,CAD - Town Centre & Markets,,Invoice for Gt Harwood Horticultural Show - 06.09.25,,,1,,CRINV0014516,,Great Harwood Civic Society,,,18/11/25,,500.00
ENVS - Environmental Services,,CAD - Town Centre & Markets,,Funding the H3 Event,,,1,,CRINV0014517,,Rotary Club Of Church & Oswaldtwistle,,,20/11/25,,"1,000.00"
ENVS - Environmental Services,,CAF - CVMU,,Staff 26.10.25,,,1,,CRINV0014520,,Autotech Recruit,,,04/11/25,,522.00
RESO - Resources,,AAF - Finance,,Labels,,,1,,CRINV0014523,,Canon (Uk) Ltd,,,13/11/25,,835.20
ENVS - Environmental Services,,CAF - CVMU,,Vehicle parts,,,1,,CRINV0014525,,Dennis Eagle Limited,,,20/11/25,,"1,225.32"
RESO - Resources,,AAB - Benefits & Customer Contact,,Documentation,,,1,,CRINV0014526,,IRRV,,,25/11/25,,290.00
ENVH - Environmental Health,,BAA - Housing Standards,,Staff 13.10.25,,,1,,CRINV0014531,,Oyster Partnership,,,25/11/25,,"1,296.05"
ENVH - Environmental Health,,BAA - Housing Standards,,Staff 20.10.25,,,1,,CRINV0014532,,Oyster Partnership,,,20/11/25,,"1,261.73"
ENVH - Environmental Health,,BAA - Housing Standards,,Staff 20.10.25,,,1,,CRINV0014533,,Oyster Partnership,,,25/11/25,,"1,526.93"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Professional charges,,,1,,CRINV0014536,,Womble Bond Dickinson (Uk) LLP,,,04/11/25,,"1,494.72"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Professional charges,,,2,,CRINV0014536,,Womble Bond Dickinson (Uk) LLP,,,04/11/25,,"1,494.72"
ENVS - Environmental Services,,CAF - CVMU,,"Cont of Service and Maint Contract , 2 x Machines",,,1,,CRINV0014537,,Karcher UK Limited,,,25/11/25,,832.20
LEGL - Legal & Democratic,,DAK - Community Safety,,Pennine Lancs CSP,,,1,,CRINV0014539,,Blackburn With Darwen Borough Council,,,18/11/25,,"5,000.00"
PLAN - Planning & Transportation,,EAA - Building Control,,Agency staff - w/e 24.10.25,,,1,,CRINV0014548,,Deekay Tech Recruitment Ltd,,,04/11/25,,"1,445.14"
LEGL - Legal & Democratic,,DAD - Management Legal & Dem,,Lamnd Charges - Sept 25,,,1,,CRINV0014549,,Lancashire County Council,,,20/11/25,,"1,161.60"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Emergency Works Grant ,,,1,,CRINV0014550,,JPS Property Services Limited,,,18/11/25,,540.00
ENVH - Environmental Health,,BAC - Food & Safety,,Refund for 1/2 year STC 2025,,,1,,CRINV0014558,,KS (street trader),,,04/11/25,,358.00
RESO - Resources,,AAF - Finance,,Firework Display Sponsor 2nd November 2025,,,1,,CRINV0014560,,Accrington Stanley F C Ltd,,,06/11/25,,"3,000.00"
ENVS - Environmental Services,,CAF - CVMU,,Antiroll Bar,,,1,,CRINV0014564,,A&P Truck And Trailer Parts,,,25/11/25,,840.00
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional Charges,,,1,,CRINV0014566,,Greenhalgh Kerr,,,20/11/25,,"1,440.00"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Rent Deposit,,,1,,CRINV0014568,,Onward Homes,,,04/11/25,,480.12
ENVS - Environmental Services,,CAE - Waste Services,,Removal of vehicle 17.10.25,,,1,,CRINV0014570,,Assured Automobile Assessors Ltd,,,25/11/25,,312.00
RESO - Resources,,AAB - Benefits & Customer Contact,,Vat on fees,,,1,,CRINV0014578,,Marston (Holdings) Ltd,,,25/11/25,,"2,420.77"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Lifting equipment inspection,,,1,,CRINV0014579,,Procranes Ltd,,,25/11/25,,302.40
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Staff 20.10.25,,,1,,CRINV0014580,,Proman Supply Chain Ltd,,,25/11/25,,"2,032.32"
ENVS - Environmental Services,,CAE - Waste Services,,Staff 26.10.25,,,1,,CRINV0014581,,Rapid Recruitment Ltd,,,18/11/25,,"1,571.76"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Staff 26.10.25,,,1,,CRINV0014582,,Rapid Recruitment Ltd,,,18/11/25,,804.02
REGN - Regeneration & Housing,,FAD - Housing Advice,,Out of Hours Cover - July 2025,,,1,,CRINV0014585,,Maundy Relief,,,04/11/25,,"1,240.00"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Maundy out of hours - August 2025,,,1,,CRINV0014586,,Maundy Relief,,,04/11/25,,"1,240.00"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Out of Hours Cover - September 2025,,,1,,CRINV0014587,,Maundy Relief,,,04/11/25,,"1,200.00"
LEGL - Legal & Democratic,,DAA - Democratic Services,,council meeting SIA,,,1,,CRINV0014590,,Prestige Bb Limited,,,25/11/25,,264.00
PLAN - Planning & Transportation,,EAA - Building Control,,60 Abbey Street works,,,1,,CRINV0014592,,Pilkington Bros (Church) Ltd,,,06/11/25,,"2,817.60"
RESO - Resources,,AAB - Benefits & Customer Contact,,Secondary Period Rental,,,1,,CRINV0014593,,Rigby Capital Ltd,,,04/11/25,,471.86
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional Charges,,,1,,CRINV0014596,,Stephensons Solicitors LLP,,,04/11/25,,720.00
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional Charges,,,2,,CRINV0014596,,Stephensons Solicitors LLP,,,04/11/25,,"1,843.00"
LEGL - Legal & Democratic,,DAB - Human Resources,,Business Planning - 2nd Invoice - Acc Market Chambers,,,1,,CRINV0014607,,Tourism UK Ltd,,,27/11/25,,"10,819.99"
LEGL - Legal & Democratic,,DAB - Human Resources,,Professional Fees ,,,1,,CRINV0014608,,Buttress Architects Limited,,,06/11/25,,"2,699.10"
ENVS - Environmental Services,,CAD - Town Centre & Markets,,Hire of Access Platform for Market Hall,,,1,,CRINV0014609,,Lighting And Building Services Ltd,,,20/11/25,,300.00
RESO - Resources,,AAH - Facilities,,Peel Park Cleaning - November 25,,,1,,CRINV0014613,,ServiceMaster Clean Contract Services AAA,,,25/11/25,,264.23
RESO - Resources,,AAH - Facilities,,Cleaning - Mercer Park - November 2025,,,1,,CRINV0014614,,ServiceMaster Clean Contract Services AAA,,,25/11/25,,264.23
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - Week 49 - 13.10.25-17.10.25,,,1,,CRINV0014617,,Confido Consult Ltd,,,18/11/25,,"2,531.28"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - Week 50 - 20.10.25 - 24.10.25,,,1,,CRINV0014618,,Confido Consult Ltd,,,18/11/25,,"2,337.48"
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency staff - w/e 26.10.25,,,1,,CRINV0014619,,Venn Group Limited,,,25/11/25,,"1,278.28"
LEGL - Legal & Democratic,,DAB - Human Resources,,Cost Management Services - Re Dome,,,1,,CRINV0014620,,Rihbell Ltd,,,06/11/25,,"4,800.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Monthly charges,,,1,,CRINV0014626,,Minster Cleaning Services,,,25/11/25,,"1,621.61"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Funeral photos,,,1,,CRINV0014627,,Obitus (Vivedia Ltd),,,25/11/25,,"1,778.40"
RESO - Resources,,AAB - Benefits & Customer Contact,,Staff 26.10.25,,,1,,CRINV0014629,,Eden Brown Limited,,,11/11/25,,"1,212.12"
ENVH - Environmental Health,,BAB - Environmental Protection,,Staff 02.11.25,,,1,,CRINV0014632,,Vivid Resourcing,,,27/11/25,,313.74
RESO - Resources,,AAF - Finance,,Charges - 26.09.25 - 25.10.25,,,1,,CRINV0014638,,Water Plus - 4081791400 Canteen Scaitcliffe House,,,06/11/25,,848.62
RESO - Resources,,AAF - Finance,,Shredding ,,,1,,CRINV0014640,,Ecs Ltd,,,25/11/25,,430.68
RESO - Resources,,AAH - Facilities,,Lighting Repairs,,,1,,CRINV0014643,,Lighting And Building Services Ltd,,,20/11/25,,"1,098.00"
LEGL - Legal & Democratic,,DAB - Human Resources,,Gantry Training 1.5 Days x 5 Students,,,1,,CRINV0014650,,Cemetery Training Services,,,18/11/25,,"2,496.00"
ENVS - Environmental Services,,CAF - CVMU,,Vehicle parts,,,1,,CRINV0014655,,Dennis Eagle Limited,,,25/11/25,,541.08
ENVS - Environmental Services,,CAF - CVMU,,Taxi Cert books,,,1,,CRINV0014656,,Ellison Printing Co.,,,25/11/25,,289.20
ENVS - Environmental Services,,CAF - CVMU,,Vehicle clean 27.10.25,,,1,,CRINV0014663,,Keep Em Clean,,,25/11/25,,262.50
ENVS - Environmental Services,,CAF - CVMU,,Nov 25,,,1,,CRINV0014668,,ServiceMaster Clean Contract Services AAA,,,25/11/25,,"1,070.47"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Staff 02.11.25,,,1,,CRINV0014670,,Vivid Resourcing,,,27/11/25,,"1,793.60"
ENVS - Environmental Services,,CAF - CVMU,,Vehicle Goods/Parts,,,1,,CRINV0014680,,Bucher Municipal Ltd,,,25/11/25,,502.12
LEGL - Legal & Democratic,,DAG - Elections,,Election/Regs Printing Costs,,,1,,CRINV0014683,,Civica Election Services,,,11/11/25,,"2,984.33"
ENVS - Environmental Services,,CAF - CVMU,,Agency Costs PE 02/11/2025,,,1,,CRINV0014685,,Autotech Recruit,,,06/11/25,,"1,287.60"
RESO - Resources,,AAB - Benefits & Customer Contact,,Debt Collection Recovery,,,1,,CRINV0014690,,Marston (Holdings) Ltd,,,25/11/25,,984.92
PLAN - Planning & Transportation,,EAD - Planning,,Agency Costs Period Ending: 02/11/2025,,,1,,CRINV0014698,,Macdonald & Company,,,11/11/25,,774.90
PLAN - Planning & Transportation,,EAD - Planning,,Agency Costs Period Ending: 02/11/2025,,,2,,CRINV0014698,,Macdonald & Company,,,11/11/25,,774.90
REGN - Regeneration & Housing,,FAG - Regeneration,,Charges - 01.07.25 - 31.07.25,,,1,,CRINV0014713,,YU Energy - 2000257533 - 16 Broadway,,,20/11/25,,"1,540.64"
REGN - Regeneration & Housing,,FAG - Regeneration,,Credit - 01.07.25 - 31.07.25,,,2,,CRINV0014713,,YU Energy - 2000257533 - 16 Broadway,,,20/11/25,,2.44-
REGN - Regeneration & Housing,,FAC - Haworth Art Gallery,,Annual Service Plan from 1st October 2025,,,1,,CRINV0014716,,Meaco Measurements,,,25/11/25,,564.00
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Market Hall/Burton Chambers Insurance,,,1,,CRINV0014717,,AON Uk Limited,,,06/11/25,,"18,013.79"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Market hall/ Burton Chambers Insurance,,,2,,CRINV0014717,,AON Uk Limited,,,06/11/25,,"11,517.01"
RESO - Resources,,AAD - ICT,,Charges - October 25,,,1,,CRINV0014718,,EE Futures,,,13/11/25,,"1,485.56"
RESO - Resources,,AAD - ICT,,Charges - September 25,,,1,,CRINV0014719,,EE Futures,,,13/11/25,,"1,466.14"
ENVS - Environmental Services,,CAF - CVMU,,Charges - 27.09.25 - 26.10.25,,,1,,CRINV0014729,,Water Plus - 4206400451 CVMU,,,11/11/25,,489.25
ENVS - Environmental Services,,CAD - Town Centre & Markets,,Twilight Night Event 2025,,,1,,CRINV0014731,,Kate Johnson on behalf of KSE Events,,,18/11/25,,"1,500.00"
ENVS - Environmental Services,,CAB - Other Environmental Services,,Cleaning - Willows LaNE - Nov 25,,,1,,CRINV0014733,,ServiceMaster Clean Contract Services AAA,,,25/11/25,,"1,391.64"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,36 Month Renewal ,,,1,,CRINV0014737,,CTrack UK Ltd,,,25/11/25,,302.40
ENVS - Environmental Services,,CAB - Other Environmental Services,,Vehicle Hire -  04.11.25,,,1,,CRINV0014741,,Stanley Brothers (Tippers) Ltd,,,27/11/25,,744.00
ENVS - Environmental Services,,CAB - Other Environmental Services,,Hire of Vehicles - 23/10/25 & 24/10/25,,,1,,CRINV0014742,,Stanley Brothers (Tippers) Ltd,,,25/11/25,,"1,488.00"
ENVS - Environmental Services,,CAB - Other Environmental Services,,Maintenance and Recycling Charge,,,1,,CRINV0014744,,Select Marketing Nw Ltd,,,25/11/25,,370.80
RESO - Resources,,AAB - Benefits & Customer Contact,,professional charges,,,1,,CRINV0014750,,Greenhalgh Kerr,,,27/11/25,,"2,241.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,professional charges,,,2,,CRINV0014750,,Greenhalgh Kerr,,,27/11/25,,544.80
RESO - Resources,,AAB - Benefits & Customer Contact,,professional charges,,,3,,CRINV0014750,,Greenhalgh Kerr,,,27/11/25,,"1,308.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Huncoat Garden Village,,,1,,CRINV0014755,,Avison Young (Uk) Ltd,,,11/11/25,,"36,417.60"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Huncoat Garden Village,,,1,,CRINV0014756,,Avison Young (Uk) Ltd,,,11/11/25,,"28,672.38"
ENVS - Environmental Services,,CAB - Other Environmental Services,,October 2025 contract,,,1,,CRINV0014765,,Aspen Valley Boarding Kennels & Cattery,,,25/11/25,,"2,105.80"
RESO - Resources,,AAB - Benefits & Customer Contact,,Pofessional charges,,,1,,CRINV0014770,,Greenhalgh Kerr,,,25/11/25,,"12,280.20"
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional charges,,,1,,CRINV0014771,,Greenhalgh Kerr,,,25/11/25,,"2,490.00"
ENVS - Environmental Services,,CAE - Waste Services,,Staff W/E 02/11/25  ,,,1,,CRINV0014777,,Rapid Recruitment Ltd,,,25/11/25,,"1,571.76"
ENVS - Environmental Services,,CAE - Waste Services,,Waste,,,1,,CRINV0014778,,Suez Recycling And Recovery Uk Ltd,,,25/11/25,,"2,868.30"
ENVS - Environmental Services,,CAE - Waste Services,,Waste,,,2,,CRINV0014778,,Suez Recycling And Recovery Uk Ltd,,,25/11/25,,"13,191.25"
ENVS - Environmental Services,,CAF - CVMU,,Vehicle parts,,,1,,CRINV0014779,,Wurth Uk Ltd,,,27/11/25,,350.28
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation ,,,1,,CRINV0014782,,Hill View (Private) Hotel,,,11/11/25,,840.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation ,,,1,,CRINV0014783,,Hill View (Private) Hotel,,,13/11/25,,980.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation ,,,1,,CRINV0014785,,Hill View (Private) Hotel,,,13/11/25,,600.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation ,,,1,,CRINV0014787,,Hill View (Private) Hotel,,,13/11/25,,396.00
REGN - Regeneration & Housing,,FAF - Strategic Housing,t,Emergency Works Granr,,,1,,CRINV0014792,,JPS Property Services Limited,,,18/11/25,,528.00
PLAN - Planning & Transportation,,EAA - Building Control,,Temp Staff W/E 31/10/2025,,,1,,CRINV0014793,,Deekay Tech Recruitment Ltd,,,11/11/25,,"1,463.66"
REGN - Regeneration & Housing,,FAC - Haworth Art Gallery,,HAG Giftshop Goods,,,1,,CRINV0014794,,Hachette Uk Distribution Ltd,,,13/11/25,,405.97
RESO - Resources,,AAH - Facilities,,"Amenity Lighting 01.10.25 ?
  31.10.25",,,1,,CRINV0014798,,EDF - 1232400259 - Unmetered Supply Street Lightin,,,11/11/25,,81.72
RESO - Resources,,AAH - Facilities,,Amenity Lighting 01.10.25 ? 31.10.25,,,2,,CRINV0014798,,EDF - 1232400259 - Unmetered Supply Street Lightin,,,11/11/25,,"2,410.82"
RESO - Resources,,AAH - Facilities,,Amenity Lighting 01.10.25 ? 31.10.25,,,3,,CRINV0014798,,EDF - 1232400259 - Unmetered Supply Street Lightin,,,11/11/25,,885.34
RESO - Resources,,AAH - Facilities,,Amenity Lighting 01.10.25 ? 31.10.25,,,4,,CRINV0014798,,EDF - 1232400259 - Unmetered Supply Street Lightin,,,11/11/25,,"1,906.86"
RESO - Resources,,AAH - Facilities,,Amenity Lighting 01.10.25 ? 31.10.25,,,5,,CRINV0014798,,EDF - 1232400259 - Unmetered Supply Street Lightin,,,11/11/25,,163.44
