Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
LEISURE IN HYNDBURN,ELECTRICITY,MERER HALL MAR 2021,B000022014/59343,EDF ENERGY,19/04/2021,605.4
VEHICLE MAINT SUPERVISION,EQUIPMNT REPAIR & MAINT,SERVICE COMPRESSOR,B000022017/65705,A B COMPRESSORS LIMITED,19/04/2021,771.3
CUSTOMER SERVICES,AGENCY STAFF,STAFF WE 04.04.21,B000022018/46341,MORGAN HUNT UK LTD,19/04/2021,776.62
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,ECU,B000022017/13375,VANTAGE TOYOTA BLACKBURN,19/04/2021,797.3
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF WE 04.04.21,B000022018/33923,EDEN BROWN LIMITED,19/04/2021,853.13
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 21.03.21,B000022014/55150,VENN GROUP LIMITED,19/04/2021,925
COVID 19,NEW EQUIPMENT,FREE STANDING COIVD SCREENS,B000022014/64418,SIGNAGE SYSTEMS,19/04/2021,972.96
ENVIRONMENTAL PROTECTION TEAM,PHOTOGRAPHIC EXPENSES,SHOP PHOTOGRAPHY,B000022018/65650,BC MEDIA,19/04/2021,1000
VEHICLE MAINT SUPERVISION,MATERIALS-DIRECT,WARRANTY DEBIT,B000022017/1164,DENNIS EAGLE LIMITED,19/04/2021,1200
ACC TOWN HALL,ELECTRICITY,A.T.H. MAR 2021,B000022014/59343,EDF ENERGY,19/04/2021,1240.48
GYPSY SITE,RENT AND HIRE OF PREMISES,RENT 22.3.21 - 11.4.21,B000022018/45458,GLOSSOP CARAVANS LTD,19/04/2021,1470
LIBRARY ST DEPOT,ELECTRICITY,CVMU  MARCH 2021,B000022014/59343,EDF ENERGY,19/04/2021,1536.01
GYPSY SITE,ELECTRICITY,GYPSY SITE MARCH 2021,B000022014/59343,EDF ENERGY,19/04/2021,1560.53
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,CLAYTON CIVIC HALL MAR 21,B000022018/29112,HYNDBURN LEISURE,19/04/2021,1600
INSURANCES,PREMIUMS PAID,COMPUTER INSURANCE 21/22,B000022014/64419,AON UK LTD,19/04/2021,1685.64
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,REPLACE CLUTCH,B000022017/63930,CROFT COMMERCIALS TRANSPORT LIMITED,19/04/2021,1976.9
MARKETS - OPERATIONS,ELECTRICITY,MARKET HALL MAR 2021,B000022014/59343,EDF ENERGY,19/04/2021,2100.65
COMMUNITY CHAMPIONS FUNDING,COMMUNITY CHAMPIONS FUNDING,FRESHDESK ANNUAL PLAN 21/22,B000022018/64008,FRESHWORKS INC,19/04/2021,3528
GENERAL FUND B/S,FINANCE LEASE,LEASE RENTAL,B000022018/19083,SOCIETE GENERALE EQUIPMENT FINANCE LTD,19/04/2021,4100.42
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,TYRES,B000022017/29877,ROSSENDALE VULCANISING (SALES LTD),19/04/2021,4507
INSURANCES,PREMIUMS PAID,TERRORISM COVER 21/22,B000022014/64419,AON UK LTD,19/04/2021,4696.46
LEISURE IN HYNDBURN,ELECTRICITY,SPORTS CENTRE MAR 2021,B000022014/59343,EDF ENERGY,19/04/2021,4767.9
SCAITCLIFFE HOUSE,GAS,SCAITCLIFFE MAR 2021,B000022014/59343,EDF ENERGY,19/04/2021,4955.15
INSURANCES,PREMIUMS PAID,FINE ART INSURANCE 21/22,B000022014/64419,AON UK LTD,19/04/2021,6796.09
INSURANCES,PREMIUMS PAID,ENGINEERING AND CONSTRUCTION INS 21/22,B000022014/64419,AON UK LTD,19/04/2021,6947.92
INSURANCES,BROKERS FEES,BROKERS FEE 21/22,B000022014/64419,AON UK LTD,19/04/2021,7500
COMPUTER SERVICES,RENTAL & MAINT SOFTWARE MISC,DBA SRVS FOR 3 YEARS,B000022016/819,ADVANCED BUSINESS SOLUTIONS,19/04/2021,10557.53
INSURANCES,PREMIUMS PAID,GROUP LIFE POLICY 21/22,B000022014/60858,METLIFE,19/04/2021,11557
INSURANCES,PREMIUMS PAID,COMBINED LIABILITY INS 21/22,B000022014/64419,AON UK LTD,19/04/2021,42376.32
COVID BACKFILL,AGENCY STAFF,TEMP STAFF,B000022026/58852,OYSTER PARTNERSHIP,20/04/2021,302.4
ACCRINGTON CREMATORIUM,GENERAL GROUNDS MAINTENANCE,CLEANING GULLIES,B000022026/61581,C J JETZ LTD,20/04/2021,327
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF,B000022026/19414,HEADS RECRUITMENT LIMITED,20/04/2021,389.12
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF,B000022026/19414,HEADS RECRUITMENT LIMITED,20/04/2021,437.92
COVID MARSHALLS,AGENCY STAFF,TEMP STAFF,B000022026/58852,OYSTER PARTNERSHIP,20/04/2021,480
COVID TESTING,AGENCY STAFF,AGENCY STAFF,B000022026/55740,RAPID RECRUITMENT LTD,20/04/2021,510.83
HYNDBURN CEMETERIES,MATERIALS-DIRECT,SOIL,B000022026/1913,HUPERADE LTD,20/04/2021,550
PARKS & OPEN SPACES,WATER CHARGES,WATER BILL PARKER ST BOWLING GREEN,B000022026/8325,WATER PLUS LTD,20/04/2021,558.49
LCC COVID PREVENTION,AGENCY STAFF,TEMP STAFF,B000022026/58023,BUCKINGHAM FUTURES LTD,20/04/2021,609
COVID MARSHALLS,AGENCY STAFF,TEMP STAFF,B000022026/58852,OYSTER PARTNERSHIP,20/04/2021,640
TIPPING CHARGES,HIRED VEHICLE,EMPTY BAYS AT WILLOWS LANE,B000022026/9294,STANLEY BROTHERS (TIPPERS) LTD,20/04/2021,900
COVID MARSHALLS,AGENCY STAFF,TEMP STAFF,B000022026/58852,OYSTER PARTNERSHIP,20/04/2021,918.96
ACCRINGTON CREMATORIUM,BOOK OF REMEMBRANCE,BOOK OF REMEMBERANCE INSC,B000022026/23978,CALLIGRAPHY UK LTD,20/04/2021,948.19
COVID BACKFILL,AGENCY STAFF,TEMP STFF,B000022026/58852,OYSTER PARTNERSHIP,20/04/2021,1296
COVID BACKFILL,AGENCY STAFF,TEMP STAFF ,B000022026/58852,OYSTER PARTNERSHIP,20/04/2021,1998
ACCRINGTON CREMATORIUM,VISUAL TRIBUTES,MEDIA/TRIBUTE CHARGES,B000022026/55609,OBITUS (VIVEDIA LTD),20/04/2021,2094
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF,B000022026/55740,RAPID RECRUITMENT LTD,20/04/2021,2197.57
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,CARRY OUT AV PRODUCTION FOR RHYDDINGS PARK,B000022029/64696,MAVERICK PRODUCTIONS,20/04/2021,2500
WILLOWS LANE DEPOT,LICENCES,WASTE TRANSFER,B000022026/59657,ENVIRONMENT AGENCY,20/04/2021,2731.25
STREET CLEANSING,MECH SWEEPER BRUSHES,HD POLY/WIRE BRUSHES FOR SCHMIDT,B000022029/54115,PROBRUSH,20/04/2021,3999.76
ACCRINGTON CREMATORIUM,MEDICAL REFEREE FEES,JAN/FEB/MAR - MED REF FEES,B000022026/7171,PEEL HOUSE MEDICAL PRACTICE,20/04/2021,5235
ACCRINGTON CREMATORIUM,VISUAL TRIBUTES,MEDIA/MUSIC SERVICE CHARGE,B000022026/55609,OBITUS (VIVEDIA LTD),20/04/2021,6003.96
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SENSOR,B000022034/8014,TERBERG MATEC UK,21/04/2021,256.47
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,EXHAUST GAS TEMPERATURE SENSOR,B000022034/64975,BLACKBURN VAN HIRE AND SALES LIMITED,21/04/2021,348.39
LAND CHARGES,SEARCH FEES,LAN CHARGES - MARCH 21,B000022035/2496,LANCASHIRE COUNTY COUNCIL,21/04/2021,396
GYPSY SITE,WORK DONE DLO-HIGHWAYS,CLEARING OF PUMP 12.4.21,B000022035/1248,DUNCAN CAMPBELL,21/04/2021,450
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,STEERING RACK ,B000022034/21709,BBC SUPERFACTORS LTD,21/04/2021,503.26
PARKS & OPEN SPACES,EQUIPMNT REPAIR & MAINT,SERVICE AND REPAIR DENNIS FT610,B000022034/442,BALMERS GARDEN MACHINERY,21/04/2021,524.21
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 9.4.21,B000022035/59823,HAYS,21/04/2021,941.4
TOWNSCAPE HERITAGE INITIATIVE,CONTRACTOR OTHER,PROFESSIONAL FEES,B000022035/65147,MR JAMES MALAM,21/04/2021,1237.5
COMMUNITY CHAMPIONS FUNDING,COMMUNITY CHAMPIONS FUNDING,COMM CHAMPIONS MARKETING,B000022035/65011,BRANDS INSIDE OUT LIMITED,21/04/2021,1819
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022035/7874,STANNAH LIFT SERVICES LIMITED,21/04/2021,2490
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,CAPITA SOFTWARE,B000022035/65220,CAPITA  BUSINESS SERVICES LTD,21/04/2021,2973.3
CORP & DEM CORE,GENERAL SUBSCRIPTIONS,LGA SUBS 21/22,B000022035/43988,LOCAL GOVERNMENT ASSOCIATION,21/04/2021,8570.07
COMMUNITY CHAMPIONS FUNDING,COMMUNITY CHAMPIONS FUNDING,PRINT & ONLINE MARKETING,B000022035/60625,REACH PUBLISHING SERVICES LTD,21/04/2021,9600
ALTHAM PARISH PRECEPT,MISC EXPENSES OTHER,PRECEPT 2021/22,B000022035/55299,ALTHAM PARISH COUNCIL,21/04/2021,12242.08
MARKETS - OPERATIONS,CLEANING MATERIALS,CLEANING SUPPLIES,B000022041/7033,OPTION HYGIENE,23/04/2021,543.15
MARKETS - OPERATIONS,WATER CHARGES,PEEL STREET TOILETS,B000022041/8325,WATER PLUS LTD,23/04/2021,892.88
MARKETS - OPERATIONS,WATER CHARGES,MARKET HALL WATER,B000022041/8325,WATER PLUS LTD,23/04/2021,1009.94
MARKETS - OPERATIONS,ASSET MAINT R&M,MARKET HALL REPAIRS,B000022052/54975,ROLLER SHUTTER SERVICES LTD,26/04/2021,315
ENVIRONMENTAL PROTECTION TEAM,WORK IN DEFAULT,YARD CLEARANCE,B000022049/59338,WASTE BUSTERS WASTE REMOVAL,26/04/2021,360
CUSTOMER SERVICES,AGENCY STAFF,STAFF WE 11.4.21,B000022049/60568,CUMMINS MELLOR,26/04/2021,486.75
ACCOUNTANCY,AGENCY STAFF,STAFF WE 4.4.21,B000022049/63907,BUTLER ROSE,26/04/2021,558.55
CUSTOMER SERVICES,AGENCY STAFF,STAFF WE 18.4.21,B000022049/60568,CUMMINS MELLOR,26/04/2021,610.5
CUSTOMER SERVICES,AGENCY STAFF,STAFF WE 11.4.21,B000022049/46341,MORGAN HUNT UK LTD,26/04/2021,611.1
ACCOUNTANCY,AGENCY STAFF,STAFF WE 11.4.21,B000022049/63907,BUTLER ROSE,26/04/2021,632.7
ENVIRONMENTAL PROTECTION TEAM,WORK IN DEFAULT,WASTE REMOVAL,B000022050/62449,JOHN HOGG CLEANING,26/04/2021,650
ACCOUNTANCY,AGENCY STAFF,STAFF WE 28.03.21,B000022049/63907,BUTLER ROSE,26/04/2021,806.3
ACCOUNTANCY,AGENCY STAFF,STAFF WE 18.4.21,B000022049/63907,BUTLER ROSE,26/04/2021,891.55
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF WE 28.03.21,B000022049/55150,VENN GROUP LIMITED,26/04/2021,925
CUSTOMER SERVICES,AGENCY STAFF,STAFF WE 18.4.21,B000022049/46341,MORGAN HUNT UK LTD,26/04/2021,1004.92
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF WE 18.4.21,B000022049/33923,EDEN BROWN LIMITED,26/04/2021,1010.1
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF WE 11.4.21,B000022049/33923,EDEN BROWN LIMITED,26/04/2021,1010.1
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF PE 18.4.21,B000022050/61657,G2 RECRUITMENT SOLUTIONS,26/04/2021,1258.99
HOUSING ADVICE,AGENCY STAFF,STAFF P/E 18.04.21,B000022050/61860,VIVID RESOURCING,26/04/2021,1514.21
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022051/7874,STANNAH LIFT SERVICES LIMITED,26/04/2021,2666
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022051/7874,STANNAH LIFT SERVICES LIMITED,26/04/2021,3552
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022051/30178,B3P SERVICES LTD,26/04/2021,3740
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022051/30178,B3P SERVICES LTD,26/04/2021,4059.11
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022051/7874,STANNAH LIFT SERVICES LIMITED,26/04/2021,7207
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022051/52883,POLLOCK LIFTS,26/04/2021,9931
HOUSING ADVICE,GRANTS,ACCOM AND SUPPORT HOMELESS PEOPLE,B000022049/54653,STEPPING STONE PROJECT,26/04/2021,12500
HYNDBURN CEMETERIES,ASSET MAINT R&M,DILL HALL CEM BUILDING  INSTALL NEW LIGHT,B000022061/37017,PILKINGTON BROS (CHURCH) LTD,27/04/2021,270.15
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022061/59301,CONSULTANTS & SPEC SURVEYORS LTD,27/04/2021,295
MARKETS - OPERATIONS,MARKETING INITIATIVES,ADVERT 97,B000022057/65719,LOOP PUBLISHING LIMITED,27/04/2021,300
DEVELOPMENT CONTROL B.U.,GENERAL SUBSCRIPTIONS,MEMBERSHIP SUBS 23.5.22,B000022063/55406,PLANNING JUNGLE LTD,27/04/2021,300
DEVELOPMENT CONTROL B.U.,SUBSIDISED PROFESSIONAL SUBS,RTPI 2021 SUBS,B000022061/39694,ROYAL TOWN PLANNING INSTITUTE,27/04/2021,315
MARKETS - OPERATIONS,ASSET MAINT R&M,SAFETY BRAKE MECHANISM,B000022061/54975,ROLLER SHUTTER SERVICES LTD,27/04/2021,325
DFG Affordable Warmth Grant,CONTRACTOR OTHER,AFFORDABLE WARMTH GRANT,B000022063/65825,CADENT GAS LTD,27/04/2021,548.34
LOCAL TAXATION,LEGAL FEES,ADVICE FROM COUNSEL,B000022063/64928,MR FREDDIE HUMPHREYS,27/04/2021,600
FIRE RISK ASSESS WORKS VARIOUS,CONTRACTOR OTHER,SCAITCLIFFE FIRE DOOR SURVEY,B000022061/65824,INDEPENDENT FIRE SAFETY SERVICE LTD,27/04/2021,660
CORPORATE PROPERTY,LEGAL FEES,FEES  KING G V PLAYING FIELDS,B000022063/65826,MR TIMOTHY LEADER,27/04/2021,1500
LEISURE IN HYNDBURN,GRANTS-GENERAL,NLRF GRANT,B000022063/65827,LEISURE-NET SOLUTIONS LTD,27/04/2021,1542
ENVIRONMENTAL REGENERATION,MISC EXPENSES OTHER,LANCS WOODLAND CONNECT GRANT,B000022061/61937,RIBBLE RIVERS TRUST,27/04/2021,30000
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,BIN ON TOOTH SENSOR,B000022066/8014,TERBERG MATEC UK,28/04/2021,293.42
REFUSE COLLECTION,ADVERTISING GENERAL,ADVERT- RUBBISH REMOVAL ,B000022067/60625,REACH PUBLISHING SERVICES LTD,28/04/2021,332
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF  11.04.21 ,B000022067/19414,HEADS RECRUITMENT LIMITED,28/04/2021,376.96
COVID 19 Waste Services,HIRED VEHICLE,VEHICLE RENTAL 16.4.21 - 14.05.21,B000022067/2062,INTACK SELF DRIVE,28/04/2021,380
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE 14.04.21 ,B000022067/7871,STANLEY BROS TIPPERS LTD,28/04/2021,450
TIPPING CHARGES,HIRED VEHICLE,"HIRE OF VEHICLE,  20.04.21 ",B000022067/7871,STANLEY BROS TIPPERS LTD,28/04/2021,450
COVID MARSHALLS,AGENCY STAFF,TEMP STAFF W/C 5.4.21,B000022067/58852,OYSTER PARTNERSHIP,28/04/2021,480
COVID TESTING,AGENCY STAFF,AGENCY STAFF  WK 12.04.21- 18.04.21,B000022067/55740,RAPID RECRUITMENT LTD,28/04/2021,517.26
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,LOLA TESTS,B000022066/9544,CALIBRATION & CONSULTANCY SERVICES UK LTD,28/04/2021,585
