Department Area,,Service Area,,Description,,,Line,,HBC Ref No.,,Name:  ,,,Payment Date,,Amount Paid
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional charges,,,1,,CRINV0013841,,Stephensons Solicitors LLP,,,02/10/2025,,"1,200.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional Charges ,,,1,,CRINV0013842,,Stephensons Solicitors LLP,,,02/10/2025,,600.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Rent  24.09.25 - 05.10.25,,,1,,CRINV0013843,,Onward Homes,,,02/10/2025,,258.46
RESO - Resources,,AAF - Finance,,"Ground Rent, Bowling Green, Rishton",,,1,,CRINV0013846,,Free Gardeners Working Mens Club,,,02/10/2025,,300.00
LEGL - Legal & Democratic,,DAB - Human Resources,,8 x Trophies for Big Thank You Awards,,,1,,CRINV0013879,,SDL Group Ltd,,,02/10/2025,,301.99
REGN - Regeneration & Housing,,FAB - Facilities,,New Handrails,,,1,,CRPOI0013390,,JCM Steel Fabrications Ltd,,,02/10/2025,,"1,620.00"
REGN - Regeneration & Housing,,FAB - Facilities,,Small repairs and general works,,,1,,CRPOI0013395,,JCM Steel Fabrications Ltd,,,02/10/2025,,318.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,25 X Various items of PPE and climbing equipment ,,,1,,CRPOI0013405,,Dick Leigh LLP,,,02/10/2025,,"3,627.97"
ENVS - Environmental Services,,CAE - Waste Services,,Willows Lane Depot Stationary Order September 2025,,,1,,CRPOI0013438,,Viking Office UK Limited,,,02/10/2025,,308.17
ENVS - Environmental Services,,CAB - Other Environmental Services,,6 X - Brodikil Whole Wheat 10kg ,,,1,,CRPOI0013535,,Killgerm Chemicals Ltd,,,02/10/2025,,226.80
ENVS - Environmental Services,,CAB - Other Environmental Services,,6 X  - Flea Trap ,,,2,,CRPOI0013535,,Killgerm Chemicals Ltd,,,02/10/2025,,72.00
LEGL - Legal & Democratic,,DAB - Human Resources,,Payroll and Pensions Training Course,,,1,,CRPOI0013730,,Chartered Institute of Payroll Professionals(CIPP),,,02/10/2025,,"3,174.00"
REGN - Regeneration & Housing,,FAB - Facilities,,Intruder Alarm upgrade,,,1,,CRPOI0013736,,Full Circuit Fire & Security Ltd,,,02/10/2025,,"1,507.01"
ENVS - Environmental Services,,CAE - Waste Services,,1 X HDS 17/20 Tr1 De trailer ,,,1,,CRPOI0013803,,Karcher UK Limited,,,02/10/2025,,"2,098.80"
ENVS - Environmental Services,,CAE - Waste Services,,Hire of 1 X FRV 50 surface cleaner ,,,2,,CRPOI0013803,,Karcher UK Limited,,,02/10/2025,,176.40
ENVH - Environmental Health,,BAA - Housing Standards,,Maintenance - 1.10.25 to 30.9.26,,,1,,CRPOI0013876,,Civica Uk Limited,,,02/10/2025,,"39,273.88"
ENVH - Environmental Health,,BAA - Housing Standards,,Maintenance - 1.10.25 to 30.9.26,,,2,,CRPOI0013876,,Civica Uk Limited,,,02/10/2025,,"19,636.96"
ENVH - Environmental Health,,BAA - Housing Standards,,Maintenance - 1.10.25 to 30.9.26,,,3,,CRPOI0013876,,Civica Uk Limited,,,02/10/2025,,"19,636.96"
ENVS - Environmental Services,,CAD - Town Centre & Markets,,Reapirs to broken soil pipe,,,1,,CRINV0013196,,Pilkington Bros (Church) Ltd,,,08/10/2025,,265.85
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Boundary Upgrades,,,1,,CRINV0013451,,Lancashire Wildlife Trust,,,08/10/2025,,"1,593.00"
PLAN - Planning & Transportation,,EAB - Engineers & Transportation,,Installation of Street Name ,,,1,,CRINV0013462,,Marchbridge Builders Ltd,,,08/10/2025,,"2,359.20"
PLAN - Planning & Transportation,,EAB - Engineers & Transportation,,Services - Dill Hall Cemetery,,,1,,CRINV0013463,,Marchbridge Builders Ltd,,,08/10/2025,,"36,789.52"
ENVH - Environmental Health,,BAA - Housing Standards,,Agency staff - w/c 25.08.25,,,1,,CRINV0013464,,Oyster Partnership,,,08/10/2025,,906.67
ENVH - Environmental Health,,BAA - Housing Standards,,Agency staff - w/c 01.09.25,,,1,,CRINV0013465,,Oyster Partnership,,,08/10/2025,,"1,154.40"
ENVH - Environmental Health,,BAA - Housing Standards,,Agency Staff - w/c 01.09.25,,,1,,CRINV0013466,,Oyster Partnership,,,08/10/2025,,"1,274.21"
REGN - Regeneration & Housing,,FAC - Haworth Art Gallery,,Cards for Shop,,,1,,CRINV0013482,,Art Angels Publishing Ltd,,,08/10/2025,,306.50
PLAN - Planning & Transportation,,EAD - Planning,,Agency Costs W/E 14-Sep-2025,,,1,,CRINV0013555,,Vivid Resourcing,,,08/10/2025,,"2,304.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency staff - w/e 07.09.25,,,1,,CRINV0013570,,Venn Group Limited,,,08/10/2025,,"1,278.28"
REGN - Regeneration & Housing,,FAB - Facilities,,Fence around tennis courts vandalised.,,,1,,CRINV0013577,,Pilkington Bros (Church) Ltd,,,08/10/2025,,871.38
LEGL - Legal & Democratic,,DAC - Legal,,Professional Services 01.09.25,,,1,,CRINV0013580,,Miss Constanze Bell - Kings Chambers,,,08/10/2025,,"1,500.00"
LEGL - Legal & Democratic,,DAH - Licencing,,Agency Staff - w/e 14.09.25,,,1,,CRINV0013595,,G2 Recruitment Solutions,,,08/10/2025,,"2,169.60"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency staff - w/c 01.09.25,,,1,,CRINV0013596,,Proman Supply Chain Ltd,,,08/10/2025,,"2,044.31"
ENVS - Environmental Services,,CAF - CVMU,,Parts,,,1,,CRINV0013614,,Bucher Municipal Ltd,,,08/10/2025,,450.70
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff -  08.09.25 - 12.09.25,,,1,,CRINV0013637,,Confido Consult Ltd,,,08/10/2025,,"2,387.82"
ENVS - Environmental Services,,CAB - Other Environmental Services,,Vehicle Hire - 12.09.25 ,,,1,,CRINV0013670,,Stanley Brothers (Tippers) Ltd,,,08/10/2025,,744.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency staff - w/e 14.09.25,,,1,,CRINV0013673,,Rapid Recruitment Ltd,,,08/10/2025,,643.22
ENVS - Environmental Services,,CAF - CVMU,,Vehicle Parts and Goods,,,1,,CRINV0013698,,Pirtek Preston 2004 Ltd,,,08/10/2025,,276.31
ENVS - Environmental Services,,CAF - CVMU,,Vehicle Parts and Goods,,,1,,CRINV0013709,,A&P Truck And Trailer Parts,,,08/10/2025,,419.27
PLAN - Planning & Transportation,,EAB - Engineers & Transportation,,Foxhill Bank Wall Repairs,,,1,,CRINV0013747,,Uk Restoration Services,,,08/10/2025,,552.42
ENVS - Environmental Services,,CAE - Waste Services,,Agency staff - w/e 14.09.25,,,1,,CRINV0013763,,Rapid Recruitment Ltd,,,08/10/2025,,750.80
RESO - Resources,,AAF - Finance,,Hire of Acorn Suite - 04.09.25,,,1,,CRINV0013769,,Hyndburn Leisure,,,08/10/2025,,240.00
RESO - Resources,,AAF - Finance,,Refreshments - 04.09.25 ,,,2,,CRINV0013769,,Hyndburn Leisure,,,08/10/2025,,44.40
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency staff - w/e 14.09.25,,,1,,CRINV0013776,,Rapid Recruitment Ltd,,,08/10/2025,,876.18
ENVS - Environmental Services,,CAE - Waste Services,,Agency staff - w/e 14.09.25,,,1,,CRINV0013777,,Rapid Recruitment Ltd,,,08/10/2025,,785.88
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,LOLER Inspection of Climbing Kit and mileage,,,1,,CRINV0013822,,G M Tree Consultants,,,08/10/2025,,734.00
REGN - Regeneration & Housing,,FAC - Haworth Art Gallery,,Soaps for resale,,,1,,CRINV0013875,,The Natural French Soap Company,,,08/10/2025,,335.24
LEGL - Legal & Democratic,,DAB - Human Resources,,Professional Charges - Accrington Market Chambers for Architectural Services,,,1,,CRINV0013889,,Buttress Architects Limited,,,08/10/2025,,"2,100.00"
ENVS - Environmental Services,,CAF - CVMU,,Parts,,,1,,CRINV0013906,,Rob Mercer,,,08/10/2025,,134.20
ENVS - Environmental Services,,CAF - CVMU,,Labour,,,2,,CRINV0013906,,Rob Mercer,,,08/10/2025,,150.00
REGN - Regeneration & Housing,,FAB - Facilities,,Amenity Lighting - 1.9.25 to 30.9.25,,,1,,CRINV0013909,,EDF - 5946759290 - Unmetered Supply Street Lightin,,,08/10/2025,,20.06
REGN - Regeneration & Housing,,FAB - Facilities,,Amenity lighting - 1.9.25-30.9.25,,,2,,CRINV0013909,,EDF - 5946759290 - Unmetered Supply Street Lightin,,,08/10/2025,,591.90
REGN - Regeneration & Housing,,FAB - Facilities,,Amenity Lighting - 1.9.25 to 30.9.25,,,3,,CRINV0013909,,EDF - 5946759290 - Unmetered Supply Street Lightin,,,08/10/2025,,468.17
REGN - Regeneration & Housing,,FAB - Facilities,,Amenity Lighting - 1.9.25 - 30.9.25,,,4,,CRINV0013909,,EDF - 5946759290 - Unmetered Supply Street Lightin,,,08/10/2025,,40.13
REGN - Regeneration & Housing,,FAB - Facilities,,Amenity Lighting - 1.9.25 to 30.9.25,,,5,,CRINV0013909,,EDF - 5946759290 - Unmetered Supply Street Lightin,,,08/10/2025,,68.36
REGN - Regeneration & Housing,,FAB - Facilities,,Amenity Lighting - 1.9.25 to 30.9.25,,,6,,CRINV0013909,,EDF - 5946759290 - Unmetered Supply Street Lightin,,,08/10/2025,,217.37
ENVS - Environmental Services,,CAB - Other Environmental Services,,Period: 26.8.25 to 25.9.25,,,1,,CRINV0013912,,Water Plus - 4082169237 Towns Yard & Plumber,,,08/10/2025,,"1,477.81"
RESO - Resources,,AAB - Benefits & Customer Contact,,Postage - Sep 25,,,1,,CRINV0013925,,Critiqom,,,08/10/2025,,"1,117.34"
RESO - Resources,,AAB - Benefits & Customer Contact,,Postage Sep 25,,,2,,CRINV0013925,,Critiqom,,,08/10/2025,,"3,840.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Cremation Forms - Jul/Aug/Sep 2025,,,1,,CRINV0013946,,Peel House Medical Practice,,,08/10/2025,,"4,500.00"
LEGL - Legal & Democratic,,DAF - Policy,,Heritage and Arts Grant 2025,,,1,,CRINV0013966,,Aawaz,,,08/10/2025,,"5,000.00"
REGN - Regeneration & Housing,,FAB - Facilities,,AWG Fees to end of Sept 25,,,1,,CRINV0013990,,Hyndburn Homewise Society Limited,,,08/10/2025,,"5,695.34"
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional charges,,,1,,CRINV0014017,,Greenhalgh Kerr,,,08/10/2025,,"2,877.00"
LEGL - Legal & Democratic,,DAF - Policy,,Heritage and Arts Grant 2025,,,1,,CRINV0014045,,Jon-Maelor I`Anson-Hughes,,,08/10/2025,,"2,000.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,Whinney Hill - 07.10.25,,,1,,CRINV0014059,,Ada Glossop Ltd,,,08/10/2025,,"1,012.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,Whinney Hill 07.10.25,,,1,,CRINV0014061,,Cheval Social Management,,,08/10/2025,,969.24
ENVS - Environmental Services,,CAF - CVMU,,Agency Costs W/E 05/10/2025,,,1,,CRINV0014071,,Autotech Recruit,,,08/10/2025,,"1,113.60"
PLAN - Planning & Transportation,,EAD - Planning,,Press Notice for 11/24/0417 & 11/25/0355 for 12/09/2025,,,1,,CRPOI0013522,,People Scout Limited,,,08/10/2025,,465.12
RESO - Resources,,AAF - Finance,,Temp Staff W/e 14.9.25,,,1,,CRPOI0013552,,G2 Recruitment Solutions,,,08/10/2025,,"5,850.00"
REGN - Regeneration & Housing,,FAG - Regeneration,,Temp Staff W/e 14.9.25,,,1,,CRPOI0013553,,Vivid Resourcing,,,08/10/2025,,"1,200.00"
REGN - Regeneration & Housing,,FAB - Facilities,,"Callouts, breakdowns, make safe, small general repairs",,,1,,CRPOI0013554,,Pilkington Bros (Church) Ltd,,,08/10/2025,,332.40
ENVS - Environmental Services,,CAE - Waste Services,,"100 X 140 Grey Bins (0300) body and lid, logo to front of bin in white ",,,1,,CRPOI0013607,,Contenur Uk Limited,,,08/10/2025,,"1,987.20"
ENVS - Environmental Services,,CAE - Waste Services,,"100 X 140 Brown Bins (0905) body and lid, logo to front of bin in white & logo to lid ",,,2,,CRPOI0013607,,Contenur Uk Limited,,,08/10/2025,,"1,987.20"
LEGL - Legal & Democratic,,DAB - Human Resources,,Drug & Alcohol test call out,,,1,,CRPOI0013621,,D Tec International,,,08/10/2025,,471.96
LEGL - Legal & Democratic,,DAH - Licencing,,Goods for Taxi Licensing,,,1,,CRPOI0013649,,Vip-System Ltd,,,08/10/2025,,"2,499.91"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Improvement works to Lowerfold paths ,,,1,,CRPOI0013883,,Marchbridge Builders Ltd,,,08/10/2025,,"33,715.80"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Additional path improvements,,,2,,CRPOI0013883,,Marchbridge Builders Ltd,,,08/10/2025,,"8,568.00"
LEGL - Legal & Democratic,,DAB - Human Resources,,3 Places at the CIPFA NW Audit Autumn Seminar 2025,,,1,,CRPOI0013962,,"CIPFA Northwest Audit, Risk & Governance Group",,,08/10/2025,,306.00
LEGL - Legal & Democratic,,DAG - Elections,,Electoral Prints and Postage,,,1,,CRINV0013893,,Civica Election Services,,,09/10/2025,,"1,544.29"
LEGL - Legal & Democratic,,DAF - Policy,,Heritage and Arts Grant 2025,,,1,,CRINV0014015,,The Royal British Legion,,,09/10/2025,,250.00
RESO - Resources,,AAF - Finance,,Credit Card/post office transaction Fees,,,1,,CRINV0014038,,Allpay Ltd,,,09/10/2025,,"1,178.89"
LEGL - Legal & Democratic,,DAB - Human Resources,,Cay Recharge August 25,,,1,,CRINV0014094,,Lancashire County Council (Direct Debit Payments),,,09/10/2025,,"43,490.01"
LEGL - Legal & Democratic,,DAB - Human Resources,,Foamex Signs,,,1,,CRINV0014106,,Ellison Printing Co.,,,09/10/2025,,602.40
LEGL - Legal & Democratic,,DAH - Licencing,,Autocheck date,,,1,,CRINV0014121,,EXPERIAN MARKETING SERVICES,,,09/10/2025,,647.16
REGN - Regeneration & Housing,,FAB - Facilities,,Repairs,,,1,,CRPOI0013605,,Roller Shutter Services Ltd,,,09/10/2025,,468.00
REGN - Regeneration & Housing,,FAB - Facilities,,Scissor lift access.,,,2,,CRPOI0013605,,Roller Shutter Services Ltd,,,09/10/2025,,192.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,strip turf with excavator and move to location on site for collection or storage,,,1,,CRPOI0013606,,Lancashire Wildlife Trust,,,09/10/2025,,"3,570.00"
REGN - Regeneration & Housing,,FAC - Haworth Art Gallery,,Exhibition Design Services,,,1,,CRPOI0013630,,Redman Partnership LLP,,,09/10/2025,,"13,005.00"
REGN - Regeneration & Housing,,FAB - Facilities,,"Callouts, breakdowns, make safe, small general repairs",,,1,,CRPOI0013640,,Lancashire Gas Services,,,09/10/2025,,345.04
REGN - Regeneration & Housing,,FAB - Facilities,,"Callouts, breakdowns, make safe, small general repairs",,,1,,CRPOI0013641,,Lancashire Gas Services,,,09/10/2025,,443.62
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,10 X Absolute Advance Fortify Autumn / winter fertiliser ,,,1,,CRPOI0013677,,Agrovista Uk Limited,,,09/10/2025,,275.76
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,14 X FerroMex moss killer lawn conditioner ,,,2,,CRPOI0013677,,Agrovista Uk Limited,,,09/10/2025,,"1,034.38"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Carriage,,,3,,CRPOI0013677,,Agrovista Uk Limited,,,09/10/2025,,57.60
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,50 X 18`` Wire hanging baskets with Coco Liner ,,,1,,CRPOI0014092,,Holland House Nursery Ltd,,,09/10/2025,,709.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,50 X Planting of baskets ,,,2,,CRPOI0014092,,Holland House Nursery Ltd,,,09/10/2025,,"1,049.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,20 X Planting up of provided planters Approx 20-25cm ,,,3,,CRPOI0014092,,Holland House Nursery Ltd,,,09/10/2025,,240.00
REGN - Regeneration & Housing,,FAB - Facilities,,Data sim cards x 3 for controllable cross street displays,,,1,,CRPOI0014097,,L I T E,,,09/10/2025,,468.00
ENVH - Environmental Health,,BAA - Housing Standards,,Agency staff - w/c 08.09.25,,,1,,CRINV0013631,,Oyster Partnership,,,14/10/2025,,"1,201.20"
ENVH - Environmental Health,,BAA - Housing Standards,,Agency staff - w/c 08.09.25,,,1,,CRINV0013632,,Oyster Partnership,,,14/10/2025,,"1,185.60"
ENVS - Environmental Services,,CAF - CVMU,,adblue,,,1,,CRINV0013645,,A&P Truck And Trailer Parts,,,14/10/2025,,546.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency Staff - w/e 14.09.25,,,1,,CRINV0013674,,Proman Supply Chain Ltd,,,14/10/2025,,"1,605.02"
REGN - Regeneration & Housing,,FAB - Facilities,,Service Call - Rhyddings - Kitchen,,,1,,CRINV0013686,,Affordable Bar & Catering Equipment Direct,,,14/10/2025,,424.80
ENVS - Environmental Services,,CAF - CVMU,,Replace faulty steering on JCB loadall / Travel to site,,,1,,CRINV0013727,,Monks Contractors Limited,,,14/10/2025,,538.80
LEGL - Legal & Democratic,,DAC - Legal,,Conveyancing Licence Subs Nov 25 - Oct 26,,,1,,CRINV0013746,,The Council for Licensed Conveyancers,,,14/10/2025,,400.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency Staff - w/e 21.09.25,,,1,,CRINV0013764,,Rapid Recruitment Ltd,,,14/10/2025,,804.02
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency Staffv -w/e 21.09.25,,,1,,CRINV0013805,,Rapid Recruitment Ltd,,,14/10/2025,,894.66
ENVS - Environmental Services,,CAE - Waste Services,,Agency Staff - w/e 21.09.25,,,1,,CRINV0013806,,Rapid Recruitment Ltd,,,14/10/2025,,"1,571.76"
ENVS - Environmental Services,,CAE - Waste Services,,Agency Staff - w/e 21.09.25,,,1,,CRINV0013807,,Rapid Recruitment Ltd,,,14/10/2025,,887.81
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency Staff - w/e 14.09.25,,,1,,CRINV0013858,,Venn Group Limited,,,14/10/2025,,"1,278.28"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0013862,,Artisan Windows,,,14/10/2025,,"2,745.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable warmth Grant,,,1,,CRINV0013863,,Harris Heating (Nw) Ltd,,,14/10/2025,,"2,675.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable warmth grant,,,1,,CRINV0013864,,Rhea Projects,,,14/10/2025,,"2,877.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Wamth Grant,,,1,,CRINV0013865,,Rhea Projects,,,14/10/2025,,"1,554.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0013866,,Rhea Projects,,,14/10/2025,,"3,134.25"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable WarmthnGrant,,,1,,CRINV0013867,,Harris Heating (Nw) Ltd,,,14/10/2025,,"4,875.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0013916,,A G S Heating & Plumbing Ltd,,,14/10/2025,,"2,430.00"
RESO - Resources,,AAG - Management Resources,,Wilson Field Leisure Centre Valuation 12,,,1,,CRINV0014029,,Alliance Leisure Services Limited,,,14/10/2025,,"1,092,925.27"
RESO - Resources,,AAG - Management Resources,,Pool Equipment for Wilsons,,,1,,CRINV0014033,,Hyndburn Leisure,,,14/10/2025,,"15,738.89"
REGN - Regeneration & Housing,,FAG - Regeneration,,Advice Agency - 1.10.25-31.12.25,,,1,,CRINV0014035,,Hyndburn Homewise Society Limited,,,14/10/2025,,"6,233.13"
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency Costs W/E End 21/09/2025,,,1,,CRINV0014069,,Eden Brown Limited,,,14/10/2025,,"1,212.12"
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency Costs W/E End 28/09/2025,,,1,,CRINV0014070,,Eden Brown Limited,,,14/10/2025,,"1,212.12"
PLAN - Planning & Transportation,,EAA - Building Control,,Temp staff w/e 3.10.25,,,1,,CRINV0014113,,Deekay Tech Recruitment Ltd,,,14/10/2025,,"1,459.34"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Charges: 1.9.25 to 30.9.25,,,1,,CRINV0014118,,E-On Next Energy - A-B930C930 73 Blackburn Road,,,14/10/2025,,527.15
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Electricity Charges 01 Sep 2025 to 30 Sep 2025,,,1,,CRINV0014120,,Smartest Energy - 100011736903 77-79 Blackburn Rd,,,14/10/2025,,832.75
REGN - Regeneration & Housing,,FAA - Economic Development,,Business essential workshops,,,1,,CRINV0014136,,Blackburn With Darwen Borough Council,,,14/10/2025,,"5,040.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Period: 3.9.25 to 2.10.25,,,1,,CRINV0014137,,Water Plus - 6002491027 White Ash Playing Fields,,,14/10/2025,,307.49
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional charges,,,1,,CRINV0014150,,Stephensons Solicitors LLP,,,14/10/2025,,600.00
LEGL - Legal & Democratic,,DAB - Human Resources,,Second installment for delivery of the Hyndburn Murals Accrington,,,1,,CRINV0014172,,The Super Slow Way Ltd,,,14/10/2025,,"17,500.00"
LEGL - Legal & Democratic,,DAB - Human Resources,,CMS in connection with Accrington Market Chambers (DOME),,,1,,CRINV0014175,,Rihbell Ltd,,,14/10/2025,,"4,800.00"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Programme Director Services,,,1,,CRINV0014176,,Rider Levett Bucknall Uk Ltd,,,14/10/2025,,"3,080.19"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Programme Director Services,,,2,,CRINV0014176,,Rider Levett Bucknall Uk Ltd,,,14/10/2025,,"3,080.19"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Programme Director Services,,,3,,CRINV0014176,,Rider Levett Bucknall Uk Ltd,,,14/10/2025,,"3,080.22"
RESO - Resources,,AAD - ICT,,Canon Printer Equipment,,,1,,CRINV0014181,,Canon (Uk) Ltd,,,14/10/2025,,"5,995.04"
RESO - Resources,,AAD - ICT,,Period 19/06/2025 - 17/09/2025,,,1,,CRINV0014184,,Aurora Managed Services Ltd,,,14/10/2025,,597.41
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Period: 4.9.25 to 3.10.25,,,1,,CRINV0014192,,Water Plus - 4082158354 Cemetery Gates & Conv,,,14/10/2025,,799.02
REGN - Regeneration & Housing,,FAB - Facilities,,Period: 1.9.25 to 30.9.25,,,1,,CRINV0014195,,NPOWER - A0010655700 -Accrington Market Hall,,,14/10/2025,,"3,782.51"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0014199,,Rhea Projects,,,14/10/2025,,"2,205.00"
REGN - Regeneration & Housing,,FAB - Facilities,,Period: 1.9.25 to 30.9.25,,,1,,CRINV0014233,,NPower - A0010655701-Wilsons Sport,,,14/10/2025,,"19,738.78"
