Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
MARKETS - OPERATIONS,WATER CHARGES,WATER PEEL ST TOILETS JAN 20- APR-20,B000020962/8325,WATER PLUS LTD,31/05/2020,625.98
ENVIRONMENTAL PROTECTION TEAM,WORK IN DEFAULT,CLEAR DEBRIS,B000020945/62449,JOHN HOGG CLEANING,19/05/2020,650.00
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 29.3.20,B000020919/63907,BUTLER ROSE,07/05/2020,659.34
HOUSING BENEFIT ADMINISTRATION,OFFICE CONSUMABLES,COVID 19,B000020928/57679,CRITIQOM,12/05/2020,660.55
COVID 19,MATERIALS-DIRECT,SERVICE & REPAIRS,B000020960/63930,CROFT COMMERCIALS TRANSPORT LIMITED,29/05/2020,689.41
HOUSING ADVICE,RENT DEPOSIT SCHEME,ACCOMODATION,B000020954/12122,MAUNDY RELIEF,26/05/2020,700.00
HOUSING BENEFIT ADMINISTRATION,OFFICE CONSUMABLES,COVID 19 PRINTING,B000020928/57679,CRITIQOM,12/05/2020,746.63
MARKETS - OPERATIONS,WATER CHARGES,MARKETS 16.4.20 - 15.05.20,B000020962/8325,WATER PLUS LTD,31/05/2020,774.66
MOT GENERAL,AGENCY STAFF,TEMP STAFF PE 10.05.20,B000020937/61466,AUTOTECH RECRUIT,14/05/2020,800.00
HUMAN RESOURCES,GENERAL SUBSCRIPTIONS,SUBS 2020/2021,B000020958/49172,DISTRICT COUNCILS NETWORK,27/05/2020,808.00
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 12.4.20,B000020919/63907,BUTLER ROSE,07/05/2020,926.63
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 26.04.20,B000020912/46341,MORGAN HUNT UK LTD,05/05/2020,964.08
MOT GENERAL,TRAINING EXPENSES,TEMP STAFF W/E 17.5.20,B000020947/61466,AUTOTECH RECRUIT,20/05/2020,975.00
MOT GENERAL,AGENCY STAFF,TEMP STAFF W/E 3.5.20,B000020947/61466,AUTOTECH RECRUIT,20/05/2020,975.00
MOT GENERAL,TRAINING EXPENSES,TEMP STAFF W/E 24.5.20,B000020960/61466,AUTOTECH RECRUIT,29/05/2020,975.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 10.5.20,B000020946/33923,EDEN BROWN LIMITED,19/05/2020,982.80
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 03.05.20,B000020928/33923,EDEN BROWN LIMITED,12/05/2020,989.63
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 03.05.20,B000020928/46341,MORGAN HUNT UK LTD,12/05/2020,990.86
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF WE 17.05.20,B000020962/46341,MORGAN HUNT UK LTD,31/05/2020,990.86
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF W/E 24.05.20,B000020962/46341,MORGAN HUNT UK LTD,31/05/2020,990.86
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 26.04.20,B000020912/33923,EDEN BROWN LIMITED,05/05/2020,996.45
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF W/E 24.05.20,B000020962/33923,EDEN BROWN LIMITED,31/05/2020,1010.10
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF W/E 17.05.20,B000020962/33923,EDEN BROWN LIMITED,31/05/2020,1010.10
LIBRARY ST DEPOT,ELECTRICITY,CVMU - APRIL 20,B000020945/25200,E.ON UK PLC,19/05/2020,1056.71
VEHICLE MAINT SUPERVISION,FUEL STOCK,GAS OIL ,B000020913/45743,WATSON PETROLEUM,05/05/2020,1088.15
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 24.05.20,B000020963/61657,G2 RECRUITMENT SOLUTIONS,31/05/2020,1088.64
LIBRARY ST DEPOT,WATER CHARGES,WATER CVMU,B000020940/8325,WATER PLUS LTD,15/05/2020,1089.56
LEISURE IN HYNDBURN,ELECTRICITY,MERCER HALL - APRIL 20,B000020945/25200,E.ON UK PLC,19/05/2020,1109.73
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFFP/E 10.05.20,B000020939/61657,G2 RECRUITMENT SOLUTIONS,15/05/2020,1140.00
Corporate Property Bus Unit,AGENCY STAFF,TEMP STAFF W/C 05.05.20,B000020939/58852,OYSTER PARTNERSHIP,15/05/2020,1152.00
REGISTRATION OF ELECTORS,PRINTING,AVSR PRINTING 2020,B000020956/62168,CIVICA ELECTION SERVICES,27/05/2020,1183.46
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 12.4.20 ,B000020913/19414,HEADS RECRUITMENT LIMITED,05/05/2020,1211.76
Corporate Property Bus Unit,AGENCY STAFF,STAFF W/C 27.04.20,B000020919/58852,OYSTER PARTNERSHIP,07/05/2020,1260.00
Corporate Property Bus Unit,AGENCY STAFF,TEMP STAFF W/C 11.5.20,B000020958/58852,OYSTER PARTNERSHIP,27/05/2020,1260.00
GYPSY SITE,ELECTRICITY,GYPSY SITE - APRIL 20,B000020945/25200,E.ON UK PLC,19/05/2020,1264.05
ACC TOWN HALL,ELECTRICITY,ACC TOWN HALL - APRIL 20,B000020945/25200,E.ON UK PLC,19/05/2020,1298.89
MARKETS - OPERATIONS,GENERAL REPAIR & MAINT BLDGS,OFFICE REPAIRS MARKETS,B000020919/59128,GEORGE PEARCE & SONS LTD,07/05/2020,1327.14
MARKETS - OPERATIONS,GENERAL REPAIR & MAINT BLDGS,INSTALL NEW RSD,B000020946/54975,ROLLER SHUTTER SERVICES LTD,19/05/2020,1370.00
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF W/E 26.04.2020,B000020942/55740,RAPID RECRUITMENT LTD,18/05/2020,1389.96
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 17.05.20,B000020962/61657,G2 RECRUITMENT SOLUTIONS,31/05/2020,1440.96
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 24.05.20,B000020963/61657,G2 RECRUITMENT SOLUTIONS,31/05/2020,1450.46
ACCRINGTON CREMATORIUM,NEW EQUIPMENT,MUSIC/MEDIA CHARGES,B000020915/55609,OBITUS (VIVEDIA LTD),06/05/2020,1478.00
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF W/E 03.05.2020,B000020942/55740,RAPID RECRUITMENT LTD,18/05/2020,1490.94
VEHICLE MAINT SUPERVISION,MATERIALS-DIRECT,COMBI UNIT & RADIATOR,B000020937/374,AUTO RADIATORS RISHTON,14/05/2020,1495.00
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF W/E 10.05.2020,B000020942/55740,RAPID RECRUITMENT LTD,18/05/2020,1524.94
CORPORATE PROPERTY,GROUND RENTS,PLACE FIRST RENT ,B000020912/60778,WOODNOOK PHASE 2 LTD,05/05/2020,1526.02
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,RECHARGE CLAYTON CIVIC APR 20,B000020963/29112,HYNDBURN LEISURE,31/05/2020,1600.00
COVID 19,MATERIALS-DIRECT,SERVICE & REPAIRS,B000020960/63930,CROFT COMMERCIALS TRANSPORT LIMITED,29/05/2020,1684.31
SCAITCLIFFE HOUSE,WATER CHARGES,WATER SCAITCLIFEE 10.02.20  -  29.04.20,B000020939/8325,WATER PLUS LTD,15/05/2020,1746.11
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 20.4.20 TO 26.4.20 ,B000020913/55740,RAPID RECRUITMENT LTD,05/05/2020,1749.36
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF W/E 03.05.2020,B000020925/55740,RAPID RECRUITMENT LTD,11/05/2020,1749.36
MARKETS - OPERATIONS,ELECTRICITY,ACC MARKET - APRIL 20,B000020945/25200,E.ON UK PLC,19/05/2020,1794.02
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,JACKHOUSE NATURE RESERVE WORKS,B000020939/58050,PAUL WALSH GROUNDWORK & PLANT HIRE,15/05/2020,1820.00
ACCOUNTANCY,GENERAL SUBSCRIPTIONS,TIS ONLINE 01.4.20 - 31.3.21,B000020936/44171,CIPFA BUSINES LIMITED,14/05/2020,1850.00
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 10.5.20 AND 17.5.20,B000020962/61657,G2 RECRUITMENT SOLUTIONS,31/05/2020,1874.88
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF PE 10.05.20,B000020939/61657,G2 RECRUITMENT SOLUTIONS,15/05/2020,1971.32
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 24.05.20,B000020963/61657,G2 RECRUITMENT SOLUTIONS,31/05/2020,2010.84
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 17.5.20,B000020962/61657,G2 RECRUITMENT SOLUTIONS,31/05/2020,2279.68
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,COVID 19 SOFTWARE CHANGES,B000020954/783,CAPITA BUSINESS SERVICES LTD,26/05/2020,2334.53
MARKETS - OPERATIONS,GENERAL REPAIR & MAINT BLDGS,MARKET HALL REFURB ,B000020919/59128,GEORGE PEARCE & SONS LTD,07/05/2020,2348.00
DEV CONTROL,DEV CONTROL SYSTEM,ACCOMODATION,B000020954/58800,HAYMARKET MEDIA GROUP LTD,26/05/2020,2440.00
LEISURE IN HYNDBURN,ELECTRICITY,SPORTS CENTRE - APRIL 20,B000020945/25200,E.ON UK PLC,19/05/2020,2527.23
WILLOWS LANE DEPOT,LICENCES,INERT WASTE CAT 3 PERMIT 01.04.20 - 31.03.2021,B000020925/59657,ENVIRONMENT AGENCY,11/05/2020,2731.25
SCAITCLIFFE HOUSE,ELECTRICITY,SCAITCLIFFE - APRIL 20,B000020945/25200,E.ON UK PLC,19/05/2020,3126.23
ACCRINGTON CREMATORIUM,MEDICAL REFEREE FEES,MEDICAL REFEREES,B000020915/7171,PEEL HOUSE MEDICAL PRACTICE,06/05/2020,3410.00
CORPORATE PROPERTY,ASSET MAINT R&M,FENCING REAR ASPDEN KENNELS,B000020936/20,A BYRNE FENCING,14/05/2020,3800.00
COMMUNITY SAFETY PARTNERSHIP,CRIME & DISORDER INITIATIVES,CSP FUNDING HBRV CVS HYND INIT,B000020919/1924,HYNDBURN & RIBBLE VALLEY C V S,07/05/2020,4000.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,TEMP ACCOM,B000020954/28199,HILL VIEW (PRIVATE) HOTEL,26/05/2020,4025.00
ARSON REFUSE VEHICLES,HIRED VEHICLE,VEHICLE HIRE APRIL 20 ,B000020913/59171,COLLETT TRANSPORT SERVICES,05/05/2020,4180.00
ARSON REFUSE VEHICLES,HIRED VEHICLE,VEHICLE HIRE APRIL 20 ,B000020913/59171,COLLETT TRANSPORT SERVICES,05/05/2020,4180.00
ARSON REFUSE VEHICLES,HIRED VEHICLE,VEHICLE HIRE APRIL 20 ,B000020913/59171,COLLETT TRANSPORT SERVICES,05/05/2020,4180.00
ARSON REFUSE VEHICLES,HIRED VEHICLE,VEHICLE HIRE APRIL 20 ,B000020913/59171,COLLETT TRANSPORT SERVICES,05/05/2020,4180.00
HUMAN RESOURCES,SUBSIDISED PROFESSIONAL SUBS,SUBS 2020/21,B000020919/6959,NORTH WEST EMPLOYERS,07/05/2020,4281.81
ARSON REFUSE VEHICLES,HIRED VEHICLE,VEHICLE RENTAL APRIL 2020 ,B000020913/59171,COLLETT TRANSPORT SERVICES,05/05/2020,4370.00
"AUDIT, BANK & TREASURY FEES",APPROVED AUDIT FEES,2018/2019 ADDITIONAL COSTS,B000020919/38319,GRANT THORNTON UK LLP,07/05/2020,4500.00
BUILDING CONTROL B.U.,AGENCY STAFF,SUPPORT APR 20,B000020928/55748,CAPITA PROPERTY & INFRASTRUCTURE LTD,12/05/2020,4671.00
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,SHOP RESTORATION GRANT,B000020958/62169,ONE 7 GRP  LTD,27/05/2020,5918.00
PARKS & OPEN SPACES,GRASS CUTTING CONTRACT,GRASS VERGE CUTTING CONTRACT,B000020915/57700,MASTER GROUND SERVICES,06/05/2020,6133.50
CCTV'S,PRIVATE CONTRACTORS WORK,CCTV PUBLIC SPACE MONITORING,B000020915/28873,BLACKBURN WITH DARWEN B.C.,06/05/2020,7497.60
COMPUTER SERVICES,TELEPHONES, 1.4.19- 31.12.19,B000020919/40272,CABLE & WIRELESS,07/05/2020,8122.83
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,SHOP RESTORATION GRANT,B000020958/64188,RETAILCHIC PENSION FUND,27/05/2020,8761.00
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,SHOP RESTORATION GRANT,B000020956/60562,CARERS LINK LANCASHIRE,27/05/2020,14501.00
OTHER SERVICES,SINGLE FUNDING POT,GRANT FUNDING 2020/21,B000020945/60659,CITIZENS ADVICE ROSSENDALE & HYNDBURN LTD,19/05/2020,15000.00
COMPUTER SERVICES,RENTAL & MAINT SOFTWARE MISC,ANNUAL MAINTENANCE TO 01.05.21,B000020919/1553,FRONTIER SOFTWARE PLC,07/05/2020,18262.19
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,MANAGEMENT FEE 2020/2021,B000020912/29112,HYNDBURN LEISURE,05/05/2020,75000.00
COMPUTER SERVICES,RENTAL & MAINT SOFTWARE MISC,ENTERPRISE RENEWAL,B000020919/36434,BYTES SOFTWARE SERVICES LTD,07/05/2020,75195.65
REGENERATION,STRATEGIC HOSUING,LANDLORD LAW,P-CARD- MAY 20,SUBSCRIPTION,23/04/2020,625.00
P & C G,CENTRAL ADMIN,LGG SYSTEMS,P-CARD- MAY 20,HORTICULTURAL SUPPLIES,27/04/2020,680.26
ENVIRONEMNTAL SERVICES,ENVIRONMENTAL HEALTH,CLEARS,P-CARD- MAY 20,FACEMASKS,28/04/2020,1600.00
ENVIRONEMNTAL SERVICES,PARKS,TUDOR ENVIRONMENTAL,P-CARD- MAY 20,COMPOST,04/05/2020,807.25
,BANK CHARGES,NATWEST,32809,ARRANGEMENT FEE - PAYAWY,07/05/2020,8700.00
ENVIRONEMNTAL SERVICES,CVMU,DVLA,P-CARD- MAY 20,VEHICLE TAX,11/05/2020,267.50
P & C G,CENTRAL ADMIN,CLEAR SUPPLIES,P-CARD- MAY 20,PPE SUPPLIES,11/05/2020,4250.00
ENVIRONEMNTAL SERVICES,PARKS,MANAMO VIDA,P-CARD- MAY 20,OUTDOOR DINING SET,12/05/2020,309.98
HOUSING BENEFIT ADMIN,SECURITY SERVICE,G4S  APRIL,32837,G4S CASH SOLUTIONS,18/05/2020,313.96
BANK CHARGES,BANK CHARGES,STREAMLINE,32837,WORLDPAY,19/05/2020,1833.04
BANK CHARGES,BANK CHARGES,STREAMLINE,32837,WORLDPAY,19/05/2020,1249.16
HOUSING BENEFIT ADMIN,SWIPE CARDS,APRIL,32844,ALLPAY.NET LTD,26/05/2020,1172.21

