Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(œ)
COVID 19 Waste Services,HIRED VEHICLE,VEHICLEHIRE 24.8.20 - 21.9.20,B000021413/2062,INTACK SELF DRIVE,02-Dec-20,599.6
PARKS & OPEN SPACES,ASSET MAINT R&M,RHYDDINGS PARK GATE REPAIRS,B000021412/45363,J B I ENGINEERING NW LTD,02-Dec-20,655
COVID 19 Waste Services,PRIVATE CONTRACTORS WORK,WILLOWS LANE DECEMBER 20 CLEANING,B000021413/50873,SERVICEMASTER,02-Dec-20,731.25
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,APPRENTICSHIP - NOV 20,B000021413/60670,FRIENDS OF RHYDDINGS PARK,02-Dec-20,750
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 22.11.20 2 X OPERATIVES GROUNDS MAINTENANCE,B000021413/19414,HEADS RECRUITMENT LIMITED,02-Dec-20,793.18
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,STUMPS AT DILL HALL CEMETERY,B000021414/24202,MARK RIDING TREE SERVICES,02-Dec-20,850
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF WK 9.11.20 P.QUINLAN 21 HOURS,B000021413/58852,OYSTER PARTNERSHIP,02-Dec-20,918.96
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF WK 16.11.20 ,B000021413/58852,OYSTER PARTNERSHIP,02-Dec-20,918.96
TECH. REFRESH (ANNUAL REPLACEM,EQUIPMENT,"MACBOOK, MONITOR, KEYBOARD ",B000021418/52932,INSIGHT DIRECT (UK) LTD,02-Dec-20,1059.18
MARKETS - OPERATIONS,GENERAL REPAIR & MAINT BLDGS,CLEANING OCT 2020,B000021416/50873,SERVICEMASTER,02-Dec-20,1170
MARKETS - OPERATIONS,GENERAL REPAIR & MAINT BLDGS,NOV 2020 CLEANING,B000021416/50873,SERVICEMASTER,02-Dec-20,1170
MARKETS - OPERATIONS,GENERAL REPAIR & MAINT BLDGS,SUPPLIMENTARY CLEANING,B000021416/50873,SERVICEMASTER,02-Dec-20,1170
LEISURE IN HYNDBURN,PROTECTIVE CLOTHING,CONT TO ACTIVE LANCS 20/21,B000021412/60804,ACTIVE LANCASHIRE,02-Dec-20,1500
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 16-11-20 TO 22-11-20 ,B000021413/55740,RAPID RECRUITMENT LTD,02-Dec-20,1884.47
STREET CLEANSING,HIRED VEHICLE,HIRE OF SWEEPER FOR 7 WEEKS,B000021414/6987,DAWSONGROUP SWEEPERS LTD,02-Dec-20,2550
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,LIGHTS FOR TREES,B000021412/2496,LANCASHIRE COUNTY COUNCIL,02-Dec-20,3120
TECH. REFRESH (ANNUAL REPLACEM,EQUIPMENT,VM SPHERE 7 ENTERPRISE PROCESSOR ,B000021418/42067,XICON LIMITED,02-Dec-20,3805.83
TECH. REFRESH (ANNUAL REPLACEM,EQUIPMENT,WATCHGUARD FIREBOX ,B000021418/29231,CLARANET CYBER SECURITY (SEC 1),02-Dec-20,4523.97
REFUSE COLLECTION,NEW CONTAINERS,GREY 240LTR WHEELED BINS ,B000021414/59653,MGB PLASTICS,02-Dec-20,4830
REFUSE COLLECTION,NEW CONTAINERS,BLUE 240LTR WHEELED BINS ,B000021414/59653,MGB PLASTICS,02-Dec-20,4890
NEW FINANCIAL PACKAGE,HARDWARE,CIVICA PAY IMPLEMENTATION SERVICES,B000021417/17209,CIVICA UK LIMITED,02-Dec-20,6000
DEV CONTROL,DEV CONTROL SYSTEM,UPGRADE AND ASSURE.2020.SP,B000021418/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,02-Dec-20,6000
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,24V CONVERSION OF COLUMN SUPPLIES,B000021412/2496,LANCASHIRE COUNTY COUNCIL,02-Dec-20,8500
NEW FINANCIAL PACKAGE,HARDWARE,IIMPLELMENTATION OF SERVICES ,B000021417/17209,CIVICA UK LIMITED,02-Dec-20,9000
COMPUTER SERVICES,RENTAL & MAINT SOFTWARE MISC,ARCSERVE CLOUD BACKUP ,B000021418/36434,BYTES SOFTWARE SERVICES LTD,02-Dec-20,14741.55
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,CIVICA PAY ANNUAL FEES,B000021417/17209,CIVICA UK LIMITED,02-Dec-20,19365
CHRISTMAS DECS & AMENITY COSTS,CHRISTMAS DECORATIONS,HBC XMAS LIGHTS,B000021412/2496,LANCASHIRE COUNTY COUNCIL,02-Dec-20,22000
INDOOR MARKET HALL REDEVELOPMT,CONTRACTOR OTHER,"STALL 5,6,7 WORKS",B000021428/64624,MARTIN ROLFE,04-Dec-20,1200
MARKETS - OPERATIONS,ELECTRICITY,MARKETS,B000021430/59343,EDF ENERGY,05-Dec-20,2428.81
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,490MM DROPLINK X 2,B000021436/1918,HYDRAIR,07-Dec-20,251.52
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,NOZZLE BRACKETS,B000021435/7688,AEBI SCHMIDT UK LTD,07-Dec-20,281.36
VEHICLE MAINT SUPERVISION,EQUIPMNT REPAIR & MAINT,GAS,B000021435/634,BRITISH OXYGEN CO LTD,07-Dec-20,294.9
ACCOUNTANCY,SUBSIDISED PROFESSIONAL SUBS,SUBS 2020/2021,B000021432/58571,CIMA,07-Dec-20,297
VEHICLE MAINT WORK DONE,EQUIPMNT REPAIR & MAINT,2 X VARTA PRO MOTIVE BATTERY,B000021436/60180,CGS BODYWORKS,07-Dec-20,301.3
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/C 01.11.20,B000021431/63907,BUTLER ROSE,07-Dec-20,466.2
VEHICLE MAINT WORK DONE,EQUIPMNT REPAIR & MAINT,LIFT ARM,B000021435/7688,AEBI SCHMIDT UK LTD,07-Dec-20,533.05
VEHICLE MAINT WORK DONE,EQUIPMNT REPAIR & MAINT,COMPRESSION LEG,B000021435/7688,AEBI SCHMIDT UK LTD,07-Dec-20,689.31
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 29.11.20,B000021431/46341,MORGAN HUNT UK LTD,07-Dec-20,743.56
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 29.11.20,B000021431/46341,MORGAN HUNT UK LTD,07-Dec-20,803.4
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 22.11.20,B000021431/55150,VENN GROUP LIMITED,07-Dec-20,925
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021432/61433,JCM STEEL FABRICATIONS LTD,07-Dec-20,936
MOT GENERAL,AGENCY STAFF,TEMP STAFF WK 29.11.20 ,B000021436/61466,AUTOTECH RECRUIT,07-Dec-20,975
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 22.11.20,B000021431/33923,EDEN BROWN LIMITED,07-Dec-20,1010.1
VEHICLE MAINT SUPERVISION,MATERIALS-DIRECT,REAR SAFETY CURTAINS,B000021436/62055,EPIC MEDIA GROUP LIMITED,07-Dec-20,1110
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 29.11.20,B000021432/61657,G2 RECRUITMENT SOLUTIONS,07-Dec-20,1118.16
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 29.11.20,B000021432/61860,VIVID RESOURCING,07-Dec-20,1140
HOUSING ADVICE,AGENCY STAFF,AGENCY STAFF 29.11.20,B000021432/61860,VIVID RESOURCING,07-Dec-20,1255.8
VEHICLE MAINT WORK DONE,EQUIPMNT REPAIR & MAINT,DOOR AND ASSEMBLY,B000021435/1758,GUNN JCB LTD,07-Dec-20,1540.46
DFG Affordable Warmth Grant,CONTRACTOR OTHER,NEW HEATING SYSTEM,B000021432/35745,AGS HEATING & PLUMBING LTD,07-Dec-20,1998
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 29.11.20,B000021432/61657,G2 RECRUITMENT SOLUTIONS,07-Dec-20,2075.84
DFG Affordable Warmth Grant,CONTRACTOR OTHER,NEW HEATING SYSTEM,B000021432/64557,HARRIS HEATING (NW) LTD,07-Dec-20,2245
DFG Affordable Warmth Grant,CONTRACTOR OTHER,NEW HEATING SYSTEM,B000021432/35745,AGS HEATING & PLUMBING LTD,07-Dec-20,2388
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021432/61963,SMART BUILDING SOLUTIONS BLACKBURN LTD,07-Dec-20,3474
DFG Affordable Warmth Grant,CONTRACTOR OTHER,NEW HEATING SYSTEM,B000021432/64557,HARRIS HEATING (NW) LTD,07-Dec-20,4475
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021432/61433,JCM STEEL FABRICATIONS LTD,07-Dec-20,4542
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,SHOP RESTORATION GRANT,B000021432/62169,ONE 7 GRP  LTD,07-Dec-20,57893
COVID 19,PRIVATE CONTRACTORS WORK,CLEANING OAKHILL PARK DECEMBER 20,B000021443/50873,SERVICEMASTER,08-Dec-20,292.5
COVID 19,PRIVATE CONTRACTORS WORK,WILSONS CLEANING DECEMBER 20,B000021443/50873,SERVICEMASTER,08-Dec-20,438.75
TIPPING CHARGES,HIRED VEHICLE,VEHICLE HIRE  30.11.20 ,B000021443/7871,STANLEY BROS TIPPERS LTD,08-Dec-20,450
COVID 19,PRIVATE CONTRACTORS WORK,ACCRINGTON CEMETERY DECEMBER 20,B000021443/50873,SERVICEMASTER,08-Dec-20,585
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,RHYDDINGS PARK CLEANING DECEMBER 20,B000021443/50873,SERVICEMASTER,08-Dec-20,658.13
DOG WARDEN,KENNELING - DAYTIME,KENNELLING FEES  NOVEMBER 2020,B000021443/36271,ASPEN VALLEY BOARDING KENNELS & CATTERY,08-Dec-20,767.86
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF WK 23.11.20 ,B000021443/58852,OYSTER PARTNERSHIP,08-Dec-20,918.96
MOT GENERAL,AGENCY STAFF,TEMP STAFF,B000021442/61466,AUTOTECH RECRUIT,08-Dec-20,975
LCC COVID PREVENTION,AGENCY STAFF,AGENCY STAFF  16-11-20 - 29-11-20 ,B000021443/58023,BUCKINGHAM FUTURES LTD,08-Dec-20,1176
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WASTE SERVICES WK 23.11.20 TO 29.11.20 6 X OPERATIVES,B000021443/55740,RAPID RECRUITMENT LTD,08-Dec-20,2133.79
PARKS & OPEN SPACES,GRASS CUTTING CONTRACT,"GRASS CUTTING PER CONTRACT FINAL INVOICE, HIGHAMS",B000021443/57700,MASTER GROUND SERVICES,08-Dec-20,18180.5
SCAITCLIFFE HOUSE,EQUIPMNT REPAIR & MAINT,MAINTENANCE ON WATER COOLERS,B000021446/16592,SELECT MARKETING NW LTD,09-Dec-20,412
MAINT. OF H'WAYS & CYCLEWAYS,WORK DONE DLO-HIGHWAYS,WEST ACC CYCLEWAY.,B000021446/64886,HOWE2 LANDSCAPE AND TREES LIMITED,09-Dec-20,450
HYNDBURN CEMETERIES,FOOTPATH REPAIRS,GT HARWOOD CEM. SINK HOLE,B000021446/58050,PAUL WALSH GROUNDWORK & PLANT HIRE,09-Dec-20,1070
GREENHOUSE ALLOTMENT IMP PROG,EQUIPMENT ACQUISITION,GREENHOUSES,B000021446/46155,HEARTWORKS ALLOTMENT 2,09-Dec-20,1238
DFG Affordable Warmth Grant,CONTRACTOR OTHER,NEW HEATING SYSTEM,B000021446/64557,HARRIS HEATING (NW) LTD,09-Dec-20,1945
DFG Affordable Warmth Grant,CONTRACTOR OTHER,NEW HEATING SYSTEM,B000021446/64557,HARRIS HEATING (NW) LTD,09-Dec-20,1945
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021446/7874,STANNAH LIFT SERVICES LIMITED,09-Dec-20,4751
Welfare & Storage Gt Hwd Cem,CONTRACTOR OTHER,G-H CEM WELFARE CABIN,B000021446/64986,UNIVERSAL CONTAINER SERVICES LTD,09-Dec-20,5572.5
BUILDING CONTROL B.U.,GRASS CUTTING CONTRACT,TEMP STAFF,B000021446/55748,CAPITA PROPERTY & INFRASTRUCTURE LTD,09-Dec-20,7077.6
COVID 19,GRANTS,SUPPLIES & FOOD GRANT 2020 / 21,B000021448/12122,MAUNDY RELIEF,09-Dec-20,25536.4
COVID 19,GRANTS,FOOD & SUPPLIES DEC 20 ,B000021448/12122,MAUNDY RELIEF,09-Dec-20,25536.4
VEHICLE MAINT SUPERVISION,FUEL ADDITIVES,AD BLUE SOLUTIONS 1000LTRS,B000021450/47016,J E MORTEN LTD,10-Dec-20,260
MERCER SKATE PARK PROJECT,MISCELLANEOUS,RETENTION FEE 2.5%,B000021450/61746,LESLIE LIPTON LTD,10-Dec-20,2804.25
ENVIRONMENTAL PROTECTION TEAM,VETS COSTS,"INSPECT KENNELS FOR DOGGY DAY CARE , RED SHELL LANE",B000021455/8090,MEARLEY VETERINARY GROUP,11-Dec-20,275.3
ACCOUNTANCY,ADVERTISING,ADVERTISING,B000021455/64700,POINT THIRTEEN MEDIA LTD,11-Dec-20,500
LEISURE IN HYNDBURN,GRANTS-GENERAL,CONTR TO ARMED FORCES FITNESS  JUL TO NOV 20,B000021455/29112,HYNDBURN LEISURE,11-Dec-20,513.5
ACCOUNTANCY,ADVERTISING,ADVERTISING,B000021455/64700,POINT THIRTEEN MEDIA LTD,11-Dec-20,550
PARKS & OPEN SPACES,ELECTRICITY,COMMUNITY HUB NOV 20,B000021455/59343,EDF ENERGY,11-Dec-20,582.78
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021455/24239,GREAT HARWOOD WINDOWS LTD,11-Dec-20,830
LEISURE IN HYNDBURN,ELECTRICITY,MERCER HALL NOV 20,B000021455/59343,EDF ENERGY,11-Dec-20,1095.69
ACC TOWN HALL,ELECTRICITY,ATH NOV 20,B000021455/59343,EDF ENERGY,11-Dec-20,1297.98
LIBRARY ST DEPOT,ELECTRICITY,CVMU NOV 20,B000021455/59343,EDF ENERGY,11-Dec-20,1562.17
GYPSY SITE,ELECTRICITY,GYPSY SITE NOV 20,B000021455/59343,EDF ENERGY,11-Dec-20,1796.07
MARKETS - OPERATIONS,ELECTRICITY,ACC MARKET NOV 20,B000021455/59343,EDF ENERGY,11-Dec-20,2232.45
ENVIRONMENTAL PROTECTION TEAM,OTHER FEES,THI MAINTENANCE GUIDE,B000021455/62122,FRANCIS ROBERTS ARCHITECTS,11-Dec-20,4320
LEISURE IN HYNDBURN,ELECTRICITY,SPORTS CENTRE NOV 20,B000021455/59343,EDF ENERGY,11-Dec-20,4674.55
MARKETS - OPERATIONS,WATER CHARGES,PUBLIC CON PEEL STREET,B000021460/8325,WATER PLUS LTD,12-Dec-20,383.86
MARKETS - OPERATIONS,GENERAL REPAIR & MAINT BLDGS,SUP CLEANING DEC 20,B000021460/50873,SERVICEMASTER,12-Dec-20,1170
CORPORATE PROPERTY,ASSET MAINT R&M,ANNUAL SERVICE,B000021465/55910,LANCASHIRE CLOCKMAKERS,14-Dec-20,255
MARKETS - OPERATIONS,ASSET MAINT R&M,FAULT WITH PUSH BUTTONS,B000021465/54975,ROLLER SHUTTER SERVICES LTD,14-Dec-20,257.5
LEISURE IN HYNDBURN,ASSET MAINT R&M,ASBESTOS MGT PLAN,B000021465/59301,CONSULTANTS & SPEC SURVEYORS LTD,14-Dec-20,455
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,CLEARING TRASH SCREENS,B000021465/28458,MARCHBRIDGE BUILDERS LTD,14-Dec-20,496.85
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF P/E 06.12.20,B000021465/61860,VIVID RESOURCING,14-Dec-20,1064
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF W/E 6.12.20,B000021465/61657,G2 RECRUITMENT SOLUTIONS,14-Dec-20,1129.32
HOUSING ADVICE,AGENCY STAFF,TEMP STAFF W/E 6.12.20,B000021465/61860,VIVID RESOURCING,14-Dec-20,1264.43
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF W/E 4.12.20,B000021465/61657,G2 RECRUITMENT SOLUTIONS,14-Dec-20,2067
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,REPAIRS TO SINK HOLE AT ALTHAM,B000021465/28458,MARCHBRIDGE BUILDERS LTD,14-Dec-20,2430.98
FIRE RISK ASSESS WORKS VARIOUS,CONTRACTOR OTHER,NEW EMERGENCY LIGHTING ,B000021465/57949,STEVEN MERCER ELECTRICAL,14-Dec-20,3629
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,PART PAYMENT INVOICE,B000021463/52885,ACORN COMMUNITY NEWS,14-Dec-20,6000
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021465/7874,STANNAH LIFT SERVICES LIMITED,14-Dec-20,6338
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021465/34573,MR R WILCOCK,14-Dec-20,15000
CORPORATE PROPERTY,ASSET MAINT R&M,ASBESTOS INSPEACTION - HIPPINGS VALE,B000021470/59301,CONSULTANTS & SPEC SURVEYORS LTD,15-Dec-20,345
HAWORTH ART GALLERY,ASSET MAINT R&M,ASBESTOS INSPEACTION - HAG,B000021470/59301,CONSULTANTS & SPEC SURVEYORS LTD,15-Dec-20,455
PORTABLE CAMERAS,EQUIPMENT ACQUISITION,CCTV CAMERAS,B000021470/49170,PEEL RESIDENTS GROUP,15-Dec-20,537
LEISURE IN HYNDBURN,ASSET MAINT R&M,ASBESTOS INSPECTION - A.T.H,B000021470/59301,CONSULTANTS & SPEC SURVEYORS LTD,15-Dec-20,670
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ACCOMMODATION 14.10.20-20.10.20,B000021470/28199,HILL VIEW (PRIVATE) HOTEL,15-Dec-20,690
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF W/E 22.11.20,B000021470/61860,VIVID RESOURCING,15-Dec-20,1064
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ACCOMMODATION 5.8.20 - 31.8.20,B000021470/28199,HILL VIEW (PRIVATE) HOTEL,15-Dec-20,2340
DEVELOPMENT,CONTBN HYNDBURN HOMEWISE,HOME IMP SERVICE - OCT- DEC 20,B000021470/1957,HOMEWISE SOCIETY LTD,15-Dec-20,6233.13
PARKS & OPEN SPACES,EQUIPMNT REPAIR & MAINT,MOWER REPAIRS,B000021478/64273,BRIGGS AND SON MOWER SERVICES,16-Dec-20,264.97
PARKS & OPEN SPACES,PLAYGROUND REPAIRS,SIMULATOR SEAT FOR MILNSHAW ,B000021480/8506,WICKSTEED LEISURE LIMITED,16-Dec-20,279.8
VEHICLE MAINT SUPERVISION,MATERIALS-DIRECT,OIL,B000021478/59186,SAR LUBRICANTS,16-Dec-20,291.1
HYNDBURN CEMETERIES,PROTECTIVE CLOTHING,PPE ACCRINGTON CEMETERY ,B000021477/666,"BUBBLES, BRUSHES & WIPER CO LTD",16-Dec-20,298.76
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 13.2.20,B000021481/63907,BUTLER ROSE,16-Dec-20,302.1
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 6.12.20,B000021481/63907,BUTLER ROSE,16-Dec-20,321.9
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 13.12.20,B000021481/63907,BUTLER ROSE,16-Dec-20,410.7
HOUSING BENEFIT ADMINISTRATION,OFFICE CONSUMABLES,ANNUAL MTCE,B000021481/16592,SELECT MARKETING NW LTD,16-Dec-20,412
HUMAN RESOURCES,TRAINING EXPENSES,EXAMINATION AND TEST ,B000021477/8066,FEDERATION OF BURIAL & CREMATION AUTHORITIES,16-Dec-20,500
MARKETS - OPERATIONS,ASSET MAINT R&M,MARKET  BUTCHERS CAFE FILTERS,B000021475/56939,AFFORDABLE BAR & CATERING EQUIPMENT DIRECT,16-Dec-20,540
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,DRAG LINK ASSEMBLY,B000021478/1164,DENNIS EAGLE LIMITED,16-Dec-20,576.28
MARKETS - OPERATIONS,ASSET MAINT R&M,ASBESTOS RE INSPECTION,B000021475/59301,CONSULTANTS & SPEC SURVEYORS LTD,16-Dec-20,620
CORPORATE PROPERTY,HORSE REMOVAL FRM COUNCIL LAND,BAILIFF SERVICES ,B000021475/65028,SPECIALIST & EQUINE BAILIFFS LTD,16-Dec-20,750
COVID 19,HIRED VEHICLE,VEHICLE RENTAL 14.11.20-12.12.20 VAUXHALL DL16 UBE,B000021477/2062,INTACK SELF DRIVE,16-Dec-20,819.17
INSURANCES,EXCESS PAYMENTS,EXCESS PAYMENT,B000021477/27428,SUMMIT AUTO BODIES,16-Dec-20,829.4
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF W/E 29.11.20,B000021475/55150,VENN GROUP LIMITED,16-Dec-20,837.5
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WC 6.12.20 ,B000021477/19414,HEADS RECRUITMENT LIMITED,16-Dec-20,877.93
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF W/E 04.12.20,B000021475/46341,MORGAN HUNT UK LTD,16-Dec-20,923.04
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 6.12.20,B000021481/55150,VENN GROUP LIMITED,16-Dec-20,925
MOT GENERAL,AGENCY STAFF,TEMP STAFF,B000021478/61466,AUTOTECH RECRUIT,16-Dec-20,975
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF W/E 06.12.20,B000021475/46341,MORGAN HUNT UK LTD,16-Dec-20,990.86
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF W/E 06.12.20,B000021475/33923,EDEN BROWN LIMITED,16-Dec-20,1010.1
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF W/E 29.11.20,B000021475/33923,EDEN BROWN LIMITED,16-Dec-20,1010.1
ACCOUNTANCY,R & M HARDWARE LINK COSTS,9 X HP E223 MONITORS ,B000021482/52932,INSIGHT DIRECT (UK) LTD,16-Dec-20,1084.68
ACC TOWN HALL,ASSET MAINT R&M,ASBESTOS RE INSPECTION,B000021475/59301,CONSULTANTS & SPEC SURVEYORS LTD,16-Dec-20,1320
ACCRINGTON CREMATORIUM,VISUAL TRIBUTES,MEDIA  TRIBUTES ACCRINGTON CREMATORIUM,B000021477/55609,OBITUS (VIVEDIA LTD),16-Dec-20,1733
MARKETS - OPERATIONS,ASSET MAINT R&M,OVER DOOR HEATERS,B000021475/56939,AFFORDABLE BAR & CATERING EQUIPMENT DIRECT,16-Dec-20,1832.5
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 22.11.20,B000021475/61657,G2 RECRUITMENT SOLUTIONS,16-Dec-20,2066.48
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 30.11.20 ,B000021477/55740,RAPID RECRUITMENT LTD,16-Dec-20,2523.36
COMPUTER SERVICES,TELEPHONES,1.7.20 TO 30.9.20,B000021481/40272,CABLE & WIRELESS,16-Dec-20,2707.61
CORPORATE PROPERTY,ASSET MAINT R&M,CLEANING OF WAR MEMORIALS,B000021475/27030,LIGHTING AND BUILDING SERVICES LTD,16-Dec-20,3850
DEVELOPMENT,FEES-ANALYSTS & CONSULTANTS,PHAE 1 CONCRETE SURVEYS ,B000021475/64622,MAX ASSOCIATES (HOLDINGS) LIMITED,16-Dec-20,4050
BOLTON AVENUE PLAY AREA,CONTRACTOR OTHER,SEE SAW,B000021480/30689,SUTCLIFFE PLAY LTD,16-Dec-20,4225.28
BOLTON AVENUE PLAY AREA,CONTRACTOR OTHER,PLAY AREA EQPT,B000021477/60721,GROUNDWORK & LEISURE SERVICES LTD,16-Dec-20,7185
CHRISTMAS TREE LIGHTS(HUNCOAT),EQUIPMENT ACQUISITION,CHRISTMAS TREES,B000021497/62472,DIANE SAUNDERS,21-Dec-20,260
LEISURE IN HYNDBURN,ASSET MAINT R&M,TOWN HALL LIFT CALL OUTS OCT 20,B000021501/64522,R J LIFT SERVICES LTD,21-Dec-20,397.5
LOCAL TAXATION,LEGAL FEES,DEBT COLLECTION,B000021501/64270,MARSTON (HOLDINGS) LIMITED,21-Dec-20,527
MARKETS - OPERATIONS,ASSET MAINT R&M,MARKET HALL  AUTO DOORS ,B000021498/37111,AUTOMATIC DOOR COMPANY,21-Dec-20,533
BUILDING CONTROL B.U.,SUBSIDISED PROFESSIONAL SUBS,PROF FEES ,B000021495/35163,RICS,21-Dec-20,539
LOCAL TAXATION,LEGAL FEES,DEBT COLLECTION,B000021501/64270,MARSTON (HOLDINGS) LIMITED,21-Dec-20,565.09
SYRIAN RESETTLEMENT PROGRAMME,VOID COSTS,RENT  02.10.20 - 6.12.20 ,B000021501/61245,ONWARD HOMES,21-Dec-20,765.54
