Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
REGN - Regeneration & Housing,FAB - Facilities,Repairs to toilets - Milnshaw,1,CRINV0001575,Pilkington Bros (Church) Ltd,03/05/2024,424.68
REGN - Regeneration & Housing,FAC - Haworth Art Gallery,Greetings Cards and coasters,1,CRINV0001579,Moongazer Cards Ltd,03/05/2024,342.00
LEGL - Legal & Democratic,DAG - Elections,Portable Toilets for Election,1,CRINV0001592,Portable Toilet Company Ltd,03/05/2024,883.20
ENVS - Environmental Services,CAE - Waste Services,Temp staff w/e 14.4.24 ,1,CRINV0001599,Rapid Recruitment Ltd,03/05/2024,697.97
REGN - Regeneration & Housing,FAB - Facilities,Fault at Acc Town Hall,1,CRINV0001600,Full Circuit Fire & Security Ltd,03/05/2024,301.09
RESO - Resources,AAF - Finance,Audit Fees 2020/2021,1,CRINV0001603,Mazars LLP,03/05/2024,"9,600.00"
REGN - Regeneration & Housing,FAB - Facilities,Period: 01-Mar-24 to 31-Mar-24,1,CRINV0001612,"SSE - 8700277599 Christmas Lighting, Facilities",03/05/2024,"2,257.39"
REGN - Regeneration & Housing,FAB - Facilities,Period: 30-Nov-23 to 30-Mar-24,1,CRINV0001613,SSE - 8700282370 Oswaldtwistle Civic Theatre,03/05/2024,"2,877.62"
REGN - Regeneration & Housing,FAB - Facilities,Period: 30.11.23 to 30.3.24,2,CRINV0001613,SSE - 8700282370 Oswaldtwistle Civic Theatre,03/05/2024,129.61-
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Accrington Market Hall,1,CRINV0001615,Keyplus Security Ltd,03/05/2024,403.01
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Brian Walmsley,2,CRINV0001615,Keyplus Security Ltd,03/05/2024,403.01
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Bullough Park,3,CRINV0001615,Keyplus Security Ltd,03/05/2024,403.01
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Dill Hall Cem,4,CRINV0001615,Keyplus Security Ltd,03/05/2024,387.50
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - CVMU,5,CRINV0001615,Keyplus Security Ltd,03/05/2024,403.01
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Cannon St,6,CRINV0001615,Keyplus Security Ltd,03/05/2024,403.01
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Elmfield Hall,7,CRINV0001615,Keyplus Security Ltd,03/05/2024,403.01
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Acc Cem Office,8,CRINV0001615,Keyplus Security Ltd,03/05/2024,403.01
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Acc Crematorium,9,CRINV0001615,Keyplus Security Ltd,03/05/2024,403.01
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Great Harwood Cem,10,CRINV0001615,Keyplus Security Ltd,03/05/2024,403.01
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Scaitcliffe House,11,CRINV0001615,Keyplus Security Ltd,03/05/2024,387.50
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Acc Cem Service Building,12,CRINV0001615,Keyplus Security Ltd,03/05/2024,387.50
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - King Georges Pavilion,13,CRINV0001615,Keyplus Security Ltd,03/05/2024,403.01
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Lowerfold,14,CRINV0001615,Keyplus Security Ltd,03/05/2024,387.50
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Memorial Pavilion,15,CRINV0001615,Keyplus Security Ltd,03/05/2024,387.50
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Mercer House,16,CRINV0001615,Keyplus Security Ltd,03/05/2024,387.50
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Milnshaw Pavilion,17,CRINV0001615,Keyplus Security Ltd,03/05/2024,403.01
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Oakhill Park,18,CRINV0001615,Keyplus Security Ltd,03/05/2024,387.50
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Ranger Street,19,CRINV0001615,Keyplus Security Ltd,03/05/2024,403.01
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Rhyddings Service Building,20,CRINV0001615,Keyplus Security Ltd,03/05/2024,403.01
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Rhyddings Coach House,21,CRINV0001615,Keyplus Security Ltd,03/05/2024,387.50
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Willows Lane,22,CRINV0001615,Keyplus Security Ltd,03/05/2024,403.01
REGN - Regeneration & Housing,FAB - Facilities,Key Plus Security - Annual Key Holding 2024 - Wilsons,23,CRINV0001615,Keyplus Security Ltd,03/05/2024,387.50
REGN - Regeneration & Housing,FAB - Facilities,"Key Plus Security - Annual Key Holding 2024 - Unit 18, Peel Street",24,CRINV0001615,Keyplus Security Ltd,03/05/2024,29.81
REGN - Regeneration & Housing,FAB - Facilities,"Key Plus Security - Annual Key Holding 2024 - Unit 19, Peel Street",25,CRINV0001615,Keyplus Security Ltd,03/05/2024,29.81
ENVS - Environmental Services,CAA - Environmental Maintenance,Willows Lane CCTV Monitoring and Maintenance,1,CRINV0001632,Blackburn With Darwen Borough Council,03/05/2024,"2,597.76"
ENVS - Environmental Services,CAA - Environmental Maintenance,Cemetery Depot CCTV Monitoring and Maintenance,2,CRINV0001632,Blackburn With Darwen Borough Council,03/05/2024,"1,298.88"
ENVS - Environmental Services,CAA - Environmental Maintenance,Rhyddings Park CCTV Monitoring and Maintenance,3,CRINV0001632,Blackburn With Darwen Borough Council,03/05/2024,"1,298.88"
ENVS - Environmental Services,CAF - CVMU,Charges - 27.03.24 - 26.04.24,1,CRINV0001643,Water Plus - 4206400451 CVMU,03/05/2024,367.99
REGN - Regeneration & Housing,FAB - Facilities,Charges - 20.08.23 - 30.09.23,1,CRINV0001648,"SSE - 8700415877 Aged Persons Centre, Harvey St",03/05/2024,257.32
LEGL - Legal & Democratic,DAB - Human Resources,Domestic Homicide Review costs for Chair.,1,CRINV0001669,Safeguarding & Investigation Solutions Ltd,03/05/2024,"5,139.50"
RESO - Resources,AAF - Finance,"Additional Account Fee, Credit Card Trans, Debit Card Trans, Post Office Trans, Paypoint Trans, Webconnect Monthly Charge",1,CRINV0001681,Allpay Ltd,03/05/2024,926.77
RESO - Resources,AAF - Finance,Merchant Card Processing Statement 01/03/24 - 31/03/24,1,CRINV0001704,Lloyds Bank Cardnet,03/05/2024,"1,843.88"
REGN - Regeneration & Housing,FAB - Facilities, Remedial works: Oakhill Park Bowls Pavilion ,1,CRINV0001285,BES Group Electrical Limited,07/05/2024,520.20
RESO - Resources,AAF - Finance,Subs - 1.4.24 to 31.3.24 ,1,CRINV0001341,CIPFA Business Limited,07/05/2024,"4,260.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Buriel Services - March 24,1,CRINV0001397,James O Garnett Ltd,07/05/2024,"2,340.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant AGW 30 ,1,CRINV0001402,Rhea Projects,07/05/2024,"7,000.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warth Grant AWG 168 ,1,CRINV0001404,Mccallott Windows,07/05/2024,"5,195.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Clear all rain water gullies,1,CRINV0001409,L D Dirt Warriors Ltd,07/05/2024,380.00
REGN - Regeneration & Housing,FAB - Facilities,Fit new main control panel transformer,1,CRINV0001430,R J Lift Services Ltd,07/05/2024,"1,148.62"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Community engagement work RE Great Harwood Memorial Park,1,CRINV0001483,Proffits Investing In Communities,07/05/2024,"3,600.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,Emergeny works Gran,1,CRINV0001578,Benjamin Forshaw,07/05/2024,"6,200.00"
RESO - Resources,AAB - Benefits & Customer Contact,NNDR1 and NNDR3 Software Charges,1,CRINV0001589,Capita  Business Services Ltd,07/05/2024,"3,605.18"
ENVS - Environmental Services,CAA - Environmental Maintenance,VAT Only - Legal Fees,1,CRINV0001602,FIELDFISHER LLP,07/05/2024,"1,001.32"
ENVS - Environmental Services,CAA - Environmental Maintenance,Town Hall Cabins Electricity - 05/10/2024 - 31/03/2024,1,CRINV0001645,Smartest Energy - 100011736903 77-79 Blackburn Rd,07/05/2024,"1,562.29"
LEGL - Legal & Democratic,DAD - Management Legal & Dem,Grant agreement  - uk shared prosperity fund,1,CRINV0001087,Hyndburn Leisure,09/05/2024,"121,731.00"
LEGL - Legal & Democratic,DAD - Management Legal & Dem,Grant agreement relating to Uk Shared Prosperity Fund,2,CRINV0001087,Hyndburn Leisure,09/05/2024,"55,565.00"
LEGL - Legal & Democratic,DAD - Management Legal & Dem,Grant agreement - Employment of Head of Culture & Heritage,1,CRINV0001088,Hyndburn Leisure,09/05/2024,"55,556.00"
RESO - Resources,AAF - Finance,Lancashire Business Rates Pool 23/24,1,CRINV0001407,Ribble Valley Borough Council,09/05/2024,"2,181.82"
RESO - Resources,AAF - Finance,Lancashire Business Rates Pool 23/24,2,CRINV0001407,Ribble Valley Borough Council,09/05/2024,"153,859.25"
RESO - Resources,AAD - ICT,Monthly charges - 19.03.24 - 18.04.24,1,CRINV0001462,EE Limited,09/05/2024,"2,975.13"
RESO - Resources,AAD - ICT,Monthly Charges - 19.03.24 - 18.04.24,2,CRINV0001462,EE Limited,09/05/2024,16.00
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant ,1,CRINV0001597,Mccallott Windows,09/05/2024,"2,568.00"
RESO - Resources,AAD - ICT,"EE Phone/Tablets Bill A/C
  75782744 Period 19/04/24 to 18/05/24",1,CRINV0001617,EE Limited,09/05/2024,223.20
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,2,CRINV0001617,EE Limited,09/05/2024,24.00
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,3,CRINV0001617,EE Limited,09/05/2024,238.78
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,4,CRINV0001617,EE Limited,09/05/2024,194.18
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,5,CRINV0001617,EE Limited,09/05/2024,151.50
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,6,CRINV0001617,EE Limited,09/05/2024,117.97
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,7,CRINV0001617,EE Limited,09/05/2024,117.58
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,8,CRINV0001617,EE Limited,09/05/2024,105.46
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,9,CRINV0001617,EE Limited,09/05/2024,103.42
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,10,CRINV0001617,EE Limited,09/05/2024,95.88
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,11,CRINV0001617,EE Limited,09/05/2024,95.88
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,12,CRINV0001617,EE Limited,09/05/2024,95.28
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,13,CRINV0001617,EE Limited,09/05/2024,94.67
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,14,CRINV0001617,EE Limited,09/05/2024,91.26
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,15,CRINV0001617,EE Limited,09/05/2024,88.68
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,16,CRINV0001617,EE Limited,09/05/2024,81.66
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,17,CRINV0001617,EE Limited,09/05/2024,76.33
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,18,CRINV0001617,EE Limited,09/05/2024,67.10
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,19,CRINV0001617,EE Limited,09/05/2024,61.12
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,20,CRINV0001617,EE Limited,09/05/2024,50.84
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,21,CRINV0001617,EE Limited,09/05/2024,50.33
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,22,CRINV0001617,EE Limited,09/05/2024,50.33
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,23,CRINV0001617,EE Limited,09/05/2024,50.33
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,24,CRINV0001617,EE Limited,09/05/2024,50.33
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,25,CRINV0001617,EE Limited,09/05/2024,50.33
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,26,CRINV0001617,EE Limited,09/05/2024,48.00
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,27,CRINV0001617,EE Limited,09/05/2024,45.55
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,28,CRINV0001617,EE Limited,09/05/2024,43.15
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,29,CRINV0001617,EE Limited,09/05/2024,40.94
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,30,CRINV0001617,EE Limited,09/05/2024,39.56
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,31,CRINV0001617,EE Limited,09/05/2024,34.12
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,32,CRINV0001617,EE Limited,09/05/2024,33.55
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,33,CRINV0001617,EE Limited,09/05/2024,33.55
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,34,CRINV0001617,EE Limited,09/05/2024,33.55
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,35,CRINV0001617,EE Limited,09/05/2024,32.36
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,36,CRINV0001617,EE Limited,09/05/2024,31.33
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,37,CRINV0001617,EE Limited,09/05/2024,28.78
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,38,CRINV0001617,EE Limited,09/05/2024,28.78
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,39,CRINV0001617,EE Limited,09/05/2024,28.78
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,40,CRINV0001617,EE Limited,09/05/2024,28.78
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,41,CRINV0001617,EE Limited,09/05/2024,27.56
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,42,CRINV0001617,EE Limited,09/05/2024,27.56
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,43,CRINV0001617,EE Limited,09/05/2024,24.00
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,44,CRINV0001617,EE Limited,09/05/2024,24.00
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,45,CRINV0001617,EE Limited,09/05/2024,12.00
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,46,CRINV0001617,EE Limited,09/05/2024,12.00
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,47,CRINV0001617,EE Limited,09/05/2024,12.00
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,48,CRINV0001617,EE Limited,09/05/2024,10.79
RESO - Resources,AAD - ICT,EE Phone/Tablets Bill A/C 75782744 Period 19/04/24 to 18/05/24,49,CRINV0001617,EE Limited,09/05/2024,10.79
ENVS - Environmental Services,CAD - Town Centre & Markets,Leaflets,1,CRINV0001620,J P P Media Limited,09/05/2024,540.00
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant  ,1,CRINV0001666,Rhea Projects,09/05/2024,"2,520.00"
ENVS - Environmental Services,CAF - CVMU,7.5 tonne box van,1,CRINV0001730,Lancashire Leyland Daf Ltd,09/05/2024,"82,618.80"
ENVS - Environmental Services,CAF - CVMU,7.5 tonne box van,1,CRINV0001731,Lancashire Leyland Daf Ltd,09/05/2024,"82,618.80"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Grass cutting of Highway Verges,1,CRINV0001733,Grounds Gardens & Trees Ltd,09/05/2024,"21,631.34"
ENVS - Environmental Services,CAC - Parks & Cemeteries,AB41/50 Padlock ,1,CRINV0001734,Powell Hardware Ltd,09/05/2024,473.76
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp Staff - w/c 18.03.24,1,CRINV0001738,Proman Supply Chain Ltd,09/05/2024,736.63
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp Satff,2,CRINV0001738,Proman Supply Chain Ltd,09/05/2024,736.63
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp Stafff-w/c 18.03.24,3,CRINV0001738,Proman Supply Chain Ltd,09/05/2024,642.19
ENVS - Environmental Services,CAC - Parks & Cemeteries,"Various safety footwear / jackets , gloves, sweatshirts, polo shirts, trousers",1,CRINV0001739,"Bubbles, Brushes & Wiper Co Ltd",09/05/2024,"2,577.71"
ENVH - Environmental Health,BAA - Housing Standards,Agency Staff - W/C 19th Feb 2024,1,CRINV0001742,G2 Recruitment Solutions,09/05/2024,"2,083.74"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional Services ,1,CRINV0001109,Rider Levett Bucknall Uk Ltd,14/05/2024,"4,400.01"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional Services,2,CRINV0001109,Rider Levett Bucknall Uk Ltd,14/05/2024,"4,399.99"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional Services ,3,CRINV0001109,Rider Levett Bucknall Uk Ltd,14/05/2024,"4,400.00"
RESO - Resources,AAC - Chief Executive,LGA Membership Subs 2024-25,1,CRINV0001223,Local Government Association,14/05/2024,"10,899.03"
PLAN - Planning & Transportation,EAA - Building Control,"Agency staff - w/c 08.04.24, 11.04.24, 12.04.24 ",1,CRINV0001354,BRG Interim Solutions,14/05/2024,"1,752.35"
RESO - Resources,AAD - ICT,Installation of IT Infrastructure ,1,CRINV0001400,T I S Ltd,14/05/2024,576.00
LEGL - Legal & Democratic,DAB - Human Resources,Marketing - Payment 1,1,CRINV0001401,Scott Dawson Advertising Ltd,14/05/2024,"7,200.00"
LEGL - Legal & Democratic,DAB - Human Resources,Marketing - 1st Payment,2,CRINV0001401,Scott Dawson Advertising Ltd,14/05/2024,"4,800.00"
PLAN - Planning & Transportation,EAD - Planning,Temp staff W/E 14.4.24,1,CRINV0001413,Carrington West Limited,14/05/2024,"1,568.26"
PLAN - Planning & Transportation,EAD - Planning,Temp Staff W/C 8.4.24,1,CRINV0001418,Oyster Partnership,14/05/2024,"2,428.20"
PLAN - Planning & Transportation,EAD - Planning,Temp staff W/E 14.4.24,1,CRINV0001421,Macdonald & Company,14/05/2024,"1,750.70"
PLAN - Planning & Transportation,EAD - Planning,Temp staff W/E 14.4.24 ,1,CRINV0001422,Macdonald & Company,14/05/2024,"1,747.20"
PLAN - Planning & Transportation,EAD - Planning,Job Advert,1,CRINV0001455,Planningjobs.Com Limited,14/05/2024,954.00
ENVH - Environmental Health,BAB - Environmental Protection,Agency staff - w/e 14.04.24,1,CRINV0001464,Vivid Resourcing,14/05/2024,465.00
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 08.04.24 ,1,CRINV0001465,Oyster Partnership,14/05/2024,"1,279.20"
REGN - Regeneration & Housing,FAB - Facilities,Oakhill Park bowling  Replacement floors to kitchen & wc,1,CRINV0001479,Pilkington Bros (Church) Ltd,14/05/2024,"7,390.29"
REGN - Regeneration & Housing,FAB - Facilities, Dill Hall Lane Cemetery - works to W/C`s ,1,CRINV0001481,Pilkington Bros (Church) Ltd,14/05/2024,"4,265.08"
RESO - Resources,AAG - Management Resources,Community Chest Grant - CC028,1,CRINV0001484,Hyndburn Food Pantry,14/05/2024,750.00
RESO - Resources,AAG - Management Resources,Community Chest Grant - CC029,1,CRINV0001486,Hyndburn Food Pantry,14/05/2024,750.00
