Department Area,,Service Area,,Description,,,Line,,HBC Ref No.,,Name:  ,,,Payment Date,,Amount Paid
ENVS - Environmental Services,,CAD - Town Centre & Markets,,water Market Hall 26.04.25 - 25.05.25,,,1,,CRINV0011005,,Water Plus - 4083296151 Market Hall,,,03/06/2025,,911.27
ENVS - Environmental Services,,CAD - Town Centre & Markets,,Late Fees,,,2,,CRINV0011005,,Water Plus - 4083296151 Market Hall,,,03/06/2025,,70.00
PLAN - Planning & Transportation,,EAA - Building Control,,Agency staff - w/e 23.05.25,,,1,,CRINV0011008,,Deekay Tech Recruitment Ltd,,,03/06/2025,,"1,198.25"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Monthly Doc Charges,,,1,,CRINV0011013,,Minster Cleaning Services,,,03/06/2025,,"1,478.22"
RESO - Resources,,AAG - Management Resources,,Hyndburn Leisure Centre SPSF - Phase 1,,,1,,CRINV0011031,,Alliance Leisure Services Limited,,,03/06/2025,,"274,770.38"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Professional Charges - Construction Advice,,,1,,CRINV0011046,,Womble Bond Dickinson (Uk) LLP,,,03/06/2025,,262.96
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Professional Charges - Construction Advice,,,2,,CRINV0011046,,Womble Bond Dickinson (Uk) LLP,,,03/06/2025,,262.96
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Professional Charges - Construction Advice,,,3,,CRINV0011046,,Womble Bond Dickinson (Uk) LLP,,,03/06/2025,,262.96
RESO - Resources,,AAG - Management Resources,,CAF 35 Grant,,,1,,CRINV0011049,,Accrington Community Events,,,03/06/2025,,"10,000.00"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation May 25,,,1,,CRINV0011064,,Rosehill Hotel,,,03/06/2025,,"2,790.00"
REGN - Regeneration & Housing,,FAB - Facilities,,4no. wireless smoke detector and bases ,,,1,,CRPOI0010492,,Full Circuit Fire & Security Ltd,,,03/06/2025,,693.02
REGN - Regeneration & Housing,,FAB - Facilities,,"Oakhill Park Service Building
1 x replacement of corrupted fire alarm panel
1 x upload devices into system
1 x reconfigure
Replacement Fire panel",,,1,,CRPOI0010498,,Full Circuit Fire & Security Ltd,,,03/06/2025,,"1,838.00"
RESO - Resources,,AAF - Finance,,Treasury Retainer Contract,,,1,,CRPOI0010501,,Link Group,,,03/06/2025,,"10,680.00"
REGN - Regeneration & Housing,,FAB - Facilities,,"Willows Lane
Remove and dispose of existing damaged roller shutter motor.
Provide and fit new 120 nm roller shutter motor.
Remove and dispose of damaged curtain lath sections and provide and fit new.",,,1,,CRPOI0010503,,Roller Shutter Services Ltd,,,03/06/2025,,700.80
REGN - Regeneration & Housing,,FAB - Facilities,,"General repairs, breakdown and callouts, ",,,1,,CRPOI0010571,,Pilkington Bros (Church) Ltd,,,03/06/2025,,"1,376.55"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,50 X Heavy Duty Basket Bracket 18`,,,1,,CRPOI0010620,,Lbs Worldwide Ltd,,,03/06/2025,,303.92
ENVS - Environmental Services,,CAE - Waste Services,,60 X 1 500/850mm Blue 2.8mm Poly & 3.3mm Wire 3 ,,,1,,CRPOI0010728,,Probrush,,,03/06/2025,,"4,514.83"
RESO - Resources,,AAF - Finance,,Cleaning Materials,,,1,,CRPOI0010747,,Option Hygiene,,,03/06/2025,,598.49
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Provide a pump track ,,,1,,CRPOI0010769,,Clark & Kent Contractors,,,03/06/2025,,"16,800.00"
REGN - Regeneration & Housing,,FAB - Facilities,,"2 Floor 400Kgs Namihissen 400 

1. Supply to site manufacturers electrical drawings to replace the missing items.
2. Supply and fit a new emergency shaft light.
3. Supply and fit new upgraded car alarm system complete with battery ba",,,1,,CRPOI0010914,,R J Lift Services Ltd,,,03/06/2025,,"3,330.00"
REGN - Regeneration & Housing,,FAB - Facilities,,"Lift 1 (Foyer Broadway Entrance) - 3 Floor 
Electric Lift Ser: M708

1. Supply and fit new upgraded emergency pit stop switch to comply with current lifting standards.
2. Supply and fit new 5ft l",,,1,,CRPOI0010920,,R J Lift Services Ltd,,,03/06/2025,,474.00
REGN - Regeneration & Housing,,FAB - Facilities,,Removal of old meters and supply of new at Burton Chambers,,,1,,CRPOI0010985,,Briar Consulting Engineers Ltd,,,03/06/2025,,660.00
REGN - Regeneration & Housing,,FAB - Facilities,,Wilsons- Temp supply & Meter,,,1,,CRPOI0010986,,Briar Consulting Engineers Ltd,,,03/06/2025,,660.00
REGN - Regeneration & Housing,,FAB - Facilities,,Removal of old meters and supply of new at Accrington Market Hall,,,1,,CRPOI0010989,,Briar Consulting Engineers Ltd,,,03/06/2025,,660.00
REGN - Regeneration & Housing,,FAB - Facilities,,"Project manage meter removal and account closure 
MPAN 1620001593809 (electricity)
MPRN 5420710 (gas)
Wilsons Pavilion, Clayton Hall Drive, Clayton Le Moors, Accrington, Lancashire, BB5 5SG",,,1,,CRPOI0010991,,Briar Consulting Engineers Ltd,,,03/06/2025,,"1,080.00"
REGN - Regeneration & Housing,,FAB - Facilities,,Removal of old meters and supply of new at Wilsons Sports Village,,,1,,CRPOI0010993,,Briar Consulting Engineers Ltd,,,03/06/2025,,660.00
RESO - Resources,,AAB - Benefits & Customer Contact,,E-vouchers for HSF,,,1,,CRPOI0011011,,Blackhawk Network EMEA Ltd,,,03/06/2025,,"19,000.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,Vouchers for HSF,,,1,,CRPOI0011012,,Aldi Stores Ltd,,,03/06/2025,,"20,000.00"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - w/e 11.05.25,,,1,,CRINV0010519,,Vivid Resourcing,,,05/06/2025,,"2,160.00"
ENVS - Environmental Services,,CAF - CVMU,,Vehicle Cleaning - 28.04.25,,,1,,CRINV0010520,,Keep Em Clean,,,05/06/2025,,262.50
ENVS - Environmental Services,,CAF - CVMU,,Vehicle Cleaning - 06.05.25,,,1,,CRINV0010521,,Keep Em Clean,,,05/06/2025,,262.50
ENVS - Environmental Services,,CAF - CVMU,,Vehicle Cleaning - 12.05.25,,,1,,CRINV0010522,,Keep Em Clean,,,05/06/2025,,262.50
REGN - Regeneration & Housing,,FAD - Housing Advice,,Agency staff - w/e 11.05.25,,,1,,CRINV0010528,,Vivid Resourcing,,,05/06/2025,,"1,368.00"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Out of Hours service - April 25,,,1,,CRINV0010542,,Maundy Relief,,,05/06/2025,,"1,200.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,B-with-Us Partnership April 2025 to March 2026,,,1,,CRINV0010566,,Together Housing Association,,,05/06/2025,,"26,139.89"
ENVS - Environmental Services,,CAF - CVMU,,Bumper corner,,,1,,CRINV0010618,,Dennis Eagle Limited,,,05/06/2025,,279.18
ENVS - Environmental Services,,CAF - CVMU,,Handlamp & cable,,,1,,CRINV0010624,,Mrb Workshop Services,,,05/06/2025,,477.00
ENVS - Environmental Services,,CAB - Other Environmental Services,,Vehicle Hire - 09.05.25 ,,,1,,CRINV0010665,,Stanley Brothers (Tippers) Ltd,,,05/06/2025,,744.00
PLAN - Planning & Transportation,,EAD - Planning,,Agency Costs Week 28 05/05-09/05,,,1,,CRINV0010699,,Confido Consult Ltd,,,05/06/2025,,"1,712.76"
ENVS - Environmental Services,,CAF - CVMU,,Parts and Materials,,,1,,CRINV0010715,,Wurth Uk Ltd,,,05/06/2025,,273.48
LEGL - Legal & Democratic,,DAB - Human Resources,,General design,,,1,,CRINV0010788,,Brands Inside Out Limited,,,05/06/2025,,420.00
ENVS - Environmental Services,,CAD - Town Centre & Markets,,"Works at Queen St, Great Harwood",,,1,,CRINV0010817,,Lancashire County Council,,,05/06/2025,,"1,092.00"
PLAN - Planning & Transportation,,EAD - Planning,,Planning app refund ,,,1,,CRINV0010850,,Portal Plan Quest Ltd,,,05/06/2025,,462.00
PLAN - Planning & Transportation,,EAD - Planning,,Planning app refund ,,,1,,CRINV0010851,,Portal Plan Quest Ltd,,,05/06/2025,,462.00
LEGL - Legal & Democratic,,DAB - Human Resources,,2025 Summer School,,,1,,CRINV0010859,,Association Of Town Centre Management,,,05/06/2025,,276.00
LEGL - Legal & Democratic,,DAG - Elections,,Pre-Paid Postal Charges,,,1,,CRINV0010928,,Royal Mail Group Ltd,,,05/06/2025,,"2,904.82"
REGN - Regeneration & Housing,,FAB - Facilities,,Amenity Lighting 01.04.25 - 30.04.25,,,1,,CRINV0010937,,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,05/06/2025,,56.94
REGN - Regeneration & Housing,,FAB - Facilities,,Amenity Lighting 01.04.25 - 30.04.25,,,2,,CRINV0010937,,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,05/06/2025,,"1,679.93"
REGN - Regeneration & Housing,,FAB - Facilities,,Amenity Lighting 01.04.25 - 30.04.25,,,3,,CRINV0010937,,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,05/06/2025,,616.92
REGN - Regeneration & Housing,,FAB - Facilities,,Amenity Lighting 01.04.25 - 30.04.25,,,4,,CRINV0010937,,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,05/06/2025,,"1,328.75"
REGN - Regeneration & Housing,,FAB - Facilities,,Amenity Lighting 01.04.25 - 30.04.25,,,5,,CRINV0010937,,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,05/06/2025,,113.89
ENVH - Environmental Health,,BAA - Housing Standards,,Temp staff w/e 31.3.25,,,1,,CRINV0010964,,Oyster Partnership,,,05/06/2025,,320.22
REGN - Regeneration & Housing,,FAB - Facilities,,Interim payment for works ,,,1,,CRINV0010981,,Greenable Construction Ltd,,,05/06/2025,,"6,000.00"
PLAN - Planning & Transportation,,EAD - Planning,,Temp staff w/e 23.3.25,,,1,,CRINV0011034,,Carrington West Limited,,,05/06/2025,,"1,212.78"
ENVH - Environmental Health,,BAA - Housing Standards,,Overtime agreed by HBC,,,1,,CRINV0011052,,Office of the Police and Crime Commissioner,,,05/06/2025,,433.39
RESO - Resources,,AAF - Finance,,Water Scaitcliffe 26.04.25 - 25.05.25,,,1,,CRINV0011071,,Water Plus - 4081791400 Canteen Scaitcliffe House,,,05/06/2025,,"1,807.33"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation 04.04.25 - 08.05.25,,,1,,CRINV0011091,,Molesworth Hotel,,,05/06/2025,,"3,223.20"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation - 25.04.25 - 28.04.25,,,1,,CRINV0011092,,Molesworth Hotel,,,05/06/2025,,284.40
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation - 28.04.25 - 02.05.25,,,1,,CRINV0011093,,Molesworth Hotel,,,05/06/2025,,379.20
ENVS - Environmental Services,,CAF - CVMU,,Agency staff - p/e 01.06.25,,,1,,CRINV0011100,,Autotech Recruit,,,05/06/2025,,"1,026.60"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,1 x 1000lt Ad Blue including Returnable IBC ,,,1,,CRPOI0010525,,J E Morten Ltd,,,05/06/2025,,414.00
RESO - Resources,,AAF - Finance,,Agency Costs P/E 11.05.2025,,,1,,CRPOI0010564,,G2 Recruitment Solutions,,,05/06/2025,,"4,680.00"
LEGL - Legal & Democratic,,DAB - Human Resources,,Drug wipes & alcometer mouthpieces,,,1,,CRPOI0010567,,D Tec International,,,05/06/2025,,"2,013.60"
ENVS - Environmental Services,,CAE - Waste Services,,3 X DIS100 Bleach (1 x 5 Ltr) ,,,1,,CRPOI0010679,,Systems Hygiene Ltd,,,05/06/2025,,9.83
ENVS - Environmental Services,,CAE - Waste Services,,12 X  Evans Toilet Cleaner ,,,2,,CRPOI0010679,,Systems Hygiene Ltd,,,05/06/2025,,22.90
ENVS - Environmental Services,,CAE - Waste Services,,10 X  LA Cloths Red ,,,3,,CRPOI0010679,,Systems Hygiene Ltd,,,05/06/2025,,21.84
ENVS - Environmental Services,,CAE - Waste Services,,5 XLA Cloths Blue,,,4,,CRPOI0010679,,Systems Hygiene Ltd,,,05/06/2025,,10.92
ENVS - Environmental Services,,CAE - Waste Services,,1 X  Yellow Channel Cubes ,,,5,,CRPOI0010679,,Systems Hygiene Ltd,,,05/06/2025,,14.78
ENVS - Environmental Services,,CAE - Waste Services,,3 X  Jumbo Toilet Rolls ,,,6,,CRPOI0010679,,Systems Hygiene Ltd,,,05/06/2025,,56.84
ENVS - Environmental Services,,CAE - Waste Services,,6 X  Premier Toilet Rolls,,,7,,CRPOI0010679,,Systems Hygiene Ltd,,,05/06/2025,,81.00
ENVS - Environmental Services,,CAE - Waste Services,,12 X Shades Professional Air Freshener ,,,8,,CRPOI0010679,,Systems Hygiene Ltd,,,05/06/2025,,23.62
ENVS - Environmental Services,,CAE - Waste Services,,5 X  Green hand Rolls ,,,9,,CRPOI0010679,,Systems Hygiene Ltd,,,05/06/2025,,130.61
ENVS - Environmental Services,,CAE - Waste Services,,3 X  Pearlised Hand Soap,,,10,,CRPOI0010679,,Systems Hygiene Ltd,,,05/06/2025,,27.04
ENVS - Environmental Services,,CAE - Waste Services,,6 X  Aerosol Hi Shine Furniture Polish,,,11,,CRPOI0010679,,Systems Hygiene Ltd,,,05/06/2025,,14.26
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Qty 3 x Honda HRH 536QXE Rear roller  rotary mowers,,,1,,CRPOI0010704,,Balmers Garden Machinery,,,05/06/2025,,"5,220.00"
ENVH - Environmental Health,,BAA - Housing Standards,,2 x PR7 Minis plus extras ,,,1,,CRPOI0010705,,Pinnacle Response Ltd,,,05/06/2025,,"1,004.28"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Grass Cutting Contract in Hyndburn for Season 2025,,,1,,CRPOI0011055,,Grounds Gardens & Trees Ltd,,,05/06/2025,,"21,631.20"
RESO - Resources,,AAE - Residual Leisure,,Contributions - Use of Facilities for Armed Forces,,,1,,CRINV0010403,,Hyndburn Leisure,,,10/06/2025,,"1,758.00"
RESO - Resources,,AAE - Residual Leisure,,Contributions towards reduced Holiday swims - 01.01.25 - 31.03.25,,,1,,CRINV0010404,,Hyndburn Leisure,,,10/06/2025,,501.60
RESO - Resources,,AAE - Residual Leisure,,Contributions to LP Inductions - 01.01.25 - 31.03.25,,,1,,CRINV0010405,,Hyndburn Leisure,,,10/06/2025,,336.00
ENVS - Environmental Services,,CAF - CVMU,,End of lease charges,,,1,,CRINV0010622,,Jcb Finance Ltd,,,10/06/2025,,534.00
LEGL - Legal & Democratic,,DAC - Legal,,Project Management support - April 25,,,1,,CRINV0010643,,Naomi Atherton Ltd,,,10/06/2025,,"2,319.77"
ENVH - Environmental Health,,BAA - Housing Standards,,Agency Staff - w/c 05.05.25,,,1,,CRINV0010649,,Oyster Partnership,,,10/06/2025,,"1,604.93"
ENVS - Environmental Services,,CAF - CVMU,,Agency Costs W/S 06/05/2025,,,1,,CRINV0010655,,Proactive Personnel Ltd,,,10/06/2025,,"1,440.00"
PLAN - Planning & Transportation,,EAD - Planning,,Temp staff W/E 5.5.25,,,1,,CRINV0010667,,Oyster Partnership,,,10/06/2025,,"1,940.35"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Gt Harwood Greening contract,,,1,,CRINV0010668,,Proffitts Investing In Communities,,,10/06/2025,,327.36
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Soil,,,1,,CRINV0010692,,Greenvale,,,10/06/2025,,528.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Urn and Postage,,,1,,CRINV0010695,,Luke Howgate & Son Ltd,,,10/06/2025,,296.42
PLAN - Planning & Transportation,,EAB - Engineers & Transportation,,Installation of street nameplates,,,1,,CRINV0010750,,Marchbridge Builders Ltd,,,10/06/2025,,"2,318.40"
RESO - Resources,,AAF - Finance,,Copier paper,,,1,,CRINV0010753,,Canon (Uk) Ltd,,,10/06/2025,,835.20
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency Costs W/Ending Date 11/05/2025,,,1,,CRINV0010763,,Venn Group Limited,,,10/06/2025,,"1,261.01"
RESO - Resources,,AAG - Management Resources,,Lease Charges,,,1,,CRINV0010783,,Lex Autolease Ltd,,,10/06/2025,,"1,254.53"
RESO - Resources,,AAG - Management Resources,,Lease Charges,,,2,,CRINV0010783,,Lex Autolease Ltd,,,10/06/2025,,"1,254.53"
RESO - Resources,,AAG - Management Resources,,Service Rental,,,3,,CRINV0010783,,Lex Autolease Ltd,,,10/06/2025,,539.42
LEGL - Legal & Democratic,,DAH - Licencing,,DVLA Checks,,,1,,CRINV0010785,,Personnel Checks,,,10/06/2025,,273.60
LEGL - Legal & Democratic,,DAH - Licencing,,DVLA checks,,,2,,CRINV0010785,,Personnel Checks,,,10/06/2025,,388.80
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency staff - w/c 05.05.25,,,1,,CRINV0010819,,Proman Supply Chain Ltd,,,10/06/2025,,"2,686.33"
RESO - Resources,,AAF - Finance,,LCC Ctax Precept May 25,,,1,,CRINV0010982,,Lancashire County Council (Direct Debit Payments),,,10/06/2025,,"3,847,031.00"
RESO - Resources,,AAF - Finance,,LCC Ctax Deficit 24/25,,,2,,CRINV0010982,,Lancashire County Council (Direct Debit Payments),,,10/06/2025,,"38,937.00-"
RESO - Resources,,AAF - Finance,,LCC NDR Precept May 25,,,3,,CRINV0010982,,Lancashire County Council (Direct Debit Payments),,,10/06/2025,,"225,024.00"
RESO - Resources,,AAF - Finance,,LCC NDR Surplus 24/25,,,4,,CRINV0010982,,Lancashire County Council (Direct Debit Payments),,,10/06/2025,,"12,820.00"
RESO - Resources,,AAF - Finance,,Fire Ctax Precept May 25,,,5,,CRINV0010982,,Lancashire County Council (Direct Debit Payments),,,10/06/2025,,"198,869.00"
RESO - Resources,,AAF - Finance,,Fire Ctax Deficit 24/25,,,6,,CRINV0010982,,Lancashire County Council (Direct Debit Payments),,,10/06/2025,,"1,996.00-"
RESO - Resources,,AAF - Finance,,Fire NDR Precept May 25,,,7,,CRINV0010982,,Lancashire County Council (Direct Debit Payments),,,10/06/2025,,"25,003.00"
RESO - Resources,,AAF - Finance,,Fire NDR Surplus 24/25,,,8,,CRINV0010982,,Lancashire County Council (Direct Debit Payments),,,10/06/2025,,"1,425.00"
RESO - Resources,,AAF - Finance,,Police Ctax Precept May 25,,,9,,CRINV0010982,,Lancashire County Council (Direct Debit Payments),,,10/06/2025,,"614,802.00"
RESO - Resources,,AAF - Finance,,Police Ctax Deficit 24/25,,,10,,CRINV0010982,,Lancashire County Council (Direct Debit Payments),,,10/06/2025,,"6,203.00-"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency staff - w/e 18.05.25,,,1,,CRINV0011015,,Rapid Recruitment Ltd,,,10/06/2025,,"1,608.05"
RESO - Resources,,AAB - Benefits & Customer Contact,,Whinney Hill 19.05.25,,,1,,CRINV0011030,,Cheval Social Management,,,10/06/2025,,"1,292.32"
RESO - Resources,,AAB - Benefits & Customer Contact,,Whinney Hill 19.05.25,,,1,,CRINV0011032,,Ada Glossop Ltd,,,10/06/2025,,"1,457.20"
RESO - Resources,,AAG - Management Resources,,Wilson Field Leisure Centre Valuation 8,,,1,,CRINV0011033,,Alliance Leisure Services Limited,,,10/06/2025,,"1,525,895.76"
RESO - Resources,,AAB - Benefits & Customer Contact,,Vat on recovery fees,,,1,,CRINV0011057,,Marston (Holdings) Ltd,,,10/06/2025,,"2,648.23"
RESO - Resources,,AAF - Finance,,Transaction Charges - May25 - HYBC,,,1,,CRINV0011086,,Allpay Ltd,,,10/06/2025,,"1,510.21"
ENVS - Environmental Services,,CAF - CVMU,,Labour,,,1,,CRINV0011094,,Rob Mercer,,,10/06/2025,,200.00
ENVS - Environmental Services,,CAF - CVMU,,Parts,,,2,,CRINV0011094,,Rob Mercer,,,10/06/2025,,308.57
ENVS - Environmental Services,,CAF - CVMU,,Labour,,,1,,CRINV0011095,,Rob Mercer,,,10/06/2025,,200.00
ENVS - Environmental Services,,CAF - CVMU,,Parts,,,2,,CRINV0011095,,Rob Mercer,,,10/06/2025,,199.00
ENVS - Environmental Services,,CAF - CVMU,,Labour,,,1,,CRINV0011101,,Rob Mercer,,,10/06/2025,,225.00
ENVS - Environmental Services,,CAF - CVMU,,Parts,,,2,,CRINV0011101,,Rob Mercer,,,10/06/2025,,302.57
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency staff - w/e 25.05.25,,,1,,CRINV0011108,,Eden Brown Limited,,,10/06/2025,,"1,212.12"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Professional Fees,,,1,,CRINV0011111,,Womble Bond Dickinson (Uk) LLP,,,10/06/2025,,"9,953.10"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Professional Services,,,1,,CRINV0011112,,Womble Bond Dickinson (Uk) LLP,,,10/06/2025,,"4,310.40"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Programme Director Services,,,1,,CRINV0011139,,Rider Levett Bucknall Uk Ltd,,,10/06/2025,,"3,982.50"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Programme Director Services,,,2,,CRINV0011139,,Rider Levett Bucknall Uk Ltd,,,10/06/2025,,"3,982.50"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Programme Director Services,,,3,,CRINV0011139,,Rider Levett Bucknall Uk Ltd,,,10/06/2025,,"3,982.51"
PLAN - Planning & Transportation,,EAA - Building Control,,Staff WE 30.05.25,,,1,,CRINV0011162,,Deekay Tech Recruitment Ltd,,,10/06/2025,,"1,467.98"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Great Harwood Greening Invoice 3,,,1,,CRINV0011192,,Proffitts Investing In Communities,,,10/06/2025,,"19,643.60"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Huncoat Garden Village,,,1,,CRINV0011200,,Avison Young (Uk) Ltd,,,10/06/2025,,"20,786.88"
REGN - Regeneration & Housing,,FAG - Regeneration,,Asset Valuations - Completion of Stage 3,,,1,,CRINV0011206,,Lea Hough And Co,,,10/06/2025,,"8,004.48"
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,waste removal,,,1,,CRINV0011210,,Waste Busters Waste Removal,,,10/06/2025,,720.00
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Huncoat Garden Village - Associated Charges,,,1,,CRINV0011213,,Avison Young (Uk) Ltd,,,10/06/2025,,"9,306.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Huncoat Garden Village - Associated Costs,,,1,,CRINV0011216,,Avison Young (Uk) Ltd,,,10/06/2025,,"21,921.60"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Huncoat Garden Village - Associated Costs,,,1,,CRINV0011218,,Avison Young (Uk) Ltd,,,10/06/2025,,"16,287.36"
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Charges - 07.05.25 - 06.06.25,,,1,,CRINV0011228,,Water Plus - 4072907003 Allotments Station Rd,,,10/06/2025,,252.57
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Charges - 03.05.25 - 02.06.25,,,1,,CRINV0011238,,Water Plus - 4081821747 Woodlands Sports Pavillion,,,10/06/2025,,798.79
