Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
P & C G ,CENTRAL ADMIN,SUBSCRIPTION,,P-CARD- MAR 24,HOOTSUITE,07/03/2024,"£1,068.60"
ENVIRONMENTAL SERVICES,CVMU,CAB AIR SEAT,,P-CARD- MAR 24,F G ROWLAND,11/03/2024,£850.00
P & C G ,CENTRAL ADMIN,TOOLS & EQPT,,P-CARD- MAR 24,SCREWFIX,11/03/2024,£566.66
ENVIRONMENTAL SERVICES,ENVIROMENTAL HEALTH,TRAINING,,P-CARD- MAR 24,CIEH,12/03/2024,"£2,030.00"
ENVIRONMENTAL SERVICES,CVMU,ROAD TAX,,P-CARD- MAR 24,DVLA,13/03/2024,£322.50
HOUSING BENEFIT ADMIN,LLOYDS CARDNET,Cardnet 14.02.24,,,CARDNET,14/03/2024,"£1,158.92"
HOUSING BENEFIT ADMIN,SECURITY SERVICES,G4S,,,G4S,15/03/2024,£461.02
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Structural Engineers Survey/ Report,1,CRINV0000004,R-D Engineering Associates Ltd,19/03/2024,£900.00
PLAN - Planning & Transportation,EAD - Planning,Independent viability assessment ,1,CRINV0000006,CP Viability Limited,19/03/2024,"£2,400.00"
RESO - Resources,AAG - Management Resources,Mercer Hall Feasibility Study,1,CRINV0000014,Hyndburn Leisure,19/03/2024,"£8,000.00"
PLAN - Planning & Transportation,EAD - Planning,Agency Staff  W/C 12/02/24,1,CRINV0000022,Oyster Partnership,19/03/2024,£555.84
RESO - Resources,AAB - Benefits & Customer Contact,Agency Staff W/C 22/02/2024,1,CRINV0000026,Eden Brown Limited,19/03/2024,"£1,212.12"
PLAN - Planning & Transportation,EAD - Planning,Planning refund,1,CRINV0000033,Portal Plan Quest Ltd,19/03/2024,£258.00
PLAN - Planning & Transportation,EAA - Building Control,w/c 19/02/24 and 21/02/24 23/02/24 ,1,CRINV0000036,BRG Interim Solutions,19/03/2024,"£1,176.72"
PLAN - Planning & Transportation,EAD - Planning,6 Day consultancy ,1,CRINV0000048,Nec Software Solutions Uk Ltd,19/03/2024,"£6,120.00"
LEGL - Legal & Democratic,DAB - Human Resources, Website Design for recruitment section of Hyndburn Borough Council Website,1,CRINV0000053,East Lancashire Chamber of Commerce,19/03/2024,£960.00
LEGL - Legal & Democratic,DAB - Human Resources,L1 Equality & Diversity Training,1,CRINV0000054,Nelson and Colne College,19/03/2024,"£1,098.00"
RESO - Resources,AAB - Benefits & Customer Contact,Debt collection costs,1,CRINV0000055,Marston (Holdings) Ltd,19/03/2024,£446.74
RESO - Resources,AAB - Benefits & Customer Contact,AB Stationery 2024,1,CRINV0000057,Critiqom,19/03/2024,"£2,220.54"
RESO - Resources,AAB - Benefits & Customer Contact,AB Stationery 2024,2,CRINV0000057,Critiqom,19/03/2024,"£1,013.15"
RESO - Resources,AAB - Benefits & Customer Contact,Cipfa Benefits & Revenues Service 01.4.24 to 31.3.25,1,CRINV0000058,CIPFA Business Limited,19/03/2024,£499.99
RESO - Resources,AAB - Benefits & Customer Contact,Cippfa Benefits & Revenues services - 1.4.24 to 31.3.25,2,CRINV0000058,CIPFA Business Limited,19/03/2024,£499.99
RESO - Resources,AAB - Benefits & Customer Contact,Cipfa benefits & Revenues Services - 1.4.24 to 31.3.25,3,CRINV0000058,CIPFA Business Limited,19/03/2024,£500.02
REGN - Regeneration & Housing,FAD - Housing Advice,Cold weather payment to cover December 2023.,1,CRINV0000061,Maundy Relief,19/03/2024,"£1,240.00"
ENVS - Environmental Services,CAE - Waste Services,"Fuel Pump, Oil Change etc",1,CRINV0000062,North West Trading Company Ltd,19/03/2024,£803.46
REGN - Regeneration & Housing,FAD - Housing Advice,Cold weather payment to cover January 2024.  ,1,CRINV0000063,Maundy Relief,19/03/2024,"£1,240.00"
REGN - Regeneration & Housing,FAD - Housing Advice,Cold Weather payment - Feb 24,1,CRINV0000079,Maundy Relief,19/03/2024,"£1,160.00"
RESO - Resources,AAB - Benefits & Customer Contact,Professional charges ,1,CRINV0000085,Stephensons Solicitors LLP,19/03/2024,"£1,685.94"
ENVS - Environmental Services,CAA - Environmental Maintenance,Works  at Memorial park,1,CRINV0000090,FareFence (NW) Limited,19/03/2024,"£20,771.86"
RESO - Resources,AAB - Benefits & Customer Contact,Professional fees,1,CRINV0000095,Stephensons Solicitors LLP,19/03/2024,"£1,685.94"
ENVS - Environmental Services,CAE - Waste Services,Hire of 8 Wheeler - 23.2.24,1,CRINV0000102,Stanley Brothers (Tippers) Ltd,19/03/2024,£648.00
ENVS - Environmental Services,CAA - Environmental Maintenance,Temp staff w/e 25.2.24 ,1,CRINV0000104,Rapid Recruitment Ltd,19/03/2024,£697.52
ENVS - Environmental Services,CAA - Environmental Maintenance,Green flag award application x 11 sites,1,CRINV0000105,Keep Britain Tidy,19/03/2024,"£4,936.80"
ENVS - Environmental Services,CAA - Environmental Maintenance,safety footwear,1,CRINV0000108,"Bubbles, Brushes & Wiper Co Ltd",19/03/2024,£893.72
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 19.02.24 ,1,CRINV0000110,Oyster Partnership,19/03/2024,"£1,528.80"
ENVS - Environmental Services,CAF - CVMU,PPE equipment,1,CRINV0000112,"Bubbles, Brushes & Wiper Co Ltd",19/03/2024,"£1,988.08"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 19.02.24 ,1,CRINV0000113,Oyster Partnership,19/03/2024,"£2,059.20"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 19.02.24 ,1,CRINV0000115,Oyster Partnership,19/03/2024,£850.50
ENVH - Environmental Health,BAB - Environmental Protection,Agency staff - w/e 25.02.24 -,1,CRINV0000122,Vivid Resourcing,19/03/2024,"£1,134.00"
ENVH - Environmental Health,BAB - Environmental Protection,Agency staff -  w/e 25.02.24 ,1,CRINV0000130,Vivid Resourcing,19/03/2024,"£2,220.00"
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24  to 18/03/24,1,CRINV0000164,EE Limited,19/03/2024,£33.55
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,2,CRINV0000164,EE Limited,19/03/2024,£27.56
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,3,CRINV0000164,EE Limited,19/03/2024,£17.80
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,4,CRINV0000164,EE Limited,19/03/2024,£27.56
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,5,CRINV0000164,EE Limited,19/03/2024,£27.56
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,6,CRINV0000164,EE Limited,19/03/2024,£50.33
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,7,CRINV0000164,EE Limited,19/03/2024,£81.50
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,8,CRINV0000164,EE Limited,19/03/2024,£33.55
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,9,CRINV0000164,EE Limited,19/03/2024,£43.15
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,10,CRINV0000164,EE Limited,19/03/2024,£16.78
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,11,CRINV0000164,EE Limited,19/03/2024,£95.88
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,12,CRINV0000164,EE Limited,19/03/2024,£10.79
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,13,CRINV0000164,EE Limited,19/03/2024,£33.55
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,14,CRINV0000164,EE Limited,19/03/2024,£32.36
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,15,CRINV0000164,EE Limited,19/03/2024,£10.79
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,16,CRINV0000164,EE Limited,19/03/2024,£33.55
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,17,CRINV0000164,EE Limited,19/03/2024,£168.28
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,18,CRINV0000164,EE Limited,19/03/2024,£16.78
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,19,CRINV0000164,EE Limited,19/03/2024,£16.78
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,20,CRINV0000164,EE Limited,19/03/2024,£50.33
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,21,CRINV0000164,EE Limited,19/03/2024,£50.84
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,22,CRINV0000164,EE Limited,19/03/2024,£50.33
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,23,CRINV0000164,EE Limited,19/03/2024,£90.07
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,24,CRINV0000164,EE Limited,19/03/2024,£62.14
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,25,CRINV0000164,EE Limited,19/03/2024,£103.72
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,26,CRINV0000164,EE Limited,19/03/2024,£16.78
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,27,CRINV0000164,EE Limited,19/03/2024,£16.78
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,28,CRINV0000164,EE Limited,19/03/2024,£105.46
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,29,CRINV0000164,EE Limited,19/03/2024,£50.33
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,30,CRINV0000164,EE Limited,19/03/2024,£87.72
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,31,CRINV0000164,EE Limited,19/03/2024,£61.12
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,32,CRINV0000164,EE Limited,19/03/2024,£33.55
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,33,CRINV0000164,EE Limited,19/03/2024,£16.78
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,34,CRINV0000164,EE Limited,19/03/2024,£27.56
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,35,CRINV0000164,EE Limited,19/03/2024,£204.97
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,36,CRINV0000164,EE Limited,19/03/2024,£69.14
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,37,CRINV0000164,EE Limited,19/03/2024,£90.97
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,38,CRINV0000164,EE Limited,19/03/2024,£83.88
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,39,CRINV0000164,EE Limited,19/03/2024,£45.37
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,40,CRINV0000164,EE Limited,19/03/2024,£12.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,41,CRINV0000164,EE Limited,19/03/2024,£12.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,42,CRINV0000164,EE Limited,19/03/2024,£12.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,43,CRINV0000164,EE Limited,19/03/2024,£12.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,44,CRINV0000164,EE Limited,19/03/2024,£12.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,45,CRINV0000164,EE Limited,19/03/2024,£12.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,46,CRINV0000164,EE Limited,19/03/2024,£12.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,47,CRINV0000164,EE Limited,19/03/2024,£24.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,48,CRINV0000164,EE Limited,19/03/2024,£12.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,49,CRINV0000164,EE Limited,19/03/2024,£24.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,50,CRINV0000164,EE Limited,19/03/2024,£12.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,51,CRINV0000164,EE Limited,19/03/2024,£24.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,52,CRINV0000164,EE Limited,19/03/2024,£12.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,53,CRINV0000164,EE Limited,19/03/2024,£72.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,54,CRINV0000164,EE Limited,19/03/2024,£12.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,55,CRINV0000164,EE Limited,19/03/2024,£108.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,56,CRINV0000164,EE Limited,19/03/2024,£12.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,57,CRINV0000164,EE Limited,19/03/2024,£12.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,58,CRINV0000164,EE Limited,19/03/2024,£24.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,59,CRINV0000164,EE Limited,19/03/2024,£216.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,60,CRINV0000164,EE Limited,19/03/2024,£60.00
RESO - Resources,AAD - ICT,EE A/C 75782744 Period 19/02/24 to 18/03/24,61,CRINV0000164,EE Limited,19/03/2024,£188.20
ENVS - Environmental Services,CAA - Environmental Maintenance,"On going work and advice in respect of the Accrington Acre project,",1,CRINV0000166,Womble Bond Dickinson (Uk) LLP,19/03/2024,"£5,032.20"
ENVS - Environmental Services,CAA - Environmental Maintenance,On going work and advice in respect of the Accrington Acre project,2,CRINV0000166,Womble Bond Dickinson (Uk) LLP,19/03/2024,"£5,032.20"
ENVS - Environmental Services,CAE - Waste Services,Hire of vehicle - 11 weeks ,1,CRINV0000169,Stanley Brothers (Tippers) Ltd,19/03/2024,£648.00
ENVS - Environmental Services,CAE - Waste Services,Removal of caravan,1,CRINV0000171,Assured Automobile Assessors Ltd,19/03/2024,£342.00
ENVS - Environmental Services,CAE - Waste Services,Removal of caravan ,1,CRINV0000172,Assured Automobile Assessors Ltd,19/03/2024,£342.00
ENVS - Environmental Services,CAE - Waste Services,Vehicle Hire 1.2.24 to 1.3.24 ,1,CRINV0000173,Leeds Commercial Vehicle Hire,19/03/2024,"£1,188.00"
ENVS - Environmental Services,CAE - Waste Services,vehicle Hire - 1.2.24 to 13.24 ,1,CRINV0000174,Leeds Commercial Vehicle Hire,19/03/2024,"£1,940.40"
REGN - Regeneration & Housing,FAB - Facilities,Fit new motor and drive chain,1,CRINV0000175,Roller Shutter Services Ltd,19/03/2024,£948.00
ENVS - Environmental Services,CAF - CVMU,Spring mechansism,1,CRINV0000181,Wasteparts Uk Ltd,19/03/2024,£832.03
ENVS - Environmental Services,CAA - Environmental Maintenance,Various sweet mixes,1,CRINV0000188,Sweet Reminiscing By Sharon Rose,19/03/2024,£500.00
ENVS - Environmental Services,CAF - CVMU,Mushroom Heads,1,CRINV0000192,Wasteparts Uk Ltd,19/03/2024,£391.32
RESO - Resources,AAB - Benefits & Customer Contact,Recharge costs of cleaning @ Broadway Offices 01.02.24 - 29.02.24,1,CRINV0000193,Hyndburn Leisure,19/03/2024,"£1,813.60"
ENVS - Environmental Services,CAF - CVMU,Fuel pump & filter element,1,CRINV0000195,Gunn Jcb Ltd,19/03/2024,£550.36
ENVS - Environmental Services,CAF - CVMU,Lights,1,CRINV0000197,Dennis Eagle Limited,19/03/2024,£302.34
ENVS - Environmental Services,CAF - CVMU,Period: 02-Feb-24 to 01-Mar-24,1,CRINV0000201,Water Plus - 4206400451 CVMU,19/03/2024,£285.30
ENVS - Environmental Services,CAF - CVMU,Gas emission analyser & gas calibration,1,CRINV0000203,Snap On Diagnostics,19/03/2024,£408.00
PLAN - Planning & Transportation,EAD - Planning,Waste removal - Allotments,1,CRINV0000208,Waste Busters Waste Removal,19/03/2024,£500.00
ENVS - Environmental Services,CAF - CVMU,Repair somers S6 mobile columns,1,CRINV0000210,Mrb Workshop Services,19/03/2024,"£8,340.00"
ENVS - Environmental Services,CAF - CVMU,Supplementary cleaning - March 24,1,CRINV0000214,ServiceMaster Clean Contract Services AAA,19/03/2024,£881.09
LEGL - Legal & Democratic,DAB - Human Resources,Professional Fees,1,CRINV0000215,Streetmellor,19/03/2024,"£3,000.00"
RESO - Resources,AAD - ICT,1 Year pro support & 4hr mission critical,1,CRINV0000216,Dell Corporation Ltd,19/03/2024,"£4,519.55"
LEGL - Legal & Democratic,DAB - Human Resources,PPE for Acc town square,1,CRINV0000219,Media Village,19/03/2024,£418.80
LEGL - Legal & Democratic,DAB - Human Resources,100 ATS Tote Bags,1,CRINV0000220,Media Village,19/03/2024,£900.00
RESO - Resources,AAD - ICT,Various toner cartridges,1,CRINV0000224,Document Logic,19/03/2024,£487.17
RESO - Resources,AAD - ICT,Maintenance renewal,1,CRINV0000225,Bytes Software Services Ltd,19/03/2024,£801.36
RESO - Resources,AAF - Finance,Provision of legal services,1,CRINV0000226,Womble Bond Dickinson (Uk) LLP,19/03/2024,£960.00
RESO - Resources,AAF - Finance,Provision of legal services ,1,CRINV0000227,Womble Bond Dickinson (Uk) LLP,19/03/2024,£960.00
RESO - Resources,AAF - Finance,Provision of legal services,1,CRINV0000228,Womble Bond Dickinson (Uk) LLP,19/03/2024,"£3,470.40"
RESO - Resources,AAF - Finance,Provision of legal services - Market Chambers ,1,CRINV0000229,Womble Bond Dickinson (Uk) LLP,19/03/2024,"£5,908.40"
RESO - Resources,AAF - Finance,Costs re Betfred Burtons Chambers,1,CRINV0000230,Done Brothers (Cash Betting) Ltd,19/03/2024,"£1,532.40"
ENVS - Environmental Services,CAA - Environmental Maintenance,Goad category reports and retail address data for 2022 & 2024 for Great Harwood,1,CRINV0000237,Experian,19/03/2024,£707.28
RESO - Resources,AAD - ICT,Simfree Samsung A14,2,CRINV0000238,Cloudcoco Limited,19/03/2024,£186.00
RESO - Resources,AAD - ICT,IPhone 14 Plus,2,CRINV0000238,Cloudcoco Limited,19/03/2024,£805.00
ENVS - Environmental Services,CAE - Waste Services,Cleaning facilities and offices - Willows Lane Depot - March 2024,1,CRINV0000240,ServiceMaster Clean Contract Services AAA,19/03/2024,"£1,145.43"
ENVS - Environmental Services,CAE - Waste Services,Various Trakm8 service charges for one 1 month,1,CRINV0000241,Trakm8 Holdings Plc,19/03/2024,£320.16
REGN - Regeneration & Housing,FAB - Facilities,"Electricity Invoice 01/02/24 - 29/02/24 re Community Hub Fielding Lane, Oswaldtwistle",1,CRINV0000248,EDF - 8950977786 Community Hub Fielding Ln,19/03/2024,"£1,716.40"
REGN - Regeneration & Housing,FAB - Facilities,"Elelctricity Invoice 01/02/24 - 29/02/24 - Scaitcliffe House, Ormerod Street",1,CRINV0000250,EDF - 3671768478 Scaitcliffe House Ormerod St,19/03/2024,"£13,466.40"
RESO - Resources,AAD - ICT,Apple 11inch iPad Pro,1,CRINV0000255,Insight Direct (Uk) Ltd,19/03/2024,"£1,010.57"
RESO - Resources,AAB - Benefits & Customer Contact,Temporary staff w/e 03.03.24 ,1,CRINV0000260,Eden Brown Limited,19/03/2024,"£1,179.36"
RESO - Resources,AAF - Finance,10 Days additional training for go live,1,CRINV0000262,Civica Uk Limited,19/03/2024,"£11,400.00"
ENVS - Environmental Services,CAF - CVMU,"Flap suction head, tie flap, nozzle trunking",1,CRINV0000266,Bucher Municipal Ltd,19/03/2024,"£1,785.72"
ENVS - Environmental Services,CAF - CVMU,lining kit axel set,1,CRINV0000267,Bucher Municipal Ltd,19/03/2024,£382.60
ENVS - Environmental Services,CAF - CVMU,Slide suction head,1,CRINV0000268,Bucher Municipal Ltd,19/03/2024,"£1,686.24"
RESO - Resources,AAB - Benefits & Customer Contact,Work embedded viewer,1,CRINV0000275,Nec Software Solutions Uk Ltd,19/03/2024,£624.00
RESO - Resources,AAB - Benefits & Customer Contact,Work embedded viewer,2,CRINV0000275,Nec Software Solutions Uk Ltd,19/03/2024,£624.00
RESO - Resources,AAB - Benefits & Customer Contact,Work embedded viewer,3,CRINV0000275,Nec Software Solutions Uk Ltd,19/03/2024,£312.00
RESO - Resources,AAB - Benefits & Customer Contact,Annual software licence,1,CRINV0000276,Nec Software Solutions Uk Ltd,19/03/2024,£192.00
RESO - Resources,AAB - Benefits & Customer Contact,Annual software licence,2,CRINV0000276,Nec Software Solutions Uk Ltd,19/03/2024,£192.00
RESO - Resources,AAB - Benefits & Customer Contact,Annual software licence,3,CRINV0000276,Nec Software Solutions Uk Ltd,19/03/2024,£96.00
REGN - Regeneration & Housing,FAB - Facilities,Period 01/02/2024 - 29/02/2024,1,CRINV0000287,EDF - 5091617368 Accrington Market Blackburn Rd,19/03/2024,"£8,832.31"
REGN - Regeneration & Housing,FAB - Facilities,Affordable warmth Grant 186 ,1,CRINV0000305,A G S Heating & Plumbing Ltd,19/03/2024,"£3,360.00"
REGN - Regeneration & Housing,FAB - Facilities,Affordable Warmth Grant 173 ,1,CRINV0000307,Artisan Windows,19/03/2024,"£5,500.00"
REGN - Regeneration & Housing,FAB - Facilities,Convert electrical supplies for festive decoarations,1,CRINV0000318,Lancashire County Council,19/03/2024,"£4,500.00"
REGN - Regeneration & Housing,FAB - Facilities,Repairs to damaged storage container -Lee Lane Cem,1,CRINV0000324,Pilkington Bros (Church) Ltd,19/03/2024,£951.60
ENVS - Environmental Services,CAB - Other Environmental Services,Copier charges - 31.1.24 to 29.2.24,1,CRINV0000325,Sharp Business Systems Uk Plc,19/03/2024,£266.38
ENVS - Environmental Services,CAC - Parks & Cemeteries,Mercer Park - toddlerzone unit,1,CRINV0000327,Sutcliffe Play Ltd,19/03/2024,"£42,934.35"
ENVS - Environmental Services,CAB - Other Environmental Services,Baits & Poisons,1,CRINV0000331,Killgerm Chemicals Ltd,19/03/2024,£340.20
ENVS - Environmental Services,CAD - Town Centre & Markets,Dish Bearing/security bolt et,1,CRINV0000337,Sutcliffe Play Ltd,19/03/2024,"£3,091.65"
ENVS - Environmental Services,CAB - Other Environmental Services,Kennelling charges - Feb 24,1,CRINV0000345,Aspen Valley Boarding Kennels & Cattery,19/03/2024,"£2,836.15"
REGN - Regeneration & Housing,FAB - Facilities,Call out charges - Feb 24,1,CRINV0000376,Keyplus Security Ltd,19/03/2024,£81.97
REGN - Regeneration & Housing,FAB - Facilities,Call  out charges - Feb 24,2,CRINV0000376,Keyplus Security Ltd,19/03/2024,£170.48
REGN - Regeneration & Housing,FAB - Facilities,Call out charges - Feb 24,3,CRINV0000376,Keyplus Security Ltd,19/03/2024,£170.50
REGN - Regeneration & Housing,FAB - Facilities,Call out charges - Feb 24,4,CRINV0000376,Keyplus Security Ltd,19/03/2024,£85.26
REGN - Regeneration & Housing,FAB - Facilities,Call out charges - Feb 24,5,CRINV0000376,Keyplus Security Ltd,19/03/2024,£85.26
