Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
SCAITCLIFFE HOUSE,WATER CHARGES,06.05.18 - 08.08.18 SCAITCLIFFE,B000019683/8325,WATER PLUS LTD,13/08/2018,2213.66
HAWORTH ART GALLERY,WEDDING EXPENDITURE,WEDDING CARERING - 18.8.18 AND 31.8.18,B000019681/57628,S.R.S. CATERING LTD,13/08/2018,3333.34
INSURANCES,PREMIUMS PAID,GROUP LIFE POLICY,B000019683/60858,METLIFE,13/08/2018,6845.71
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,REFIX BARRIER AT BOLTON AVENUE PLAYING FIELDS,B000019686/20,A BYRNE FENCING,14/08/2018,380
TIPPING CHARGES,HIRED VEHICLE,VEHICLE HIRE 27.07.18 5 LOADS REF 363645,B000019685/7871,STANLEY BROS TIPPERS LTD,14/08/2018,390
STREET CLEANSING,TRAFFIC MANAGEMENT,CS01400-SERVICE-TRAFFIC MANAGEMENT FOR DUNKENHALGH WAY,B000019686/34881,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,14/08/2018,525
WHEELED BINS,HIRED VEHICLE,VEHICLE HIRE 26.6.18 to 25.7.18,B000019686/2062,INTACK SELF DRIVE,14/08/2018,540
WHEELED BINS,MISCELLANEOUS,Hire of luton 6.7.18 to 25.7.18,B000019686/2062,INTACK SELF DRIVE,14/08/2018,540
STREET CLEANSING,PRIVATE CONTRACTORS WORK,GRASS CUTTING AND LITTER REMOVAL PER TENDER,B000019686/34881,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,14/08/2018,540
PARKS & OPEN SPACES,MATERIALS-DIRECT,ROOT ZONE MIX 70/30 FOR SOIL RENOVATION,B000019686/2707,M C & M A STEWART (HAULAGE) LTD,14/08/2018,577.68
HYNDBURN CEMETERIES,GENERAL GROUNDS MAINTENANCE,INDUSTRIAL CLEANING - BACK OF ACCRINGTON,B000019686/60768,VALLEY CLEANING SERVICES LTD,14/08/2018,600
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF  22.07.18 2 ,B000019685/19414,HEADS RECRUITMENT LIMITED,14/08/2018,875.25
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  WK 22.7.18 ,B000019685/19414,HEADS RECRUITMENT LIMITED,14/08/2018,910.26
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 29.07.17 ,B000019685/19414,HEADS RECRUITMENT LIMITED,14/08/2018,910.26
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF ,B000019685/58023,BUCKINGHAM FUTURES LTD,14/08/2018,1070.42
UNDERSPENDS,FEES-ANALYSTS & CONSULTANTS,FIRE MARSHALL TRAINING ,B000019686/60285,LIBERATA UK LIMITED,14/08/2018,1100
ACCRINGTON CREMATORIUM,NEW EQUIPMENT,Media/Music System Support Charge - Crem,B000019686/55609,OBITUS (VIVEDIA LTD),14/08/2018,1198
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF  WK 16.7.18 TO 22.7.18 ,B000019685/58023,BUCKINGHAM FUTURES LTD,14/08/2018,1284.92
UNDERSPENDS,TRAINING EXPENSES,FIRE MARSHALL TRAINING ,B000019686/60107,FIRE COMPLIANCE MANAGEMENT SERVICES,14/08/2018,1485
WILLOWS LANE DEPOT,PENDLE - OUT OF HOURS,"LONE WORKER ANNUAL CHARGE TO MARCH 19, INCLUDING 60 CALLS PER MONTH",B000019685/59807,SECTOR SECURITY SERVICES,14/08/2018,2701.8
RECYCLING COLLECTION,WASTE DISPOSAL CHARGES,GLASS PLASTICS AND CANS FROM HYNDBURN 18-6-18 TO 22-6-18,B000019685/33025,RISHTON WASTE PAPER LTD,14/08/2018,3229.1
RHYDDINGS PARK COACH HSE&GRDN,MISCELLANEOUS,RHYDDINGS PARK GARDEN AND COACH HOUSE INTERIM FEES,B000019685/48678,SUNDERLAND PEACOCK & ASSOCIATES LTD,14/08/2018,3626.25
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF WK 23.07.18,B000019685/55740,RAPID RECRUITMENT LTD,14/08/2018,4150.14
HEALTH FOOD & SAFETY,CIVICA MOBILE WORKING,JULY SERVICE 2018,B000019685/17209,CIVICA UK LIMITED,14/08/2018,4422
VEHICLE MAINT SUPERVISION,FUEL STOCK,CROWN DIESEL 26000 LTR 104.40 PER LTR 30.07.18,B000019685/7658,SAMUEL COOKE & CO LTD,14/08/2018,27144
CREMATOR PURCHASE,CONTRACTOR OTHER,TENDER EXERCISE.,B000019686/28418,FACULTATIEVE TECHNOLOGIES,14/08/2018,39953.8
WHEELED BINS,EQUIPMENT,240LTR BROWN BINS TO HYNDBURN SPEC X 7560.00,B000019685/59653,MGB PLASTICS,14/08/2018,111510
RHYDDINGS PARK COACH HSE&GRDN,MISCELLANEOUS,RHYDDINGS PARK COACH HOUSE AND KITCHEN INTERIM PAYMENT 10,B000019685/7524,ROSS LEE CONSTRUCTION LTD,14/08/2018,213955.2
LOCAL TAXATION,LEGAL FEES,COLLECTION SERVICES,B000019688/49780,ROSSENDALES COLLECT LTD,15/08/2018,309.53
ACCRINGTON MARKET,ASSET MAINT R&M,REPAIRS TO MAIN ENTRANCE DOOR,B000019687/37111,AUTOMATIC DOOR COMPANY,15/08/2018,335
CHRISTMAS DECS & AMENITY COSTS,WORK DONE DLO-HIGHWAYS,CALL OUT TO DAMAGED DECORATIONS,B000019690/27030,LIGHTING AND BUILDING SERVICES LTD,15/08/2018,425
CHRISTMAS DECS & AMENITY COSTS,WORK DONE DLO-HIGHWAYS,CALL OUT - ST JAMES CAR PARK,B000019690/27030,LIGHTING AND BUILDING SERVICES LTD,15/08/2018,472.5
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 3.8.18,B000019688/59823,HAYS,15/08/2018,543.36
SCAITCLIFFE HOUSE,ASSET MAINT R&M,WORKS TO INTERCONNECTING DOORS ON RECEPTION,B000019687/24998,BELLIT SECURITY LIMITED,15/08/2018,560
ACCRINGTON MARKET,ASSET MAINT R&M,FAULT ON FIRE ALARM,B000019690/24998,BELLIT SECURITY LIMITED,15/08/2018,560.5
PARKS & OPEN SPACES,ASSET MAINT R&M,CHANGE LOCKS AT HIGHAMS,B000019687/45450,MERCERS BUILDERS LTD,15/08/2018,646
ACCRINGTON MARKET,ASSET MAINT R&M,UPGRADE ELECTRICAL SUPPLY TO FOOD BAR,B000019690/27030,LIGHTING AND BUILDING SERVICES LTD,15/08/2018,800
WOODNOOK STRATEGIC ACQUISITION,SECURING PREMISES,SECURITY  - JULY 18,B000019688/48843,CLEARWAY ENV SERVICES (UK) LTD,15/08/2018,814
ACC TOWN HALL,CLEANING OF BUILDINGS,BROADWAY CLEANNG - JUNE 18,B000019688/29112,HYNDBURN LEISURE,15/08/2018,860.54
ACC TOWN HALL,CLEANING OF BUILDINGS,CLEANING - JULY 18,B000019688/29112,HYNDBURN LEISURE,15/08/2018,860.54
PARKS & OPEN SPACES,ASSET MAINT R&M,REPAIRS TO FENCE- M65 KNUZDEN,B000019690/27030,LIGHTING AND BUILDING SERVICES LTD,15/08/2018,975
DEVELOPMENT,AGENCY STAFF,TEMP STAFF W/E 27.7.18,B000019688/59823,HAYS,15/08/2018,1026.19
DEVELOPMENT,AGENCY STAFF,TEMP STAFF W/E 3.8.18,B000019688/59823,HAYS,15/08/2018,1134.65
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 27.7.18,B000019688/59823,HAYS,15/08/2018,1188.48
ACC TOWN HALL,ELECTRICITY,A.T.H - JULY 18,B000019687/59343,EDF ENERGY,15/08/2018,1284.66
ACC TOWN HALL,ASSET MAINT R&M,PALS  MURAL WRAP TESTING,B000019687/56378,RUTTERS,15/08/2018,1895
ACC TOWN HALL,CLEANING OF BUILDINGS,UTILITY COSTS APR-JUN 18,B000019688/29112,HYNDBURN LEISURE,15/08/2018,1962.04
ACCRINGTON MARKET,ELECTRICITY,MARKET HALL - JULY 18,B000019687/59343,EDF ENERGY,15/08/2018,2166.03
CORPORATE PROPERTY,ASSET MAINT R&M,DRY ROT TREATMENT,B000019687/21510,STONE OAK LTD,15/08/2018,3030
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019688/34573,MR R WILCOCK,15/08/2018,5232
REGISTRATION OF ELECTORS,CANVASS,ENVELOPES AND FORMS,B000019687/44031,PRINT IMAGE NETWORK LTD,15/08/2018,5484.93
ACC TC CCTV,PRIVATE CONTRACTORS WORK,CCTV - JUNE 18,B000019687/552,BLACKBURN WITH DARWEN BOROUGH COUNCIL,15/08/2018,7316.37
ACC TC CCTV,PRIVATE CONTRACTORS WORK,CCTV - MAY 18,B000019687/552,BLACKBURN WITH DARWEN BOROUGH COUNCIL,15/08/2018,7560.24
INSURANCES,EXCESS PAYMENTS,INSURANCE CLAIM 858251,B000019690/60868,TRAVELERS,15/08/2018,8154.25
LYNDON PF SPORTS FACILITIES,CONTRACTOR OTHER,"WOOD ST, G-H",B000019688/57454,REILLY DEVELOPMENT LTD,15/08/2018,9745.09
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019688/21792,H & M BUILDING & JOINERY LTD,15/08/2018,11875
VEHICLE MAINT SUPERVISION,IMPLEMENTS & TOOLS,VARIOUS W CHOP ITMES,B000019698/8459,EXPRESS CUTTING & WELDING SERVICES LTD,20/08/2018,275.11
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,TRASH SCREENS IN BAXENDEN,B000019695/38733,MARCHBRIDGE BUILDERS LTD,20/08/2018,506.7
HOUSING BENEFIT ADMINISTRATION,LICENCES- OPERATORS,TEMP STAFF W/E 12.8.18,B000019695/46341,MORGAN HUNT UK LTD,20/08/2018,648.9
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 5.8.18,B000019695/46341,MORGAN HUNT UK LTD,20/08/2018,942.02
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,TYRES,B000019698/29877,ROSSENDALE VULCANISING (SALES LTD),20/08/2018,1338
COMPUTER SERVICES,PRINTER/ COPIER RENTAL & MAINT,4.5.18 TO 3.8.18 - COPIER CHARGES,B000019695/31105,KONICA MINOLTA B S EAST LTD,20/08/2018,1467.92
ACCOUNTANCY,GENERAL SUBSCRIPTIONS,TIS ONLINE 2018/19,B000019697/44171,CIPFA BUSINES LIMITED,20/08/2018,1540
HOUSING BENEFIT ADMINISTRATION,OTHER FEES,UNIVERSAL CREDIT SUPPORT - JULY 18,B000019695/60659,CITIZENS ADVICE ROSSENDALE & HYNDBURN LTD,20/08/2018,1701
MAINT. OF H'WAYS & CYCLEWAYS,WORK DONE DLO-HIGHWAYS,SERVICE-SUPPLY & INSTALL BOLLARDS ,B000019694/52330,JOHN WADE GROUNDWORKS LTD,20/08/2018,2585
GREEN INFRASTRUCTURE,FEES-ANALYSTS & CONSULTANTS,TREE CASES ON APPEAL,B000019697/60874,PEAKE ACTIVE TREE MANAGEMENT,20/08/2018,4130
TIPPING CHARGES,HIRED VEHICLE,TIPPER HIRE FOR WILLOWS LANE BAYS 15.08.18 REF 363706,B000019701/7871,STANLEY BROS TIPPERS LTD,21/08/2018,390
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE FOR WILLOWS LANE TIP BAYS 6.8.18 REF 336220,B000019701/7871,STANLEY BROS TIPPERS LTD,21/08/2018,390
PARKS & OPEN SPACES,AGENCY STAFF, AGENCY STAFF WK 5/8/18 ,B000019701/19414,HEADS RECRUITMENT LIMITED,21/08/2018,910.26
VEHICLE MAINT SUPERVISION,FUEL STOCK,GAS OIL BULK 3000 LTR @ 58.20 31.07.18,B000019701/7658,SAMUEL COOKE & CO LTD,21/08/2018,1746
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF  WK 6/8/18 7 ,B000019701/55740,RAPID RECRUITMENT LTD,21/08/2018,2500.25
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,3RD PARTY CONTRIBUTION FOR ADMINISTRATION OF LANCASHIRE ENVIRONMENTAL FUND GRANT AWARD REF LEF1763,B000019701/60889,LANCASHIRE ENVIRONMENTAL FUND,21/08/2018,3300
RECYCLING COLLECTION,WASTE DISPOSAL CHARGES,"JULY TONNAGE, PLASTICS AND CANS TOTAL WEIGHT 268.920 KGS @ £35 PER TONNE",B000019701/33025,RISHTON WASTE PAPER LTD,21/08/2018,9412.2
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,REMOVE 3 HANGING BRANCHES AND ONE DEAD TREE,B000019704/22189,ROY CATTERMOLE (TREE SURGEON),22/08/2018,300
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,EXHAUST BRAKES,B000019706/1918,HYDRAIR,22/08/2018,395
WILLOWS LANE DEPOT,ASSET MAINT R&M,REFIX COPING STONES. WILLOWS LANE,B000019705/37017,PILKINGTON BROS (CHURCH) LTD,22/08/2018,400.9
LIBRARY ST DEPOT,WATER CHARGES,CVMU - 6.5.18-8.8.18,B000019706/8325,WATER PLUS LTD,22/08/2018,1197.71
LICENSING,EQUIPMENT-RESALE,TAXI LICENSING GOODS,B000019703/21487,VIP-SYSTEM LTD,22/08/2018,1813.15
"AUDIT, BANK & TREASURY FEES",FEES-ANALYSTS & CONSULTANTS,TREASURY SERVICES 19.04.18 - 18.04.18,B000019705/60208,LINK ASSET SERVICES,22/08/2018,8500
UNDERSPENDS,CIVIC SUNDAY EXPENSES,TEMP STAFF W/E 3.8.18,B000019709/22288,ADECCO UK LIMITED,28/08/2018,377.46
UNDERSPENDS,CIVIC SUNDAY EXPENSES,TEMP STAFF W/E 12.8.18,B000019709/60568,CUMMINS MELLOR,28/08/2018,455.4
UNDERSPENDS,CIVIC SUNDAY EXPENSES,TEMP STAFF W/E 19.8.18,B000019709/60568,CUMMINS MELLOR,28/08/2018,455.4
ACCRINGTON MARKET,ELECTRICITY,CELLAR 9 - 12.5.18-13.8.18,B000019709/43682,SCOTTISH POWER,28/08/2018,492.43
DEBTORS/COLLECTORS,CIVIC SUNDAY EXPENSES,TEMP STAFF W/E 10.8.18,B000019709/22288,ADECCO UK LIMITED,28/08/2018,503.28
STREET NAMEPLATES GEN,WORK DONE DLO-HIGHWAYS, SIGNS,B000019711/24038,G & G SIGNS,28/08/2018,507.45
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 12.8.18,B000019709/55150,VENN GROUP LIMITED,28/08/2018,581.62
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 148.18,B000019709/33923,EDEN BROWN LTD,28/08/2018,907.73
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 5.8.18,B000019709/55150,VENN GROUP LIMITED,28/08/2018,913.38
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 5.8.18,B000019709/33923,EDEN BROWN LTD,28/08/2018,1003.28
HOUSING BENEFIT ADMINISTRATION,LICENCES- OPERATORS,TEMP STAFF W/E 19.8.18,B000019709/46341,MORGAN HUNT UK LTD,28/08/2018,1067.08
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019709/7874,STANNAH LIFT SERVICES LIMITED,28/08/2018,1555
ACC TOWN HALL,ASSET MAINT R&M,ISSUE WITH FIRE ALARM,B000019713/24998,BELLIT SECURITY LIMITED,29/08/2018,280
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,GRANT CONTRIBUTION TO FORP FOR EVENT PROGRAMME RE: HLF PROJECT ACTIVITIES,B000019712/60670,FRIENDS OF RHYDDINGS PARK,29/08/2018,500
ACCRINGTON MARKET,WATER CHARGES,MARKET - 28.6.18-27.7.18,B000019713/8325,WATER PLUS LTD,29/08/2018,622.78
ACCRINGTON MARKET,GENERAL REPAIR & MAINT BLDGS,7 X HYGIENE UNITS,B000019713/7750,SHORROCK TRICHEM,29/08/2018,642.25
ACCRINGTON MARKET,RENT AND HIRE OF PREMISES,29.9.18 TO 24.12.18 - PEEL ST KIOSKS,B000019713/48913,THREADNEEDLE UK PROPERTY TRUST,29/08/2018,683.9
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF FOOD SAGETY. A.GEE  6-8-18 TO 12-8-18 AND 13-8-18 TO 19-8-18,B000019712/58023,BUCKINGHAM FUTURES LTD,29/08/2018,755.99
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,"3 EVENTS AT RHYDDINGS PARK FOR FORP, 28-30TH AUGUST 2018",B000019712/47786,HYNDBURN ARTS LIMITED,29/08/2018,833.33
PARKS & OPEN SPACES,PROTECTIVE CLOTHING,AGENCY STAFF WK 12.8.18 ,B000019712/19414,HEADS RECRUITMENT LIMITED,29/08/2018,910.26
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF WK 29.07.18,B000019712/19414,HEADS RECRUITMENT LIMITED,29/08/2018,910.26
HYNDBURN CEMETERIES,AGENCY STAFF, AGENCY STAFF WK 5.8.18 ,B000019712/19414,HEADS RECRUITMENT LIMITED,29/08/2018,910.26
ACC TC CCTV,PRIVATE CONTRACTORS WORK,CCTV MONITOR JUL 18,B000019713/552,BLACKBURN WITH DARWEN BOROUGH COUNCIL,29/08/2018,7560.24
ACCRINGTON CREMATORIUM,NEW EQUIPMENT,Single Scroll Floral Tribute Stands,B000019717/27901,TELESHORE (UK) LTD,31/08/2018,265
LEGAL SERVICES,PUBLICATIONS & PERIODICALS,CROSS LOCAL GOVT LAW,B000019716/50652,THOMSON REUTERS,31/08/2018,337
HAWORTH ART GALLERY,SALE OR RETURN SHOP ITEMS,SHOP SALES - AUG 18,B000019719/70,A SANDERS & D WALLACE,31/08/2018,344
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,TREE WORKS AT THE WOODLANDS CLAYTON LE MOORS,B000019717/22189,ROY CATTERMOLE (TREE SURGEON),31/08/2018,420
ALLOTMENTS,WATER CHARGES,16.5.18 - 22.8.18 - NORDEN,B000019718/8325,WATER PLUS LTD,31/08/2018,758.47
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 26.8.18,B000019716/46341,MORGAN HUNT UK LTD,31/08/2018,763.8
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 19.8.18,B000019716/55150,VENN GROUP LIMITED,31/08/2018,837.98
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 19.8.18,B000019716/46341,MORGAN HUNT UK LTD,31/08/2018,942.02
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 12.8.18,B000019716/46341,MORGAN HUNT UK LTD,31/08/2018,942.02
HOUSING BENEFIT ADMINISTRATION,LICENCES- OPERATORS,TEMP STAFF W/E 26.8.18,B000019716/46341,MORGAN HUNT UK LTD,31/08/2018,1036.8
WILLOWS LANE DEPOT,LICENCES,WILLOWS LANE SITE LICENCE FOR 2018-19,B000019717/59657,ENVIRONMENT AGENCY,31/08/2018,2875
REFUSE/CLEANSING ADMIN STAFF,FIRE RISK ASSESSMENTS,FLOOR PLAN DRAWINGS,B000019717/60107,FIRE COMPLIANCE MANAGEMENT SERVICES,31/08/2018,3475
CORPORATE PROPERTY,ASSET MAINT R&M,REPAIR VARIOUS BOUNDARY WALLS,B000019716/45450,MERCERS BUILDERS LTD,31/08/2018,10108
CREMATOR PURCHASE,CONTRACTOR OTHER,WORKS AT CREMATORIUM,B000019717/28418,FACULTATIEVE TECHNOLOGIES,31/08/2018,19976.9
P&CG,CENTRAL ADMIN,STATIONERY,P-CARD-AUG 18,OFFICE DEPOT,17/07/2018,510.74
ENVIRONMENTAL SERVICES,CEMETERY,TOP SOIL,P-CARD-AUG 18,GREENVALE,25/07/2018,320
ENVIRONMENTAL SERVICES,CVMU,VEHICLE PARTS,P-CARD-AUG 18,PERRYS,31/07/2018,311.75
ENVIRONMENTAL SERVICES,CEMETERY,CONCRETE,P-CARD-AUG 18,GREENVALE,09/08/2018,308.75
ENVIRONMENTAL SERVICES,CEMETERY,CONCRETE,P-CARD-AUG 18,GREENVALE,09/08/2018,308.75
HOUSING BENEFIT ADMIN,SWIPE CARDS,JULY,30780,ALLPAY.NET LTD,14/08/2018,2037.34
HOUSING BENEFIT ADMIN,SECURITY SERVICE,G4S  JULY,30750,G4S CASH SOLUTIONS,15/08/2018,318.07
LOCAL TAXATION,SUMMONSES,HMCTS,ACC05,MINISTRY OF JUSTICE,16/08/2018,303
BANK CHARGES,BANK CHARGES,STREAMLINE,30777,NATWEST BANK,21/08/2018,1775.82
BANK CHARGES,BANK CHARGES,STREAMLINE,30777,NATWEST BANK,21/08/2018,1402.08
REFUSE COLLECTION,RENTAL & MAINT SOFTWARE,LICENCE MAINTENANCE,30778,RESCO SPOL,31/08/2018,244.34
RECYCLING COLLECTION,RENTAL & MAINT SOFTWARE,LICENCE MAINTENANCE,30778,RESCO SPOL,31/08/2018,244.34

