Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
ENVS - Environmental Services,CAF - CVMU,Check Strap & Wing L/H ,1,CRINV0000819,Dennis Eagle Limited,11/04/2024,£455.75
REGN - Regeneration & Housing,FAB - Facilities,Scaitcliffe House - Various Jobs,1,CRINV0000839,George Pearce & Sons Ltd,11/04/2024,"£3,698.40"
RESO - Resources,AAF - Finance,Engineering and Construction Renewal Period 01.04.24 - 31.03.25,1,CRINV0000842,Aon Uk Limited,11/04/2024,"£8,953.50"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Cut out and patch areas of Acc Cem & Dill Hall areas ,1,CRINV0000853,A & T Resurfacing,11/04/2024,"£6,450.00"
ENVS - Environmental Services,CAE - Waste Services,Repairs,1,CRINV0000858,Summit Auto Bodies,11/04/2024,"£1,046.75"
ENVS - Environmental Services,CAA - Environmental Maintenance,Consultancy Fees,1,CRINV0000871,Rider Levett Bucknall Uk Ltd,11/04/2024,"£4,399.99"
ENVS - Environmental Services,CAA - Environmental Maintenance,Consultancy Fees,2,CRINV0000871,Rider Levett Bucknall Uk Ltd,11/04/2024,"£4,400.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Consultancy Fees,3,CRINV0000871,Rider Levett Bucknall Uk Ltd,11/04/2024,"£4,400.01"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional Services December 2023,1,CRINV0000873,Rider Levett Bucknall Uk Ltd,11/04/2024,"£5,280.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional Services December 2023,2,CRINV0000873,Rider Levett Bucknall Uk Ltd,11/04/2024,"£5,280.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional Services December 2023,3,CRINV0000873,Rider Levett Bucknall Uk Ltd,11/04/2024,"£5,280.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Consultancy Services,1,CRINV0000876,Rider Levett Bucknall Uk Ltd,11/04/2024,"£3,920.01"
ENVS - Environmental Services,CAA - Environmental Maintenance,Consultancy Services,2,CRINV0000876,Rider Levett Bucknall Uk Ltd,11/04/2024,"£3,920.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Consultancy Services,3,CRINV0000876,Rider Levett Bucknall Uk Ltd,11/04/2024,"£3,919.99"
REGN - Regeneration & Housing,FAB - Facilities,Peel Park Bowles Pavilion - Replace missing parts in toilets and kitchen,1,CRINV0001057,Lancashire Gas Services,11/04/2024,£373.80
REGN - Regeneration & Housing,FAB - Facilities,8 Metre flagpole - Gatty Park,1,CRINV0001064,Glassfibre Flagpoles Limited,11/04/2024,£336.00
REGN - Regeneration & Housing,FAB - Facilities,1 Metre flagpole - Oakhill Park,2,CRINV0001064,Glassfibre Flagpoles Limited,11/04/2024,£336.00
REGN - Regeneration & Housing,FAB - Facilities,1 Metre flagpole - Belthorn Rd,3,CRINV0001064,Glassfibre Flagpoles Limited,11/04/2024,£336.00
REGN - Regeneration & Housing,FAB - Facilities,Electricity for 01/03/2024 - 31/03/2024,1,CRINV0001083,EDF - 8950977786 Community Hub Fielding Ln,11/04/2024,"£1,505.45"
REGN - Regeneration & Housing,FAB - Facilities,Electricity 01/03/2024 - 31/03/2024,1,CRINV0001084,EDF - 682823573 Vehicle Maintenance Depot,11/04/2024,"£5,262.56"
RESO - Resources,AAB - Benefits & Customer Contact,Legal and Professional Fees,1,CRINV0001118,Farleys Solicitors LLP,11/04/2024,"£5,094.00"
ENVS - Environmental Services,CAF - CVMU,Breakdown call outs and new tyres,1,CRINV0001119,Rossendale Vulcanising (Sales Ltd),11/04/2024,"£7,950.00"
RESO - Resources,AAB - Benefits & Customer Contact,Legal and Professional Fees,1,CRINV0001121,Farleys Solicitors LLP,11/04/2024,"£5,094.00"
RESO - Resources,AAF - Finance,Chris21 Software View Only Licence,1,CRINV0000795,Frontier Software Plc,14/04/2024,"£8,605.96"
ENVS - Environmental Services,CAE - Waste Services,01/04/2024 - 31/03/2025,1,CRINV0000801,"Water Plus - 4033407084 - Depot, Willows Lane",14/04/2024,"£9,403.57"
REGN - Regeneration & Housing,FAB - Facilities,Great Harwood Clock Tower- 1 year remote access ,1,CRINV0000804,L I T E,14/04/2024,£345.60
REGN - Regeneration & Housing,FAD - Housing Advice,Rent Deposit,1,CRINV0000816,Intus Lettings,14/04/2024,£692.00
REGN - Regeneration & Housing,FAB - Facilities,Period 01.04.24 - 01.04.25,1,CRINV0000826,Water Plus - 7003430478 Oswaldtwistle Civic Theatr,14/04/2024,"£1,292.10"
REGN - Regeneration & Housing,FAB - Facilities,Period 01.04.24 - 01.04.25,2,CRINV0000826,Water Plus - 7003430478 Oswaldtwistle Civic Theatr,14/04/2024,"£1,533.65"
REGN - Regeneration & Housing,FAB - Facilities,Period: 1.4.24 to 31.3.25,1,CRINV0000872,United Utilities - 4290419380 5 Elmfield Hall Flat,14/04/2024,£291.64
RESO - Resources,AAB - Benefits & Customer Contact,Recovery Agent 03/02/2024 - 24/02/2024,1,CRINV0000897,Marston (Holdings) Ltd,14/04/2024,"£1,063.98"
RESO - Resources,AAB - Benefits & Customer Contact,Recovery Agent Costs,1,CRINV0000900,Marston (Holdings) Ltd,14/04/2024,£279.20
RESO - Resources,AAB - Benefits & Customer Contact,Recovery Agent Costs,1,CRINV0000905,Rundles,14/04/2024,£400.20
RESO - Resources,AAG - Management Resources,Community Chest Grant - CC023,1,CRINV0000914,Friends Of Rhyddings Park,14/04/2024,"£1,000.00"
RESO - Resources,AAG - Management Resources,Community Chest Grant - CC073,1,CRINV0000922,Community Solutions North West Ltd,14/04/2024,"£2,200.00"
RESO - Resources,AAG - Management Resources,Community Chest Grant - CC052,1,CRINV0000926,St Marys Football Club,14/04/2024,"£1,000.00"
RESO - Resources,AAG - Management Resources,Community Chest Grant - CC054,1,CRINV0000928,Rishton People`s Centre,14/04/2024,"£1,700.00"
RESO - Resources,AAB - Benefits & Customer Contact,Professional charges,1,CRINV0000930,Greenhalgh Kerr,14/04/2024,£422.60
REGN - Regeneration & Housing,FAD - Housing Advice,Accomm  11.03.24 - 12.04.24,1,CRINV0000937,Hotel 99,14/04/2024,"£6,560.00"
REGN - Regeneration & Housing,FAD - Housing Advice,19 nights stay 11.03.24 - 30.03.24 -,1,CRINV0000938,Hotel 99,14/04/2024,"£1,995.00"
RESO - Resources,AAF - Finance,Fleet Rated Commercial Motor Insurance 01/04/2024 - 31/03/2025,1,CRINV0000946,Aon Uk Limited,14/04/2024,"£62,045.76"
RESO - Resources,AAF - Finance,Engineering Computers Insurance Period 01/04/2024 - 31/03/2025,1,CRINV0000949,Aon Uk Limited,14/04/2024,"£1,418.23"
RESO - Resources,AAF - Finance,Commercial Combined New Business - Insurance 01/04/2024 - 31/03/2025,1,CRINV0000951,Aon Uk Limited,14/04/2024,"£6,492.12"
RESO - Resources,AAF - Finance,Commerical Combined New Business - Insurance  01/04/2024 - 31/03/2025,1,CRINV0000952,Aon Uk Limited,14/04/2024,"£59,566.52"
RESO - Resources,AAF - Finance,PA and Business Travel Renewal  01/04/2024 - 31/03/2025,1,CRINV0000953,Aon Uk Limited,14/04/2024,£408.80
RESO - Resources,AAF - Finance,Terrorism Renewal Insurance Policy  01/04/2024 - 31/03/2025,1,CRINV0000954,Aon Uk Limited,14/04/2024,"£6,658.67"
RESO - Resources,AAB - Benefits & Customer Contact,AB Postage - all apps,1,CRINV0000524,Critiqom,16/04/2024,"£11,555.67"
RESO - Resources,AAB - Benefits & Customer Contact,AB Postage  -all apps,2,CRINV0000524,Critiqom,16/04/2024,"£11,555.67"
RESO - Resources,AAA - Assurance,Licence fee 1.4.24 to 31.3.25,1,CRINV0000798,Tameside MBC,16/04/2024,"£2,000.00"
PLAN - Planning & Transportation,EAD - Planning,Temp Staff w/e 21/01/24 ,1,CRINV0000813,Carrington West Limited,16/04/2024,£543.66
PLAN - Planning & Transportation,EAD - Planning,Temp Staff W/E 18/02/24 ,1,CRINV0000814,Carrington West Limited,16/04/2024,"£1,254.60"
PLAN - Planning & Transportation,EAD - Planning,Temp Staff W/E 25/02/24 ,1,CRINV0000815,Carrington West Limited,16/04/2024,"£1,568.26"
PLAN - Planning & Transportation,EAD - Planning,Temp Staff W/E 17/03/24 ,1,CRINV0000817,Carrington West Limited,16/04/2024,"£1,568.26"
PLAN - Planning & Transportation,EAD - Planning,Temp Staff W/E 28/01/24 ,1,CRINV0000818,Carrington West Limited,16/04/2024,"£1,108.23"
ENVS - Environmental Services,CAA - Environmental Maintenance,Property consulting fees - Stage 3 tender execution - 40% payable upon completion of evaluation/moderation process,1,CRINV0000877,CBRE Ltd,16/04/2024,"£15,120.00"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - p/e 10.03.24,1,CRINV0000887,Carrington West Limited,16/04/2024,"£1,568.26"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - p/e 04.02.24 ,1,CRINV0000890,Carrington West Limited,16/04/2024,"£1,045.50"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - p/e 24.03.24 ,1,CRINV0000892,Carrington West Limited,16/04/2024,"£1,568.26"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - p/e 11.02.24,1,CRINV0000894,Carrington West Limited,16/04/2024,"£1,129.14"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - p/e 03.03.24 ,1,CRINV0000939,Carrington West Limited,16/04/2024,"£1,568.26"
LEGL - Legal & Democratic,DAB - Human Resources,3 Day AutoCad Training - 15-17 April,1,CRINV0001039,Armada Training Solutions Ltd,16/04/2024,£594.00
LEGL - Legal & Democratic,DAB - Human Resources,Acc Station- Consumer venue,1,CRINV0001049,Atlas Uk,16/04/2024,"£1,350.00"
REGN - Regeneration & Housing,FAB - Facilities,Attend site isolate and remove existing water heater ,1,CRINV0001059,Lancashire Gas Services,16/04/2024,£576.00
REGN - Regeneration & Housing,FAB - Facilities,Memorial Park pavilion - roof has leaked and tripped electrics,1,CRINV0001061,Pilkington Bros (Church) Ltd,16/04/2024,"£1,263.44"
REGN - Regeneration & Housing,FAB - Facilities,Various works at Haworth Art Gallery,1,CRINV0001080,Stone Central,16/04/2024,"£10,736.29"
RESO - Resources,AAF - Finance,Precept 2024/25,1,CRINV0001090,Altham Parish Council,16/04/2024,"£13,688.06"
RESO - Resources,AAF - Finance, Premium  period 1st April 2024 - 31 March 2025,1,CRINV0001094,Metlife,16/04/2024,"£14,789.00"
ENVS - Environmental Services,CAE - Waste Services,Hazardous waste bag service,1,CRINV0001100,Rentokil Initial Uk Ltd,16/04/2024,£276.58
RESO - Resources,AAF - Finance,Broking Fee,1,CRINV0001145,Aon Uk Limited,16/04/2024,"£7,867.50"
ENVS - Environmental Services,CAA - Environmental Maintenance,Acc Town Square - Payment 4,1,CRINV0001170,Morgan Sindall Construction & Infrastructure Ltd,16/04/2024,"£46,245.42"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Works at St James Church,1,CRINV0001173,L I T E,16/04/2024,£744.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Paving,1,CRINV0001174,HardScape Products Ltd,16/04/2024,"£10,419.84"
ENVS - Environmental Services,CAC - Parks & Cemeteries,CCTV Hire - 2-Mar-24 to 29-Mar-24,1,CRINV0001176,Ross Lee Construction Ltd,16/04/2024,"£1,056.00"
ENVS - Environmental Services,CAE - Waste Services,11 Hazardous Wastebags Service ,1,CRINV0001200,Rentokil Initial Uk Ltd,16/04/2024,£276.58
ENVS - Environmental Services,CAB - Other Environmental Services,1000 x Adblue Delivered,1,CRINV0001208,J E Morten Ltd,16/04/2024,£444.00
RESO - Resources,AAB - Benefits & Customer Contact,Professional Fees,1,CRINV0001209,Stephensons Solicitors LLP,16/04/2024,£851.04
RESO - Resources,AAB - Benefits & Customer Contact,Professional Fees,2,CRINV0001209,Stephensons Solicitors LLP,16/04/2024,"£2,902.00"
REGN - Regeneration & Housing,FAB - Facilities,Disabled Facilities Grant 11538 ,1,CRINV0001231,Stiltz,16/04/2024,"£14,225.00"
RESO - Resources,AAF - Finance,Bond Interest 23-24,1,CRINV0001252,Clayton-Le-Moors Relief In Need,16/04/2024,£352.78
RESO - Resources,AAF - Finance,Bond Interest 23-24,1,CRINV0001253,Church & Oswaldtwistle Charity,16/04/2024,£781.16
ENVS - Environmental Services,CAA - Environmental Maintenance,Grass cutting of Highway verges,1,CRINV0001256,Grounds Gardens & Trees Ltd,16/04/2024,"£21,631.34"
ENVS - Environmental Services,CAA - Environmental Maintenance,Legal Advice,1,CRINV0001257,Done Brothers (Cash Betting) Ltd,16/04/2024,"£3,360.00"
ENVH - Environmental Health,BAA - Housing Standards,Temp Staff w/c 01/04/24 ,1,CRINV0001259,Oyster Partnership,16/04/2024,"£1,419.60"
ENVH - Environmental Health,BAA - Housing Standards,Temp Staff w/c 01/04/24 ,1,CRINV0001260,Oyster Partnership,16/04/2024,£936.00
REGN - Regeneration & Housing,FAB - Facilities,Period: 03-Mar-24 to 31-Mar-24,1,CRINV0001269,Corona Energy - 60161120 Oswaldtwistle Civic Theat,16/04/2024,"£1,127.28"
RESO - Resources,AAB - Benefits & Customer Contact,Fees and Charges All Pay 2022-2028,1,CRINV0001275,Cheshire East Council,16/04/2024,"£2,400.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Accrington Town Square Valuation ,1,CRINV0001279,Krol Corlett Construction Limited,16/04/2024,"£48,303.82"
ENVS - Environmental Services,CAA - Environmental Maintenance,Accrington Town Square - Valuation,2,CRINV0001279,Krol Corlett Construction Limited,16/04/2024,"£19,086.14"
ENVS - Environmental Services,CAC - Parks & Cemeteries,4 Oak Putlogs,1,CRINV0001280,Leslie R Tipping Limited,16/04/2024,£597.12
ENVS - Environmental Services,CAC - Parks & Cemeteries,Clear all rain water gullies,1,CRINV0001312,L D Dirt Warriors Ltd,16/04/2024,£265.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Clear all rain water gullies - Acc Cem,1,CRINV0001313,L D Dirt Warriors Ltd,16/04/2024,£700.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Install new land drain - St James church grounds,1,CRINV0001326,L I T E,16/04/2024,"£7,948.80"
LEGL - Legal & Democratic,DAI - Land Charges,For searches carried out - Feb 2024 ,1,CRINV0000222,Lancashire County Council,18/04/2024,£281.16
LEGL - Legal & Democratic,DAJ - Corporate Support,Photocopying charges - 05.12.23 - 11.03.24,1,CRINV0000391,Aurora Managed Services Ltd,18/04/2024,£255.10
ENVS - Environmental Services,CAA - Environmental Maintenance,Freehold cost ,1,CRINV0000782,Kashmir Property Investments,18/04/2024,"£377,275.00"
REGN - Regeneration & Housing,FAB - Facilities,Ease Doors -  Lowerfold Service Building,1,CRINV0000829,George Pearce & Sons Ltd,18/04/2024,£292.80
ENVS - Environmental Services,CAA - Environmental Maintenance,1 Monthly Website Support - March 2024,1,CRINV0000846,Media Village,18/04/2024,£528.00
ENVH - Environmental Health,BAB - Environmental Protection,GGP Windows - From 01.04.24 - 31.03.25,1,CRINV0000856,Ggp Systems Ltd,18/04/2024,"£1,275.19"
PLAN - Planning & Transportation,EAA - Building Control,Agency staff = w/e 24.03.24 ,1,CRINV0000862,Matchtech Group (UK) Limited,18/04/2024,"£1,116.00"
PLAN - Planning & Transportation,EAD - Planning,Retail Audit -  Further Advice,1,CRINV0000868,Urban Agile Ltd,18/04/2024,£420.00
LEGL - Legal & Democratic,DAB - Human Resources,Course Fee,1,CRINV0000869,GEM,18/04/2024,£340.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Funerals - Feb 24,1,CRINV0000898,Obitus (Vivedia Ltd),18/04/2024,"£1,789.20"
RESO - Resources,AAB - Benefits & Customer Contact,One Cloud - 1.4.24 to 31.3.25,1,CRINV0000982,Capita  Business Services Ltd,18/04/2024,"£60,552.47"
RESO - Resources,AAB - Benefits & Customer Contact,One Cloud - 1.4.24 to 31.3.25,2,CRINV0000982,Capita  Business Services Ltd,18/04/2024,"£60,552.47"
RESO - Resources,AAB - Benefits & Customer Contact,One Cloud - 1.4.24 to 31.3.25,3,CRINV0000982,Capita  Business Services Ltd,18/04/2024,"£30,276.22"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 31.03.24 ,1,CRINV0000990,Macdonald & Company,18/04/2024,£766.70
RESO - Resources,AAB - Benefits & Customer Contact,Debt collection fees,1,CRINV0001044,Marston (Holdings) Ltd,18/04/2024,£432.70
ENVS - Environmental Services,CAF - CVMU,Travel to site and do some welding,1,CRINV0001067,Monks Contractors Limited,18/04/2024,"£1,944.00"
REGN - Regeneration & Housing,FAB - Facilities,Electricity Accrington Market Hall - 01/03/2024 - 31/03/2024,1,CRINV0001070,EDF - 5091617368 Accrington Market Blackburn Rd,18/04/2024,"£7,751.03"
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM Alarm annual monitoring - April 2024 - March 2025 - CVMU (Mess Room),1,CRINV0001081,Full Circuit Fire & Security Ltd,18/04/2024,£162.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM Alarm Annual Monitoring - April 2024 - March 2025 - B Walmsley Changing Pavilion (Foxhill / Whiteash),2,CRINV0001081,Full Circuit Fire & Security Ltd,18/04/2024,£162.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM Alarm Annual Monitoring - April 2024 - March 2025 - Oakhill Park Service Building,3,CRINV0001081,Full Circuit Fire & Security Ltd,18/04/2024,£318.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM Alarm Annual Monitoring - April 2024 - March 2024 - Oakhill Park Tennis Pavilion,4,CRINV0001081,Full Circuit Fire & Security Ltd,18/04/2024,£162.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM Alarm Annual Monitoring - April 2024 - March 2025 - Oakhill Park Bandstand,5,CRINV0001081,Full Circuit Fire & Security Ltd,18/04/2024,£162.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM Alarm Annual Monitoring - April 2024 - March 2025 - Milnshaw Park Bowl Pavilion,6,CRINV0001081,Full Circuit Fire & Security Ltd,18/04/2024,£162.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM Alarm Annual Monitoring - April 2024 - March 2025 - Bullough Park Changing Pavilion,7,CRINV0001081,Full Circuit Fire & Security Ltd,18/04/2024,£162.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM Alarm Annual Monitoring - April 2024 - March 2025 - Memorial Park Pavilion,8,CRINV0001081,Full Circuit Fire & Security Ltd,18/04/2024,£162.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM Alarm Annual Monitoring - April 2024 - March 2025 - Oswaldtwistle Civic Theatre,9,CRINV0001081,Full Circuit Fire & Security Ltd,18/04/2024,£324.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM Alarm Annual Monitoring - April 2024 - March 2025 - Accrington Cemetery Service Building,10,CRINV0001081,Full Circuit Fire & Security Ltd,18/04/2024,£582.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM Fire Alarm Annual Service - April 2024 - March 2025 - CVMU (Mess Room),11,CRINV0001081,Full Circuit Fire & Security Ltd,18/04/2024,£198.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM Fire Alarm Annual Service - April 2024 - March 2025 - Oakhill Park Bandstand,12,CRINV0001081,Full Circuit Fire & Security Ltd,18/04/2024,£198.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM Fire Alarm Annual Service - April 2024 - March 2025 - Oakhill Park Tennis Pavilion,13,CRINV0001081,Full Circuit Fire & Security Ltd,18/04/2024,£198.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM Fire Alarm Annual Service - April 2024 - March 2025 - Memorial Park Playing Field Pavilion,14,CRINV0001081,Full Circuit Fire & Security Ltd,18/04/2024,£198.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM Fire Alarm Annual Service - April 2024 - March 2025 - Oswaldtwistle Civic Theatre,15,CRINV0001081,Full Circuit Fire & Security Ltd,18/04/2024,£292.80
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM CCTV Annual Maintenance - April 2024 - March 2025 - Accrington Cemetery Crematorium,1,CRINV0001082,Full Circuit Fire & Security Ltd,18/04/2024,£54.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM CCTV Annual Maintenance - April 2024 - March 2025 - Accrington Cemetery Office,2,CRINV0001082,Full Circuit Fire & Security Ltd,18/04/2024,£54.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM CCTV Annual Maintenance April 2024 - March 2025 - Accrington Market Hall,3,CRINV0001082,Full Circuit Fire & Security Ltd,18/04/2024,£54.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM CCTV Annual Maintenance - April 2024 - March 2025 - Accrington Town Hall,4,CRINV0001082,Full Circuit Fire & Security Ltd,18/04/2024,£54.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM - CCTV Annual Maintenance - April 2024 - March 2025 - Cannon Street Offices,5,CRINV0001082,Full Circuit Fire & Security Ltd,18/04/2024,£54.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM - CCTV - Annual Maintenance - April 2024 - March 2025 - Haworth Art Gallery,6,CRINV0001082,Full Circuit Fire & Security Ltd,18/04/2024,£54.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM - CCTV Annual Maintenance - April 2024 - March 2025 - Haworth Stables and Motor House,7,CRINV0001082,Full Circuit Fire & Security Ltd,18/04/2024,£54.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM CCTV Annual Maintenance - April 2024 - March 2025 - Oakhill Park Service Building,8,CRINV0001082,Full Circuit Fire & Security Ltd,18/04/2024,£54.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM - CCTV Annual Maintenance - April 2024 - March 2025 - Rhyddings Park Coach House,9,CRINV0001082,Full Circuit Fire & Security Ltd,18/04/2024,£54.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM CCTV Annual Maintenance - April 2024 - March 2025 - Scaitcliffe House,10,CRINV0001082,Full Circuit Fire & Security Ltd,18/04/2024,£66.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - PPM - CCTV Annual Maintenance - April 2024 - March 2025 - Wilsons Playing Fields Pavilion,11,CRINV0001082,Full Circuit Fire & Security Ltd,18/04/2024,£54.00
REGN - Regeneration & Housing,FAB - Facilities,Electricity Accrington Town Hall - 01/03/2024 - 31/03/2024,1,CRINV0001095,EDF - 7368808979 Accrington Town Hall,18/04/2024,"£4,528.50"
ENVS - Environmental Services,CAE - Waste Services,Repairs to skip floor and door hinge,1,CRINV0001098,Monks Contractors Limited,18/04/2024,"£1,224.00"
REGN - Regeneration & Housing,FAB - Facilities,Electricity Mercer Hall Leisure Centre - 01/03/2024 - 31/03/2024,1,CRINV0001115,EDF - 3671768478 Scaitcliffe House Ormerod St,18/04/2024,"£5,723.96"
RESO - Resources,AAB - Benefits & Customer Contact,Costs,1,CRINV0001116,Marston (Holdings) Ltd,18/04/2024,"£2,116.88"
REGN - Regeneration & Housing,FAB - Facilities,Intruder Alarm Monitoring (AIM) - April 2024 - March 2025 - Unit 15 Peel Street,1,CRINV0001131,Full Circuit Fire & Security Ltd,18/04/2024,£150.70
REGN - Regeneration & Housing,FAB - Facilities,Intruder Alarm Monitoring (AIM) - April 2024 - March 2025 - Unit 18 Peel Street,3,CRINV0001131,Full Circuit Fire & Security Ltd,18/04/2024,£150.70
