Development Control B.U.,Agency Staff,AGENCY STAFF W/E 07-01-2024,B000024592/67448,Macdonald & Company,06/02/2024,"2,511.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Policy B.U.,Agency Staff,AGENCY STAFF W/E 17-01-2024 ,B000024592/67448,Macdonald & Company,06/02/2024,"2,028.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks & Open Spaces,Printing,DRIVER RECORD BOOKS,B000024594/1344,Ellison Printing,06/02/2024,134.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuse Collection,Printing,DRIVER RECORD BOOKS,B000024594/1344,Ellison Printing,06/02/2024,134.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Cleansing,Purple Bags,LAVENDER COLOUR SACKS,B000024594/19799,Durasak,06/02/2024,"4,833.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks & Open Spaces,Materials-Direct,SUPREME PLUS REDSPOT,B000024594/57563,Bowcom,06/02/2024,"1,170.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks & Open Spaces,Protective Clothing,SAFETY BOOT SIZE 11,B000024594/666,"Bubbles, Brushes & Wiper Co Ltd",06/02/2024,87.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks & Open Spaces,Protective Clothing,SAFETY BOOT SIZE 6,B000024594/666,"Bubbles, Brushes & Wiper Co Ltd",06/02/2024,43.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks & Open Spaces,Protective Clothing,SAFETY BOOT SIZE 7,B000024594/666,"Bubbles, Brushes & Wiper Co Ltd",06/02/2024,43.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks & Open Spaces,Protective Clothing, SAFETY BOOT SIZE 8,B000024594/666,"Bubbles, Brushes & Wiper Co Ltd",06/02/2024,175.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks & Open Spaces,Protective Clothing, SAFETY BOOT SIZE 9,B000024594/666,"Bubbles, Brushes & Wiper Co Ltd",06/02/2024,131.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrington Town Centre,Event Expenditure,ROAD CLOSED AND DIVERSION SIGNAGE TO USE AT EVENTS,B000024595/2496,Lancashire County Council,06/02/2024,467.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrington Crematorium,New Equipment,NVF AND BABY TRAYS,B000024595/27901,Teleshore (Uk) Ltd,06/02/2024,650.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutwood Park Resurfacing,Contractor Other,RESURFACE PATHS IN CUTWOOD PARK,B000024595/52330,John Wade Groundworks Ltd,06/02/2024,"35,876.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks & Open Spaces,Footpath Repairs,RESURFACE PATHS IN CUTWOOD PARK,B000024595/52330,John Wade Groundworks Ltd,06/02/2024,"2,462.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks & Open Spaces,Grass Cutting Contract,RESURFACE PATHS IN CUTWOOD PARK,B000024595/52330,John Wade Groundworks Ltd,06/02/2024,"4,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willows Lane Depot,Cleaning Of Buildings,BUILDING CLEANING WILLOWS LANE,B000024595/68396,Servicemaster Cs Aaa,06/02/2024,954.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Property,General Repair & Maint Bldgs,MERCER HOUSE - INSTALLATION OF NEW SUB METERS AND CABLING ,B000024597/57949,Steven Mercer Electrical Contractors Limited,06/02/2024,688.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Property,Asset Maint R&M,3 ABBEY STREET - EICR ABORTED VISIT ,B000024597/60330,Calbarrie Compliance Services,06/02/2024,450.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Hall - Luf,Equipment Acquisition,ADDITIONAL WORKS - CABINS,B000024598/68811,Rapid Retail Ltd,06/02/2024,"11,269.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acc Town Hall,Cleaning Of Buildings,CLEANING 1-30TH SEPTEMBER,B000024592/29112,Hyndburn Leisure,08/02/2024,"1,095.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leisure In Hyndburn,Grants-General,AGREED CONTRIBUTIONS TO ARMED FORCES FREE USE OF LEISURE CENTRE OCT-DEC 2023,B000024600/29112,Hyndburn Leisure,08/02/2024,669.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024600/64557,Harris Heating (Nw) Ltd,08/02/2024,"2,635.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024600/64557,Harris Heating (Nw) Ltd,08/02/2024,"2,485.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Chambers - Luf,Consultants Fees,PROFESSIONAL FEES ACC TOWN CENTRE LEVELING UP FUND,B000024600/67812,Ma Cost Consulting Limited,08/02/2024,"8,666.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Hall - Luf,Consultants Fees,PROFESSIONAL FEES ACC TOWN CENTRE LEVELING UP FUND,B000024600/67812,Ma Cost Consulting Limited,08/02/2024,"4,333.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Control B.U.,Agency Staff,AGENCY STAFF  W/C 02.01.2024,B000024600/68990,Matchtech Group (Uk) Limited,08/02/2024,465.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Assembly & Remediation,Legal Fees,HOMES ENGLAND DEED OF VARIATION FOR LAAC PHOENIX 1D,B000024600/69039,Homes England,08/02/2024,850.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Taxation,Legal Fees,WINDING UP PETITION FEES,B000024601/55398,Stephensons Solicitors Llp,08/02/2024,"3,611.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Warmth Intervention,Contractor Other,AFFORDABLE WARMTH GRANT,B000024601/62221,Rhea Projects,08/02/2024,"2,257.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Warmth Intervention,Contractor Other,AFFORDABLE WARMTH GRANT,B000024601/62221,Rhea Projects,08/02/2024,525.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024601/64557,Harris Heating (Nw) Ltd,08/02/2024,320.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024601/68294,Artisan Windows,08/02/2024,"1,835.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024601/69027,Clear This Limited,08/02/2024,"1,055.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Works Grant,Contractor Other,EMERGENCY WORKS GRANT ,B000024601/69040,Thomas Roofs,08/02/2024,"2,570.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Services,Rental & Maint Software Misc,WATCHGUARD BASIC SEC RENEWAL 1 YEAR,B000024602/29231,Claranet Limited,08/02/2024,"1,179.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Services,Rental & Maint Software Misc,WATCHGUARD STANDARD SUPP RENEWAL 1 YR,B000024602/29231,Claranet Limited,08/02/2024,360.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing Standards,Mobiles,1 X SAMSUNG A14 HANDSET,B000024602/46800,Cloudcoco Limited,08/02/2024,155.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks & Open Spaces,Private Contractors Work,1 X SAMSUNG A14,B000024602/46800,Cloudcoco Limited,08/02/2024,152.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks & Open Spaces,Private Contractors Work,1 X SAMSUNG A14 HANDSET FOR A HALL,B000024602/46800,Cloudcoco Limited,08/02/2024,152.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Financial Package,Software,HP DESKTOP SCANNER,B000024602/52932,Insight Direct (Uk) Ltd,08/02/2024,616.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Services,Rental & Maint Software Misc,100MB CIRCUIT SH - CEMETERY 270124 TO 260125,B000024602/57313,Networking People (North West) Ltd,08/02/2024,"2,429.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024602/59806,Greenwood Plumbers,08/02/2024,"4,900.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Services,Rental & Maint Software Misc,Q4 DNS CHARGES NOV 2023 - JAN 2024,B000024602/66155,Nominet Uk,08/02/2024,422.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024602/7874,Stannah Lift Services Limited,08/02/2024,"7,370.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Financial Package,Hardware,INSTALL 3 x CAT5e CABLE AND DATA POINTS,B000024602/7968,T I S Ltd,08/02/2024,390.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENVIRONMENTAL SERVICES,CVMU,3 X FILTERS,P-Card Feb 23,BTE PLANT SALES,08/02/2024,494.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P & C G,CENTRAL ADMIN,SUBS,P-Card Feb 23,CIOB,08/02/2024,322.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P & C G,IT,3 x I PADS,P-Card Feb 23,BOUNCEPAD,09/02/2024,641.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Development Control B.U.,Agency Staff,TEMP STAFF WC 08.01.24 ,B000024568/58852,Oyster Partnership,13/02/2024,463.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Control B.U.,Agency Staff,TEMP STAFF WC 08.01.24 ,B000024568/68845,Brg Interim Solutions Limited,13/02/2024,"1,444.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markets - Operations,Asset Maint R&M,REPAIR FLUSH BUTTON IN GENTS TOILETS,B000024569/37017,Pilkington Bros (Church) Ltd,13/02/2024,210.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks & Open Spaces,Asset Maint R&M,SUPPLY BABY CHANGING TABLE - WLSONS,B000024569/37017,Pilkington Bros (Church) Ltd,13/02/2024,515.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhyddings Cafe,Asset Maint R&M,REPAIR LEAK ON HEATING SYSTEM - RHYDDINGS,B000024569/59248,Lancashire Gas Services,13/02/2024,297.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cvmu,Materials-Direct,"BRAKE PADS, DISCS AND DRUMS",B000024576/36492,Chorley Nissan,13/02/2024,388.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cvmu,Materials-Direct,ALTERNATOR,B000024576/42081,Townson Tractors,13/02/2024,301.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cvmu,Materials-Direct,"WISHBONES, BRAKES",B000024576/66006,Alliance Automotive Uk Lv T/A Jpn Autoparts,13/02/2024,277.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Services,Computer Rental & Maint,RETENTION & DISPOSAL MODULE DOC RETETION POLICY S&M,B000024577/65823,Nec Software Solutions Uk Ltd,13/02/2024,195.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing Benefit Administration,Computer Rental & Maint,RETENTION & DISPOSAL MODULE DOC RETETION POLICY S&M,B000024577/65823,Nec Software Solutions Uk Ltd,13/02/2024,390.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Taxation,Computer Rental & Maint,RETENTION & DISPOSAL MODULE DOC RETETION POLICY S&M,B000024577/65823,Nec Software Solutions Uk Ltd,13/02/2024,390.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Development Control B.U.,Advertising General,PRESS NOTICE 19.1.24,B000024577/68101,People Scout Limited,13/02/2024,226.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accountancy,Mobiles,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,32.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accountancy,New Equipment,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrington Town Centre,Mobiles,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,27.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administration Services,Mobiles,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,8.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allotments,Mobiles,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,13.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communications,Mobiles,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,43.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Services,Election Fees-Counting Votes,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Services,Mobiles,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,27.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Services,Telephones,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,160.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corp & Dem Core,Marketing Communications,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Property Bus Unit,Mobiles,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,41.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cvmu,Mobiles,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,68.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Development,Mobiles,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,69.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Development Control B.U.,Mobiles,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,140.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog Warden,Mobiles,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,13.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enforcement,Mobiles,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,51.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Protection,Mobiles,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,73.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exec Director (Legal & Dem),Mobiles,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,23.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executive Director (Env),Mobiles,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,74.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facilities Team,Mobiles,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,41.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facilities Team,New Equipment,CHARGES - 19.1.24 TO 18.2.24,B000024581/55296,Ee Limited,13/02/2024,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
