Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
PLAN - Planning & Transportation,EAD - Planning,Archaeological Advice - Year 1,1,CRINV0003772,Lancashire County Council,01/08/24,"2,255.00"
RESO - Resources,AAB - Benefits & Customer Contact,Agency staff - w/e 21.07.24 ,1,CRINV0003878,Eden Brown Limited,01/08/24,"1,212.12"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,1,CRINV0003881,Harris Heating (Nw) Ltd,01/08/24,"2,385.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Period: 29.6.24 to 30.6.24,1,CRINV0003916,E.On Next Energy - A-54DE8BBA,01/08/24,368.58
REGN - Regeneration & Housing,FAB - Facilities,Risk assessment remedial work,1,CRINV0003926,Pennine Fire & Safety Limited,01/08/24,538.08
REGN - Regeneration & Housing,FAD - Housing Advice,Rent Deposit ,1,CRINV0003936,Eafield & Maple,01/08/24,600.00
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,1,CRINV0003939,Harris Heating (Nw) Ltd,01/08/24,"2,395.00"
REGN - Regeneration & Housing,FAB - Facilities,Install emergency lighting at Wilsons,1,CRINV0003944,Steven Mercer Electrical Contractors Limited,01/08/24,"1,978.50"
REGN - Regeneration & Housing,FAB - Facilities,Emergency lighting at Broadway,1,CRINV0003945,Steven Mercer Electrical Contractors Limited,01/08/24,"1,380.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Costs - June 24,1,CRINV0003950,CBRE Ltd,01/08/24,"1,400.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Costs - June 24,2,CRINV0003950,CBRE Ltd,01/08/24,"1,400.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Costs - June 24,3,CRINV0003950,CBRE Ltd,01/08/24,"1,400.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional Services,1,CRINV0003969,Perfect Circle JV Ltd,01/08/24,"17,601.41"
RESO - Resources,AAB - Benefits & Customer Contact,Recharge of utility costs,1,CRINV0003977,Hyndburn Leisure,01/08/24,"1,970.23"
RESO - Resources,AAB - Benefits & Customer Contact,Recharge of utility costs,2,CRINV0003977,Hyndburn Leisure,01/08/24,241.70
RESO - Resources,AAB - Benefits & Customer Contact,Recharge of utility costs,3,CRINV0003977,Hyndburn Leisure,01/08/24,105.01
ENVS - Environmental Services,CAA - Environmental Maintenance,Fees - July 24,1,CRINV0003984,Ma Cost Consulting Limited,01/08/24,"3,500.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Fees - July 24,2,CRINV0003984,Ma Cost Consulting Limited,01/08/24,"3,500.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Fees- July 24,3,CRINV0003984,Ma Cost Consulting Limited,01/08/24,"3,500.00"
PLAN - Planning & Transportation,EAD - Planning,Temp staff w/e 7.7.24,1,CRINV0003410,Vivid Resourcing,06/08/24,"2,160.00"
RESO - Resources,AAF - Finance,6 month lease extension,1,CRINV0003441,Jcb Finance Ltd,06/08/24,"1,700.58"
REGN - Regeneration & Housing,FAB - Facilities,Fit new windows at Willows Lane,1,CRINV0003451,Victoria Glass Joinery & Plumbing Ltd,06/08/24,"5,460.00"
ENVH - Environmental Health,BAA - Housing Standards,Agency Costs  W/C 24/06/2024,1,CRINV0003453,Oyster Partnership,06/08/24,"2,124.72"
ENVH - Environmental Health,BAA - Housing Standards,Agency Costs  W/C 01/07/2024,1,CRINV0003454,Oyster Partnership,06/08/24,"1,427.09"
PLAN - Planning & Transportation,EAD - Planning,Agency Costs W/C 01/07/2024,1,CRINV0003455,Oyster Partnership,06/08/24,"2,303.03"
ENVH - Environmental Health,BAA - Housing Standards,Agency Costs  W/E 07/07/2024,1,CRINV0003463,G2 Recruitment Solutions,06/08/24,"1,137.60"
ENVH - Environmental Health,BAB - Environmental Protection,Agency staff - w/e 07.07.24,1,CRINV0003476,Vivid Resourcing,06/08/24,"2,220.00"
ENVH - Environmental Health,BAB - Environmental Protection,Agency staff - w/e 07.07.24,1,CRINV0003477,Vivid Resourcing,06/08/24,521.64
ENVS - Environmental Services,CAB - Other Environmental Services,Hire of 8 wheeler,1,CRINV0003513,Stanley Brothers (Tippers) Ltd,06/08/24,648.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,PRS & PPL,1,CRINV0003537,Ppl Prs Ltd,06/08/24,"1,227.89"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp staff w/e 07/07/24 ,1,CRINV0003543,Proman Supply Chain Ltd,06/08/24,"1,249.46"
LEGL - Legal & Democratic,DAG - Elections,Polling station staff training,1,CRINV0003563,Assoc. Of Electoral Administrators,06/08/24,"2,427.00"
RESO - Resources,AAB - Benefits & Customer Contact,Court Fee & Official Receivers Deposit,1,CRINV0003568,Stephensons Solicitors LLP,06/08/24,"2,902.00"
RESO - Resources,AAB - Benefits & Customer Contact,Process Server Fee,2,CRINV0003568,Stephensons Solicitors LLP,06/08/24,300.00
RESO - Resources,AAB - Benefits & Customer Contact,Gazette Advert Fee,3,CRINV0003568,Stephensons Solicitors LLP,06/08/24,131.04
RESO - Resources,AAB - Benefits & Customer Contact,Advocacy Fees for hearing,4,CRINV0003568,Stephensons Solicitors LLP,06/08/24,420.00
REGN - Regeneration & Housing,FAB - Facilities,Emergency service to secure outbuilding on Mercer Park,1,CRINV0003628,Rapid Secure Ltd,06/08/24,252.00
RESO - Resources,AAB - Benefits & Customer Contact,Whinney Hill,1,CRINV0003673,Cheval Social Management,06/08/24,834.16
ENVS - Environmental Services,CAF - CVMU,Supply & Fit Windscreen,1,CRINV0003701,Lancashire Windscreens Limited,06/08/24,298.80
ENVS - Environmental Services,CAF - CVMU,Clutch & spring,1,CRINV0003705,Gibsons Garden Machinery Ltd,06/08/24,468.94
ENVS - Environmental Services,CAF - CVMU,Stock Items,1,CRINV0003706,Wurth Uk Ltd,06/08/24,335.56
ENVS - Environmental Services,CAF - CVMU,Axel set,1,CRINV0003707,Bucher Municipal Ltd,06/08/24,382.60
ENVS - Environmental Services,CAF - CVMU,Door latch/check strap etc,1,CRINV0003710,Dennis Eagle Limited,06/08/24,"1,439.90"
ENVS - Environmental Services,CAF - CVMU,Bumper Crners,1,CRINV0003711,Dennis Eagle Limited,06/08/24,626.62
ENVS - Environmental Services,CAF - CVMU,N/Stk sensor,1,CRINV0003725,Chorley Nissan,06/08/24,315.11
LEGL - Legal & Democratic,DAD - Management Legal & Dem,Legal/Professional services,1,CRINV0003757,David Forsdick KC,06/08/24,"1,440.00"
PLAN - Planning & Transportation,EAD - Planning,Advertising,1,CRINV0003771,People Scout Limited,06/08/24,387.22
REGN - Regeneration & Housing,FAB - Facilities,Accrington Crematorium,1,CRINV0003800,HSL Compliance,06/08/24,43.20
REGN - Regeneration & Housing,FAB - Facilities,Acc Cemetery Office,2,CRINV0003800,HSL Compliance,06/08/24,43.20
REGN - Regeneration & Housing,FAB - Facilities,Acc Cemetery Service Building,3,CRINV0003800,HSL Compliance,06/08/24,42.00
REGN - Regeneration & Housing,FAB - Facilities,Accrington Town Hall,4,CRINV0003800,HSL Compliance,06/08/24,99.60
REGN - Regeneration & Housing,FAB - Facilities,Broadway Offices,5,CRINV0003800,HSL Compliance,06/08/24,62.40
REGN - Regeneration & Housing,FAB - Facilities,Brian Walmsley Pavillion,6,CRINV0003800,HSL Compliance,06/08/24,74.40
REGN - Regeneration & Housing,FAB - Facilities,Bullough Park Pavillion,7,CRINV0003800,HSL Compliance,06/08/24,78.00
REGN - Regeneration & Housing,FAB - Facilities,CVMU,8,CRINV0003800,HSL Compliance,06/08/24,50.40
REGN - Regeneration & Housing,FAB - Facilities,Dill Hall Cem Service Building,9,CRINV0003800,HSL Compliance,06/08/24,34.80
REGN - Regeneration & Housing,FAB - Facilities,Gt Harwood Cem Service Building,10,CRINV0003800,HSL Compliance,06/08/24,43.20
REGN - Regeneration & Housing,FAB - Facilities,Haworth Art Gallery,11,CRINV0003800,HSL Compliance,06/08/24,54.00
REGN - Regeneration & Housing,FAB - Facilities,Haworth Stables,12,CRINV0003800,HSL Compliance,06/08/24,51.60
REGN - Regeneration & Housing,FAB - Facilities,King Georges Pavilion,13,CRINV0003800,HSL Compliance,06/08/24,166.80
REGN - Regeneration & Housing,FAB - Facilities,Lowerfold Pavilion,14,CRINV0003800,HSL Compliance,06/08/24,37.20
REGN - Regeneration & Housing,FAB - Facilities,Memorial Pavilion,15,CRINV0003800,HSL Compliance,06/08/24,50.40
REGN - Regeneration & Housing,FAB - Facilities,Mercer House,16,CRINV0003800,HSL Compliance,06/08/24,33.60
REGN - Regeneration & Housing,FAB - Facilities,Mercer Park Bowls Pavilion,17,CRINV0003800,HSL Compliance,06/08/24,31.20
REGN - Regeneration & Housing,FAB - Facilities,Mercer Park Service Building,18,CRINV0003800,HSL Compliance,06/08/24,33.60
REGN - Regeneration & Housing,FAB - Facilities,Milnshaw Park Bowls Pavilion,19,CRINV0003800,HSL Compliance,06/08/24,40.80
REGN - Regeneration & Housing,FAB - Facilities,Oakhill Park Bandstand,20,CRINV0003800,HSL Compliance,06/08/24,34.80
REGN - Regeneration & Housing,FAB - Facilities,Oakhill Park Bowls Pavilion,21,CRINV0003800,HSL Compliance,06/08/24,37.20
REGN - Regeneration & Housing,FAB - Facilities,Oakhill Park Service Building,22,CRINV0003800,HSL Compliance,06/08/24,37.20
REGN - Regeneration & Housing,FAB - Facilities,Oakhill Park Tennis Pavilion,23,CRINV0003800,HSL Compliance,06/08/24,39.60
REGN - Regeneration & Housing,FAB - Facilities,Parker Street Bowls Pavilion,24,CRINV0003800,HSL Compliance,06/08/24,33.60
REGN - Regeneration & Housing,FAB - Facilities,Peel Park Bowls Pavilion,25,CRINV0003800,HSL Compliance,06/08/24,37.20
REGN - Regeneration & Housing,FAB - Facilities,Peel Street Public Toilets,26,CRINV0003800,HSL Compliance,06/08/24,51.60
REGN - Regeneration & Housing,FAB - Facilities,Rhyddings Park Bowls Pavilion,27,CRINV0003800,HSL Compliance,06/08/24,37.20
REGN - Regeneration & Housing,FAB - Facilities,Rhyddings Park Coach House,28,CRINV0003800,HSL Compliance,06/08/24,46.80
REGN - Regeneration & Housing,FAB - Facilities,Scaitcliffe House,29,CRINV0003800,HSL Compliance,06/08/24,76.80
REGN - Regeneration & Housing,FAB - Facilities,Willows Lane Office,30,CRINV0003800,HSL Compliance,06/08/24,50.40
REGN - Regeneration & Housing,FAB - Facilities,Willows Lane Canteen,31,CRINV0003800,HSL Compliance,06/08/24,45.60
REGN - Regeneration & Housing,FAB - Facilities,Willows Lane Stores,32,CRINV0003800,HSL Compliance,06/08/24,37.20
REGN - Regeneration & Housing,FAB - Facilities,Wilsons Pavilion,33,CRINV0003800,HSL Compliance,06/08/24,37.20
RESO - Resources,AAD - ICT,Line rental charges Period 01.07.2024 - 31.07.2024,1,CRINV0003846,Cloudcoco Limited,06/08/24,"1,538.00"
ENVS - Environmental Services,CAE - Waste Services,Temp staff w/e 14.7.24,1,CRINV0003899,Rapid Recruitment Ltd,06/08/24,"2,747.47"
REGN - Regeneration & Housing,FAB - Facilities,Installation of additional devices,1,CRINV0003935,Full Circuit Fire & Security Ltd,06/08/24,734.82
ENVS - Environmental Services,CAE - Waste Services,Parts,1,CRINV0004010,North West Trading Company Ltd,06/08/24,278.40
ENVS - Environmental Services,CAA - Environmental Maintenance,Electrical Works,1,CRINV0004026,Steven Mercer Electrical Contractors Limited,06/08/24,444.58
ENVS - Environmental Services,CAD - Town Centre & Markets,Soapbox 2024 Event Deposit,1,CRINV0004035,Scott Dawson Advertising Ltd,06/08/24,"12,600.00"
ENVS - Environmental Services,CAE - Waste Services,To remove Green V mesh fencing with posts ,1,CRPOI0003550,John Wade Groundworks Ltd,06/08/24,"2,280.00"
ENVS - Environmental Services,CAE - Waste Services,"Training Course
As per QUO-1934-30/5/24

Course Fees",1,CRPOI0003556,Specialist Training Consultancy Ltd,06/08/24,780.00
ENVS - Environmental Services,CAE - Waste Services,20 X DCPC Registration Fees,2,CRPOI0003556,Specialist Training Consultancy Ltd,06/08/24,166.25
ENVS - Environmental Services,CAC - Parks & Cemeteries,45 X 45mm Planed Redwood Timber,1,CRPOI0003693,Shuttleworth Hall Timber Yard,06/08/24,470.00
RESO - Resources,AAD - ICT,Wireless networking,1,CRPOI0003752,Cloudcoco Limited,06/08/24,"5,581.20"
ENVS - Environmental Services,CAC - Parks & Cemeteries,20 X 20 Kilo Traditional Greens Grass Seed,1,CRPOI0003906,Origin Amenity Solutions,06/08/24,"2,248.40"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Carriage Charge,2,CRPOI0003906,Origin Amenity Solutions,06/08/24,30.00
ENVS - Environmental Services,CAE - Waste Services,Himalayan Safety Boots Size 7 ,1,CRPOI0003912,"Bubbles, Brushes & Wiper Co Ltd",06/08/24,105.14
ENVS - Environmental Services,CAE - Waste Services,Himalayan Safety Boots Size 8 ,2,CRPOI0003912,"Bubbles, Brushes & Wiper Co Ltd",06/08/24,157.71
ENVS - Environmental Services,CAE - Waste Services,Himalayan Safety Boots Size 10 ,3,CRPOI0003912,"Bubbles, Brushes & Wiper Co Ltd",06/08/24,262.88
ENVS - Environmental Services,CAE - Waste Services, Sumo X5 Gloves Size 9 ,4,CRPOI0003912,"Bubbles, Brushes & Wiper Co Ltd",06/08/24,860.41
ENVS - Environmental Services,CAE - Waste Services,Sumo X5 Gloves Size 10 ,5,CRPOI0003912,"Bubbles, Brushes & Wiper Co Ltd",06/08/24,573.59
ENVS - Environmental Services,CAE - Waste Services,W/proof Jacket Hi Vis Orange Size XL ,6,CRPOI0003912,"Bubbles, Brushes & Wiper Co Ltd",06/08/24,87.98
ENVS - Environmental Services,CAE - Waste Services,24 X Gaffer Tape ,7,CRPOI0003912,"Bubbles, Brushes & Wiper Co Ltd",06/08/24,100.22
ENVS - Environmental Services,CAE - Waste Services,2 Boxes X UCFD-P3V Asbestos Fold Flat P3 Masks ,8,CRPOI0003912,"Bubbles, Brushes & Wiper Co Ltd",06/08/24,31.17
ENVS - Environmental Services,CAB - Other Environmental Services, 50 pest control pads ,1,CRPOI0004002,Direct-Ed Printing Services Ltd,06/08/24,918.00
LEGL - Legal & Democratic,DAB - Human Resources,Job Advert Costs,1,CRPOI0004067,Spacehouse Limted,06/08/24,"2,040.00"
LEGL - Legal & Democratic,DAD - Management Legal & Dem,Searches Jun 24,1,CRINV0003249,Lancashire County Council,08/08/24,357.60
LEGL - Legal & Democratic,DAG - Elections,Hire of Building 4.7.24,1,CRINV0003535,NW RFCA,08/08/24,500.00
RESO - Resources,AAB - Benefits & Customer Contact,BRR VOA Returns,1,CRINV0003624,Capacitygrid,08/08/24,"1,200.00"
REGN - Regeneration & Housing,FAB - Facilities,The Civic Theatre- replacement of faulty IO Unit,1,CRINV0003658,Full Circuit Fire & Security Ltd,08/08/24,278.09
REGN - Regeneration & Housing,FAD - Housing Advice,Cold Weather Payment for June 2024,1,CRINV0003672,Maundy Relief,08/08/24,"1,200.00"
RESO - Resources,AAB - Benefits & Customer Contact,Whinney Hill,1,CRINV0003674,Ada Glossop Ltd,08/08/24,"1,000.00"
ENVS - Environmental Services,CAF - CVMU,Linket bracket & Link rod,1,CRINV0003714,Dennis Eagle Limited,08/08/24,458.74
PLAN - Planning & Transportation,EAD - Planning,Q1 Heritage - 01.04.24-30.06.24,1,CRINV0003747,Blackburn With Darwen Borough Council,08/08/24,"1,704.07"
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Road Signs,1,CRINV0003769,G & G Signs,08/08/24,516.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Urn,1,CRINV0003787,Luke Howgate & Son Ltd,08/08/24,286.40
REGN - Regeneration & Housing,FAB - Facilities,Charges - 01.04.24 - 01.05.24,1,CRINV0003853,EDF - 2732447855 Cannon Street Site 11,08/08/24,"173,435.50"
PLAN - Planning & Transportation,EAD - Planning,"Service charges for the period 03.04.2024-02.07.22024
  03.04.2024 - 02.07.2024 SN E155M920456 located at Scaitcliffe House
  (Planning).",1,CRINV0003890,Specialist Computer Centres PLC,08/08/24,68.45
PLAN - Planning & Transportation,EAD - Planning,"Service charges for the period 03.04.2024-02.07.22024
  03.04.2024 - 02.07.2024 SN E155M920456 located at Scaitcliffe House
  (Planning).",2,CRINV0003890,Specialist Computer Centres PLC,08/08/24,119.81
PLAN - Planning & Transportation,EAD - Planning,"Service charges for the period 03.04.2024-02.07.2024
  03.04.2024 - 02.07.2024 SN E155M920456 located at Scaitcliffe House
  (Planning).",3,CRINV0003890,Specialist Computer Centres PLC,08/08/24,34.22
PLAN - Planning & Transportation,EAD - Planning,"Service charges for the period 3.4.24 to 2.7.24
  03.04.2024 - 02.07.2024 SN E155M920456 located at Scaitcliffe House
  (Planning).",4,CRINV0003890,Specialist Computer Centres PLC,08/08/24,34.22
PLAN - Planning & Transportation,EAD - Planning,"Service charges for the period 3.4.24 to 2.7.24
  03.04.2024 - 02.07.2024 SN E155M920456 located at Scaitcliffe House
  (Planning).",5,CRINV0003890,Specialist Computer Centres PLC,08/08/24,17.11
PLAN - Planning & Transportation,EAD - Planning,"Service charges for the period 3.4.24 to 2.7.24
  03.04.2024 - 02.07.2024 SN E155M920456 located at Scaitcliffe House
  (Planning).",6,CRINV0003890,Specialist Computer Centres PLC,08/08/24,17.11
PLAN - Planning & Transportation,EAD - Planning,"Service charges for the period 3.4.24 to 2.7.24
  03.04.2024 - 02.07.2024 SN E155M920456 located at Scaitcliffe House
  (Planning).",7,CRINV0003890,Specialist Computer Centres PLC,08/08/24,34.22
PLAN - Planning & Transportation,EAD - Planning,"Service charges for the period 3.4.24 to 2.7.24
  03.04.2024 - 02.07.2024 SN E155M920456 located at Scaitcliffe House
  (Planning).",8,CRINV0003890,Specialist Computer Centres PLC,08/08/24,136.90
PLAN - Planning & Transportation,EAD - Planning,"Service charges for the period 3.4.24 to 2.7.24 
  03.04.2024 - 02.07.2024 SN E155M920456 located at Scaitcliffe House
  (Planning).",9,CRINV0003890,Specialist Computer Centres PLC,08/08/24,154.02
RESO - Resources,AAG - Management Resources,Community Chest Grant,1,CRINV0003938,Great Harwood District Womens Institute,08/08/24,500.00
LEGL - Legal & Democratic,DAD - Management Legal & Dem,Legal Professional Fees,1,CRINV0003952,Hayley Bennett,08/08/24,"1,800.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,1,CRINV0003991,Rhea Projects,08/08/24,"3,909.60"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,1,CRINV0003992,Rhea Projects,08/08/24,"6,710.41"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Aarmth Garnt,1,CRINV0004016,Artisan Windows,08/08/24,"5,686.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,LUF Prog Dir / PMO,1,CRINV0004018,Rider Levett Bucknall Uk Ltd,08/08/24,"5,483.59"
ENVS - Environmental Services,CAA - Environmental Maintenance,LUF Prog Dir / PMO,2,CRINV0004018,Rider Levett Bucknall Uk Ltd,08/08/24,"5,483.61"
ENVS - Environmental Services,CAA - Environmental Maintenance,LUF Prog Dir / PMO,3,CRINV0004018,Rider Levett Bucknall Uk Ltd,08/08/24,"5,483.60"
ENVS - Environmental Services,CAF - CVMU,Labour,1,CRINV0004061,Rob Mercer,08/08/24,200.00
ENVS - Environmental Services,CAF - CVMU,Parts,2,CRINV0004061,Rob Mercer,08/08/24,283.40
ENVS - Environmental Services,CAF - CVMU,Labour,1,CRINV0004062,Rob Mercer,08/08/24,725.00
ENVS - Environmental Services,CAF - CVMU,Materials,2,CRINV0004062,Rob Mercer,08/08/24,256.52
ENVS - Environmental Services,CAC - Parks & Cemeteries,Parks and Openspaces Plant Supplies,1,CRINV0004070,Les Halman Nurseries Ltd,08/08/24,"2,559.26"
LEGL - Legal & Democratic,DAK - Community Safety,HIre of Lounge on 11/07/24,1,CRINV0004080,Accrington Stanley F C Ltd,08/08/24,410.00
ENVS - Environmental Services,CAF - CVMU,Water CVMU 27.06.24 - 26.07.24,1,CRINV0004121,Water Plus - 4206400451 CVMU,08/08/24,407.82
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,1,CRINV0004137,Artisan Windows,08/08/24,"4,270.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,1,CRINV0004140,Rhea Projects,08/08/24,"2,357.25"
LEGL - Legal & Democratic,DAG - Elections,Portakabin Hire,1,CRINV0004190,Portakabin Ltd,08/08/24,"23,184.00"
ENVS - Environmental Services,CAB - Other Environmental Services,Remove split Willow Stem falling ,1,CRPOI0003999,Roy Cattermole (Tree Surgeon),08/08/24,360.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Supply of shield post mounted notice board. Root fixed sunken posts.,1,CRPOI0004000,Bluebird Graphics Ltd T/A Creative Solutions,08/08/24,705.66
ENVS - Environmental Services,CAC - Parks & Cemeteries,Delivery,2,CRPOI0004000,Bluebird Graphics Ltd T/A Creative Solutions,08/08/24,17.94
ENVS - Environmental Services,CAE - Waste Services, Portwest Hi Vis Ballistic Trousers ,1,CRPOI0004005,"Bubbles, Brushes & Wiper Co Ltd",08/08/24,152.99
ENVS - Environmental Services,CAE - Waste Services,Portwest Hi Vis Ballistic Trousers ,2,CRPOI0004005,"Bubbles, Brushes & Wiper Co Ltd",08/08/24,114.73
ENVS - Environmental Services,CAE - Waste Services,Hi Vis Highways Jackets ,3,CRPOI0004005,"Bubbles, Brushes & Wiper Co Ltd",08/08/24,27.58
ENVS - Environmental Services,CAE - Waste Services,Hi Vis Polo T-shirt Size M ,4,CRPOI0004005,"Bubbles, Brushes & Wiper Co Ltd",08/08/24,119.89
ENVS - Environmental Services,CAE - Waste Services, Hi Vis Polo T-shirt Size L ,5,CRPOI0004005,"Bubbles, Brushes & Wiper Co Ltd",08/08/24,35.96
ENVS - Environmental Services,CAE - Waste Services,Two Tone Sweatshirt Orange/Navy Size S ,6,CRPOI0004005,"Bubbles, Brushes & Wiper Co Ltd",08/08/24,31.17
ENVS - Environmental Services,CAE - Waste Services,Two Tone Sweatshirt Orange/Navy Size M ,7,CRPOI0004005,"Bubbles, Brushes & Wiper Co Ltd",08/08/24,31.17
ENVS - Environmental Services,CAE - Waste Services,Two Tone Sweatshirt Orange/Navy Size XL ,8,CRPOI0004005,"Bubbles, Brushes & Wiper Co Ltd",08/08/24,31.17
ENVS - Environmental Services,CAE - Waste Services,Safety Trainer Size 9 ,9,CRPOI0004005,"Bubbles, Brushes & Wiper Co Ltd",08/08/24,28.34
ENVS - Environmental Services,CAE - Waste Services,Safety Trainer Size 10 ,10,CRPOI0004005,"Bubbles, Brushes & Wiper Co Ltd",08/08/24,56.69
ENVS - Environmental Services,CAE - Waste Services,Hi Vis Bomber Jacket Orange Size XL,11,CRPOI0004005,"Bubbles, Brushes & Wiper Co Ltd",08/08/24,85.28
LEGL - Legal & Democratic,DAA - Democratic Services,Mayoress Pendant Refurbishment ,1,CRPOI0004017,Precious Metals,08/08/24,"1,440.00"
PLAN - Planning & Transportation,EAD - Planning,Temp Staff W/E 14.7.24,1,CRINV0003687,Vivid Resourcing,13/08/24,"2,160.00"
PLAN - Planning & Transportation,EAD - Planning,Temporary Staff w/c 08/07/24 ,1,CRINV0003689,Oyster Partnership,13/08/24,"2,166.23"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/e 14.07.24 ,1,CRINV0003732,G2 Recruitment Solutions,13/08/24,"2,448.42"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 08.07.24 ,1,CRINV0003748,Oyster Partnership,13/08/24,"1,372.80"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 08.07.24,1,CRINV0003749,Oyster Partnership,13/08/24,"1,856.40"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 08.07.24,1,CRINV0003750,Oyster Partnership,13/08/24,703.62
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp staff W/E 14.07.2024,1,CRINV0003755,Proman Supply Chain Ltd,13/08/24,"1,419.84"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Agency Costs W/E 14.07.2024,1,CRINV0003764,Proman Supply Chain Ltd,13/08/24,"1,249.46"
PLAN - Planning & Transportation,EAA - Building Control,Agency Staff W/E 12th July 2024,1,CRINV0003768,Deekay Tech Recruitment Ltd,13/08/24,"1,493.14"
PLAN - Planning & Transportation,EAD - Planning,Heritage Impact Assessment for Local Plan,1,CRINV0003774,Blackburn With Darwen Borough Council,13/08/24,"2,700.00"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/e 14.07.24 ,1,CRINV0003810,Vivid Resourcing,13/08/24,"2,220.00"
ENVS - Environmental Services,CAF - CVMU,Parts,1,CRINV0003820,Balmers Garden Machinery,13/08/24,"3,223.44"
