,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Ukspf - Regeneration,Business Development,BUSINESS PLAN- NHL BID MKT CHAMBERS,B000024358/68462,Rider Levett Bucknall Uk Ltd,05/10/23,"12,438.00"
Accountancy,Agency Staff,AGENCY COSTS W/C 11/09/23,B000024349/58852,Oyster Partnership,10/10/23,"2,840.00"
Accountancy,Agency Staff,AGENCY COSTS  W/E 10/09/23 & 17/09/23,B000024349/61860,Vivid Resourcing,10/10/23,"5,900.00"
Cvmu,Materials-Direct,BUMPER AND LIGHTS,B000024350/1164,Dennis Eagle Limited,10/10/23,593.44
Hyndburn Cemeteries,Equipmnt Repair & Maint,MOWER REPAIRS,B000024350/68556,Rob Mercer,10/10/23,321.00
Parks & Open Spaces,Materials-Direct,STRIMMER REPAIR,B000024350/68556,Rob Mercer,10/10/23,299.43
Dev Control,Dev Control System,SUPPORT & MTCE - 1.11.23 TO 31.10.24,B000024353/65823,Nec Software Solutions Uk Ltd,10/10/23,750.00
Hyndburn Cemeteries,Agency Staff,AGENCY STAFF CEMS W/C 18.9.23,B000024359/19414,Proman Supply Chain Ltd,10/10/23,467.16
Parks & Open Spaces,Agency Staff,SEASONAL STAFF PARKS W/C 18.9.23,B000024359/19414,Proman Supply Chain Ltd,10/10/23,"1,629.09"
Parks & Open Spaces,Cleaning Of Buildings,BUILDING CLEANING RHYDDINGS,B000024359/68396,Servicemaster Cs Aaa,10/10/23,495.59
Parks & Open Spaces,Cleaning Of Buildings,BUILDING CLEANING WILSONS,B000024359/68396,Servicemaster Cs Aaa,10/10/23,550.67
Willows Lane Depot,Cleaning Of Buildings,BUILDING CLEANING WILLOWS LANE,B000024359/68396,Servicemaster Cs Aaa,10/10/23,954.53
Willows Lane Depot,Water Charges,WATER CHARGES TOWNS YARD 25.8.23-24.9.23,B000024359/8325,Water Plus Ltd,10/10/23,508.69
Cvmu,Materials-Stock Issues,OXYGEN RENTAL,B000024360/634,British Oxygen Co Ltd,10/10/23,952.03
Cvmu,Water Charges,WATER CHARGES CVMU - 07.8.23 - 06.9.23,B000024360/8325,Water Plus Ltd,10/10/23,386.32
Acc Town Hall,Lih Utility Costs,ELECTRIC/ WATER BROADWAY,B000024362/29112,Hyndburn Leisure,10/10/23,"4,327.56"
Acc Town Hall,Water Charges,ELECTRIC/ WATER BROADWAY,B000024362/29112,Hyndburn Leisure,10/10/23,284.75
Housing Benefit Administration,Agency Staff,TEMP STAFF W/E 24/09/23,B000024362/33923,Eden Brown Limited,10/10/23,"1,010.10"
Accountancy,New Equipment,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,23.98
Accrington Town Centre,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,27.96
Administration Services,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,8.99
Allotments,General Repair & Maint Bldgs,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,17.98
Computer Services,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,70.33
Computer Services,Telephones,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,180.00
Corp & Dem Core,Marketing Communications,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,10.00
Corporate Property Bus Unit,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,41.94
Coviid 19,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,41.94
Cvmu,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,20.00
Development,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,70.75
Development Control B.U.,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,111.84
Dog Warden,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,64.39
Enforcement,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,50.93
Environmental Protection,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,73.90
Executive Director (Legal Dem),Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,23.98
Facilities Team,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,41.94
Facilities Team,New Equipment,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,20.00
Graphics & Communications,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,27.96
Haworth Art Gallery,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,41.94
Health Food & Safety,Civica Mobile Working,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,40.00
Health Food & Safety,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,87.88
Health Officers,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,22.97
Hmo,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,27.96
Housing Advice,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,69.90
Housing Benefit Administration,Bpr/Contact Centre,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,20.00
Housing Standards,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,50.93
Human Resources,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,67.92
Human Resources,New Equipment,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,10.00
Internal Audit,Office Consumables,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,26.97
Legal Services,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,35.96
Licensing,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,27.96
Licensing,New Equipment,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,10.00
Licensing,Office Consumables,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,27.96
Local Taxation,Bpr/Contact Centre,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,8.99
Management Business Unit,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,23.98
Managing Director,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,79.35
Markets - Staffing,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,22.97
Member Services,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,22.97
Member Services,Office Consumables,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,10.00
Parks & Open Spaces,Materials-Direct,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,74.81
Pest Control,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,41.94
Policy And Performance Review,Telephones,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,32.97
Proposed Selec Licensing 2017,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,27.96
Recycling Collection,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,107.10
Refuse/Cleansing Admin Staff,Civil Contingency Act,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,80.00
Refuse/Cleansing Admin Staff,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,194.79
Refuse Collection,Computer Rental & Maint,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,180.00
Strategic Housing Department,Mobiles,EE A/C 75782744 PERIOD 19-SEPT-23  -  18-OCT-2023,B000024363/55296,Ee Limited,10/10/23,55.92
Computer Services,Rental & Maint Software Misc,MX5050 PRINTING 30/08/23 - 28/09/23,B000024363/61288,Xbm Ltd,10/10/23,222.81
Accrington Town Centre,Equipmnt Repair & Maint,HBC - EXCAVATION OF CONCRETE FLAG POLE BASE - ACC TOWN HALL,B000024366/2496,Lancashire County Council,10/10/23,"3,431.38"
Development Control B.U.,Agency Staff,TEMP STAFF - W/E 01.10.23,B000024366/67448,Macdonald & Company,10/10/23,"1,417.92"
Planning Policy B.U.,Agency Staff,TEMP STAFF - W/E 01.10.23,B000024366/67448,Macdonald & Company,10/10/23,"1,430.00"
Haworth Art Gallery,Equipment-Resale,GOODS FOR RESALE IN SHOP,B000024366/68537,Hachette Uk Distribution Ltd,10/10/23,526.22
Haworth Art Gallery,Asset Maint R&M,HAWORTH ART GALLERY - REPAIRS TO FAULTY TRACK LIGHTING.,B000024368/57949,Steven Mercer Electrical Contractors Limited,10/10/23,270.75
Dev Control,Dev Control System,LICENCE & SUPPORT - 01.11.23 - 31.10.24,B000024369/65823,Nec Software Solutions Uk Ltd,10/10/23,"17,000.00"
Cvmu,Materials-Direct,MONKS ATTENDANCE REPAIRS,B000024350/60210,Monks Contractors Limited,12/10/23,"3,255.14"
Cvmu,Materials-Direct,PIRTEK REPAIR,B000024350/7228,Pirtek Preston 2004 Ltd,12/10/23,225.63
Tipping Charges,Hired Vehicle,EMPTY WASTE BAYS WILLOWS LANE,B000024351/9294,Stanley Brothers (Tippers) Ltd,12/10/23,540.00
Ds7159 The Plough Tanpits Rd,General Repair & Maint Bldgs,"DS/7159 - TANPITS ROAD, CHURCH",B000024353/28458,Marchbridge Builders Ltd,12/10/23,"1,017.16"
Development Control B.U.,Advertising General,PRESS ADVERT - 22.9.23,B000024353/68101,People Scout Limited,12/10/23,234.12
Parks & Open Spaces,Agency Staff,AGENCY STAFF PARKS W/C 25.9.23,B000024364/19414,Proman Supply Chain Ltd,12/10/23,"1,227.72"
Hyndburn Cemeteries,Kerbstone Graves,KERB SET - LEE LANE,B000024364/604,Brent Stevenson Memorials,12/10/23,"1,916.67"
Parks & Open Spaces,Implements & Tools,MATERIALS,B000024364/7805,Spaldings Uk Ltd,12/10/23,400.20
Accrington Crematorium,Urns & Caskets,ASHES BOXES AND BAGS,B000024365/27901,Teleshore (Uk) Ltd,12/10/23,840.50
Accrington Crematorium,Cleaning Materials,UPHOLSTERY - CURTAIN CLEANING CREM,B000024365/33866,Zagota Creations Ltd,12/10/23,595.00
Hyndburn Cemeteries,Protective Clothing,PPE - SAFETY FOOTWEAR,B000024365/666,"Bubbles, Brushes & Wiper Co Ltd",12/10/23,245.00
Hyndburn Cemeteries,Water Charges,WATER CHARGES ACC CEM GATES 11.8.23-10.9.23,B000024365/8325,Water Plus Ltd,12/10/23,407.34
Accrington Crematorium,Urns & Caskets,ASHES CASKETS - OAK TRENT,B000024365/9520,Luke Howgate & Son Ltd,12/10/23,231.50
Waste Services,Protective Clothing,CS03536-SERVICE-199A SIOEN MONORAY HI VIS TROUSERS M/L,B000024367/666,"Bubbles, Brushes & Wiper Co Ltd",12/10/23,137.70
Waste Services,Protective Clothing,CS03536-SERVICE-5120 HIMALAYAN SAFETY BOOTS 7/9/10,B000024367/666,"Bubbles, Brushes & Wiper Co Ltd",12/10/23,175.24
Waste Services,Protective Clothing,CS03536-SERVICE-DISPOSABLE DELIGHT PF VINYL GLOVES XL,B000024367/666,"Bubbles, Brushes & Wiper Co Ltd",12/10/23,28.50
Waste Services,Protective Clothing,CS03536-SERVICE-HAND GEL 500ML PUMP BOTTLE,B000024367/666,"Bubbles, Brushes & Wiper Co Ltd",12/10/23,70.80
Waste Services,Protective Clothing,CS03536-SERVICE-X5 SUMO X5 GLOVES 9/10,B000024367/666,"Bubbles, Brushes & Wiper Co Ltd",12/10/23,717.00
Disabled Facilities General,Contractor Other,DT02506- DFG11558 C19 HARWOOD BAR,B000024371/30178,B3p Services Ltd,12/10/23,"6,100.00"
Cctv'S,Energy,AMENITY LIGHTING 02/09/23 - 02/10/23,B000024371/35310,Sse Energy Solutions,12/10/23,181.99
Christmas Decs & Amenity Costs,Electricity,CHRISTMAS LIGHTING 02/09/23 - 02/10/23,B000024371/35310,Sse Energy Solutions,12/10/23,"1,880.75"
Christmas Decs & Amenity Costs,Energy,AMENITY LIGHTING 02/09/23 - 02/10/23,B000024371/35310,Sse Energy Solutions,12/10/23,"2,684.40"
Off Street Parking,Energy,AMENITY LIGHTING 02/09/23 - 02/10/23,B000024371/35310,Sse Energy Solutions,12/10/23,"2,123.25"
Other Services,Energy,AMENITY LIGHTING 02/09/23 - 02/10/23,B000024371/35310,Sse Energy Solutions,12/10/23,91.00
Public Transport,Energy,AMENITY LIGHTING 02/09/23 - 02/10/23,B000024371/35310,Sse Energy Solutions,12/10/23,985.79
Accrington Crematorium,Gas,GAS 01/07/23 - 31/08/23,B000024371/68037,Sefe Energy Ltd,12/10/23,"4,091.35"
Acc Town Hall,Gas,GAS 01/07/23 - 31/08/23,B000024371/68037,Sefe Energy Ltd,12/10/23,"1,213.89"
Cannon St Acc,Gas,GAS 01/07/23 - 31/08/23,B000024371/68037,Sefe Energy Ltd,12/10/23,54.29
Haworth Art Gallery,Gas,GAS 01/07/23 - 31/08/23,B000024371/68037,Sefe Energy Ltd,12/10/23,517.66
Haworth Stables,Gas,GAS 01/07/23 - 31/08/23,B000024371/68037,Sefe Energy Ltd,12/10/23,428.46
Hyndburn Cemeteries,Gas,GAS 01/07/23 - 31/08/23,B000024371/68037,Sefe Energy Ltd,12/10/23,211.94
Leisure In Hyndburn,Gas,GAS 01/07/23 - 31/08/23,B000024371/68037,Sefe Energy Ltd,12/10/23,695.01
Library St Depot,Gas,GAS 01/07/23 - 31/08/23,B000024371/68037,Sefe Energy Ltd,12/10/23,665.33
Markets - Operations,Gas,GAS 01/07/23 - 31/08/23,B000024371/68037,Sefe Energy Ltd,12/10/23,307.80
Parks & Open Spaces,Gas,GAS 01/07/23 - 31/08/23,B000024371/68037,Sefe Energy Ltd,12/10/23,253.26
Rhyddings Cafe,Gas,GAS 01/07/23 - 31/08/23,B000024371/68037,Sefe Energy Ltd,12/10/23,98.26
Willows Lane Depot,Gas,GAS 01/07/23 - 31/08/23,B000024371/68037,Sefe Energy Ltd,12/10/23,247.31
Administration Services,Equipmnt Repair & Maint,SERVICE 28-09-23 - 27-09-24,B000024371/7231,Pitney Bowes Ltd,12/10/23,"1,287.77"
General Expenses,Cabinet Action Fund,GRANT CONTRIBUTION,B000024372/40896,Aawaz,12/10/23,600.00
Dfg Affordable Warmth Grant,Contractor Other,AWG - 148 - 465 MANCHESTER ROAD,B000024372/68216,Scl Building Services Limited,12/10/23,380.10
General Expenses,Cabinet Action Fund,CONTRIBUTION TOWARDS DAY TRIP,B000024372/68850,Oswaldtwistle Girls Brigade,12/10/23,400.00
General Expenses,Cabinet Action Fund,CONTRIBUTION TOWARDS NEW GOALS,B000024372/68851,St Mary'S Football Club,12/10/23,500.00
Emergency Works Grant,Contractor Other,EWG2021/06 - 127 WILLOWS LANE,B000024373/68217,Mms Electrical,12/10/23,"2,060.00"
Parks & Open Spaces,Equipmnt Repair & Maint,REPAIRS,B000024350/68556,Rob Mercer,17/10/23,387.26
Waste Services,Agency Staff,AGENCY STAFF W/E 18/09/2023,B000024351/55740,Rapid Recruitment Ltd,17/10/23,"1,105.56"
Land At Nook Lane,Environmental Works,PL01116-SERVICE-ASH DIEBACK TRAINING - SP,B000024355/49034,The Lancashire Wildlife Trust,17/10/23,250.00
Cvmu,Materials-Direct,MOT'S,B000024360/552,Blackburn With Darwen Borough Council,17/10/23,254.00
Administration Services,New Equipment,NEW IT EQUIPTMENT FOR ADMIN,B000024363/52932,Insight Direct (Uk) Ltd,17/10/23,523.40
Accrington Crematorium,Equipmnt Repair & Maint,TROLLEY - LIFT SERVICE,B000024364/59779,J & J Maintenance Services,17/10/23,495.00
Pest Control,Baits & Poisons,CS03548-SERVICE,B000024367/60960,1env,17/10/23,14.45
Pest Control,Baits & Poisons,CS03548-SERVICE-ROSOLO - BLACK RAT STATIONS PK 10 WITH LOGO,B000024367/60960,1env,17/10/23,229.56
Pest Control,Baits & Poisons,CS03549-SERVICE-ROSOLO - BLACK RAT STATIONS 10 PK WITH LOGO,B000024367/60960,1env,17/10/23,229.56
Pest Control,Baits & Poisons,CS03551-SERVICE-ROSITEGUARD - ROTECH SITEGUARD RAT BOX PKS 10,B000024367/60960,1env,17/10/23,233.75
Cvmu,Fuel Stock,CS03543-SERVICE-HVO FUEL @1.575 PER LITRE,B000024367/64492,Certas Energy,17/10/23,"35,535.15"
Housing Benefit Administration,Office Consumables,RENTAL CHARGES,B000024372/62209,Rigby Capital Ltd,17/10/23,393.22
General Expenses,Cabinet Action Fund,CONT TOWARDS XMAS PARTY,B000024372/68852,P Fitzpatrick,17/10/23,500.00
Accrington Crematorium,Security System Maintenance,KEY PLUS SECURITY- KEYHOLDER CALL OUTS SEPT 2023,B000024376/44845,Keyplus Security Ltd,17/10/23,131.56
Cannon St Acc,Security System Maintenance,KEY PLUS SECURITY- KEYHOLDER CALL OUTS SEPT 2023,B000024376/44845,Keyplus Security Ltd,17/10/23,63.25
Corporate Property,Security System Maintenance,KEY PLUS SECURITY- KEYHOLDER CALL OUTS SEPT 2023,B000024376/44845,Keyplus Security Ltd,17/10/23,111.78
Hyndburn Cemeteries,Security System Maintenance,KEY PLUS SECURITY- KEYHOLDER CALL OUTS SEPT 2023,B000024376/44845,Keyplus Security Ltd,17/10/23,197.34
Library St Depot,Security System Maintenance,KEY PLUS SECURITY- KEYHOLDER CALL OUTS SEPT 2023,B000024376/44845,Keyplus Security Ltd,17/10/23,65.78
Oswaldtwistle Civic Theatre,Security System Maintenance,KEY PLUS SECURITY- KEYHOLDER CALL OUTS SEPT 2023,B000024376/44845,Keyplus Security Ltd,17/10/23,310.96
Parks & Open Spaces,Security System Maintenance,KEY PLUS SECURITY- KEYHOLDER CALL OUTS SEPT 2023,B000024376/44845,Keyplus Security Ltd,17/10/23,63.25
Ranger St Compound & Depot,Security System Maintenance,KEY PLUS SECURITY- KEYHOLDER CALL OUTS SEPT 2023,B000024376/44845,Keyplus Security Ltd,17/10/23,263.12
Rhyddings Cafe,Security System Maintenance,KEY PLUS SECURITY- KEYHOLDER CALL OUTS SEPT 2023,B000024376/44845,Keyplus Security Ltd,17/10/23,63.25
Willows Lane Depot,Security System Maintenance,KEY PLUS SECURITY- KEYHOLDER CALL OUTS SEPT 2023,B000024376/44845,Keyplus Security Ltd,17/10/23,65.78
Acc Town Hall,Electricity,TOWN HALL ELECTRICITY SEPT 23,B000024376/59343,Edf Energy,17/10/23,"3,584.66"
Ds7159 The Plough Tanpits Rd,General Repair & Maint Bldgs,"THE OLD PLOUGH PUBLIC HOUSE, TARPITS ROAD, CHURCH- MAKING SAFE",B000024376/67945,Pgc Dismantling Ltd,17/10/23,"4,250.00"
Housing Benefit Administration,Agency Staff,CONTRACTOR- W/E 01/10/23,B000024377/33923,Eden Brown Limited,17/10/23,"1,010.10"
Development Control B.U.,Agency Staff,CONTRACTOR- PLANNING W/E 08/10/23,B000024377/67448,Macdonald & Company,17/10/23,"1,458.92"
Planning Policy B.U.,Agency Staff,CONTRACTOR- PLANNING-W/E 08/10/23,B000024377/67448,Macdonald & Company,17/10/23,"1,274.00"
Burton Chambers  - Luf,Consultants Fees,CONSULTANCY WORK SEPT 23,B000024377/67812,Ma Cost Consulting Limited,17/10/23,"3,158.34"
Market Chambers - Luf,Consultants Fees,CONSULTANCY WORK SEPT 23,B000024377/67812,Ma Cost Consulting Limited,17/10/23,"3,158.33"
Market Hall - Luf,Consultants Fees,CONSULTANCY WORK SEPT 23,B000024377/67812,Ma Cost Consulting Limited,17/10/23,"3,158.33"
Mtnce/Court Orders,Stand By Pay Suspense,ATTACHMENT OF EARNINGS,B000024378/552,Blackburn With Darwen Borough Council,17/10/23,270.63
Levelling Up Fund Delivery Stg,Fees-Analysts & Consultants,HIGH STREET BID APPLICATION,B000024378/65816,Bradshaw Advisary Ltd,17/10/23,"3,500.00"
Environmental Protection,Legal Fees,ACOUSTIC CONSULTANT ASFC,B000024378/68863,Han Tucker Associates,17/10/23,475.00
Scaitcliffe House,Water Charges,WATER SCAITCLIFFE SEPT 23,B000024378/8325,Water Plus Ltd,17/10/23,502.69
Accrington Town Centre,Event Expenditure,PA SPEAKERS AND COVERS FOR COUNCIL EVENTS,B000024379/68862,Aux Import Limited,17/10/23,"1,214.20"
Disabled Facilities General,Contractor Other,DT02403-SERVICE-DFG 11390,B000024380/30178,B3p Services Ltd,17/10/23,"5,920.00"
Disabled Facilities General,Contractor Other,DT02491-SERVICE-DFG 11537,B000024380/30178,B3p Services Ltd,17/10/23,"4,124.97"
Disabled Facilities General,Contractor Other,DT02406-SERVICE-DFG 11428,B000024380/59806,Greenwood Plumbers,17/10/23,"5,430.00"
Cctv'S,Event Expenditure,CS03570-SERVICE-10M XLR-XLR CABLE WITH TRS JACK TO XLR ADAPTO,B000024382/68859,Soveryapt Limited,19/10/23,60.00
Cctv'S,Event Expenditure,CS03570-SERVICE-APPLE LIGHTENING HEADPHONE ADAPTOR,B000024382/68859,Soveryapt Limited,19/10/23,15.00
Cctv'S,Event Expenditure,CS03570-SERVICE-AUX CABLE,B000024382/68859,Soveryapt Limited,19/10/23,25.00
Cctv'S,Event Expenditure,CS03570-SERVICE-DELIVERY,B000024382/68859,Soveryapt Limited,19/10/23,30.00
Cctv'S,Event Expenditure,CS03570-SERVICE-DYNAMIC MICROPHONE,B000024382/68859,Soveryapt Limited,19/10/23,100.00
Cctv'S,Event Expenditure,CS03570-SERVICE-MICROPHONE STAND,B000024382/68859,Soveryapt Limited,19/10/23,57.00
Cctv'S,Event Expenditure,CS03570-SERVICE-SPEAKER STAND (PAIR) WITH CARRY BAG,B000024382/68859,Soveryapt Limited,19/10/23,50.00
Cctv'S,Event Expenditure,CS03570-SERVICE-WIND SHEILD,B000024382/68859,Soveryapt Limited,19/10/23,15.00
Licensing,Office Consumables,GOODS FOR TAXI LICENSING,B000024384/21487,Vip-System Ltd,19/10/23,"1,282.29"
Corporate Property Bus Unit,Fees-Analysts & Consultants,HORSE REMOVAL HARVEY STREET - PS,B000024384/64541,Specialist & Equine Bailiffs Limited,19/10/23,"1,300.00"
Building Control B.U.,Agency Staff,AGENCY STAFF W/C 02/10/23 AND 5TH/6TH OCT 2023 - GARRY HUGHES,B000024384/68845,Brg Interim Solutions Limited,19/10/23,"1,017.42"
Hlc Roof & Elec Sub Station,Contractor Other,HLC ROOF AGREEMENT 30/09/21 - RELEASE OF RETENTION,B000024385/48468,Alliance Leisure Services Limited,19/10/23,"4,768.80"
