,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Housing Standards,Agency Staff,TEMP STAFF W/C 29.05.23 ,B000024115/58852,Oyster Partnership,27 Jun 2023,"1,073.25"
Housing Standards,Agency Staff,TEMP STAFF PE 04.06.23,B000024115/61657,G2 Recruitment Solutions,27 Jun 2023,"1,613.71"
Housing Standards,Agency Staff,TEMP STAFF PE 28.05.23,B000024115/61657,G2 Recruitment Solutions,27 Jun 2023,"1,856.32"
Environmental Protection,Agency Staff,TEMP STAFF P/E 04.06.23 ,B000024115/61860,Vivid Resourcing,27 Jun 2023,"1,565.07"
Environmental Protection,Agency Staff,TEMP STAFF P/E 04.06.23 ,B000024115/61860,Vivid Resourcing,27 Jun 2023,673.31
Cvmu,Materials-Direct,ROCKER COVER,B000024116/13375,Vantage Toyota Blackburn,27 Jun 2023,310.33
Cvmu,Materials-Direct,BIN LIFT RUBBERS,B000024116/60483,Wasteparts Uk Ltd,27 Jun 2023,835.20
Cvmu,Materials-Direct,PANEL,B000024116/60483,Wasteparts Uk Ltd,27 Jun 2023,244.68
Parks & Open Spaces,Equipmnt Repair & Maint,LAWN MOWER REPAIRS,B000024116/68556,Rob Mercer,27 Jun 2023,342.00
Cvmu,Materials-Direct,CALIPER KIT AND MUDGUARD,B000024116/7688,Aebi Schmidt Uk Ltd,27 Jun 2023,518.83
Cvmu,Equipmnt Repair & Maint,WORKSHOP SUNDRIES,B000024119/28065,Wurth Uk Ltd,27 Jun 2023,276.52
Markets - Operations,Asset Maint R&M,ACC MARKET PAVILLIONS- FIX & SECURE STEEL POST WITH METAL BRACE,B000024125/37017,Pilkington Bros (Church) Ltd,27 Jun 2023,286.80
Parks & Open Spaces,Asset Maint R&M,RHYDDINGS PARK COACH HOUSE- MAKE STONE WALL SAFE,B000024125/37017,Pilkington Bros (Church) Ltd,27 Jun 2023,210.20
Customer Info & Communication,Marketing Communications,"APPLE 12.9"" IPAD WIFI ONLY",B000024132/52932,Insight Direct (Uk) Ltd,27 Jun 2023,976.09
Local Elections,Postages,RETURN POSTAGE,B000024135/51517,Royal Mail Group Ltd,27 Jun 2023,915.70
Local Elections,Postages,RETURN POSTAGE AND LICENCES,B000024135/51517,Royal Mail Group Ltd,27 Jun 2023,"1,526.44"
Local Elections,Election Fees-Postal Ballot,POSTAL PACKS AND POSTAGE,B000024135/62168,Civica Election Services,27 Jun 2023,"5,411.33"
Local Elections,Election Fees-Postal Ballot,POSTAL VOTE SPARE PRINTING,B000024135/62168,Civica Election Services,27 Jun 2023,463.00
Local Elections,Postages,POSTAL PACKS AND POSTAGE,B000024135/62168,Civica Election Services,27 Jun 2023,"7,261.48"
Local Elections,Printing,P/S BALLOT PAPERS,B000024135/62168,Civica Election Services,27 Jun 2023,"2,780.84"
Burton Chambers  - Luf,Consultants Fees,VALUATION FEES,B000024135/66574,Cbre Ltd,27 Jun 2023,"1,750.00"
Market Chambers - Luf,Consultants Fees,VALUATION FEES,B000024135/66574,Cbre Ltd,27 Jun 2023,"1,750.00"
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024136/35745,Ags Heating & Plumbing Ltd,27 Jun 2023,"4,716.00"
General Maintenance,Work Done Dlo-Highways,GROUND WORKS CVMU,B000024136/52330,John Wade Groundworks Ltd,27 Jun 2023,"13,505.00"
Environmental Protection,Temporary Accommodation,ACCOMMODATION,B000024136/67383,Molesworth Hotel,27 Jun 2023,"2,528.00"
Development Control B.U.,Agency Staff,TEMP STAFF WE 11.06.23 ,B000024136/67448,Macdonald & Company,27 Jun 2023,"1,493.08"
Planning Policy B.U.,Agency Staff,TEMP STAFF WE 11.06.23  18.06.23  ,B000024136/67448,Macdonald & Company,27 Jun 2023,"1,222.00"
Hyndburn Cemeteries,Agency Staff,TEMP STAFF W/E 4.6.23,B000024137/19414,Proman Supply Chain Ltd,27 Jun 2023,803.20
Hyndburn Cemeteries,New Seats,LITTER BINS,B000024137/27901,Teleshore (Uk) Ltd,27 Jun 2023,"1,602.50"
Hyndburn Cemeteries,Materials-Direct,SUMMER BEDDING,B000024137/28726,Les Halman Nurseries Ltd,27 Jun 2023,"4,761.56"
Accrington Town Centre,Event Expenditure,2ND CORONATION PAYMENT FOR RISHTON,B000024137/46153,Rishton People'S Cnetre,27 Jun 2023,"1,148.84"
Hyndburn Cemeteries,Agency Staff,SEASONAL STAFFING W/C 12.06.23,B000024139/19414,Proman Supply Chain Ltd,27 Jun 2023,"1,138.22"
Tech. Refresh (Annual Replacem,Equipment,DELIVERY COSTS,B000024140/52932,Insight Direct (Uk) Ltd,27 Jun 2023,48.91
Tech. Refresh (Annual Replacem,Equipment,ELECTRONIC HP CARE PACK NBD 3YONS,B000024140/52932,Insight Direct (Uk) Ltd,27 Jun 2023,254.35
Tech. Refresh (Annual Replacem,Equipment,HP DESIGNJET T650 PRINTER,B000024140/52932,Insight Direct (Uk) Ltd,27 Jun 2023,"1,740.49"
Computer Services,Printer/ Copier Rental & Maint,CONSUMABLES,B000024140/53622,Spectrum Computer Supplies Ltd,27 Jun 2023,346.74
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024140/61433,Jcm Steel Fabrications Ltd,27 Jun 2023,"1,940.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024140/7874,Stannah Lift Services Limited,27 Jun 2023,"2,983.00"
Parks & Open Spaces,Materials-Direct,REPAIR STRIMMER,B000024141/68556,Rob Mercer,27 Jun 2023,257.73
Parks & Open Spaces,Private Contractors Work,FELL 7 ASH TREES ,B000024143/57735,Walkers Tree Services,27 Jun 2023,"2,400.00"
Parks & Open Spaces,Materials-Direct,36 LENGTHS OF TIMBER ,B000024143/68626,George Hill (Oldham) Limited,27 Jun 2023,720.00
Parks & Open Spaces,Asset Maint R&M,SUPPLY & INSTALL NEW SOUNDER AND BELL BOX,B000024144/24998,Full Circuit Fire & Security Ltd,27 Jun 2023,230.84
Leisure In Hyndburn,Grants-General,SPORT ENGLAND TOGETHER - OCT 22 - MAR 23,B000024144/29112,Hyndburn Leisure,27 Jun 2023,"47,588.00"
Christmas Decs & Amenity Costs,Electricity,CHRISTMAS LIGHTING -21.4.23 - 1.6.23,B000024144/35310,Sse,27 Jun 2023,"2,548.40"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024144/61963,Smart Building Solutions Blackburn Ltd,27 Jun 2023,"10,000.00"
Accrington Crematorium,Electricity,ACC CREM - 16.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,"2,180.90"
Acc Town Hall,Energy,FEEDER PILLAR - 16.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,47.24
Cannon St Acc,Electricity,CANNON ST - 16.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,541.83
Corporate Property,Electricity,G-H CLOCK - 19.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,45.22
Elmfield Hall Flats,Electricity,ELMFIELD FLATS - 16.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,48.56
Haworth Art Gallery,Electricity,HAG - 19.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,455.98
Haworth Art Gallery,Electricity,HAWORTH PARK - 16.5.23-20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,414.70
Haworth Stables,Electricity,HAWORTH STABLES - 19.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,285.61
Hyndburn Cemeteries,Electricity,ACC CEM OFFIC -  19.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,648.18
Hyndburn Cemeteries,Electricity,DILL HALL CEM - 19.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,25.30
Hyndburn Cemeteries,Electricity,G-H CEM SERVICE BUILDING - 16.5.23-20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,-109.03
Hyndburn Cemeteries,Electricity,WALL OF REMEMBRANCE - 19.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,398.19
Leisure In Hyndburn,Electricity,LEISURE CENTRE - 16.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,"34,392.41"
Markets - Operations,Electricity,SERVICE YARD - 19.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,75.10
Markets - Operations,Electricity,UNITS 5-6 PEEL ST - 16.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,-13.11
Parks & Open Spaces,Electricity,BULLOUGH - 19.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,545.62
Parks & Open Spaces,Electricity,GATTY PARK 19.5.23-20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,45.66
Parks & Open Spaces,Electricity,MEMORIAL PARK - 16.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,153.31
Parks & Open Spaces,Electricity,MERCER FLOODLIGHTING - 16.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,-0.46
Parks & Open Spaces,Electricity,MILNSHAW - 19.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,56.92
Parks & Open Spaces,Electricity,OAKHILL - 16.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,440.03
Parks & Open Spaces,Electricity,OAKHILL BANDSTAND - 16.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,41.16
Parks & Open Spaces,Electricity,PARKER ST BOWLS - 16.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,-65.39
Parks & Open Spaces,Electricity,PEEL PARK - 16.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,55.30
Parks & Open Spaces,Electricity,RHYDDINGS BOWLS - 16.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,91.92
Parks & Open Spaces,Electricity,WHITE ASH - 16.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,605.66
Parks & Open Spaces,Electricity,WILSONS - 16.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,297.16
Ranger St Compound & Depot,Electricity,RANGER ST - 19.5.23 - 20.6.23,B000024146/59343,Edf Energy,29 Jun 2023,178.18
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024148/30178,B3p Services Ltd,29 Jun 2023,"5,146.98"
Licensing,Office Consumables,DOOR SIGNS FOR TAXI LICENSING,B000024148/60103,Newauto Ltd,29 Jun 2023,"1,010.90"
Green Waste Collection,Printing,GARDEN WASTE STICKERS ,B000024151/61634,Dura Id Solutions Limited,29 Jun 2023,971.25
Green Waste Collection,Printing,NEW PLATES,B000024151/61634,Dura Id Solutions Limited,29 Jun 2023,300.00
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024152/24239,Great Harwood Windows Ltd,29 Jun 2023,"2,775.00"
Corporate Property Bus Unit,Fees-Analysts & Consultants,PROFESSIONAL FEES,B000024152/65649,Lea Hough And Co,29 Jun 2023,"5,960.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024152/7874,Stannah Lift Services Limited,29 Jun 2023,"8,505.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024152/7874,Stannah Lift Services Limited,29 Jun 2023,"3,242.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024153/59330,Closomat Ltd,29 Jun 2023,"4,643.00"
Corporate Property Bus Unit,Fees-Analysts & Consultants,ASSET VALUATIONS 22- INVOICE 3,B000024153/65649,Lea Hough And Co,29 Jun 2023,"5,960.00"
Market Chambers - Luf,Legal Fees,LEGAL ADVICE,B000024154/66553,Womble Bond Dickinson,29 Jun 2023,"7,599.50"
Homes For Ukraine-Comm Integra,Misc Expenses Other,REFUGEE WEEK EVENT,B000024115/68607,Mendhibysummiex,30 Jun 2023,250.00
Cvmu,Materials-Direct,HYD HOSE,B000024119/7228,Pirtek Preston 2004 Ltd,30 Jun 2023,440.20
Homes For Ukraine-Comm Integra,Misc Expenses Other,REFUGEE WEEK EVENT,B000024121/61872,J P P Media Limited,30 Jun 2023,172.77
Environmental Protection,Agency Staff,TEMP STAFF W/E 11.6.23 ,B000024123/61860,Vivid Resourcing,30 Jun 2023,"1,800.05"
Environmental Protection,Agency Staff,TEMP STAFF W/E 116.23 ,B000024123/61860,Vivid Resourcing,30 Jun 2023,590.63
Housing Advice,Agency Staff,TEMP STAFF W/E 11.6.23 ,B000024123/61860,Vivid Resourcing,30 Jun 2023,"1,502.28"
Waste Services,Agency Staff,AGENCY STAFF W/C 5.6.23,B000024124/61971,Rapid Recruit Ltd,30 Jun 2023,479.15
Accrington Town Centre,Event Expenditure,PROSPECTS ECO FEST 50%,B000024124/9249,Prospects Foundation,30 Jun 2023,"3,000.00"
Willows Lane Refurb,Contractor Other,REFURBISHMENT ASBESTOS SURVEY WILLOWS LANE,B000024125/59301,Consultants & Spec Surveyors Ltd,30 Jun 2023,450.00
Haworth Art Gallery,Licensing Places Of Entertmt,PRS & PPL LICENCE,B000024125/60557,Ppl Prs Ltd,30 Jun 2023,228.39
Land At Nook Lane,Fees-Analysts & Consultants,BURY MEADOWS - MASTER PLAN AND CAF BID,B000024129/60561,Proffits Investing In Communities,30 Jun 2023,467.50
Rhyddings Cafe,Electricity,COMMUNITY HUB - ELECTRICAL DATA COLLECTION CHARGES - 09.07.23 - 08.07.24,B000024129/60899,Imserv Europe Ltd,30 Jun 2023,252.98
Hmo,Agency Staff,TEMP STAFF - P/E 11.06.23 ,B000024129/61657,G2 Recruitment Solutions,30 Jun 2023,"2,026.00"
Development Control B.U.,Agency Staff,TEMP STAFF W/C 05/06/23,B000024131/58852,Oyster Partnership,30 Jun 2023,463.20
Hmo,Agency Staff,TEMP STAFF W/C 5.6.23,B000024131/58852,Oyster Partnership,30 Jun 2023,"1,014.00"
Hmo,Agency Staff,TEMP STAFF W/C 5.6.23,B000024131/58852,Oyster Partnership,30 Jun 2023,"4,689.36"
Hmo,Agency Staff,TEMP STAFF W/C 5.6.23,B000024131/58852,Oyster Partnership,30 Jun 2023,555.75
Planning Policy B.U.,Agency Staff,TEMP STAFF W/C 05/06/23,B000024131/58852,Oyster Partnership,30 Jun 2023,"1,290.50"
Huncoat Housing Zone,Fees-Analysts & Consultants,WSP J8 TRAFFIC SURVEY,B000024131/65926,Wsp Uk Ltd,30 Jun 2023,"1,500.00"
Administration Services,Office Consumables,PAPER,B000024132/55485,Canon (Uk) Ltd,30 Jun 2023,810.00
Parks & Open Spaces,Implements & Tools,MACHINERY PARTS,B000024133/54462,Tudor Environmental,30 Jun 2023,470.33
Accrington Crematorium,Repair & Maint Cremator,CREMATOR - SERVICE CHARGE,B000024139/28418,Facultatieve Technologies,30 Jun 2023,"9,535.96"
Cvmu,Materials-Direct,STRAPS AND FILTERS,B000024141/7688,Aebi Schmidt Uk Ltd,30 Jun 2023,"1,772.66"
Pest Control,Baits & Poisons,BLACK RAT STATIONS PK10 INC BARS,B000024143/60960,1env,30 Jun 2023,229.56
Pest Control,Baits & Poisons,PEST CONTROL SUPPLIES,B000024143/60960,1env,30 Jun 2023,6.80
Accountancy,Agency Staff,TEMP STAFF W/E 5.6.23,B000024144/58852,Oyster Partnership,30 Jun 2023,"3,550.00"
Accountancy,Agency Staff,TMP STAFF W/C 11.6.23,B000024144/61860,Vivid Resourcing,30 Jun 2023,"2,950.00"
Emergency Works Grant,Contractor Other,EMERGENCY WORKS,B000024157/1957,Homewise Society Ltd,30 Jun 2023,"5,929.00"
Registration Of Electors,Stationery,SCHOFIELDS RELEASE 70,B000024157/50652,Thomson Reuters Professional Uk Ltd,30 Jun 2023,343.00
Accountancy,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,8.96
Building Control B.U.,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,5.23
Bulky Waste Collection,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,8.96
Computer Services,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,11.20
Consultancy-Engineering Div,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,14.43
Customer Services,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,8.95
Development,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,33.69
Development Control B.U.,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,14.79
Environmental Initiatives B.U.,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,2.21
Environmental Protection,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,17.90
Health Food & Safety,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,13.40
Housing Benefit Administration,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,4.41
Housing Standards,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,0.85
Human Resources,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,13.36
Hyndburn Cemeteries,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,3.33
Internal Audit,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,20.21
Legal Services,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,14.59
Licensing,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,22.40
Local Taxation,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,3.34
Member Services,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,11.21
Parks & Open Spaces,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,9.81
Refuse/Cleansing Admin Staff,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,26.96
Waste Services,Mgnt Fees - Salary Sacrifice,AVC WISE JUNE 23,B000024157/61891,Avc Wise Ltd,30 Jun 2023,35.99
Market Chambers - Luf,Consultants Fees,LEGAL FEES- MARKET CHAMBERS,B000024157/66553,Womble Bond Dickinson,30 Jun 2023,620.50
Market Chambers - Luf,Legal Fees,LEGAL FEES- MARKET CHAMBERS,B000024157/66553,Womble Bond Dickinson,30 Jun 2023,"10,200.00"
Market Chambers - Luf,Consultants Fees,COMPLETION OF MARKET CHAMBERS REPORT,B000024157/68608,Aecom Limited,30 Jun 2023,"5,142.00"
Enforcement,Abandoned Vehicle Removal,REMOVAL OF WORKSHOP,B000024158/39746,Assured Automobile Assessors Ltd,30 Jun 2023,215.00
Cemetery Welfare & Depot Fac,Contractor Other,FEES FOR PHASE TWO FOR DEPOT,B000024158/52714,The Intelligent Design Centre Ltd,30 Jun 2023,"1,250.00"
Parks & Open Spaces,Vehicle Tracker / Fuel/ Cctv,TRACKER COSTS PARKS,B000024158/65244,Inseego,30 Jun 2023,720.00
Parks & Open Spaces,Training Expenses,JOB ADVERT,B000024158/68028,Prime Start Media Limited,30 Jun 2023,297.00
Green Infrastructure,General Grounds Maintenance,WORKS AT FERN GORE,B000024159/55749,Natural Gardens,30 Jun 2023,250.00
Accountancy,Advertising,JOB ADVERT,B000024159/66386,Jobs Go Public Ressourcing Ltd,30 Jun 2023,600.00
ENVIRONEMNTAL HEALTH,CVMU,INDICATORS,P-CARD - JUNE 23,MERLIN DIESEL,12-May-23,483.84
ENVIRONEMNTAL HEALTH,CVMU,ROAD TAX,P-CARD - JUNE 23,DVLA,16-May-23,322.50
REGENERATION,HOUSING,ACCOMMODATION,P-CARD - JUNE 23,PREMIER INN,18-May-23,250.00
ENVIRONEMNTAL HEALTH,CEMETERIES,WOOD,P-CARD - JUNE 23,WHEWELLS,18-May-23,333.34
REGENERATION,HOUSING,ACCOMMODATION,P-CARD - JUNE 23,PREMIER INN,22-May-23,547.50
REGENERATION,HOUSING,ACCOMMODATION,P-CARD - JUNE 23,PREMIER INN,31-May-23,385.00
ENVIRONEMNTAL HEALTH,WASTE SERVICES,PLANNING APPLICATION,P-CARD - JUNE 23,PLANNING PORTAL,01-Jun-23,438.34
ENVIRONEMNTAL HEALTH,WASTE SERVICES,PLANNING APPLICATION,P-CARD - JUNE 23,PLANNING PORTAL,01-Jun-23,438.34
P & C G ,CENTRAL ADMIN,PLANNING APPLICATION,P-CARD - JUNE 23,PLANNING PORTAL,02-Jun-23,526.00
REGENERATION,HOUSING,ACCOMMODATION,P-CARD - JUNE 23,PREMIER INN,06-Jun-23,483.34
ENVIRONEMNTAL HEALTH,PARKS,ROOTZONE,P-CARD - JUNE 23,VALLEY STONE & SOIL,09-Jun-23,716.00
REGENERATION,HOUSING,ACCOMMODATION,P-CARD - JUNE 23,PREMIER INN,12-Jun-23,420.00
HOUSING BENEFIT ADMIN,SECURITY SERVICES,G4S,36641,G4S,19-Jun-23,439.40
HOUSING BENEFIT ADMIN,ALLPAY,MAY,36657,ALLPAY.NET.LTD,26-Jun-23,1091.21
"AUDIT, BANK & TREASURY",NATWEST BANK CHARGES,01.04.23-30.06.23,36663,NATWEST,30-Jun-23,2692.47
