Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(œ)
GYPSY SITE,ELECTRICITY,GYPSY SITE 1.3.17 - 31.3.17,B000018779/59343,EDF ENERGY,12-Apr-17,1212.20
LIBRARY ST DEPOT,ELECTRICITY,CVMU 1.3.17 - 31.3.17,B000018779/59343,EDF ENERGY,12-Apr-17,1217.58
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DFG 10164  11 MARLBOROUGH RD,B000018779/993,COOKSON BUILDERS LTD,12-Apr-17,13235.11
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF,B000018780/33923,EDEN BROWN LTD,12-Apr-17,850.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,BUSINESS RATES SOFTWARE,B000018780/783,CAPITA BUSINESS SERVICES LTD,12-Apr-17,975.00
LIBRARY ST DEPOT,RATES,RATES 1.4.17-31.3.18,B000018781/1937,HYNDBURN BOROUGH COUNCIL,13-Apr-17,15106.61
ADMINISTRATION SERVICES,PUBLICATIONS & PERIODICALS,SUBS 17/18,B000018781/58700,TAMESIDE MBC,13-Apr-17,1000.00
PPAID ADVANCES,GENERAL DEBIT SUSPENSE,SALARY UNDERPAYMENT,B000018781/59668,PHILIP LIVESEY,13-Apr-17,325.00
VEHICLE MAINT SUPERVISION,IMPLEMENTS & TOOLS,OXYGEN USED,B000018781/634,BRITISH OXYGEN CO LTD,13-Apr-17,294.68
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,SUBSIDY SEMINAR,B000018781/783,CAPITA BUSINESS SERVICES LTD,13-Apr-17,655.00
ACC TC CCTV,TELEPHONE LEASE,CCTV ANALOGUE LINES,B000018786/26383,BT REDCARE,18-Apr-17,5966.98
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 9.4.17,B000018786/33923,EDEN BROWN LTD,18-Apr-17,728.00
LOCAL TAXATION,COMPUTER RENTAL & MAINT,SUSB 17,B000018786/46443,HBINFO LTD,18-Apr-17,399.00
ACCRINGTON MARKET,MARKETING INITIATIVES,LICENCE FEE 6.4.17-5.4.18,B000018786/46451,PERFORMING RIGHTS SOCIETY LTD,18-Apr-17,540.40
ACC TOWN CENTRE,T C PROMOTIONS,USE OF ARTS CENTRE- CASEBOOK G,B000018786/49439,CIVIC ARTS CENTRE,18-Apr-17,2000.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,DEVELOPMENT FUND 2017/18,B000018786/783,CAPITA BUSINESS SERVICES LTD,18-Apr-17,8693.00
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL 18.3.17,B000018786/8287,TRIPLE C SKIPS,18-Apr-17,480.00
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL 11.3.17,B000018786/8287,TRIPLE C SKIPS,18-Apr-17,480.00
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL - 25.3.17,B000018786/8287,TRIPLE C SKIPS,18-Apr-17,480.00
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL 1.4.17,B000018786/8287,TRIPLE C SKIPS,18-Apr-17,480.00
GYPSY SITE,GENERAL REPAIR & MAINT BLDGS,WORKS AT GYPSY SITE,B000018788/30178,B3P SERVICES LTD,19-Apr-17,761.00
HAWORTH STABLES,GAS,STABLES - 28.2.17-29.3.17,B000018788/30430,NPOWER BUSINESS,19-Apr-17,1344.64
HYNDBURN CEMETERIES,GAS,ACC CEM - 28.2.17-31.3.17,B000018788/30430,NPOWER BUSINESS,19-Apr-17,2708.28
LIBRARY ST DEPOT,GAS,CVMU - 4.3.17-31.3.17,B000018788/30430,NPOWER BUSINESS,19-Apr-17,515.49
ACCRINGTON CREMATORIUM,GAS,ACC CEM - 28.2.17-31.3.17,B000018788/30430,NPOWER BUSINESS,19-Apr-17,2708.28
ACCRINGTON MARKET,GAS,MARKET - 28.2.17-31.3.17,B000018788/30430,NPOWER BUSINESS,19-Apr-17,1692.57
COMPUTER SERVICES,TELEPHONES,APRIL 17,B000018788/40272,CABLE & WIRELESS,19-Apr-17,2511.28
ENVIRONMENTAL PROTECTION TEAM,BURIAL FEES,FUNERAL SERVICES- DENNIS PARNH,B000018788/55164,BARTON & HALLWORTH FUNERAL SERVICES,19-Apr-17,1385.00
STRATEGIC HOUSING DEPARTMENT,WARM HOMES HEALTY PEOPLE,TEMP STAFF W/E 9.4.17,B000018788/58023,BUCKINGHAM FUTURES LTD,19-Apr-17,906.75
STRATEGIC HOUSING DEPARTMENT,WARM HOMES HEALTY PEOPLE,TEMP STAFF W/E 31.3.17,B000018788/58023,BUCKINGHAM FUTURES LTD,19-Apr-17,875.75
LABOUR GROUP SUBS,GENERAL DEBIT SUSPENSE,APRIL 17,B000018789/48581,HYNDBURN LABOUR GROUP,19-Apr-17,1427.00
MTNCE/COURT ORDERS,STAND BY PAY SUSPENSE,APRIL 17,B000018789/530,CLIENT FUND ACCOUNT TEAM,19-Apr-17,274.71
BLUES & TWOS CREDIT UNION,GENERAL DEBIT SUSPENSE,APRIL 17,B000018789/55066,BLUES AND TWOS CREDIT UNION LTD,19-Apr-17,5868.00
LAND CHARGES,LAND CHARGES,LAND CHARGES - MAR 17,B000018790/2496,LANCASHIRE COUNTY COUNCIL,19-Apr-17,720.00
HAWORTH ART GALLERY,GAS,H.A.G -  28.2.17-31.3.17,B000018790/30430,NPOWER BUSINESS,19-Apr-17,1103.50
WILLOWS LANE DEPOT,GAS,WILLOWS LANE - 7.3.17-31.3.17,B000018790/30430,NPOWER BUSINESS,19-Apr-17,542.18
WOODNOOK STRATEGIC ACQUISITION,SECURING PREMISES,WOODNOOK SECURITY,B000018790/48843,CLEARWAY ENV SERVICES (UK) LTD,19-Apr-17,996.00
NORDEN BROOK BRIDGE,CONTRACTOR OTHER,WORKS AT HARWOOD BROOK BRIDGE,B000018790/50554,ELECTRICITY NORTH WEST LTD,19-Apr-17,3053.91
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 9.4.17,B000018790/55150,VENN GROUP LIMITED,19-Apr-17,913.00
ACC TC CCTV,PRIVATE CONTRACTORS WORK,CCTV MONITORING,B000018790/552,BLACKBURN WITH DARWEN BOROUGH COUNCIL,19-Apr-17,3582.51
CAR LOAN ADVANCES,GENERAL DEBIT SUSPENSE,CAR LOAN,B000018790/59673,JUST CITREON (PRESTON),19-Apr-17,5000.00
SOFT PLAY AREA,CONTRACTOR OTHER,NEW FLOOR COVERING AT SPORTS C,B000018794/1917,HYDE FLOORING CO LTD,21-Apr-17,11342.00
REFUSE/CLEANSING ADMIN STAFF,MOBILES,SAMSUNG S6 MOBILE,B000018794/46800,WESTON COMMUNICATIONS,21-Apr-17,355.00
ACCRINGTON MARKET,CLEANING MATERIALS,CLEANING MATERIALS,B000018794/7033,OPTION HYGIENE,21-Apr-17,345.05
WILLOWS LANE DEPOT,SPECIAL BDGS R & M-GENERAL,INTERNAL ALTERATIONS AT WILLOW,B000018794/7524,ROSS LEE CONSTRUCTION LTD,21-Apr-17,6456.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,"DFG 10339 - 43 STEINER ST, ACC",B000018794/7874,STANNAH LIFT SERVICES LIMITED,21-Apr-17,2446.00
HYNDBURN CEMETERIES,ADVERTISING,ADVERT,B000018794/8066,FEDERATION OF BURIAL & CREMATION AUTHORITIES,21-Apr-17,450.00
ACC TOWN HALL IMPROVEMENTS,CONTRACTOR OTHER,VALUATION 16 - A.T.H,B000018795/1024,CRAIG HAMBLING LTD,21-Apr-17,1061.78
ACCRINGTON MARKET,RATES,UNIT E3 1.4.17 - 31.3.18,B000018795/1937,HYNDBURN BOROUGH COUNCIL,21-Apr-17,308.06
DEVELOPMENT,CONTBN HYNDBURN HOMEWISE,APRIL - JUNE 2017,B000018795/1957,HYNDBURN HOMEWISE SOCIETY LTD,21-Apr-17,6431.75
HAWORTH ART GALLERY,LICENSING PLACES OF ENTERTMT,MUSIC RIGHTS LICENCE FEE,B000018795/38998,THE PERFORMING RIGHT SOCIETY,21-Apr-17,475.72
HAWORTH ART GALLERY,ADVERTISING GENERAL,SUBS 17,B000018795/54892,MARKETING LANCASHIRE LTD,21-Apr-17,448.80
ACCRINGTON MARKET,GENERAL SUBSCRIPTIONS,SUBS 17/18,B000018795/8811,NABMA,21-Apr-17,636.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DFG 10253 - 10 BURNLEY LANE,B000018796/25868,HYNDBURN PLUMBING & HEATING SERVICES,21-Apr-17,4180.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 16.4.17,B000018796/33923,EDEN BROWN LTD,21-Apr-17,893.75
CORP & DEM CORE,GENERAL SUBSCRIPTIONS,LGA SUBS 16-17,B000018796/43988,LOCAL GOVERNMENT ASSOCIATION,21-Apr-17,8026.08
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 16.4.17,B000018796/55150,VENN GROUP LIMITED,21-Apr-17,825.50
STRATEGIC HOUSING DEPARTMENT,WARM HOMES HEALTY PEOPLE,TEMP STAFF W/E 16.4.17,B000018796/58023,BUCKINGHAM FUTURES LTD,21-Apr-17,899.00
WILLOWS LANE DEPOT,ASSET MAINT R&M,WORKS AT WILLOWS LANE,B000018796/59248,LANCASHIRE GAS SERVICES,21-Apr-17,631.65
BENEFIT DEBTORS,BENEFIT DEBTORS RFD CHQ SUSPSE,H/B REFUND,B000018796/59641,MISS JODIE BOLTON,21-Apr-17,341.78
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,TECHNICAL ANNUAL MTCE,B000018796/783,CAPITA BUSINESS SERVICES LTD,21-Apr-17,8616.44
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,HB SOFTWARE,B000018796/783,CAPITA BUSINESS SERVICES LTD,21-Apr-17,1250.00
MARKETS,TRAINING EXPENSES,DIPLOMA IN MARKET ADMIN,B000018796/8811,NABMA,21-Apr-17,500.00
UNDERSPENDS,DOMESTIC VILOENCE,GRANT FUNDING,B000018797/16409,HYND & RIBBLE VALLEY DOMESTIC VIOLENCE FORUM,21-Apr-17,10000.00
LEISURE IN HYNDBURN,ELECTRICITY,MERCER HALL 2.4.17-1.4.18,B000018797/25200,E.ON UK PLC,21-Apr-17,298.00
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,CLAYTON CIVIC FEB 17,B000018797/29112,HYNDBURN LEISURE,21-Apr-17,1600.00
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,FUNDING 17/18,B000018797/29112,HYNDBURN LEISURE,21-Apr-17,75000.00
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,MGT FEE - MAR 17,B000018797/29112,HYNDBURN LEISURE,21-Apr-17,22387.67
LEISURE IN HYNDBURN,GRANTS-GENERAL,ARMED FORCES - 1.1.17-31.3.17,B000018797/29112,HYNDBURN LEISURE,21-Apr-17,1021.95
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,CLAYTON CIVIC MARCH 17,B000018797/29112,HYNDBURN LEISURE,21-Apr-17,1600.00
ELMFIELD HALL FLATS,GAS,ELMFIELD HALL 17.2.17-20.3.17,B000018797/30430,NPOWER BUSINESS,21-Apr-17,300.17
CORPORATE PROPERTY,ADVERTISING GENERAL,SIGN FOR OSWALDTWISTLE,B000018797/34647,FIRST SIGNS LTD,21-Apr-17,260.00
MAINT. OF H'WAYS & CYCLEWAYS,WORK DONE DLO-HIGHWAYS,"WORKS ON DALE STREET, ACC",B000018797/38733,MARCHBRIDGE BUILDERS LTD,21-Apr-17,738.02
PARKS & OPEN SPACES,FOOTPATH REPAIRS,RESURFACE PATH AT MERCER PARK,B000018797/39714,MR T HANSON,21-Apr-17,550.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 16.4.17,B000018797/46341,MORGAN HUNT UK LTD,21-Apr-17,370.80
ACCRINGTON MARKET,RATES,ACC MARKET - 1.4.17-31.3.18,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,32104.57
PARKS & OPEN SPACES,RATES,PARKER ST - 1.4.17-31.3.18,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,391.44
ACC TOWN HALL,RATES,MAYORS OFFICE- 1.4.17-31.3.18,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,464.06
OFF STREET PARKING,RATES,CHURCH STREET - 1.4.17-31.3.18,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,279.60
ACC TOWN HALL,RATES,"TOWN HALL, ACC",B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,10564.75
HYNDBURN CEMETERIES,RATES,G-H CEM - 1.4.17-31.3.18,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,3939.57
OFF STREET PARKING,RATES,MERCER ST 1.4.17-31.3.18,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,419.40
SCAITCLIFFE HOUSE,RATES,SCAITCLIFFE HOUSE 1.4.17-31.3.,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,84606.85
OFF STREET PARKING,RATES,PEEL ST - 1.4.17-31.3.18,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,792.20
OFF STREET PARKING,RATES,PLANTATION ST 1.4.17-31.3.18,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,4007.60
OFF STREET PARKING,RATES,CAR PARK ADJ POP CLUB ACC,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,1013.55
OFF STREET PARKING,RATES,BARNES ST - 1.4.17-31.3.18,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,5126.00
OFF STREET PARKING,RATES,BLACK ABBEY ST 1.4.17-31.3.18,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,1398.00
OFF STREET PARKING,RATES,ST LAWRENCE ST - 1.4.17-31.3.1,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,251.64
OFF STREET PARKING,RATES,CAR PARK 1.4.17-31.3.18,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,594.15
OFF STREET PARKING,RATES,STONEBRIDGE LANE - 1.4.17-31.3,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,312.22
OFF STREET PARKING,RATES,HOLGATE STREET 1.4.17-31.3.18,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,1747.50
OFF STREET PARKING,RATES,GRANGE LANE - 1.4.17-31.3.18,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,2143.60
OFF STREET PARKING,RATES,JACOB STREET - 1.4.17-31.3.18,B000018798/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,1491.20
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,CREMATORIA SEMINAR 20/4/17 C.H,B000018799/15595,APSE,24-Apr-17,259.00
HYNDBURN CEMETERIES,RATES,NON DOMESTIC RATES 01/4/17 TO ,B000018799/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,13190.51
HYNDBURN CEMETERIES,RATES,NON DOMESTIC RATES ACCRINGTON ,B000018799/1937,HYNDBURN BOROUGH COUNCIL,24-Apr-17,14301.29
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF GROUNDS WK 16/4/1,B000018799/19414,HEADS RECRUITMENT LIMITED,24-Apr-17,695.51
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 9.04.17 GROUND,B000018799/19414,HEADS RECRUITMENT LIMITED,24-Apr-17,687.89
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF WASTE SERVICES WK,B000018799/19414,HEADS RECRUITMENT LIMITED,24-Apr-17,463.35
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF S.ROBINSON  WK 2.,B000018799/19414,HEADS RECRUITMENT LIMITED,24-Apr-17,403.30
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF WK 9.4.17 CEMETER,B000018799/19414,HEADS RECRUITMENT LIMITED,24-Apr-17,425.49
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF GROUNDS WK 2-4-17,B000018799/19414,HEADS RECRUITMENT LIMITED,24-Apr-17,850.20
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF CLEANSING X 1 OPE,B000018799/19414,HEADS RECRUITMENT LIMITED,24-Apr-17,432.70
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 26/3/17 GROUND,B000018799/19414,HEADS RECRUITMENT LIMITED,24-Apr-17,795.70
WILLOWS LANE DEPOT,SECURITY SYSTEM MAINTENANCE,KELIO CONTRACT COVER 01-7-17 T,B000018799/23402,AUTO TIME SYSTEMS NORTHERN,24-Apr-17,1570.50
SOUND/VISUAL SYSTEM CREM,CONTRACTOR OTHER,CREMATORIUM MUSIC SYSTEM SUPPL,B000018799/55609,OBITUS (VIVEDIA LTD),24-Apr-17,21000.00
