Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(œ)
HLC ENERGY EFFICIENCY IMPROVEM,OTHER FEES,LEISURE FEASIBILITY STUDY,B000021291/64622,MAX ASSOCIATES (HOLDINGS) LIMITED,04-Nov-20,9810
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,INSTALL NOTICE BOARD @ PEEL PARK ,B000021301/20,A BYRNE FENCING,05-Nov-20,320
PARKS & OPEN SPACES,IMPLEMENTS & TOOLS,LOLER INSPECTIONS ,B000021301/45081,G M TREE CONSULTANTS,05-Nov-20,510
BOLTON AVENUE PLAY AREA,CONTRACTOR OTHER,ROTA BOUNCE,B000021301/28755,PLAYDALE PLAYGROUNDS LTD,05-Nov-20,3249
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,"100 50 X GLOBE, STATIC LEDs",B000021301/40866,L I T E,05-Nov-20,40950
BROADWAY SHOPS,CONTRACTOR OTHER,BROADWAY CANOPY - CLEARING DRAINS,B000021307/59128,GEORGE PEARCE & SONS LTD,09-Nov-20,300
LICENSING,DVLA FEES,DVLA CHECKS,B000021307/62170,PERSONNEL CHECKS,09-Nov-20,320
LAND CHARGES,SEARCH FEES,LOCAL LAND CHARGE SEARCHES,B000021306/2496,LANCASHIRE COUNTY COUNCIL,09-Nov-20,351
CORPORATE PROPERTY,ASSET MAINT R&M,MERCER HOUSE - WATER RISK ASSESSMENT,B000021307/57133,INTERSERVE FS (UK) LTD,09-Nov-20,375
CORPORATE PROPERTY,ASSET MAINT R&M,ARTHUR WILSON CENTRE- WATER RISK ASSESSMENT,B000021307/57133,INTERSERVE FS (UK) LTD,09-Nov-20,375
RANGER ST COMPOUND & DEPOT,SECURITY SYSTEM MAINTENANCE,SECURITY FOBS ,B000021309/24998,FULL CIRCUIT FIRE & SECURITY LTD,09-Nov-20,392.68
ACCRINGTON CREMATORIUM,ASSET MAINT R&M,ACCRINGTON CREMATORIUM - ROOF LEAK (CALL 5453),B000021307/37017,PILKINGTON BROS (CHURCH) LTD,09-Nov-20,403.2
LEISURE IN HYNDBURN,LIH R&M,ACC TOWN HALL - REMEDIAL WORKS ,B000021306/64735,PREMIER TECHNICAL SERVICES GROUP,09-Nov-20,407.75
BROADWAY SHOPS,CONTRACTOR OTHER,OPEN AND REMOVE SAFE,B000021307/8187,THE SECURITY COMPANY N/W LTD,09-Nov-20,480
MAYORALTY,REMEMBRANCE SUNDAY EXPENSES,AIERIAL MAROON FLARES ACROSS 5 SITES FOR REMEMBRANCE SUNDAY,B000021307/13935,PHENOMENAL FIREWORKS LTD,09-Nov-20,500
ACCRINGTON TOWN CENTRE,GENERAL SUBSCRIPTIONS,2020 ANNUAL MEMBERSHIP,B000021308/60667,ASSOCIATION OF TOWN CENTRE MANAGEMENT,09-Nov-20,695
SCAITCLIFFE HOUSE,DISPOSAL UNIT RENTAL,SANITARY DISPOSAL - 12-12-20 - 12-12-21,B000021306/7087,P H S GROUP LTD,09-Nov-20,771.04
REFUSE/CLEANSING ADMIN STAFF,CIVIL CONTINGENCY ACT,CONTRIBUTION TO LRF ADMIN POST,B000021308/11051,LANCASHIRE POLICE AUTHORITY,09-Nov-20,859.53
WILLOWS LANE DEPOT,DEPOT COSTS,CLEANING GULLIES ,B000021309/61581,C J JETZ LTD,09-Nov-20,860.5
HYNDBURN CEMETERIES,EQUIPMNT REPAIR & MAINT,"3 X OFFICE CHAIRS FOR CEMETERY OFFICE, MEASURED TO FIT",B000021309/9535,BEVLAN OFFICE INTERIORS LTD,09-Nov-20,939
PARKS & OPEN SPACES,ADVERTISING,JOB VACANCY,B000021306/58800,HAYMARKET MEDIA GROUP LTD,09-Nov-20,970
HUMAN RESOURCES,TRAINING EXPENSES,SICKNESS ABSENCE TRAINING,B000021306/30370,FORBES SOLICITORS,09-Nov-20,1000
HOUSING ADVICE,AGENCY STAFF,AGENCY STAFF,B000021307/61860,VIVID RESOURCING,09-Nov-20,1063.29
HUMAN RESOURCES,TRAINING EXPENSES,TRAINING,B000021306/6959,NORTH WEST EMPLOYERS,09-Nov-20,1250
DFG Affordable Warmth Grant,CONTRACTOR OTHER,HEATING GRANT,B000021306/64557,HARRIS HEATING (NW) LTD,09-Nov-20,1357.14
BROADWAY SHOPS,CONTRACTOR OTHER,BROADWAY CANOPY - SCAFFOLD AND ROOF CLEANING,B000021307/59128,GEORGE PEARCE & SONS LTD,09-Nov-20,1534
ACCRINGTON CREMATORIUM,VISUAL TRIBUTES,MEDIA TRIBUTES OCTOBER 20 ACCRINGTON CREMATORIUM,B000021309/55609,OBITUS (VIVEDIA LTD),09-Nov-20,1580
WASTE SERVICES,AGENCY STAFF,AGENCY WORKERS W/E 25/10/2020,B000021308/55740,RAPID RECRUITMENT LTD,09-Nov-20,2348.7
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF W/E 01/11/2020,B000021308/55740,RAPID RECRUITMENT LTD,09-Nov-20,2430.78
CORPORATE PROPERTY,ASSET MAINT R&M,"MERCER HOUSE - GSM, EMERGENCY LIGHTS, BARRIER, MATTING",B000021307/64522,R J LIFT SERVICES LTD,09-Nov-20,2491
CCTV'S,PRIVATE CONTRACTORS WORK,CCTV MONITORING - NOVEMBER 2020,B000021308/552,BLACKBURN WITH DARWEN BOROUGH COUNCIL,09-Nov-20,7497.6
BROADWAY SHOPS,CONTRACTOR OTHER,VALUATION 2,B000021307/59128,GEORGE PEARCE & SONS LTD,09-Nov-20,12277.47
BROADWAY SHOPS,CONTRACTOR OTHER,VALUATION 2,B000021307/59128,GEORGE PEARCE & SONS LTD,09-Nov-20,14830.77
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,CALL OUT TO TREE AT CUTT LANE,B000021313/62398,WESTFIELD TREE SERVICES,10-Nov-20,550
PEEL PARK ENTERANCE IMPROVEMEN,CONTRACTOR OTHER,SERVICE-DATED 20.01.20,B000021313/42355,O'CALLAGHAN LTD,10-Nov-20,8840.37
ALLOTMENTS,WATER CHARGES,WATER HUNCOAT - 30.7.20 - 29-10.20,B000021317/8325,WATER PLUS LTD,11-Nov-20,388.65
ALLOTMENTS,WATER CHARGES,LEY FARM - 31.7.20 - 28-10.20,B000021317/8325,WATER PLUS LTD,11-Nov-20,415.54
LEGAL SERVICES,PUBLICATIONS & PERIODICALS,CROSS RELEASE 87,B000021317/50652,THOMSON REUTERS PROFESSIONAL UK LTD,11-Nov-20,437
DEV CONTROL,FEES-ANALYSTS & CONSULTANTS,IND CONSULT ON PLANNING APP,B000021317/63897,ADAS,11-Nov-20,575
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF W/E  30.10.20,B000021317/61657,G2 RECRUITMENT SOLUTIONS,11-Nov-20,1073.88
ADMINISTRATION SERVICES,EQUIPMNT REPAIR & MAINT,MTCE - 28-9-20 - 27.9.21,B000021317/7231,PITNEY BOWES LTD,11-Nov-20,1202.4
ENVIRONMENTAL PROTECTION TEAM,WORK IN DEFAULT,CLEAR WASTE ,B000021317/59338,WASTE BUSTERS WASTE REMOVAL,11-Nov-20,1895
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF W/E  01.11.20,B000021317/61657,G2 RECRUITMENT SOLUTIONS,11-Nov-20,2067
FRANKING MACHINE SCAITCLIF HSE,EQUIPMENT,NEW FRANKING MACHINE / FOLDER,B000021317/7231,PITNEY BOWES LTD,11-Nov-20,7449
LEISURE IN HYNDBURN,ELECTRICITY,MERCER HALL OCT 20,B000021320/59343,EDF ENERGY,12-Nov-20,1151.08
ACC TOWN HALL,ELECTRICITY,ACC TOWN HALL OCT 20,B000021320/59343,EDF ENERGY,12-Nov-20,1251.31
LIBRARY ST DEPOT,ELECTRICITY,CVMU OCT 20,B000021320/59343,EDF ENERGY,12-Nov-20,1420.96
GYPSY SITE,ELECTRICITY,GYPSY SITE OCT 20,B000021320/59343,EDF ENERGY,12-Nov-20,1613.67
CORPORATE PROPERTY,ELECTRICITY,ELECTRIC  CLOSING BALANCE,B000021320/35310,SWALEC,12-Nov-20,2176.89
SCAITCLIFFE HOUSE,ELECTRICITY,SCAITCLIFFE  OCT 20,B000021320/59343,EDF ENERGY,12-Nov-20,2811.19
LEISURE IN HYNDBURN,ELECTRICITY,SPORTS CENTRE OCT 20,B000021320/59343,EDF ENERGY,12-Nov-20,6618.96
PARKS & OPEN SPACES,ASSET MAINT R&M,OAKHILL PARK TENNIS PAVILION WATER SAMPLES,B000021325/57133,INTERSERVE FS (UK) LTD,13-Nov-20,258.08
PARKS & OPEN SPACES,ASSET MAINT R&M,KING GEORGE PAVILION  WATER SAMPLES,B000021325/57133,INTERSERVE FS (UK) LTD,13-Nov-20,258.08
PARKS & OPEN SPACES,ASSET MAINT R&M,BRIAN WALMSLEY PAVILLION  WATER SAMPLES,B000021325/57133,INTERSERVE FS (UK) LTD,13-Nov-20,258.08
BROADWAY SHOPS,CONTRACTOR OTHER,FIRE ALARM INSTALL AND TEST,B000021325/24998,FULL CIRCUIT FIRE & SECURITY LTD,13-Nov-20,323.25
HOUSING ADVICE,TEMPORARY ACCOMMODATION,1 MONTHS RENT ,B000021325/10627,ACCENT HOUSING.,13-Nov-20,326
BROADWAY SHOPS,CONTRACTOR OTHER,FIRE ALARM INSTALL AND TESTS,B000021325/24998,FULL CIRCUIT FIRE & SECURITY LTD,13-Nov-20,704.15
MOT GENERAL,AGENCY STAFF,TEMP STAFF 08.11.20,B000021323/61466,AUTOTECH RECRUIT,13-Nov-20,1000
SCAITCLIFFE HOUSE,WATER CHARGES,SCAITCLIFFE HOUSE WATER 05.8.20- 31.10.20,B000021325/8325,WATER PLUS LTD,13-Nov-20,1952.55
DEVELOPMENT,SCHEME MANAGEMENT COSTS,AFFORDABLE WARMTH GRANT FEES ,B000021325/63869,HYNDBURN HOMEWISE SOCIETY LIMITED,13-Nov-20,2556.12
Electical works various,CONTRACTOR OTHER,WILLOWS LANE OFFICES  ECIR FIXING WIRING IMP WORKS,B000021325/60330,CALBARRIE COMPLIANCE SERVICES,13-Nov-20,2721.48
DEVELOPMENT,EXTERNAL CHARGES - ESG,AFFORDABLE WARMTH GRANT FEES ,B000021325/63869,HYNDBURN HOMEWISE SOCIETY LIMITED,13-Nov-20,2859.02
Electical works various,CONTRACTOR OTHER,CLAYTON CIVIC CENTRE  EICR FIXED WIRING IMPROVEMENTS,B000021325/60330,CALBARRIE COMPLIANCE SERVICES,13-Nov-20,12550
HOUSING ADVICE,GRANTS,RAPID HOUSING PATHWAY NAVIGATOR SERVICE 20/21,B000021325/19391,MAUNDY RELIEF,13-Nov-20,13125
PARKS & OPEN SPACES,ASSET MAINT R&M,BULLOUGH PARK PAV  WATER SAMPLES,B000021329/57133,INTERSERVE FS (UK) LTD,16-Nov-20,258.08
PARKS & OPEN SPACES,ASSET MAINT R&M,MEMORIAL PARK PAV WATER SAMPLES,B000021329/57133,INTERSERVE FS (UK) LTD,16-Nov-20,258.08
SCAITCLIFFE HOUSE,ASSET MAINT R&M,SCAITCLIFFE  INSPECTION ON LIGHTING,B000021329/64735,PREMIER TECHNICAL SERVICES GROUP,16-Nov-20,287
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF  WK 26.10.20 ,B000021331/58852,OYSTER PARTNERSHIP,16-Nov-20,306.32
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE  09.11.20 ,B000021331/9294,STANLEY BROTHERS (TIPPERS) LTD,16-Nov-20,450
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,SANITARY SERVICES  FOR RHYDDINGS PARK 12.12.20 TO 11.12.21,B000021331/7087,P H S GROUP LTD,16-Nov-20,462.56
MARKETS - OPERATIONS,ASSET MAINT R&M,MARKET HALL STALL 20 RSD FAULT,B000021329/54975,ROLLER SHUTTER SERVICES LTD,16-Nov-20,480
COVID 19,NEW EQUIPMENT,SECURITY  APR 20 - MAR 21,B000021329/44845,KEYPLUS SECURITY LTD,16-Nov-20,487.24
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,CONTRIBUTION TO GRANT FOR EVENTS AS PART OF HLF GRANT AT RHYDDINGS,B000021331/60670,FRIENDS OF RHYDDINGS PARK,16-Nov-20,500
LEISURE IN HYNDBURN,LIH R&M,HYNDBURN LEISURE REMEDIAL WORK TO LIGHTING,B000021329/64735,PREMIER TECHNICAL SERVICES GROUP,16-Nov-20,598.32
DOG WARDEN,KENNELING - DAYTIME,KENNELLING FEES OCTOBER 20,B000021331/36271,ASPEN VALLEY BOARDING KENNELS & CATTERY,16-Nov-20,872.46
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF WK 2.11.20,B000021331/58852,OYSTER PARTNERSHIP,16-Nov-20,918.96
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021330/50640,PRISM MEDICAL UK,16-Nov-20,1323
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF 8.11.20,B000021331/19414,HEADS RECRUITMENT LIMITED,16-Nov-20,1687.06
PEEL PARK ENTERANCE IMPROVEMEN,CONTRACTOR OTHER,CONTRACT ADMINISTRATION WORKS  PEEL PARK (STAGES J-L),B000021331/24110,NEWGROUND CIC,16-Nov-20,1700.6
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF 25.10.20,B000021331/19414,HEADS RECRUITMENT LIMITED,16-Nov-20,2040.81
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 02.11.20 - 8.11.20  ,B000021331/55740,RAPID RECRUITMENT LTD,16-Nov-20,2212.8
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021330/7874,STANNAH LIFT SERVICES LIMITED,16-Nov-20,3483
DEVELOPMENT CONTROL B.U.,ADVERTISING GENERAL,PRESS NOTICE,B000021346/59724,TMP (UK) LTD,17-Nov-20,289.2
DEVELOPMENT CONTROL B.U.,SUBSIDISED PROFESSIONAL SUBS,SUBSCRIPTION RTP1 2021,B000021346/39694,ROYAL TOWN PLANNING INSTITUTE,17-Nov-20,315
DEVELOPMENT CONTROL B.U.,SUBSIDISED PROFESSIONAL SUBS,SUBSCRIPTIONS RTP1 - 2021,B000021346/39694,ROYAL TOWN PLANNING INSTITUTE,17-Nov-20,315
COMPUTER SERVICES,PRINTER/ COPIER RENTAL & MAINT,COMPATIBLE 59A FOR CVMU,B000021345/53622,SPECTRUM COMPUTER SUPPLIES LTD,17-Nov-20,325.35
LICENSING,OFFICE CONSUMABLES,TONER ,B000021345/53622,SPECTRUM COMPUTER SUPPLIES LTD,17-Nov-20,427.19
COVID 19,RENTAL & MAINT SOFTWARE MISC,20 E1 SERVER USER LICENCE,B000021345/36434,BYTES SOFTWARE SERVICES LTD,17-Nov-20,439.2
ADMINISTRATION SERVICES,OFFICE CONSUMABLES,30 BOXES PAPER,B000021346/781,CANON (UK) LTD,17-Nov-20,502
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF - W/E 01.11.20,B000021346/46341,MORGAN HUNT UK LTD,17-Nov-20,576.9
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,"HASLINGDEN OLD RD, OSW",B000021337/54512,CLEAR A DRAIN LTD,17-Nov-20,652
REGISTRATION OF ELECTORS,DOCUMENT MANAGEMENT,WEEKLY PRINT RUN,B000021346/62168,CIVICA ELECTION SERVICES,17-Nov-20,769.14
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF -  W/E 01.11.20,B000021346/46341,MORGAN HUNT UK LTD,17-Nov-20,803.4
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF -  W/E 01.11.20,B000021346/55150,VENN GROUP LIMITED,17-Nov-20,900
ACC TOWN HALL,CLEANING OF BUILDINGS,CLEANING SERVICES - 1-31.10.2020,B000021346/29112,HYNDBURN LEISURE,17-Nov-20,936
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF - W/E 08.11.20,B000021346/46341,MORGAN HUNT UK LTD,17-Nov-20,939.96
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF - W/E 08.11.20,B000021346/46341,MORGAN HUNT UK LTD,17-Nov-20,990.86
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF - W/E 01.11.20,B000021346/33923,EDEN BROWN LIMITED,17-Nov-20,1010.1
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF - W/E 08.11.20,B000021346/33923,EDEN BROWN LIMITED,17-Nov-20,1010.1
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,AGENCY STAFF - PE 08.11.20,B000021346/61657,G2 RECRUITMENT SOLUTIONS,17-Nov-20,1101.96
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021345/7874,STANNAH LIFT SERVICES LIMITED,17-Nov-20,1106.51
LICENSING,OFFICE CONSUMABLES,TAXI LICENSING ITEMS,B000021345/60103,NEWAUTO LTD,17-Nov-20,1124.9
HOUSING ADVICE,AGENCY STAFF,AGENCY STAFF,B000021346/61860,VIVID RESOURCING,17-Nov-20,1264.43
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,AGENCY STAFF P/E 01.11.20,B000021346/61657,G2 RECRUITMENT SOLUTIONS,17-Nov-20,1672
DFG Affordable Warmth Grant,CONTRACTOR OTHER,SUPPLY & INSTALL BOILER ,B000021346/64557,HARRIS HEATING (NW) LTD,17-Nov-20,1875
FIRE RISK ASSESS WORKS VARIOUS,CONTRACTOR OTHER,INSTALLATION OF NEW FIRE ALARM,B000021337/24998,FULL CIRCUIT FIRE & SECURITY LTD,17-Nov-20,1890.79
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,AGENCY STAFF - P/E 08.11.20,B000021346/61657,G2 RECRUITMENT SOLUTIONS,17-Nov-20,2054
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021340/21792,H & M BUILDING & JOINERY LTD,17-Nov-20,2295
FIRE RISK ASSESS WORKS VARIOUS,CONTRACTOR OTHER,INST OF NEW FIRE ALARM EQUIP,B000021337/24998,FULL CIRCUIT FIRE & SECURITY LTD,17-Nov-20,3181.91
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021345/61433,JCM STEEL FABRICATIONS LTD,17-Nov-20,3540
COMPUTER SERVICES,BROADBAND,23 MERAKI LICENSES & 2  X 3YR SUPPORT,B000021345/64781,VIRTUAL GRAFFITI LIMITED,17-Nov-20,3722.6
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021345/59246,REGAL CARE SHOWER TRAYS LTD,17-Nov-20,5590.39
"AUDIT, BANK & TREASURY FEES",APPROVED AUDIT FEES,2019-20 EXTERNAL AUDIT,B000021346/38319,GRANT THORNTON UK LLP,17-Nov-20,7500
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021337/63904,MR NAEEM ASLAM,17-Nov-20,30000
VEHICLE MAINT WORK DONE,EQUIPMNT REPAIR & MAINT,SENSOR,B000021347/8014,TERBERG MATTEC UK LTD,18-Nov-20,307.57
VEHICLE MAINT SUPERVISION,EQUIPMNT REPAIR & MAINT,FRONT TOW PLATE,B000021347/64278,WELDING P H SERVICES,18-Nov-20,550
LIBRARY ST DEPOT,WATER CHARGES,WATER AID WASTE WATER BILL,B000021347/8325,WATER PLUS LTD,18-Nov-20,1110.54
PARKS & OPEN SPACES,MATERIALS-DIRECT,PURCHASE OF 3 MACHINES ON LOAN ,B000021352/57563,BOWCOM,19-Nov-20,600
PARKS & OPEN SPACES,MATERIALS-DIRECT,BAGS MANSFIELD  70/30 TOP DRESSING,B000021352/64601,AGROVISTA UK LIMITED,19-Nov-20,684
COVID 19 Health Services,PRIVATE CONTRACTORS WORK,DAILY CLEANING  SEPT 20 - COVID,B000021360/50873,SERVICEMASTER,20-Nov-20,468
COVID 19 Health Services,PRIVATE CONTRACTORS WORK,DAILY CLEANING OCTOBER 20 - COVID TEST CENTRE,B000021360/50873,SERVICEMASTER,20-Nov-20,468
LOCAL ELECTIONS,MISC EXPENSES OTHER,INTEREST ON VAT,B000021357/64846,HM REVENUE & CUSTOMS,20-Nov-20,558.41
COVID 19,PRIVATE CONTRACTORS WORK,CLEANING CVMU OCTOBER 20,B000021360/50873,SERVICEMASTER,20-Nov-20,585
COVID 19,PRIVATE CONTRACTORS WORK,CLEANING  CVMU NOVEMBER 20,B000021360/50873,SERVICEMASTER,20-Nov-20,585
COVID 19,PRIVATE CONTRACTORS WORK,CLEANING CVMU SEPTEMBER 20,B000021360/50873,SERVICEMASTER,20-Nov-20,585
COVID 19 Waste Services,PRIVATE CONTRACTORS WORK,WILLOWS LANE  CLEANING OCTOBER 20,B000021360/50873,SERVICEMASTER,20-Nov-20,731.25
COVID 19 Waste Services,PRIVATE CONTRACTORS WORK,CLEANING WILLOWS LANE NOV 20,B000021360/50873,SERVICEMASTER,20-Nov-20,731.25
COVID 19 Waste Services,PRIVATE CONTRACTORS WORK, CLEANING WILLOWS LANE SEPT 20,B000021360/50873,SERVICEMASTER,20-Nov-20,731.25
MOT GENERAL,AGENCY STAFF,TEMP STAFF,B000021358/61466,AUTOTECH RECRUIT,20-Nov-20,825
TIPPING CHARGES,HIRED VEHICLE,VEHICLE HIRE  3.11.20 / 5.11.20,B000021360/7871,STANLEY BROS TIPPERS LTD,20-Nov-20,900
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,ATTEND SITE AND REPAIR,B000021358/62002,TAIL LIFT UK,20-Nov-20,1004.19
LCC COVID PREVENTION,AGENCY STAFF,AGENCY STAFF 26.10.20- 8.11.20 ,B000021360/58023,BUCKINGHAM FUTURES LTD,20-Nov-20,1176
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE 20.10.20-28.10.20-30.20.20 ,B000021360/7871,STANLEY BROS TIPPERS LTD,20-Nov-20,1350
LOCAL ELECTIONS,MISC EXPENSES OTHER,VAT NOTICE ELECTIONS,B000021357/64846,HM REVENUE & CUSTOMS,20-Nov-20,2110
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021357/30178,B3P SERVICES LTD,20-Nov-20,4299
HUMAN RESOURCES,TRAINING EXPENSES,FATAL ACCIDENT TRAINING,B000021365/64860,BESPOKE SAFETY LTD,23-Nov-20,255
HUMAN RESOURCES,DRUGS & ALCOHOL,COLLECTION,B000021364/57686,D TEC INTERNATIONAL,23-Nov-20,370
HOUSING ADVICE,AGENCY STAFF,AGENCY STAFF P/E 15.11.20,B000021365/61860,VIVID RESOURCING,23-Nov-20,1264.43
HUMAN RESOURCES,TRAINING EXPENSES,SIGNAL LIGHTING TRAINING,B000021365/59789,SAFETY COMES FIRST LTD,23-Nov-20,2250
PARKS & OPEN SPACES,ASSET MAINT R&M,ASBESTOS INSPECTION - PEEL PARK,B000021375/59301,CONSULTANTS & SPEC SURVEYORS LTD,24-Nov-20,265
PARKS & OPEN SPACES,ASSET MAINT R&M,ASBESTOS INSPECTION - OAKHILL,B000021375/59301,CONSULTANTS & SPEC SURVEYORS LTD,24-Nov-20,275
LIBRARY ST DEPOT,ASSET MAINT R&M,ASBESTOS INSPECTION - CVMU,B000021375/59301,CONSULTANTS & SPEC SURVEYORS LTD,24-Nov-20,275
PARKS & OPEN SPACES,ASSET MAINT R&M,ASBESTOS INSPECTION - LOWEFOLD,B000021375/59301,CONSULTANTS & SPEC SURVEYORS LTD,24-Nov-20,275
PARKS & OPEN SPACES,ASSET MAINT R&M,ASBESTOS INSPECTION - BULLOUGH,B000021375/59301,CONSULTANTS & SPEC SURVEYORS LTD,24-Nov-20,275
ACCRINGTON CREMATORIUM,ASSET MAINT R&M,ASBESTOS INSPECTION - ACC CREM,B000021375/59301,CONSULTANTS & SPEC SURVEYORS LTD,24-Nov-20,275
HYNDBURN CEMETERIES,ASSET MAINT R&M,ASBESTON INSPECTION - ACC CEM OFFICE,B000021375/59301,CONSULTANTS & SPEC SURVEYORS LTD,24-Nov-20,317
CANNON ST ACC,ASSET MAINT R&M,ASBESTOS INSPECTION - CANNON ST,B000021375/59301,CONSULTANTS & SPEC SURVEYORS LTD,24-Nov-20,335
PARKS & OPEN SPACES,ASSET MAINT R&M,ASBESTOS INSPECTION - WILSONS,B000021375/59301,CONSULTANTS & SPEC SURVEYORS LTD,24-Nov-20,345
