Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
PLAN - Planning & Transportation,EAA - Building Control,Temp staff w/e 21.6.24,1,CRINV0003083,Deekay Tech Recruitment Ltd,02/07/2024,"1,779.78"
RESO - Resources,AAB - Benefits & Customer Contact,Utilities - Broadway 01.03.24-31.03.24,1,CRINV0003086,Hyndburn Leisure,02/07/2024,"1,602.80"
RESO - Resources,AAB - Benefits & Customer Contact,Utilities Broadway - 01.03.24-31.03.24,2,CRINV0003086,Hyndburn Leisure,02/07/2024,"1,005.19"
RESO - Resources,AAB - Benefits & Customer Contact,Utilities Broadway - 01.03.24 - 31.03.24,3,CRINV0003086,Hyndburn Leisure,02/07/2024,76.61
LEGL - Legal & Democratic,DAB - Human Resources,Spring/Summer AA mag,1,CRINV0003091,Scott Dawson Advertising Ltd,02/07/2024,"5,400.00"
REGN - Regeneration & Housing,FAD - Housing Advice,Letters and templates,1,CRINV0003093,Locata Housing Services Ltd,02/07/2024,"7,380.00"
REGN - Regeneration & Housing,FAB - Facilities,Bullough Park Gas 01.05.24- 31.05.24,1,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,16.65
REGN - Regeneration & Housing,FAB - Facilities,"Lowerfold Gas 01.05.24 31.5.24
  31.05.24",2,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,46.23
REGN - Regeneration & Housing,FAB - Facilities,"Willows Lane Gas 01.05.24 31.5.24
  31.05.24",3,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,287.66
REGN - Regeneration & Housing,FAB - Facilities,"Acc Town Hall Gas 01.05.24 31.5.24
  31.05.24",4,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,988.46
REGN - Regeneration & Housing,FAB - Facilities,"Cannon St Gas 01.05.24 -31.5.24
  31.05.24",5,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,57.45
REGN - Regeneration & Housing,FAB - Facilities,"Mercer Hall Gas 01.05.24 -31.5.24
  31.05.24",6,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,"1,694.89"
REGN - Regeneration & Housing,FAB - Facilities,"Accrington Cem Office Gas 1.5.24 - 31.5.24
  01.05.24 ? 31.05.24",7,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,74.25
REGN - Regeneration & Housing,FAB - Facilities,"Acc Crematorium Gas 01.05.24 31.5.24
  31.05.24",8,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,"9,158.73"
REGN - Regeneration & Housing,FAB - Facilities,"Acc Cem Mess Gas 01.05.24 -31.5.24
  31.05.24",9,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,54.91
REGN - Regeneration & Housing,FAB - Facilities,"Acc Market Hall Gas 01.05.24 34.5.24
  31.05.24",10,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,973.48
REGN - Regeneration & Housing,FAB - Facilities,"Haworth Art Gallery Gas 01.05.24-31.5.24
  ? 31.05.24",11,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,"1,112.16"
REGN - Regeneration & Housing,FAB - Facilities,"Eagle St OAP Gas 01.05.24 -31.5.24
  31.05.24",12,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,8.99
REGN - Regeneration & Housing,FAB - Facilities,Wilsons Gas 01.05.24 - 31.05.24,13,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,237.69
REGN - Regeneration & Housing,FAB - Facilities,"Oakhill Park Gas 01.05.24 -34.5.24
  31.05.24",14,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,49.14
REGN - Regeneration & Housing,FAB - Facilities,"Clayton Civic Gas 01.05.24 -31.5.24
  31.05.24",15,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,307.16
REGN - Regeneration & Housing,FAB - Facilities,"Willows Lane Gas 01.05.24 -31.5.24
  31.05.24",16,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,703.41
REGN - Regeneration & Housing,FAB - Facilities,CVMU Gas 01.05.24 - 31.05.24,17,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,"1,887.39"
REGN - Regeneration & Housing,FAB - Facilities,"Haworth Stables Gas 01.05.24 -31.5.234
  31.05.24",18,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,"1,062.08"
REGN - Regeneration & Housing,FAB - Facilities,"Rhyddings Park Gas 01.05.24 -31.5.24
  31.05.24",19,CRINV0003098,"SEFE Energy - 10174064 Mercer Park, CLM",02/07/2024,237.46
REGN - Regeneration & Housing,FAB - Facilities,"electric Apri 24. Memorial park, Gt Har",1,CRINV0003107,EDF - 468496449 Memorial Park Site 4,02/07/2024,256.43
REGN - Regeneration & Housing,FAB - Facilities,Electric. April 24. foxhill/White Ash. Site 5,1,CRINV0003114,EDF - 728277959 White Ash Playing Fields Site 5,02/07/2024,"2,321.82"
REGN - Regeneration & Housing,FAB - Facilities,Electric. April 24. Wilsons,1,CRINV0003115,EDF - 5266496511 Wilsons Site 19,02/07/2024,"2,906.98"
REGN - Regeneration & Housing,FAB - Facilities,Electric. April 24. Stable and Motor House Haworth Art G,1,CRINV0003117,EDF - 6737575003 Haworth Stables Site 27,02/07/2024,587.99
REGN - Regeneration & Housing,FAB - Facilities,Electric. April 24. Oakhill Park. Site 17,1,CRINV0003119,EDF - 4743267271 Oakhill Park Site 17,02/07/2024,261.00
REGN - Regeneration & Housing,FAB - Facilities,"Electric. April 24. Unit 15 Markets, Peel St",1,CRINV0003120,EDF - 3809479863 Unit 15 Peel Street Site 15,02/07/2024,819.88
REGN - Regeneration & Housing,FAB - Facilities,Electric. April 24. Haworth Art,1,CRINV0003123,EDF - 5529027941 Haworth Art Gallery Site 21,02/07/2024,"3,363.34"
REGN - Regeneration & Housing,FAB - Facilities,Electric. April 24. Wilsons. Site 22,1,CRINV0003124,EDF Energy - 9044031649 Consolidated Invoice,02/07/2024,"2,554.24"
REGN - Regeneration & Housing,FAB - Facilities,Electric. April 24. Haworth park,1,CRINV0003126,EDF - 44093774 Haworth Park Site 1,02/07/2024,801.68
REGN - Regeneration & Housing,FAB - Facilities,"Electric. April 24. 5-6 Market Hall, Peel St",1,CRINV0003127,EDF - 4824926141 Unit 5-6 Peel St Site 18,02/07/2024,566.99
REGN - Regeneration & Housing,FAB - Facilities,Bullough Park Pavilion Invoice period: 01 Apr 24 - 01 May 24 Electricity,1,CRINV0003128,EDF Energy - 9044031649 Consolidated Invoice,02/07/2024,684.89
REGN - Regeneration & Housing,FAB - Facilities,Electric. Apr 24. Willows Lane Depot,1,CRINV0003129,EDF Energy - 9044031649 Consolidated Invoice,02/07/2024,"3,076.35"
RESO - Resources,AAB - Benefits & Customer Contact,Professional Charges ,1,CRINV0003133,Greenhalgh Kerr,02/07/2024,"2,491.00"
REGN - Regeneration & Housing,FAB - Facilities,Charges - 01.05.24 -31.05.24,1,CRINV0003135,EDF Energy - 9044031649 Consolidated Invoice,02/07/2024,470.68
REGN - Regeneration & Housing,FAB - Facilities,Charges - 01.05.24 - 31.05.24,1,CRINV0003136,EDF Energy - 9044031649 Consolidated Invoice,02/07/2024,"2,970.24"
REGN - Regeneration & Housing,FAB - Facilities,Charges - 02.05.24 - 01.06.24,1,CRINV0003138,EDF Energy - 9044031649 Consolidated Invoice,02/07/2024,"2,305.00"
REGN - Regeneration & Housing,FAB - Facilities,Charges - 02.05.24 - 01.06.24,1,CRINV0003142,EDF Energy - 9044031649 Consolidated Invoice,02/07/2024,617.94
REGN - Regeneration & Housing,FAB - Facilities,Charges - 02.05.24 - 01.06.24,1,CRINV0003143,EDF Energy - 9044031649 Consolidated Invoice,02/07/2024,693.98
REGN - Regeneration & Housing,FAB - Facilities,Charges - 02.05.24 - 01.06.24,1,CRINV0003145,EDF Energy - 9044031649 Consolidated Invoice,02/07/2024,"1,207.41"
REGN - Regeneration & Housing,FAB - Facilities,Charges - 01.05.24 - 01.06.24,1,CRINV0003146,EDF Energy - 9044031649 Consolidated Invoice,02/07/2024,783.91
REGN - Regeneration & Housing,FAB - Facilities,Charges - 01.05.24 - 01.06.24,2,CRINV0003146,EDF Energy - 9044031649 Consolidated Invoice,02/07/2024,1.98
REGN - Regeneration & Housing,FAB - Facilities,Charges - 02.05.24 - 01.06.24,1,CRINV0003147,EDF Energy - 9044031649 Consolidated Invoice,02/07/2024,258.89
REGN - Regeneration & Housing,FAB - Facilities,Charges - 02.05.24 - 01.06.24,1,CRINV0003148,EDF Energy - 9044031649 Consolidated Invoice,02/07/2024,690.19
REGN - Regeneration & Housing,FAB - Facilities,Charges - 02.05.24 - 01.06.24,1,CRINV0003149,EDF Energy - 9044031649 Consolidated Invoice,02/07/2024,"2,444.23"
REGN - Regeneration & Housing,FAB - Facilities,Charges - 01.05.24 - 31.05.24,1,CRINV0003152,EDF Energy - 9044031649 Consolidated Invoice,02/07/2024,335.18
REGN - Regeneration & Housing,FAB - Facilities,Charges - 01.05.24 - 30.05.24,1,CRINV0003158,EDF Energy - 9044031649 Consolidated Invoice,02/07/2024,842.01
REGN - Regeneration & Housing,FAB - Facilities,Charges - 02.05.24 - 01.06.24,1,CRINV0003160,EDF - 5266496511 Wilsons Site 19,02/07/2024,"1,874.90"
REGN - Regeneration & Housing,FAB - Facilities,Charges - 02.05.24 - 01.06.24,1,CRINV0003162,EDF - 6737575003 Haworth Stables Site 27,02/07/2024,442.34
ENVS - Environmental Services,CAC - Parks & Cemeteries,Mercer Park - Post Installation Playground Inspections.,1,CRINV0003176,Playground Projects Consultancy Limited,02/07/2024,300.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,20 X Driver Books,1,CRPOI0002796,Ellison Printing Co.,02/07/2024,338.40
RESO - Resources,AAF - Finance,40 x Boxes Copier Paper,1,CRPOI0002815,Canon (Uk) Ltd,02/07/2024,880.80
ENVS - Environmental Services,CAC - Parks & Cemeteries,5 - QO0865 Dedicate fungicide 2,1,CRPOI0002850,Tudor Environmental,02/07/2024,825.60
ENVS - Environmental Services,CAC - Parks & Cemeteries,Carriage Charge,2,CRPOI0002850,Tudor Environmental,02/07/2024,14.40
ENVS - Environmental Services,CAC - Parks & Cemeteries,Plants ,1,CRPOI0002853,Newgate Nurseries Ltd,02/07/2024,"3,880.65"
ENVS - Environmental Services,CAB - Other Environmental Services,Mesto 1.5 Flex Sprayer ,1,CRPOI0002885,1env Solutions Ltd,02/07/2024,119.35
ENVS - Environmental Services,CAB - Other Environmental Services,Black Rat Stations with bars ,2,CRPOI0002885,1env Solutions Ltd,02/07/2024,137.73
ENVS - Environmental Services,CAB - Other Environmental Services,Short Bait Rods for Solo ,3,CRPOI0002885,1env Solutions Ltd,02/07/2024,40.80
RESO - Resources,AAF - Finance,Resit Fee - Project Assignment x 2 ,1,CRPOI0003099,IRRV,02/07/2024,259.20
RESO - Resources,AAD - ICT,Work at CVMU - SSRAMS,1,CRINV0002128,Networking People (North West) Ltd,09/07/2024,"1,554.10"
RESO - Resources,AAD - ICT,Charges 19.05.24 - 18.06.24,1,CRINV0002439,EE Limited,09/07/2024,"3,198.09"
