,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Environmental Initiatives B.U.,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,2.21
Environmental Protection,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,22.40
Health Food & Safety,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,13.40
Housing Benefit Administration,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,4.41
Housing Standards,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,18.54
Human Resources,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,13.36
Hyndburn Cemeteries,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,1.08
Internal Audit,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,24.67
Legal Services,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,14.58
Licensing,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,22.41
Local Taxation,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,11.08
Member Services,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,11.20
Parks & Open Spaces,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,9.81
Planning Policy B.U.,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,13.45
Refuse/Cleansing Admin Staff,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,26.96
Waste Services,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,38.25
Housing Advice,Temporary Accommodation,ACCOMMODATION 23/11/23 - 27/11/23,B000024492/67383,Molesworth Hotel,7 Dec 2023,276.00
Member Services,Printing,GREAT HARWOOD REMEMBRANCE SERVICE- SOUND SUPPORT,B000024492/68079,Ls Music Studios,7 Dec 2023,229.16
Member Services,Printing,OSWALDTWISTLE REMEBRANCE SERVICE- SOUND SUPPORT,B000024492/68079,Ls Music Studios,7 Dec 2023,229.16
Accrington Town Centre,Event Expenditure,50% INVOICE FOR CHRISTMAS TREE FESTIVAL,B000024493/61582,Accrington Community Events,7 Dec 2023,"1,500.00"
Waste Services,Agency Staff,AGENCY STAFF W/C 11.9.23,B000024493/61971,Rapid Recruit Ltd,7 Dec 2023,"1,000.70"
Waste Services,Agency Staff,AGENCY STAFF W/C 13.11.23,B000024493/61971,Rapid Recruit Ltd,7 Dec 2023,"1,570.58"
Waste Services,Agency Staff,AGENCY STAFF W/C 16.10.23,B000024493/61971,Rapid Recruit Ltd,7 Dec 2023,"2,094.87"
Waste Services,Agency Staff,AGENCY STAFF W/C 2.10.23,B000024493/61971,Rapid Recruit Ltd,7 Dec 2023,"2,037.89"
Waste Services,Agency Staff,AGENCY STAFF W/C 23.10.23,B000024493/61971,Rapid Recruit Ltd,7 Dec 2023,"2,211.12"
Waste Services,Agency Staff,AGENCY STAFF W/C 30.10.23,B000024493/61971,Rapid Recruit Ltd,7 Dec 2023,"1,873.76"
Waste Services,Agency Staff,AGENCY STAFF W/C 9.10.23,B000024493/61971,Rapid Recruit Ltd,7 Dec 2023,"2,094.87"
Willows Lane Depot,Cleaning Of Buildings,BUILDING CLEANING W/L,B000024493/68396,Servicemaster Cs Aaa,7 Dec 2023,954.53
Land Charges,Search Fees,LOCAL LAND CHARGE SEARCHES NOV 23,B000024494/2496,Lancashire County Council,7 Dec 2023,366.30
Acc Town Hall,Electricity,ACCRINGTON TOWN HALL- NOV 23,B000024494/59343,Edf Energy,7 Dec 2023,"3,755.98"
Leisure In Hyndburn,Electricity,MERCER HALL- NOV 23,B000024494/59343,Edf Energy,7 Dec 2023,"5,313.61"
Library St Depot,Electricity,CVMU NOV 23,B000024494/59343,Edf Energy,7 Dec 2023,"4,036.17"
Markets - Operations,Electricity,ACC MARKET- NOV 23,B000024494/59343,Edf Energy,7 Dec 2023,"7,799.55"
Rhyddings Cafe,Electricity,COMMUNITY HUB NOV 23,B000024494/59343,Edf Energy,7 Dec 2023,918.44
Scaitcliffe House,Electricity,SCAITCLIFFE NOV 23,B000024494/59343,Edf Energy,7 Dec 2023,"10,985.36"
Market Chambers - Luf,Legal Fees,LEGAL FEES- MARKET CHAMBERS ,B000024494/66553,Womble Bond Dickinson,7 Dec 2023,"5,397.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024497/30178,B3p Services Ltd,7 Dec 2023,"4,785.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024497/30178,B3p Services Ltd,7 Dec 2023,"3,381.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024497/59806,Greenwood Plumbers,7 Dec 2023,"4,350.00"
Leisure In Hyndburn,Lih R&M,ACCRINGTON TOWN HALL,B000024498/59248,Lancashire Gas Services,7 Dec 2023,"4,812.71"
Finance Lease Interest,Interest,20-DEC-23 TO 19-MAR-24,B000024458/30595,Siemens Financial Services Ltd,12 Dec 2023,819.60
General Fund B/S,Finance Lease,20-DEC-23 TO 19-MAR-24,B000024458/30595,Siemens Financial Services Ltd,12 Dec 2023,"2,292.90"
Scaitcliffe House,Equipmnt Repair & Maint,20-DEC-23 TO 19-MAR-24,B000024458/30595,Siemens Financial Services Ltd,12 Dec 2023,667.50
Ukspf - Regeneration,Marketing/Promotion,MARKET INFORMATION SCREEN ,B000024465/66163,Media Village,12 Dec 2023,390.00
Ukspf - Regeneration,Marketing/Promotion,MONTHLY SOCIAL MEDIA MGT,B000024465/66163,Media Village,12 Dec 2023,"1,500.00"
Cemetery Welfare & Depot Fac,Contractor Other,CCTV AT ACCRINGTON CEM ,B000024469/28873,Blackburn With Darwen B.C.,12 Dec 2023,"14,139.00"
Cvmu,Materials-Direct,"BRAKES, LAMP ETC",B000024471/36492,Chorley Nissan,12 Dec 2023,319.87
Haworth Art Gallery,New Equipment,HAOWRTH ART WASTE COMPOUND AND REPAIR TO CAR PARK FENCE,B000024472/21792,H & M Building & Joinery Ltd,12 Dec 2023,"4,565.00"
Walls Pos,Contractor Other,HAWORTH ART WASTE COMPOUND AND REPAIR TO CAR PARK FENCE,B000024472/21792,H & M Building & Joinery Ltd,12 Dec 2023,"3,950.00"
Housing Standards,Agency Staff,TEMP STAFF W/E 19.11.23 ,B000024482/61657,G2 Recruitment Solutions,12 Dec 2023,"1,819.18"
Oswaldtwistle Civic Theatre,Asset Maint R&M, OSW CIVIC THEATRE- EMERGENCY LIGHTING ADDITIONAL WORKS,B000024494/57949,Steven Mercer Electrical Contractors Limited,12 Dec 2023,405.00
Parks & Open Spaces,Private Contractors Work,FELL DEAD TREES,B000024495/22189,Roy Cattermole (Tree Surgeon),12 Dec 2023,300.00
Underspends Bids,Private Contractors Work,TREE WORK,B000024495/22189,Roy Cattermole (Tree Surgeon),12 Dec 2023,800.00
Hyndburn Cemeteries,New Equipment,HYDRAULING SHORING SET,B000024495/27901,Teleshore (Uk) Ltd,12 Dec 2023,"1,658.00"
Hyndburn Cemeteries,Postages,CARRIAGE,B000024495/27901,Teleshore (Uk) Ltd,12 Dec 2023,75.00
Hyndburn Cemeteries,Materials-Direct,POLYANTHUS DAFFODIL MIXED,B000024495/28726,Les Halman Nurseries Ltd,12 Dec 2023,"1,085.00"
Hyndburn Cemeteries,Materials-Direct,REPLACEMENT ROSES,B000024495/68873,David Austin Roses Ltd,12 Dec 2023,"1,374.00"
Hyndburn Cemeteries,Postages,CARRIAGE,B000024495/68873,David Austin Roses Ltd,12 Dec 2023,3.29
Cvmu,Materials-Direct,REPAIR TO SENSOR,B000024496/1164,Dennis Eagle Limited,12 Dec 2023,617.24
Library St Depot,Cleaning,CLEANING,B000024496/68396,Servicemaster Cs Aaa,12 Dec 2023,734.24
Haworth Art Gallery,Asset Maint R&M,HAWORTH ART GALLERY - CLEAR OUT GUTTERS,B000024499/37017,Pilkington Bros (Church) Ltd,12 Dec 2023,274.10
Alternative Fuel Payment Schem,Alternative Fuel Payment,ALTERNATIVE FUEL PAYMENT REPAYMENT ,B000024502/68966,Department For Energy Security And Net Zero,12 Dec 2023,"25,400.00"
Energy Bills Alt Funding,Energy Bills Support Alt Fund,ENERGY BILL SUPPORT SCHEME ,B000024502/68966,Department For Energy Security And Net Zero,12 Dec 2023,"287,040.00"
Policy And Performance Review,Domestic Violence,DA CONTRIBUTION 23/24,B000024503/2484,Lancashire Police Federation,12 Dec 2023,"6,644.00"
Ukspf - Regeneration,Marketing/Promotion,PHOTOGRAPHY SHOOTS AT HAWORTH ART GALLERY AND MARKET HALL,B000024503/68128,Tom Benson Photography,12 Dec 2023,550.00
General Expenses,Cabinet Action Fund,CHURCH CENTRAL HEATING ,B000024503/68968,Rhyddings Methodist Church,12 Dec 2023,500.00
ENVIRONMENTAL SERVICES,ENVIRONMENTAL HEALTH,SUBSCRIPTION,P-CARD - DEC 23,CIEH,12 Dec 2023,"1,440.00"
Corporate Property Bus Unit,Fees-Analysts & Consultants,INSURANCE VALUATIONS - INSTALLMENTS 1 & 2,B000024467/65649,Lea Hough And Co,14 Dec 2023,"9,465.00"
Enforcement,Abandoned Vehicle Removal,REMOVAL OF CARAVAN,B000024468/39746,Assured Automobile Assessors Ltd,14 Dec 2023,265.00
Bolton Avenue Muga,Contractor Other,RENTENTION ON BALL COURT INSTALLATION,B000024468/58933,Horticon Ltd,14 Dec 2023,"1,535.65"
Willows Lane Depot,Hired Vehicle,EMPTY WASTE BAYS W/L,B000024468/9294,Stanley Brothers (Tippers) Ltd,14 Dec 2023,540.00
Waste Services,Cpc Driver Training,BRIDGE STRIKES AND EMERGENCIES 20.11.23,B000024469/19112,Specialist Training Consultancy Ltd,14 Dec 2023,305.00
Waste Services,Cpc Driver Training,DCPC REG - ACCRINGTON,B000024469/19112,Specialist Training Consultancy Ltd,14 Dec 2023,96.25
Waste Services,Cpc Driver Training,EMERGENCY FIRST AID AT WORK 21.11.23,B000024469/19112,Specialist Training Consultancy Ltd,14 Dec 2023,305.00
Waste Services,Cpc Driver Training,PROFESSIONAL DRIVER KNOWLEDGE 22.11.23,B000024469/19112,Specialist Training Consultancy Ltd,14 Dec 2023,228.75
Waste Services,Cpc Driver Training,STUDENT NOTES PUBLIC,B000024469/19112,Specialist Training Consultancy Ltd,14 Dec 2023,20.00
Pest Control,Baits & Poisons,AAA BATTERIES,B000024469/2419,Killgerm Chemicals Ltd,14 Dec 2023,39.42
Pest Control,Baits & Poisons,AA BATTERIES,B000024469/2419,Killgerm Chemicals Ltd,14 Dec 2023,71.10
Pest Control,Baits & Poisons,PULSE MOUSE IQ STATIONIQ4016,B000024469/2419,Killgerm Chemicals Ltd,14 Dec 2023,127.80
Pest Control,Baits & Poisons,RATIMOR BRODI BLOCKS,B000024469/2419,Killgerm Chemicals Ltd,14 Dec 2023,220.32
Flytipping Interventions,Contractor Other,INSTALL DEEP MOWING STRIP IN CONCRETE,B000024469/52330,John Wade Groundworks Ltd,14 Dec 2023,"3,750.00"
Flytipping Interventions,Contractor Other,DOUBLE LEAF 2.4M WIDE GATE,B000024469/52330,John Wade Groundworks Ltd,14 Dec 2023,190.00
Flytipping Interventions,Contractor Other,SUPPLY AND ERECT 1.8M HIGH V MESH FENCING,B000024469/52330,John Wade Groundworks Ltd,14 Dec 2023,"10,812.00"
Flytipping Interventions,Contractor Other,SUPPLY AND ERECT GATE TO SUIT V MESH FENCING,B000024469/52330,John Wade Groundworks Ltd,14 Dec 2023,"1,040.00"
Flytipping Interventions,Contractor Other,"TAKE DOWN, REMOVE AND DISPOSE OF THE EXISTING",B000024469/52330,John Wade Groundworks Ltd,14 Dec 2023,"1,950.00"
Flytipping Interventions,Contractor Other,1200MM WIDE X 1800MM HIGH GATE,B000024469/52330,John Wade Groundworks Ltd,14 Dec 2023,"1,040.00"
Flytipping Interventions,Contractor Other,1.8M HIGH V MESH FENCING TO DALE STREET,B000024469/52330,John Wade Groundworks Ltd,14 Dec 2023,"8,776.00"
Cvmu,Materials-Direct,BUMPERS,B000024471/1164,Dennis Eagle Limited,14 Dec 2023,645.80
Cvmu,Materials-Direct,FILTERS,B000024471/1164,Dennis Eagle Limited,14 Dec 2023,282.70
Cvmu,Materials-Direct,"MIRROR, BUMPER, FLAP",B000024471/1164,Dennis Eagle Limited,14 Dec 2023,682.95
Cvmu,Materials-Direct,REAR CAMERA,B000024471/1164,Dennis Eagle Limited,14 Dec 2023,361.81
Cvmu,Depot Costs,REPAIR OF BARRIER CVMU,B000024471/58448,Gate Automation Solutions Ltd,14 Dec 2023,830.00
Cvmu,Materials-Direct,DRAG LINK,B000024471/66006,Alliance Automotive Uk Lv T/A Jpn Autoparts,14 Dec 2023,438.74
Registration Of Electors,Canvass,CANVASS AND CF PLUS DELIVERY,B000024473/62168,Civica Election Services,14 Dec 2023,"1,073.52"
Ukspf - Regeneration,Marketing/Promotion,ATS SITE MONTHLY RETAINER,B000024473/66163,Media Village,14 Dec 2023,480.00
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024473/68294,Artisan Windows,14 Dec 2023,990.00
Development Control B.U.,Agency Staff,AGENCY STAFF W/C 13/11/2023,B000024474/58852,Oyster Partnership,14 Dec 2023,463.20
Hmo,Agency Staff,AGENCY STAFF W/C 13/11/2023 ,B000024474/58852,Oyster Partnership,14 Dec 2023,988.00
Hmo,Agency Staff,AGENCY STAFF W/C 13/11/2023 ,B000024474/58852,Oyster Partnership,14 Dec 2023,696.80
Housing Standards,Agency Staff,AGENCY STAFF W/C 13/11/2023 ,B000024474/58852,Oyster Partnership,14 Dec 2023,738.90
Mayoralty,Remembrance Sunday Expenses,ROAD TRAFFIC MGM FOR REMEMBRANCE SUNDAY,B000024475/64476,Kays Highways Ltd,14 Dec 2023,"1,170.00"
Accrington Crematorium,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. ACC CREM,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,88.30
Corporate Property,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. ARTHUR WILSON,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,57.80
Corporate Property,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. HIPPINGS VALE,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,21.75
Corporate Property,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. MERCER HOUSE,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,21.00
Elmfield Hall Flats,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. ELMFIELD FLATS,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,45.60
Haworth Art Gallery,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. HAWORTH ART G,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,82.15
Hyndburn Cemeteries,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. DILL HALL CEM,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,10.50
Hyndburn Cemeteries,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. GRT HAR CEM,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,10.50
Leisure In Hyndburn,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. ACC TOWN HALL,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,333.45
Library St Depot,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. CVMU,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,100.95
Markets - Operations,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. ACC MARKET,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,417.44
Oswaldtwistle Civic Theatre,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. CIVIC THEATRE,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,92.50
Parks & Open Spaces,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. BRIAN WALMSLEY,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,7.00
Parks & Open Spaces,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. BULLOUGH PARK,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,58.35
Parks & Open Spaces,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. GATTY PARK,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,14.00
Parks & Open Spaces,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. KING GEORGES,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,21.00
Parks & Open Spaces,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. LOWERFOLD PARK,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,7.75
Parks & Open Spaces,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. MEMORIAL PARK,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,3.50
Parks & Open Spaces,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. MERCER PARK SERV BLDG,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,10.00
Parks & Open Spaces,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. MILNSHAW PARK,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,7.75
Parks & Open Spaces,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. OAKHILL SERV BUILDING,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,96.25
Parks & Open Spaces,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. PARKER ST BOWLS,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,3.50
Parks & Open Spaces,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. PEEL PARK BOWLS,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,3.50
Parks & Open Spaces,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. RHYDDINGS PARK BOWLS,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,43.50
Parks & Open Spaces,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. WILSONS,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,25.25
Scaitcliffe House,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. SCAITCLIFFE HOUSE,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,226.50
Willows Lane Depot,Asset Maint R&M,PPM PORTABLE FIRE EQUIP ANNUAL TEST. WILLOWS LANE,B000024477/20408,Pennine Fire & Safety Limited,14 Dec 2023,318.95
Fences Pos,Contractor Other,REPAIRS TO BIRD MOUTH FENCING ROE GREAVE RD,B000024477/59128,George Pearce & Sons Ltd,14 Dec 2023,"1,484.00"
Haworth Art Gallery,Asset Maint R&M,HAWORTH ART SUPPLY / INSTALL NEW BOLLARD,B000024477/59128,George Pearce & Sons Ltd,14 Dec 2023,964.00
Acc Town Hall,Asset Maint R&M,RAAC SURVERY  BROADWAY,B000024477/65649,Lea Hough And Co,14 Dec 2023,"1,200.00"
Corporate Property,Asset Maint R&M,RAAC SURVERY  ARTHUR WILSON,B000024477/65649,Lea Hough And Co,14 Dec 2023,850.00
Leisure In Hyndburn,Asset Maint R&M,RAAC SURVERY  ACC TOWN HALL,B000024477/65649,Lea Hough And Co,14 Dec 2023,"1,400.00"
Leisure In Hyndburn,Asset Maint R&M,RAAC SURVERY  BANK MILL HOUSE,B000024477/65649,Lea Hough And Co,14 Dec 2023,850.00
Leisure In Hyndburn,Asset Maint R&M,RAAC SURVERY  HLC,B000024477/65649,Lea Hough And Co,14 Dec 2023,"1,600.00"
Leisure In Hyndburn,Asset Maint R&M,RAAC SURVERY  MERCER HALL,B000024477/65649,Lea Hough And Co,14 Dec 2023,"1,400.00"
Scaitcliffe House,Asset Maint R&M,RAAC SURVERY  SCAITCLIFFE,B000024477/65649,Lea Hough And Co,14 Dec 2023,700.00
Administration Services,Equipmnt Repair & Maint,COPIER CHARGES 22/08/23 - 21/11/23,B000024479/55485,Canon (Uk) Ltd,14 Dec 2023,267.68
Administration Services,Office Consumables,40 BOXES OF PAPER,B000024479/55485,Canon (Uk) Ltd,14 Dec 2023,714.00
Environmental Protection,Work In Default,YARD CLEARANCE ,B000024479/59338,Waste Busters Waste Removal,14 Dec 2023,250.00
Human Resources,Training Expenses,ITIL TRAINING,B000024479/68949,The Knowledge Academy Limited,14 Dec 2023,995.00
Human Resources,Training Expenses,SCRAP METAL TRAINING,B000024479/68950,Consilium Training And Support Ltd,14 Dec 2023,285.00
Environmental Protection,Agency Staff,TEMP STAFF W/C 19.11.23,B000024482/61860,Vivid Resourcing,14 Dec 2023,817.43
Corporate Property,General Repair & Maint Bldgs,3 ABBEY ST WIRING,B000024484/60330,Calbarrie Compliance Services,14 Dec 2023,450.00
Accrington Town Centre,Event Expenditure,SUSPENTION OF BUS STOP AND USE OF ROAD SPACE,B000024486/2496,Lancashire County Council,14 Dec 2023,275.00
Cemetery Welfare & Depot Fac,Contractor Other,WORK AT CEMETERY: 50% BALANCE FOR WORK,B000024492/23402,Auto Time Systems Northern,14 Dec 2023,"1,387.00"
Cemetery Welfare & Depot Fac,Contractor Other,WORK AT CEMETERY: 50% DEPOSIT FOR WORK,B000024492/23402,Auto Time Systems Northern,14 Dec 2023,"1,387.00"
Customer Services,Office Consumables,STATIONERY,B000024492/67355,Ot Group Limited,14 Dec 2023,281.49
Markets - Operations,Asset Maint R&M,ACC MARKET HALL- REPAIR UNSECURE WINDOW,B000024494/59128,George Pearce & Sons Ltd,14 Dec 2023,264.00
Legionella Plumbing Works,Contractor Other, ACC MARKET HALL- WATER SYSTEM CHECKS,B000024494/68680,H S L Compliance,14 Dec 2023,"1,854.10"
Ukspf - Regeneration,Fees-Analysts & Consultants,CULTURE & HERITAGE STRATEGY REPORT,B000024494/68965,Creative Tourist Ltd,14 Dec 2023,"8,220.00"
Pest Control,Baits & Poisons,PESTFIX RAT SNAP TRAP,B000024495/68615,Pestfix,14 Dec 2023,219.00
Pest Control,Baits & Poisons, OUTDOOR BAIT BOX TETHERS 10 PK,B000024495/68615,Pestfix,14 Dec 2023,25.18
Cvmu,Software Purchase,TEXA DIAGNOSTIC ,B000024495/68923,Texa Uk Limited,14 Dec 2023,"7,129.00"
Cvmu,Materials-Direct,REPAIR OF MACHINE,B000024496/54845,North West Trading Company Ltd,14 Dec 2023,305.70
Cvmu,Materials-Direct,SCHMIDT REPAIR ON BOLT,B000024496/7688,Aebi Schmidt Uk Ltd,14 Dec 2023,697.93
Legionella Plumbing Works,Contractor Other,MEMORIAL PAVILION - RECOMMENDED WORKS ,B000024499/68680,H S L Compliance,14 Dec 2023,655.60
Housing Standards,Work In Default,REMOVAL OF WASTE ,B000024502/59338,Waste Busters Waste Removal,14 Dec 2023,290.00
Environmental Protection,Agency Staff,TEMP STAFF - P/E 19.11.23 ,B000024502/61860,Vivid Resourcing,14 Dec 2023,"1,850.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024506/34573,Mr R Wilcock,14 Dec 2023,"20,000.00"
Housing Advice,Domestic Abuse Safe Accomodatn,ACC &SUPPORT FOR DOMESTIC ABUSE VICTIMS TILL 31 MARCH 2024,B000024506/35258,Harv Domestic Violence Team,14 Dec 2023,"32,570.00"
Burton Chambers  - Luf,Consultants Fees,PROFESSIONAL FEES ACCRINGTON REGEN,B000024506/67812,Ma Cost Consulting Limited,14 Dec 2023,"2,666.66"
Market Chambers - Luf,Consultants Fees,PROFESSIONAL FEES ACCRINGTON REGEN,B000024506/67812,Ma Cost Consulting Limited,14 Dec 2023,"2,666.67"
Market Hall - Luf,Consultants Fees,PROFESSIONAL FEES ACCRINGTON REGEN,B000024506/67812,Ma Cost Consulting Limited,14 Dec 2023,"2,666.67"
Burton Chambers  - Luf,Consultants Fees,FEES- NOV-23,B000024506/68462,Rider Levett Bucknall Uk Ltd,14 Dec 2023,"4,766.66"
Market Chambers - Luf,Consultants Fees,FEES -  NOV-23,B000024506/68462,Rider Levett Bucknall Uk Ltd,14 Dec 2023,"4,766.67"
