Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(œ)
ACCRINGTON MARKET,RENT AND HIRE OF PREMISES,29.9.16-24.12.16- SERVICE CHAR,B000018699/48913,THREADNEEDLE UK PROPERTY TRUST,08/03/2017,578.15
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 26.2.17,B000018699/46341,MORGAN HUNT UK LTD,08/03/2017,636.00
HEYS ALLOTMENT VEHICLE BARRIER,MISCELLANEOUS,HEYS GATES - PADLOCKS AND KEYS,B000018701/43319,J H BLAKEY AND SONS,08/03/2017,757.20
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 26.2.17,B000018699/33923,EDEN BROWN LTD,08/03/2017,832.00
QUEEN ST FOOTWAY IMPROVEMENTS,CONTRACTOR OTHER,FOOTPATH IMPROVEMENTS,B000018700/54658,WADE GROUP,08/03/2017,29094.00
PEST CONTROL,TRAINING EXPENSES,PRACTICAL MOLE TRAPPING COURSE,B000018705/2419,KILLGERM CHEMICALS LTD,09/03/2017,270.00
TIPPING CHARGES,HIRED VEHICLE,REMOVAL OF WASTE,B000018705/7871,STANLEY BROS TIPPERS LTD,09/03/2017,390.00
ALLOTMENTS,GENERAL REPAIR & MAINT BLDGS,REMOVAL OF FLY TIPPING AY HEYS,B000018702/1248,DUNCAN CAMPBELL,09/03/2017,400.00
HYNDBURN CEMETERIES,OWNERS CONTRIBUTION,Cambridge Teak Seat,B000018705/14010,BROXAP LTD,09/03/2017,487.50
HUMAN RESOURCES,OD AND EQUALITY,TRAINING REFRESHMENTS - MAR 17,B000018702/58358,BULLOUGHS,09/03/2017,533.00
GENERAL EXPENSES,CABINET ACTION FUND,EC CHARGE POINT 30.11.16-28.2.,B000018702/25200,E.ON UK PLC,09/03/2017,1191.72
HYNDBURN CEMETERIES,SECURITY SYSTEM MAINTENANCE,INSTALLATION OF NEW PHONE LINE,B000018705/35290,LOGICALTELECOM,09/03/2017,1275.76
STREET CLEANSING,LITTER BINS/ LINERS,TRIMLINE 25 LITTER BIN BLACK P,B000018705/1654,GLASDON UK LTD,09/03/2017,1333.00
STREET CLEANSING,MECH SWEEPER BRUSHES,WIRE BRUSHES FOR SCHMIDT COMPA,B000018705/54115,PROBRUSH,09/03/2017,1677.22
WILLOWS LANE DEPOT,SPECIAL BDGS R & M-GENERAL,RE-SURFACING WILLOWS LANE PARK,B000018705/38733,MARCHBRIDGE BUILDERS LTD,09/03/2017,2400.00
ENFORCEMENT,TRAINING EXPENSES,ENFORCEMENT ACADEMY FOR 14 DEL,B000018705/11991,KEEP BRITAIN TIDY,09/03/2017,11375.00
RHYDDINGS PARK LOTTERY,MISCELLANEOUS,"AGREEMENT ""DEED OF APPOINTMENT",B000018705/24110,NEWGROUND CIC,09/03/2017,20361.60
HUMAN RESOURCES,OD AND EQUALITY,EMPLOYMENT LAW UPDATE,B000018709/6959,NORTH WEST EMPLOYERS,13/03/2017,260.00
ACCRINGTON MARKET,ASSET MAINT R&M,REPLACE VENTILATION FILTERS,B000018709/56939,AFFORDABLE BAR & CATERING EQUIPMENT DIRECT,13/03/2017,261.00
ACC TOWN CENTRE,LICENCES,RADIO LICENCE,B000018710/27109,OFCOM,13/03/2017,281.25
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SENSOR,B000018706/8014,TERBERG MATTEC UK LTD,13/03/2017,291.80
ACCRINGTON MARKET,ASSET MAINT R&M,REPAIRS TO SHUTTER DOORS,B000018708/54975,ROLLER SHUTTER SERVICES LTD,13/03/2017,295.00
LEISURE IN HYNDBURN,LIH R&M,INSTALL DOOR RETAINER,B000018707/24998,BELLIT SECURITY LIMITED,13/03/2017,300.50
LAND CHARGES,LAND CHARGES,LAND CHARGES - FEB 17,B000018709/2496,LANCASHIRE COUNTY COUNCIL,13/03/2017,312.00
PUBLIC TRANSPORT,MAINTENANCE,REPIRS TO BUS SHELTER,B000018709/8372,VICTORIA GLASS JOINERY & PLUMBING LTD,13/03/2017,313.42
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,1.10.16 TO 31.12.16 PARIS TRAN,B000018707/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,13/03/2017,336.57
LEISURE IN HYNDBURN,LIH R&M,FAULTY LIGHTS AT SPORTS CENTRE,B000018707/9877,SBS HEATING & PLUMBING SERVICES LIMITED,13/03/2017,343.18
LEISURE IN HYNDBURN,ASSET MAINT R&M,REPAIRS TO FLAT ROOF,B000018708/45450,MERCERS BUILDERS LTD,13/03/2017,350.00
VEHICLE MAINT SUPERVISION,NEW EQUIPMENT,REVERSE ALARM,B000018706/8388,VISION TECHNIQUES LTD,13/03/2017,425.00
HUMAN RESOURCES,OD AND EQUALITY,TRAINING,B000018709/56592,GREENFIELD TRAINING & CONSULTANCY,13/03/2017,425.00
HUMAN RESOURCES,OTHER FEES,ADVISORY SERVICE,B000018709/6959,NORTH WEST EMPLOYERS,13/03/2017,475.00
PARKS & OPEN SPACES,ASSET MAINT R&M,REPLACE STONE COPINGS - GATTY,B000018708/45450,MERCERS BUILDERS LTD,13/03/2017,480.00
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL W/E 18.2.17,B000018710/8287,TRIPLE C SKIPS,13/03/2017,480.00
ACCRINGTON MARKET,YARD CLEANING,RUBISH REMOVAL W/E 25.2.17,B000018710/8287,TRIPLE C SKIPS,13/03/2017,480.00
MARKETS,TRAINING EXPENSES,TRAINING COURSE,B000018708/8811,NABMA,13/03/2017,500.00
CORPORATE PROPERTY,ASSET MAINT R&M,MAKE SAFE DAMAGED WALL,B000018708/45450,MERCERS BUILDERS LTD,13/03/2017,550.00
ACCRINGTON MARKET,DISPOSAL UNIT RENTAL,SANITARY DISPOSAL - MAR- MAY 1,B000018710/779,CANNON HYGIENE LTD,13/03/2017,667.58
PARKS & OPEN SPACES,ASSET MAINT R&M,REPAIRS TO BOUNDARY WALL - WIL,B000018708/45450,MERCERS BUILDERS LTD,13/03/2017,780.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,WINGS BUMPER ETC,B000018706/1164,DENNIS EAGLE LIMITED,13/03/2017,805.91
STRATEGIC HOUSING DEPARTMENT,WARM HOMES HEALTY PEOPLE,TEMP STAFF W/E 5.3.17,B000018711/58023,BUCKINGHAM FUTURES LTD,13/03/2017,837.00
BOOTH ST ACQ ODDS,SECURING PREMISES,WOODNOOK SECURITY - FEB 17,B000018709/48843,CLEARWAY ENV SERVICES (UK) LTD,13/03/2017,860.00
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 5.3.17,B000018710/55150,VENN GROUP LIMITED,13/03/2017,910.50
HUMAN RESOURCES,OD AND EQUALITY,TRAINING - 7.3.17,B000018711/59592,THE MENOPAUSE COURSE,13/03/2017,925.00
PARKS & OPEN SPACES,ASSET MAINT R&M,MAKE SAFE STONE WALL - LYNWOOD,B000018708/45450,MERCERS BUILDERS LTD,13/03/2017,1050.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,CONFERENCE,B000018711/44171,CIPFA BUSINES LIMITED,13/03/2017,1050.00
LIBRARY ST DEPOT,ELECTRICITY,CVMU- 1.2.217-28.2.17,B000018707/59343,EDF ENERGY,13/03/2017,1176.65
HOUSING ADVICE,GRANTS,2016/17 SANCTUARY SCHEME,B000018710/15696,HYNDBURN & RIBBLE VALLEY OUTREACH,13/03/2017,1210.50
BANK MILL HOUSE FOOTBALL CAGES,CONTRACTOR OTHER,TREE SURVEY AND SITE VISIT,B000018711/59257,BOWLAND TREE CONSULTANCY,13/03/2017,1270.50
PARKS & OPEN SPACES,ASSET MAINT R&M,REPLACE VERGE BOARDS - OAKHILL,B000018708/45450,MERCERS BUILDERS LTD,13/03/2017,1550.00
BUILDING CONTROL B.U.,SUBSIDISED PROFESSIONAL SUBS,LABC SERVICES - 2017/2018,B000018710/20833,LABC,13/03/2017,1840.35
NORTHGATE SOFTWARE,CONTRACTOR OTHER,1APP IMPLEMENATATION,B000018707/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,13/03/2017,2000.00
LEISURE IN HYNDBURN,ELECTRICITY,SPORTS CENTRE- 1.2.17-28.2.17,B000018709/59343,EDF ENERGY,13/03/2017,2591.08
VEHICLE MAINT SUPERVISION,NEW EQUIPMENT,REV ALARM BANKSMAN ETC,B000018706/8388,VISION TECHNIQUES LTD,13/03/2017,2654.00
VEHICLE MAINT SUPERVISION,NEW EQUIPMENT,REV ALARM BANKSMAN ETC,B000018706/8388,VISION TECHNIQUES LTD,13/03/2017,2754.00
HUMAN RESOURCES,OD AND EQUALITY,TRAINING,B000018709/56592,GREENFIELD TRAINING & CONSULTANCY,13/03/2017,2806.00
LEISURE IN HYNDBURN,ELECTRICITY,MERCER HALL - 1.2.17-28.2.17,B000018709/59343,EDF ENERGY,13/03/2017,3008.70
HUMAN RESOURCES,OD AND EQUALITY,TRAINING- MARCH 17,B000018711/59591,PROGRESS INTERNATIONAL LTD,13/03/2017,3172.92
ASPEN COLLIERY COKE OVEN,CONTRACTOR OTHER,FEES FOR ASPEN COLLIERY,B000018710/57065,BUTTRESS,13/03/2017,3906.00
SCAITCLIFFE HOUSE,ELECTRICITY,SCAITCLIFFE - 1.2.17-28.2.17,B000018709/59343,EDF ENERGY,13/03/2017,4335.26
CHRISTMAS DECS & AMENITY COSTS,ELECTRICITY,1.3.16-28.2.17 - SEASONAL ILLU,B000018707/25200,E.ON UK PLC,13/03/2017,4701.79
HYNDBURN CEMETERIES,HEADSTONE SAFETY,REBUILD BOUNDARY WALL,B000018708/45450,MERCERS BUILDERS LTD,13/03/2017,5000.00
DEV CONTROL,DEV CONTROL SYSTEM,IDOX MANAGEMENT SYSYTEM,B000018711/32441,IDOX SOFTWARE LTD,13/03/2017,5500.52
HAG STABLE BLOCK CONVERSION,CONTRACTOR OTHER,GATES FOR STABLES,B000018710/59123,ROSSENDALE BESPOKE TIMBER,13/03/2017,5662.00
ENVIRONMENTAL PROTECTION TEAM,AIR QUALITY REVIEW,3 MONTHS AIR QUALITY MONITORIN,B000018711/59560,RICARDO-AEA LTD,13/03/2017,5900.00
VEHICLE MAINT SUPERVISION,NEW EQUIPMENT,SUPPLY FIT ONBOARD WEIGH,B000018706/30094,VISHAY PM ONBOARD LTD,13/03/2017,12320.00
ASPEN COLLIERY COKE OVEN,CONTRACTOR OTHER,ASPEN COLLIERY COKE OVENS,B000018709/7524,ROSS LEE CONSTRUCTION LTD,13/03/2017,15800.30
HAWORTH STABLES,GAS,STABLES - 31.1.17-28.2.17,B000018715/30430,NPOWER BUSINESS,15/03/2017,264.79
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,REPAIRS,B000018718/1164,DENNIS EAGLE LIMITED,15/03/2017,305.50
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 5.3.17,B000018715/46341,MORGAN HUNT UK LTD,15/03/2017,360.00
CORPORATE PROPERTY,ADVERTISING GENERAL,FOR SALE BOARD - STEINER ST,B000018718/34647,FIRST SIGNS LTD,15/03/2017,365.00
COMPUTER SERVICES,TELEPHONES,MARCH 17,B000018718/644,BRITISH TELECOMMUNICATIONS PLC,15/03/2017,390.52
BANK MILL HOUSE,GAS,BANK MILL HSE 13.2.17-28.2.17,B000018718/30430,NPOWER BUSINESS,15/03/2017,394.80
VEHICLE MAINT SUPERVISION,NEW EQUIPMENT,SUPPLY & FIT CAMERA,B000018716/8388,VISION TECHNIQUES LTD,15/03/2017,425.00
VEHICLE MAINT SUPERVISION,NEW EQUIPMENT,REVERSE ALARM,B000018716/8388,VISION TECHNIQUES LTD,15/03/2017,425.00
VEHICLE MAINT SUPERVISION,NEW EQUIPMENT,REVERSE ALARM,B000018716/8388,VISION TECHNIQUES LTD,15/03/2017,425.00
VEHICLE MAINT SUPERVISION,NEW EQUIPMENT,REVERSE ALARM,B000018716/8388,VISION TECHNIQUES LTD,15/03/2017,425.00
VEHICLE MAINT SUPERVISION,NEW EQUIPMENT,REVESE ALARM,B000018716/8388,VISION TECHNIQUES LTD,15/03/2017,425.00
HOUSING ADVICE,RENT DEPOSIT SCHEME,BOND FOR PROPERTY,B000018715/54432,THE PROPERTY SHOP,15/03/2017,450.00
CANNON ST ACC,GAS,20 CANNON ST 31.1.17-24.2.17,B000018718/30430,NPOWER BUSINESS,15/03/2017,452.71
TECH. REFRESH (ANNUAL REPLACEM,EQUIPMENT,WARRANTY FOR 16 PRODESK 400,B000018717/1106,B T BUSINESS DIRECT,15/03/2017,452.96
CORPORATE PROPERTY,GAS,EAGLE ST 31.1.17-13.2.17,B000018718/30430,NPOWER BUSINESS,15/03/2017,477.45
COMPUTER SERVICES,COMPUTER RENTAL & MAINT,1 HP PROBOOK,B000018717/1106,B T BUSINESS DIRECT,15/03/2017,492.45
NORTHGATE SOFTWARE,CONTRACTOR OTHER,CONSULTANCY UPGRADE ORACLE,B000018718/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,15/03/2017,500.00
LIBRARY ST DEPOT,GAS,CVMU- 4.2.17-4.3.17,B000018715/30430,NPOWER BUSINESS,15/03/2017,739.65
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 5.3.17,B000018715/33923,EDEN BROWN LTD,15/03/2017,850.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 5.3.17,B000018715/33923,EDEN BROWN LTD,15/03/2017,884.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,COMPRESSION LEGS,B000018716/7688,AEBI SCHMIDT UK LTD,15/03/2017,1007.88
LIBRARY ST DEPOT,WATER CHARGES,WATER CHARGES,B000018716/8325,UNITED UTILITIES WATER,15/03/2017,1036.00
WILLOWS LANE DEPOT,GAS,WILLOWS LANE - 31.1.17-28.2.17,B000018715/30430,NPOWER BUSINESS,15/03/2017,1071.40
HAWORTH ART GALLERY,GAS,H.A.G - 31.1.17-28.2.17,B000018715/30430,NPOWER BUSINESS,15/03/2017,1105.54
ALLOTMENTS,GENERAL REPAIR & MAINT BLDGS,TREE WORK AT NORDEN,B000018715/55074,SCOTT MITCHELL,15/03/2017,1400.00
ACCRINGTON MARKET,GAS,MARKET- 31.1.17-28.2.17,B000018715/30430,NPOWER BUSINESS,15/03/2017,1774.75
PARIS UPGRADE,COMPUTER RENTAL & MAINT,VAT SERVICES FOR PARIS,B000018718/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,15/03/2017,2137.50
HYNDBURN CEMETERIES,GAS,ACC CEM - 31.1.17-28.2.17,B000018715/30430,NPOWER BUSINESS,15/03/2017,2306.99
TRANSPORT MANAGEMENT OPERATION,AGENCY STAFF,AGENCY STAFF COSTS,B000018715/15595,APSE,15/03/2017,2560.00
COMPUTER SERVICES,TELEPHONES,INTERNET CONNECTION - 1.4.16-3,B000018717/2496,LANCASHIRE COUNTY COUNCIL,15/03/2017,3741.90
GENERAL EXPENSES,CABINET ACTION FUND,SPID SIGN SERVICES GRANT 16/17,B000018715/55299,ALTHAM PARISH COUNCIL,15/03/2017,5775.00
TECH. REFRESH (ANNUAL REPLACEM,EQUIPMENT,16 PRODESK 400,B000018717/1106,B T BUSINESS DIRECT,15/03/2017,6913.76
PARIS UPGRADE,COMPUTER RENTAL & MAINT,MY HYNDBURN/PARIS INTERFACE,B000018718/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,15/03/2017,8798.01
PARIS UPGRADE,COMPUTER RENTAL & MAINT,PARIS/CRM INTERFACE,B000018718/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,15/03/2017,8798.01
Corporate Property Bus Unit,FEES-ANALYSTS & CONSULTANTS,ASSET VALUATIONS 2016/17 - INT,B000018718/32265,VALUATION OFFICE AGENCY ADMINISTRATION,15/03/2017,9500.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018717/25868,HYNDBURN PLUMBING & HEATING SERVICES,15/03/2017,10173.00
"AUDIT, BANK & TREASURY FEES",APPROVED AUDIT FEES,16/17 AUDIT FEE 3 OF 4,B000018715/38319,GRANT THORNTON UK LLP,15/03/2017,11731.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,APSE SEMINAR FOR ,B000018726/15595,APSE,20/03/2017,259.00
HYNDBURN CEMETERIES,PRIVATE CONTRACTORS WORK,HIRE OF PLATFORM TO INSTALL PH,B000018726/26968,LIGHTING AND BUILDING SERVICES LTD,20/03/2017,320.00
STREET NAMEPLATES GEN,WORK DONE DLO-HIGHWAYS,STREET NAME PLATES,B000018724/24038,G & G SIGNS,20/03/2017,371.90
LICENSING,MISC EXPENSES OTHER,VEHICLE CKECKING SERVICE,B000018725/59412,EXPERIAN,20/03/2017,400.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF WK 05.03.17  ,B000018726/19414,HEADS RECRUITMENT LIMITED,20/03/2017,403.30
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY COVER ,B000018726/19414,HEADS RECRUITMENT LIMITED,20/03/2017,425.10
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY COVER WK 05.03.17,B000018726/19414,HEADS RECRUITMENT LIMITED,20/03/2017,425.10
DEVELOPMENT CONTROL B.U.,ADVERTISING GENERAL,ADVERT 10.3.17,B000018724/55711,TRINITY MIRROR PUBLISHING LTD,20/03/2017,432.00
HAWORTH ART GALLERY,EQUIPMENT-RESALE,ITEMS FOR SHOP SALE,B000018725/17125,OMICWAYS LTD,20/03/2017,527.92
DOG WARDEN,KENNELING - DAYTIME,KENELLING COSTS FEB 17,B000018726/36271,ASPEN VALLEY BOARDING KENNELS & CATTERY,20/03/2017,570.50
HYNDBURN CEMETERIES,SEWERAGE,WASTE WATER CHARGE ACCRINGTON ,B000018726/8325,UNITED UTILITIES WATER,20/03/2017,723.19
STRATEGIC HOUSING DEPARTMENT,WARM HOMES HEALTY PEOPLE,TEMPS ATFF W/E 12.3.17,B000018725/58023,BUCKINGHAM FUTURES LTD,20/03/2017,829.25
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  WK 05.03.17,B000018726/19414,HEADS RECRUITMENT LIMITED,20/03/2017,850.20
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 12.3.17,B000018725/55150,VENN GROUP LIMITED,20/03/2017,905.75
HYNDBURN CEMETERIES,SECURITY SYSTEM MAINTENANCE,INSTALLATION OF NEW PHONE LINE,B000018726/35290,LOGICALTELECOM,20/03/2017,1349.40
HEALTH OFFICERS,AGENCY STAFF,HELEN DODDS AGENCY COSTS 26/2/,B000018726/58023,BUCKINGHAM FUTURES LTD,20/03/2017,1562.50
GREEN INFRASTRUCTURE,SPOUTHOUSE WOODLAND PROJECT,SPOUT HOUSE WOODLAND ESTABLISH,B000018725/2496,LANCASHIRE COUNTY COUNCIL,20/03/2017,1863.60
UNDERSPENDS,MISC EXPENSES OTHER,FOXHILL BANK RESERVE MGT,B000018729/30834,LANCASHIRE WILDLIFE TRUST,20/03/2017,2000.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018724/7874,STANNAH LIFT SERVICES LIMITED,20/03/2017,2349.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF ,B000018726/55740,RAPID RECRUITMENT LTD,20/03/2017,2447.81
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018724/7874,STANNAH LIFT SERVICES LIMITED,20/03/2017,2504.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF ,B000018726/55740,RAPID RECRUITMENT LTD,20/03/2017,2550.54
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,VEHICLE HIRE AGREEMENT VX63 HC,B000018726/46880,SPECIALIST FLEET SERVICES LTD,20/03/2017,2644.75
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,VEHICLE AGREEMENT VX63 HCU,B000018726/46880,SPECIALIST FLEET SERVICES LTD,20/03/2017,2644.75
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,VEHICLE HIRE AGREEMENT VX63 HC,B000018726/46880,SPECIALIST FLEET SERVICES LTD,20/03/2017,2644.75
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,VEHICLE HIRE AGREEMENT VX63 HC,B000018726/46880,SPECIALIST FLEET SERVICES LTD,20/03/2017,2644.75
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,VEHICLE HIRE AGREEMENT VX63 HC,B000018726/46880,SPECIALIST FLEET SERVICES LTD,20/03/2017,2644.75
ROYDS ST LNR IMPROVEMENT,CONTRACT WORKS,DIRECTION WAYMARKERS,B000018730/58568,NATURE SIGN DESIGN,20/03/2017,3737.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018724/993,COOKSON BUILDERS LTD,20/03/2017,7792.00
TIPPING CHARGES,HIRED VEHICLE,REMOVAL OF WASTE,B000018734/7871,STANLEY BROS TIPPERS LTD,21/03/2017,390.00
TIPPING CHARGES,HIRED VEHICLE,REMOVAL OF WASTE,B000018734/7871,STANLEY BROS TIPPERS LTD,21/03/2017,390.00
PARKS & OPEN SPACES,SERVICE TRAINING EXPENSES,2 DAY PLAYGROUND INSPECTION,B000018734/41978,MYERSCOUGH COLLEGE,21/03/2017,510.00
PARKS & OPEN SPACES,IMPLEMENTS & TOOLS,1 210 X 55LTR RED ERGO BOXES @,B000018734/7908,STRAIGHT PLC,21/03/2017,661.50
NEW FUEL TANK,NEW EQUIPMENT,TO SUPPLY AND FIT NEW FUEL TAN,B000018734/7187,PENNINE PUMP & TANK CO,21/03/2017,24512.00
