Department Area,,Service Area,,Description,,,Line,,HBC Ref No.,,Name:  ,,,Payment Date,,Amount Paid
REGN - Regeneration & Housing,,FAD - Housing Advice,,Agency CostsPeriod Ending: 09-Nov-2025,,,1,,CRINV0014811,,Vivid Resourcing,,,04/12/2025,,"1,672.00"
PLAN - Planning & Transportation,,EAD - Planning,,Agency Staff - W/e 09.11.25 ,,,1,,CRINV0014861,,Vivid Resourcing,,,04/12/2025,,"1,864.80"
ENVH - Environmental Health,,BAB - Environmental Protection,,Agency Staff - W/e 09.11.25,,,1,,CRINV0014862,,Vivid Resourcing,,,04/12/2025,,486.67
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Buriel services,,,1,,CRINV0014867,,James O Garnett Ltd,,,04/12/2025,,"1,680.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,VOA Returns October 25,,,1,,CRINV0014903,,Capacitygrid,,,04/12/2025,,"1,080.00"
ENVS - Environmental Services,,CAF - CVMU,,Parts,,,1,,CRINV0014948,,Dennis Eagle Limited,,,04/12/2025,,"1,358.23"
ENVS - Environmental Services,,CAB - Other Environmental Services,,Hire of 8 Wheeler 10.11.25,,,1,,CRINV0014986,,Stanley Brothers (Tippers) Ltd,,,04/12/2025,,744.00
ENVS - Environmental Services,,CAF - CVMU,,Fleetmaster Licences,,,1,,CRINV0015233,,AssetWorks Fleet Solutions Ltd,,,04/12/2025,,"13,541.42"
ENVS - Environmental Services,,CAF - CVMU,,Temp staff w/e 23.11.25,,,1,,CRINV0015235,,Autotech Recruit,,,04/12/2025,,"1,044.00"
ENVS - Environmental Services,,CAF - CVMU,,Hydraulic Cylinder,,,1,,CRINV0015238,,Dennis Eagle Limited,,,04/12/2025,,"1,092.90"
ENVS - Environmental Services,,CAF - CVMU,,Water CVMU,,,1,,CRINV0015267,,Water Plus - 4206400451 CVMU,,,04/12/2025,,508.27
LEGL - Legal & Democratic,,DAG - Elections,,"Print/Laser, Enclose + Reply Envs - up to 28.11.25",,,1,,CRINV0015283,,Civica Election Services,,,04/12/2025,,"1,586.84"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Accrington Cemetery Phase 2,,,1,,CRINV0015293,,Rosslee Construction Ltd,,,04/12/2025,,"7,495.91"
ENVS - Environmental Services,,CAD - Town Centre & Markets,,Accrington Christmas Lights Balance,,,1,,CRINV0015320,,Scott Dawson Advertising Ltd,,,04/12/2025,,"14,400.00"
REGN - Regeneration & Housing,,FAC - Haworth Art Gallery,,Hire of coach from Mt Pleasant to HAG 21.11.25,,,1,,CRINV0015347,,Cranberry Coachways Ltd,,,04/12/2025,,350.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation Fees,,,1,,CRINV0015382,,Molesworth Hotel,,,04/12/2025,,"2,700.00"
LEGL - Legal & Democratic,,DAB - Human Resources,,Exhibition Design Services Accrington Market Chambers invoice (4 of 4),,,1,,CRINV0015383,,Redman Partnership LLP,,,04/12/2025,,"13,005.00"
LEGL - Legal & Democratic,,DAH - Licencing,,Temp Staff W/C 9.11.25,,,1,,CRPOI0014841,,G2 Recruitment Solutions,,,04/12/2025,,"1,737.60"
RESO - Resources,,AAF - Finance,,Temp Staff W/C 9.11.25,,,1,,CRPOI0014844,,G2 Recruitment Solutions,,,04/12/2025,,"5,850.00"
REGN - Regeneration & Housing,,FAG - Regeneration,,Temp Staff W/C 9.11.25,,,1,,CRPOI0014886,,Vivid Resourcing,,,04/12/2025,,"1,800.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Provide a refurbished garden seating area ,,,1,,CRPOI0014924,,Groundwork Landscapes Limited,,,04/12/2025,,"54,000.00"
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,"Tubex shrub shelter 
Tubex combitube - standard  1.2 m x 1000             £1740.00
Tubex treeguard mesh  0.6m x 180                         £399.60
Tubex tree shelter standard    1.2m x 1400             £19",,,1,,CRPOI0015080,,British Hardwood Tree Nursery Limited,,,04/12/2025,,"9,770.76"
RESO - Resources,,AAF - Finance,," Introduction to Business Rates budgeting, budget monitoring and reporting ",,,1,,CRPOI0015169,,CIPFA Business Limited,,,04/12/2025,,378.00
RESO - Resources,,AAH - Facilities,,Haworth Art Gallery - CCTV upgrade,,,1,,CRPOI0015211,,Full Circuit Fire & Security Ltd,,,04/12/2025,,"2,216.15"
RESO - Resources,,AAH - Facilities,," CCTV upgradeEight IP cameras, a robust Network Video Recorder ",,,1,,CRPOI0015212,,Full Circuit Fire & Security Ltd,,,04/12/2025,,"1,248.74"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Investigate damage to uplights at the Accrington Pals Memorial Garden,,,1,,CRPOI0015259,,L I T E,,,04/12/2025,,540.00
RESO - Resources,,AAB - Benefits & Customer Contact,,Software / Service and Annual Charges,,,1,,CRINV0014767,,Civica Uk Limited,,,09/12/2025,,"146,496.00"
LEGL - Legal & Democratic,,DAD - Management Legal & Dem,,Searches - October 2025,,,1,,CRINV0014884,,Lancashire County Council,,,09/12/2025,,765.60
ENVH - Environmental Health,,BAA - Housing Standards,,Temp Staff 03.11.25  ,,,1,,CRINV0014906,,Oyster Partnership,,,09/12/2025,,"1,263.60"
ENVH - Environmental Health,,BAA - Housing Standards,,Temp Staff 03.11.25  ,,,1,,CRINV0014907,,Oyster Partnership,,,09/12/2025,,"1,420.85"
LEGL - Legal & Democratic,,DAA - Democratic Services,,Traffic Mgt - Remembrance Services,,,1,,CRINV0014922,,Primus Traffic Management,,,09/12/2025,,"3,024.00"
ENVS - Environmental Services,,CAF - CVMU,,Parts,,,1,,CRINV0014944,,Bucher Municipal Ltd,,,09/12/2025,,660.07
ENVS - Environmental Services,,CAF - CVMU,,Maintenance,,,1,,CRINV0014947,,Dennis Eagle Limited,,,09/12/2025,,"1,902.91"
ENVS - Environmental Services,,CAF - CVMU,,Parts and Materials,,,1,,CRINV0014966,,Terberg Matec Uk,,,09/12/2025,,405.37
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Temp staff W/E 3.11.25,,,1,,CRINV0014968,,Proman Supply Chain Ltd,,,09/12/2025,,951.70
LEGL - Legal & Democratic,,DAA - Democratic Services,,Room Hire - 7.11.25,,,1,,CRINV0015008,,Hyndburn Leisure,,,09/12/2025,,160.00
LEGL - Legal & Democratic,,DAA - Democratic Services,,Refreshments - 7.11.25,,,2,,CRINV0015008,,Hyndburn Leisure,,,09/12/2025,,148.00
RESO - Resources,,AAH - Facilities,,Cap off Gas at 16 Broadway,,,1,,CRINV0015011,,Lancashire Gas Services,,,09/12/2025,,371.64
PLAN - Planning & Transportation,,EAD - Planning,,Professional Fees,,,1,,CRINV0015024,,Miss Constanze Bell - Kings Chambers,,,09/12/2025,,"1,800.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency Costs Week Ending 09/11/2025,,,1,,CRINV0015104,,Venn Group Limited,,,09/12/2025,,"1,243.73"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - w/e 16.11.25 ,,,1,,CRINV0015124,,Vivid Resourcing,,,09/12/2025,,"1,864.80"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Cleaning Matreials,,,1,,CRINV0015171,,"Bubbles, Brushes & Wiper Co Ltd",,,09/12/2025,,303.94
PLAN - Planning & Transportation,,EAD - Planning,,Staff wk 53 10.11.25  ,,,1,,CRINV0015178,,Confido Consult Ltd,,,09/12/2025,,"2,240.04"
RESO - Resources,,AAF - Finance,,Charges - 26.10.25 - 25.11.25,,,1,,CRINV0015227,,Water Plus - 4081791400 Canteen Scaitcliffe House,,,09/12/2025,,354.46
RESO - Resources,,AAF - Finance,,Cleaning - Sept 25,,,1,,CRINV0015232,,ServiceMaster Clean Contract Services AAA,,,09/12/2025,,719.71
RESO - Resources,,AAG - Management Resources,,Cabinet Action Fund Grant - CAF61,,,1,,CRINV0015257,,Baxenden St John`s PTFA,,,09/12/2025,,"2,000.00"
RESO - Resources,,AAG - Management Resources,,Wilson Field Leisure Centre Valuation 13,,,1,,CRINV0015258,,Alliance Leisure Services Limited,,,09/12/2025,,"23,948.42"
ENVS - Environmental Services,,CAE - Waste Services,,Agency staff - w/e 16.11.25 ,,,1,,CRINV0015296,,Rapid Recruitment Ltd,,,09/12/2025,,785.88
ENVS - Environmental Services,,CAF - CVMU,,Multiple Breakdown Call Outs & Repairs,,,1,,CRINV0015358,,Rossendale Vulcanising (Sales Ltd),,,09/12/2025,,"5,135.60"
ENVS - Environmental Services,,CAF - CVMU,,Grren mower,,,1,,CRINV0015369,,Rob Mercer,,,09/12/2025,,516.00
ENVS - Environmental Services,,CAF - CVMU,,Agency staff - W/e 30.11.25 ,,,1,,CRINV0015384,,Autotech Recruit,,,09/12/2025,,"1,287.60"
LEGL - Legal & Democratic,,DAB - Human Resources,,ICCM - Education Module - Cem Management  ,,,1,,CRINV0015394,,I.C.C.M.,,,09/12/2025,,557.00
LEGL - Legal & Democratic,,DAB - Human Resources,,ICCM Education Module - Cem Management & Enrolment Fee,,,2,,CRINV0015394,,I.C.C.M.,,,09/12/2025,,327.60
RESO - Resources,,AAF - Finance,,Mercers Actuarial Services - Accounting Schedule ,,,1,,CRINV0015401,,Lancashire County Council,,,09/12/2025,,"1,434.00"
PLAN - Planning & Transportation,,EAA - Building Control,,Agency staff - w/e 26.11.25 ,,,1,,CRINV0015402,,Deekay Tech Recruitment Ltd,,,09/12/2025,,"1,427.14"
RESO - Resources,,AAH - Facilities,,"Amenity Lighting 01.11.25 ?
  30.11.25",,,1,,CRINV0015408,,EDF - 1232400259 - Unmetered Supply Street Lightin,,,09/12/2025,,91.98
RESO - Resources,,AAH - Facilities,,Amenity Lighting 01.11.25 ? 30.11.25,,,2,,CRINV0015408,,EDF - 1232400259 - Unmetered Supply Street Lightin,,,09/12/2025,,"2,713.37"
RESO - Resources,,AAH - Facilities,,Amenity Lighting 01.11.25 ? 30.11.25,,,3,,CRINV0015408,,EDF - 1232400259 - Unmetered Supply Street Lightin,,,09/12/2025,,996.44
RESO - Resources,,AAH - Facilities,,Amenity Lighting 01.11.25 ? 30.11.25,,,4,,CRINV0015408,,EDF - 1232400259 - Unmetered Supply Street Lightin,,,09/12/2025,,"2,146.18"
RESO - Resources,,AAH - Facilities,,Amenity Lighting 01.11.25 ? 30.11.25,,,5,,CRINV0015408,,EDF - 1232400259 - Unmetered Supply Street Lightin,,,09/12/2025,,183.96
ENVS - Environmental Services,,CAD - Town Centre & Markets,,50% Deposit - Gt Harwood Christmas Event,,,1,,CRINV0015420,,Scott Dawson Advertising Ltd,,,09/12/2025,,"12,000.00"
ENVS - Environmental Services,,CAF - CVMU,,Service and Maintenance contract 24.10.25 - 23.10.26.,,,1,,CRINV0015448,,North West Trading Company Ltd,,,09/12/2025,,832.20
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Charges - 01.11.25 - 30.11.25,,,1,,CRINV0015453,,Smartest Energy - 100011736903 77-79 Blackburn Rd,,,09/12/2025,,"1,307.65"
RESO - Resources,,AAH - Facilities,,Charges - 01.11.25 - 30.11.25,,,1,,CRINV0015458,,NPOWER - A0010655700 -Accrington Market Hall,,,09/12/2025,,"3,782.51"
RESO - Resources,,AAH - Facilities,,Charges - 01.08.25 - 31.08.25,,,1,,CRINV0015464,,NPOWER - A0010656985 - Wilsons TBS,,,09/12/2025,,"2,338.20"
RESO - Resources,,AAD - ICT,,Charges - 01.07.25 - 30.09.25,,,1,,CRINV0015467,,Vodafone Limited,,,09/12/2025,,951.01
RESO - Resources,,AAH - Facilities,,Amenity Lighting - 1.11.25-30.11.25,,,1,,CRINV0015468,,EDF - 5946759290 - Unmetered Supply Street Lightin,,,09/12/2025,,20.00
RESO - Resources,,AAH - Facilities,,Amenity Lighting - 1.11.25 to 30.11.25,,,2,,CRINV0015468,,EDF - 5946759290 - Unmetered Supply Street Lightin,,,09/12/2025,,590.01
RESO - Resources,,AAH - Facilities,,Amenity Lighting - 1.11.25 to 30.11.25,,,3,,CRINV0015468,,EDF - 5946759290 - Unmetered Supply Street Lightin,,,09/12/2025,,216.67
RESO - Resources,,AAH - Facilities,,Amenity Lighting - 1.11.25 to 30.11.25,,,4,,CRINV0015468,,EDF - 5946759290 - Unmetered Supply Street Lightin,,,09/12/2025,,466.67
RESO - Resources,,AAH - Facilities,,Amenity Lighting - 1.11.25 to 30.11.25,,,5,,CRINV0015468,,EDF - 5946759290 - Unmetered Supply Street Lightin,,,09/12/2025,,40.00
RESO - Resources,,AAD - ICT,,Charges - 06.09.25 - 28.02.26,,,1,,CRINV0015469,,British Telecommunications Plc,,,09/12/2025,,"1,081.80"
ENVS - Environmental Services,,CAF - CVMU,,Tyres & Repairs - Oct 25,,,1,,CRINV0015476,,Rossendale Vulcanising (Sales Ltd),,,09/12/2025,,"4,729.60"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,VO5 Stage 4,,,1,,CRINV0015478,,Aecom Limited,,,09/12/2025,,"49,037.40"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,V05 stage 4 - Acc LUF,,,1,,CRINV0015479,,Aecom Limited,,,09/12/2025,,"43,580.40"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Project Services - Oct & Nov 25,,,1,,CRINV0015492,,Rider Levett Bucknall Uk Ltd,,,09/12/2025,,"4,931.91"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Project Services - Oct & Nov 25,,,2,,CRINV0015492,,Rider Levett Bucknall Uk Ltd,,,09/12/2025,,"4,931.90"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Project Services - Oct & Nov 25,,,3,,CRINV0015492,,Rider Levett Bucknall Uk Ltd,,,09/12/2025,,"4,931.90"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,NR Funding - Sept 25,,,1,,CRINV0015494,,CBRE RE CLIENT AC MERGED IA CMR,,,09/12/2025,,"9,164.35"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,NR Funding - Oct 25,,,1,,CRINV0015495,,CBRE RE CLIENT AC MERGED IA CMR,,,09/12/2025,,"2,207.58"
ENVS - Environmental Services,,CAB - Other Environmental Services,,10 x  330 X 100 X 90MM Rat Bait Station,,,1,,CRPOI0014975,,Hamelin Pest Ltd,,,09/12/2025,,36.00
ENVS - Environmental Services,,CAB - Other Environmental Services,,4 x - Small (245 x 95mm) Aluminium,,,2,,CRPOI0014975,,Hamelin Pest Ltd,,,09/12/2025,,38.40
ENVS - Environmental Services,,CAB - Other Environmental Services,,4 x - Medium (245 x 170mm) Aluminium,,,3,,CRPOI0014975,,Hamelin Pest Ltd,,,09/12/2025,,48.00
ENVS - Environmental Services,,CAB - Other Environmental Services,,4 x100mm x 100mm / 4`` Single Flap Ratblocker,,,4,,CRPOI0014975,,Hamelin Pest Ltd,,,09/12/2025,,144.00
ENVS - Environmental Services,,CAB - Other Environmental Services,,4 x  Hamelin Tether Kit,,,5,,CRPOI0014975,,Hamelin Pest Ltd,,,09/12/2025,,19.92
RESO - Resources,,AAB - Benefits & Customer Contact,,IRRV Diploma Enrolment,,,1,,CRPOI0015004,,IRRV,,,09/12/2025,,"1,920.00"
RESO - Resources,,AAH - Facilities,,Supply and install new Intergas SB 40KW boiler reuse existing heating pumpfill/vent and commission,,,1,,CRPOI0015012,,Pilkington Bros (Church) Ltd,,,09/12/2025,,"6,195.65"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,30 X ATS/H/C HID Compat Card,,,1,,CRPOI0015021,,Auto Time Systems Northern,,,09/12/2025,,178.20
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,30 X 100 18A Card Printing (Own Company Logo),,,2,,CRPOI0015021,,Auto Time Systems Northern,,,09/12/2025,,394.20
ENVS - Environmental Services,,CAE - Waste Services,, Road Sweeper on hire for 6 weeks,,,1,,CRPOI0015068,,Scarab Sweepers Limited,,,09/12/2025,,"5,400.00"
ENVS - Environmental Services,,CAE - Waste Services,,Delivery Charge,,,2,,CRPOI0015068,,Scarab Sweepers Limited,,,09/12/2025,,900.00
ENVS - Environmental Services,,CAE - Waste Services,,Pick Up Charge,,,3,,CRPOI0015068,,Scarab Sweepers Limited,,,09/12/2025,,900.00
RESO - Resources,,AAH - Facilities,,"Supply and fit a 2 year roaming sim card to the gsm 
unit on top of the lift car",,,1,,CRPOI0015087,,E A Foulds Ltd,,,09/12/2025,,524.86
RESO - Resources,,AAH - Facilities,,Scaitcliffe House - Supply and fit GSM unit,,,1,,CRPOI0015088,,E A Foulds Ltd,,,09/12/2025,,"1,061.94"
ENVS - Environmental Services,,CAF - CVMU,,IBC of Ad Blue (1000 lts),,,1,,CRPOI0015147,,J E Morten Ltd,,,09/12/2025,,414.00
RESO - Resources,,AAD - ICT,,"1 x WatchGuard Total Security Suite Renewal upgrade 1 year for M470 
1 x WatchGuard Standard Support Renewal 1 year for M470 ",,,1,,CRPOI0015157,,Claranet Limited,,,09/12/2025,,"5,440.99"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,5 x Prosafe Major Repair Kit (Yellow),,,1,,CRPOI0015305,,I A E Fencing,,,09/12/2025,,"1,241.64"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,1 x Delivery,,,2,,CRPOI0015305,,I A E Fencing,,,09/12/2025,,84.00
ENVS - Environmental Services,,CAF - CVMU,,"23,000 Ltrts X HVO",,,1,,CRPOI0015417,,Certas Energy,,,09/12/2025,,"7,770.00"
RESO - Resources,,AAD - ICT,,3 x  AutoCAD LT Commercial product subscription renewal 3 years,,,1,,CRPOI0015466,,Autodesk Ireland Operations Unlimited Company,,,09/12/2025,,"5,775.00"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - w/e 16.11.25,,,1,,CRINV0015028,,Vivid Resourcing,,,11/12/2025,,"2,160.00"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Agency staff - W/e 16.11.25 ,,,1,,CRINV0015029,,Vivid Resourcing,,,11/12/2025,,"1,368.00"
PLAN - Planning & Transportation,,EAB - Engineers & Transportation,,Trash screen clearance,,,1,,CRINV0015056,,Marchbridge Builders Ltd,,,11/12/2025,,877.50
PLAN - Planning & Transportation,,EAB - Engineers & Transportation,,Path clearance,,,1,,CRINV0015062,,Sterling Construction (Services) Ltd,,,11/12/2025,,"3,552.00"
ENVS - Environmental Services,,CAF - CVMU,,refuse vehicles,,,1,,CRINV0015072,,Keep Em Clean,,,11/12/2025,,262.50
ENVS - Environmental Services,,CAB - Other Environmental Services,,Vehicle Hire - - 14.11.25,,,1,,CRINV0015079,,Stanley Brothers (Tippers) Ltd,,,11/12/2025,,744.00
ENVS - Environmental Services,,CAF - CVMU,,Parts and materials,,,1,,CRINV0015142,,Terberg Matec Uk,,,11/12/2025,,939.65
ENVS - Environmental Services,,CAF - CVMU,,Vehicle Parts/Goods,,,1,,CRINV0015160,,Bucher Municipal Ltd,,,11/12/2025,,"2,003.40"
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Woodland Consultancy inc Stakeholder Engagement,,,1,,CRINV0015338,,Footprint Forestry,,,11/12/2025,,"1,254.76"
RESO - Resources,,AAF - Finance,,Transaction fees,,,1,,CRINV0015364,,Allpay Ltd,,,11/12/2025,,"1,125.66"
ENVS - Environmental Services,,CAB - Other Environmental Services,,Professional Fees,,,1,,CRINV0015422,,Weightmans LLP,,,11/12/2025,,370.30
REGN - Regeneration & Housing,,FAD - Housing Advice,,Rent Deposit,,,1,,CRINV0015423,,Onward Homes,,,11/12/2025,,789.16
REGN - Regeneration & Housing,,FAD - Housing Advice,,Rent -  07.11.24 - 10.01.25,,,1,,CRINV0015426,,Onward Homes,,,11/12/2025,,345.39
REGN - Regeneration & Housing,,FAD - Housing Advice,,Rent - 05.06.23 - 02.07.23,,,1,,CRINV0015427,,Onward Homes,,,11/12/2025,,403.12
RESO - Resources,,AAG - Management Resources,,Cabinet Action Fund Grant - CAF62,,,1,,CRINV0015450,,Primetime Netball League,,,11/12/2025,,"6,048.00"
REGN - Regeneration & Housing,,FAG - Regeneration,,Charges - 01.11.25 - 30.11.25,,,1,,CRINV0015457,,YU Energy - 2000257533 - 16 Broadway,,,11/12/2025,,253.26
RESO - Resources,,AAG - Management Resources,,Sleeve Sponsor of Acc Stanley Shirt Giveaway 2025,,,1,,CRINV0015483,,Accrington Stanley F C Ltd,,,11/12/2025,,"6,000.00"
